Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Latitude,Longitude,Geocoding Match,Matched Address
3305393,"September 11, 2025",Florida,Tampa,6000 block of Woodville St,1,5,0,0,0,,,,No_Match,
3304563,"September 9, 2025",California,San Francisco,1555 Burke St,0,6,0,0,0,,37.744396900633,-122.386072681753,Match,"1555 BURKE AVE, SAN FRANCISCO, CA, 94124"
3304605,"September 8, 2025",California,Santa Ana,400 S Susan St,1,3,0,0,0,,33.741890880643,-117.913596092036,Match,"400 S SUSAN ST, SANTA ANA, CA, 92704"
3303073,"September 7, 2025",Ohio,Cleveland,1051 W 10th St,0,5,0,1,1,,,,No_Match,
3302748,"September 7, 2025",Texas,Cleveland,2843 County Rd 5018,2,4,0,0,0,,30.199930635724,-95.05924485192,Match,"2843 RD 5018, CLEVELAND, TX, 77327"
3303232,"September 7, 2025",Tennessee,Memphis,4100 block of Rosewind Cir,0,4,0,0,0,,35.034920226526,-89.85590619941,Match,"4100 ROSEWIND CIR, MEMPHIS, TN, 38141"
3302041,"September 6, 2025",Virginia,Portsmouth,Manly St and Dahlia St S,1,3,0,0,0,,,,No_Match,
3300931,"September 3, 2025",Missouri,Kansas City,Harrison St and E Armour Blvd,0,5,0,0,0,,39.063287022427,-94.572901570655,Match,"HARRISON ST & E ARMOUR BLVD, KANSAS CITY, MO, 64109"
3299148,"September 1, 2025",New York,Bronx,686 Allerton Ave,1,4,0,0,5,,40.865361429171,-73.867861298022,Match,"686 ALLERTON AVE, BRONX, NY, 10467"
3298615,"September 1, 2025",Illinois,Chicago,3600 block of S Cottage Grove Ave,0,5,0,0,1,,41.82905727426,-87.609587788461,Match,"3600 S COTTAGE GROVE AVE, CHICAGO, IL, 60653"
3297880,"August 31, 2025",Illinois,Chicago,2700 block of W Haddon Ave,0,4,0,0,0,,41.902077012111,-87.694471083116,Match,"2700 W HADDON AVE, CHICAGO, IL, 60622"
3297889,"August 30, 2025",Illinois,Chicago Heights,400 block of W 14th St,1,4,0,0,1,,41.505954916441,-87.659602785934,Match,"400 W 14TH ST, CHICAGO HEIGHTS, IL, 60411"
3298204,"August 30, 2025",Mississippi,Jackson,5627 Dogwood Trail,2,2,0,0,3,,32.250352753786,-90.296782199883,Match,"5627 DOGWOOD TRL, JACKSON, MS, 39212"
3297867,"August 30, 2025",Illinois,Chicago,3500 block of S State St,0,7,0,0,0,,41.830953195469,-87.626720750491,Match,"3500 S STATE ST, CHICAGO, IL, 60609"
3297573,"August 29, 2025",New York,Syracuse (Geddes),1002 State Fair Blvd,0,4,0,1,1,,43.09986494395,-76.24814643451,Match,"1002 STATE FAIR BLVD, SYRACUSE, NY, 13209"
3297408,"August 29, 2025",Florida,Fort Lauderdale,657 NW 9th St,0,4,0,0,0,,26.134905790926,-80.150500477056,Match,"657 NW 9TH ST, FORT LAUDERDALE, FL, 33311"
3294737,"August 27, 2025",Minnesota,Minneapolis,509 W 54th St,2,21,1,0,0,,44.905037512829,-93.285914588911,Match,"509 W 54TH ST, MINNEAPOLIS, MN, 55419"
