Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Latitude,Longitude,Geocoding Match,Matched Address,County_Name,County_FIPS,State_FIPS,County_State
3305393,"September 11, 2025",Florida,Tampa,6000 block of Woodville St,1,5,0,0,0,,,,No_Match,,,,,
3304563,"September 9, 2025",California,San Francisco,1555 Burke St,0,6,0,0,0,,37.744396900633,-122.386072681753,Match,"1555 BURKE AVE, SAN FRANCISCO, CA, 94124",San Francisco,075,06,"San Francisco, 06"
3304605,"September 8, 2025",California,Santa Ana,400 S Susan St,1,3,0,0,0,,33.741890880643,-117.913596092036,Match,"400 S SUSAN ST, SANTA ANA, CA, 92704",Orange,059,06,"Orange, 06"
3303073,"September 7, 2025",Ohio,Cleveland,1051 W 10th St,0,5,0,1,1,,,,No_Match,,,,,
3302748,"September 7, 2025",Texas,Cleveland,2843 County Rd 5018,2,4,0,0,0,,30.199930635724,-95.05924485192,Match,"2843 RD 5018, CLEVELAND, TX, 77327",Liberty,291,48,"Liberty, 48"
3303232,"September 7, 2025",Tennessee,Memphis,4100 block of Rosewind Cir,0,4,0,0,0,,35.034920226526,-89.85590619941,Match,"4100 ROSEWIND CIR, MEMPHIS, TN, 38141",Shelby,157,47,"Shelby, 47"
3302041,"September 6, 2025",Virginia,Portsmouth,Manly St and Dahlia St S,1,3,0,0,0,,,,No_Match,,,,,
3300931,"September 3, 2025",Missouri,Kansas City,Harrison St and E Armour Blvd,0,5,0,0,0,,39.063287022427,-94.572901570655,Match,"HARRISON ST & E ARMOUR BLVD, KANSAS CITY, MO, 64109",Jackson,095,29,"Jackson, 29"
3299148,"September 1, 2025",New York,Bronx,686 Allerton Ave,1,4,0,0,5,,40.865361429171,-73.867861298022,Match,"686 ALLERTON AVE, BRONX, NY, 10467",Bronx,005,36,"Bronx, 36"
3298615,"September 1, 2025",Illinois,Chicago,3600 block of S Cottage Grove Ave,0,5,0,0,1,,41.82905727426,-87.609587788461,Match,"3600 S COTTAGE GROVE AVE, CHICAGO, IL, 60653",Cook,031,17,"Cook, 17"
3297880,"August 31, 2025",Illinois,Chicago,2700 block of W Haddon Ave,0,4,0,0,0,,41.902077012111,-87.694471083116,Match,"2700 W HADDON AVE, CHICAGO, IL, 60622",Cook,031,17,"Cook, 17"
3297889,"August 30, 2025",Illinois,Chicago Heights,400 block of W 14th St,1,4,0,0,1,,41.505954916441,-87.659602785934,Match,"400 W 14TH ST, CHICAGO HEIGHTS, IL, 60411",Cook,031,17,"Cook, 17"
3298204,"August 30, 2025",Mississippi,Jackson,5627 Dogwood Trail,2,2,0,0,3,,32.250352753786,-90.296782199883,Match,"5627 DOGWOOD TRL, JACKSON, MS, 39212",Hinds,049,28,"Hinds, 28"
3297867,"August 30, 2025",Illinois,Chicago,3500 block of S State St,0,7,0,0,0,,41.830953195469,-87.626720750491,Match,"3500 S STATE ST, CHICAGO, IL, 60609",Cook,031,17,"Cook, 17"
3297573,"August 29, 2025",New York,Syracuse (Geddes),1002 State Fair Blvd,0,4,0,1,1,,43.09986494395,-76.24814643451,Match,"1002 STATE FAIR BLVD, SYRACUSE, NY, 13209",Onondaga,067,36,"Onondaga, 36"
3297408,"August 29, 2025",Florida,Fort Lauderdale,657 NW 9th St,0,4,0,0,0,,26.134905790926,-80.150500477056,Match,"657 NW 9TH ST, FORT LAUDERDALE, FL, 33311",Broward,011,12,"Broward, 12"
3294737,"August 27, 2025",Minnesota,Minneapolis,509 W 54th St,2,21,1,0,0,,44.905037512829,-93.285914588911,Match,"509 W 54TH ST, MINNEAPOLIS, MN, 55419",Hennepin,053,27,"Hennepin, 27"
3294361,"August 26, 2025",California,Los Angeles,8501 S Figueroa St,0,5,0,0,0,,33.961059860583,-118.282768393163,Match,"8501 S FIGUEROA ST, LOS ANGELES, CA, 90003",Los Angeles,037,06,"Los Angeles, 06"
3294369,"August 26, 2025",Minnesota,Minneapolis,E 29th St and Clinton Ave,1,6,0,0,0,,44.950060011129,-93.271559750897,Match,"E 29TH ST & CLINTON AVE S, MINNEAPOLIS, MN, 55408",Hennepin,053,27,"Hennepin, 27"
3292906,"August 24, 2025",Missouri,Kansas City,E 13th St and Grand Blvd,2,3,0,0,0,,39.098513016937,-94.580974565142,Match,"E 13TH ST & GRAND BLVD, KANSAS CITY, MO, 64106",Jackson,095,29,"Jackson, 29"
3293218,"August 24, 2025",Maryland,Hagerstown,11205 John F Kennedy Dr,0,4,0,0,0,,39.62260831575,-77.676829058686,Match,"11205 JOHN F KENNEDY DR, HAGERSTOWN, MD, 21742",Washington,043,24,"Washington, 24"
3292691,"August 23, 2025",New York,Bronx,Burke Ave and Wickham Ave,2,3,0,0,4,,40.87440970617,-73.840035094878,Match,"BURKE AVE & WICKHAM AVE, BRONX, NY, 10469",Bronx,005,36,"Bronx, 36"
3292026,"August 22, 2025",New York,Bronx,1401 Overing St,0,4,0,0,0,,40.839344897359,-73.843719693678,Match,"1401 OVERING ST, BRONX, NY, 10461",Bronx,005,36,"Bronx, 36"
3289583,"August 18, 2025",West Virginia,Mount Carbon,Adena Dr,1,3,1,0,0,,,,No_Match,,,,,
3288499,"August 17, 2025",Virginia,Richmond,1700 block of Clarkson Rd,1,3,0,0,0,,37.492238563196,-77.480396892984,Match,"1700 CLARKSON RD, RICHMOND, VA, 23224",Richmond,760,51,"Richmond, 51"
3288282,"August 17, 2025",New York,Brooklyn,903 Franklin Ave,1,11,2,0,0,,40.667920462352,-73.958883422697,Match,"903 FRANKLIN AVE, BROOKLYN, NY, 11225",Kings,047,36,"Kings, 36"
3290521,"August 17, 2025",Mississippi,Prentiss,84 Young Rd,1,4,0,0,5,,,,No_Match,,,,,
3290307,"August 16, 2025",Washington,Grandview,Apricot Rd and County Line Rd,0,5,0,0,0,,46.236450202495,-119.873334825097,Match,"APRICOT RD & S COUNTY LINE RD, GRANDVIEW, WA, 98930",Benton,005,53,"Benton, 53"
3288024,"August 16, 2025",Indiana,Indianapolis,3100 block of Brouse Ave,0,5,0,0,0,,,,No_Match,,,,,
3288736,"August 16, 2025",Michigan,Saginaw,S 23rd St and Perkins St,0,5,0,0,0,,43.421805679852,-83.906684718466,Match,"S 23RD ST & PERKINS ST, SAGINAW, MI, 48601",Saginaw,145,26,"Saginaw, 26"
3288301,"August 16, 2025",Illinois,Chicago,2400 block of W Jackson Blvd,0,4,0,0,0,,41.87759844535,-87.686963184468,Match,"2400 W JACKSON BLVD, CHICAGO, IL, 60612",Cook,031,17,"Cook, 17"
3284255,"August 11, 2025",Illinois,Chicago,700 block of E 43rd St,0,5,0,0,0,,41.816830451447,-87.609112384362,Match,"700 E 43RD ST, CHICAGO, IL, 60653",Cook,031,17,"Cook, 17"
3283186,"August 10, 2025",Illinois,Chicago,100 block of N La Crosse Ave,1,5,0,0,0,,41.883168008622,-87.746680058624,Match,"100 N LA CROSSE AVE, CHICAGO, IL, 60644",Cook,031,17,"Cook, 17"
3283977,"August 10, 2025",Mississippi,Jackson,357 N Mart Plaza,0,8,0,0,0,,32.3512117611,-90.174050908709,Match,"357 N MART PLZ, JACKSON, MS, 39206",Hinds,049,28,"Hinds, 28"
3283199,"August 10, 2025",Illinois,Chicago,4500 block of W Wilcox St,0,4,0,0,0,,41.878777447988,-87.737939170764,Match,"4500 W WILCOX ST, CHICAGO, IL, 60624",Cook,031,17,"Cook, 17"
3283060,"August 9, 2025",Maryland,Baltimore,5101 Queensbury Ave,1,5,0,0,0,,39.35003253733,-76.671808453868,Match,"5101 QUEENSBERRY AVE, BALTIMORE, MD, 21215",Baltimore,510,24,"Baltimore, 24"
3282825,"August 9, 2025",Texas,Midland,610 E Industrial Ave,0,4,0,0,1,,31.998698054611,-102.067300911083,Match,"610 E INDUSTRIAL AVE, MIDLAND, TX, 79701",Midland,329,48,"Midland, 48"
3281735,"August 7, 2025",Ohio,Cleveland,1900 block of N Taylor Rd,2,2,0,0,1,,41.537593491907,-81.570779898305,Match,"1900 N TAYLOR RD, CLEVELAND, OH, 44112",Cuyahoga,035,39,"Cuyahoga, 39"
3280275,"August 6, 2025",Georgia,Fort Stewart,594 Vanguard Rd,0,5,0,0,1,,,,No_Match,,,,,
3278590,"August 4, 2025",California,Los Angeles,E 14th Pl and Paloma St,2,6,0,0,0,,34.028608146954,-118.249750313712,Match,"E 14TH PL & PALOMA ST, LOS ANGELES, CA, 90021",Los Angeles,037,06,"Los Angeles, 06"
3278919,"August 3, 2025",Virginia,Virginia Beach,4900 block of Gulfstream Cir,0,4,0,0,0,,36.81655301411,-76.153590951147,Match,"4900 GULFSTREAM CIR, VIRGINIA BEACH, VA, 23464",Virginia Beach,810,51,"Virginia Beach, 51"
3278049,"August 3, 2025",Iowa,Iowa City,600 block of E Court St,0,4,0,0,2,,41.65664790494,-91.527206404856,Match,"600 E COURT ST, IOWA CITY, IA, 52240",Johnson,103,19,"Johnson, 19"
3278491,"August 2, 2025",Nebraska,Omaha,3501 N 30th St,0,6,0,1,1,,41.290573616774,-95.956479654132,Match,"3501 N 30TH ST, OMAHA, NE, 68111",Douglas,055,31,"Douglas, 31"
3277877,"August 2, 2025",Illinois,Harvey,14400 block of Des Plaines St,0,5,1,1,0,,41.627328415164,-87.639077777528,Match,"14400 DES PLAINES ST, HARVEY, IL, 60426",Cook,031,17,"Cook, 17"
3276908,"August 1, 2025",Montana,Anaconda,819 E 3rd St,4,0,0,0,1,,46.126508397094,-112.943095147152,Match,"819 E 3RD ST, ANACONDA, MT, 59711",Deer Lodge,023,30,"Deer Lodge, 30"
3276476,"July 30, 2025",Georgia,Atlanta,2479 Abner Terrace NW,0,4,0,0,0,,33.800970368396,-84.466914956396,Match,"2479 ABNER TER, ATLANTA, GA, 30318",Fulton,121,13,"Fulton, 13"
3275972,"July 30, 2025",Pennsylvania,Philadelphia,728 S 55th St,0,6,0,0,1,,39.949115515002,-75.233303554368,Match,"728 S 55TH ST, PHILADELPHIA, PA, 19143",Philadelphia,101,42,"Philadelphia, 42"
3276738,"July 29, 2025",Tennessee,Tiptonville,Carrington Rd,4,0,0,0,1,,,,No_Match,,,,,
3273804,"July 28, 2025",Michigan,Detroit,3344 Puritan Ave,2,2,0,0,1,,42.410065111211,-83.134693153753,Match,"3344 PURITAN ST, DETROIT, MI, 48238",Wayne,163,26,"Wayne, 26"
3273521,"July 28, 2025",Nevada,Reno,2500 E 2nd St,3,3,1,0,0,,39.527541410746,-119.778572731829,Match,"2500 E 2ND ST, RENO, NV, 89502",Washoe,031,32,"Washoe, 32"
3273423,"July 28, 2025",Georgia,Atlanta,349 Edgewood Ave,1,10,0,0,1,,,,Tie,,,,,
3273958,"July 28, 2025",New York,New York (Manhattan),345 Park Ave,4,2,1,0,0,,,,Tie,,,,,
3273415,"July 27, 2025",Illinois,Chicago,W Flournoy St and S Springfield Ave,0,4,0,0,1,,41.872573152516,-87.722949223311,Match,"W FLOURNOY ST & S SPRINGFIELD AVE, CHICAGO, IL, 60624",Cook,031,17,"Cook, 17"
3273353,"July 27, 2025",Indiana,Indianapolis,3900 block of Hornickel Dr,0,5,0,0,0,,39.828756924608,-85.960863045092,Match,"3900 HORNICKEL DR, INDIANAPOLIS, IN, 46235",Marion,097,18,"Marion, 18"
3273527,"July 27, 2025",Colorado,Denver,20th St and Market St,0,4,0,0,1,,39.753650579289,-104.993418389007,Match,"20TH ST & MARKET ST, DENVER, CO, 80202",Denver,031,08,"Denver, 08"
3274001,"July 27, 2025",Michigan,Flint,3241 Industrial Ave,1,4,0,0,0,,43.044960661529,-83.687339423354,Match,"3241 INDUSTRIAL AVE, FLINT, MI, 48505",Genesee,049,26,"Genesee, 26"
3272738,"July 27, 2025",Illinois,Mount Vernon,600 block of S 15th St,2,5,0,0,3,,38.310928726683,-88.908769964219,Match,"600 S 15TH ST, MOUNT VERNON, IL, 62864",Jefferson,081,17,"Jefferson, 17"
3272694,"July 26, 2025",Pennsylvania,Philadelphia,1900 block of W Hunting Park Ave,2,2,0,0,1,,40.01359801207,-75.158716257566,Match,"1900 W HUNTING PARK AVE, PHILADELPHIA, PA, 19140",Philadelphia,101,42,"Philadelphia, 42"
3273390,"July 26, 2025",Mississippi,Yazoo City,Leach St,0,4,0,0,0,,,,No_Match,,,,,
3271342,"July 24, 2025",Georgia,Atlanta,279 Oak Dr,1,5,0,0,0,,33.634878987996,-84.397387027522,Match,"279 OAK DR, ATLANTA, GA, 30354",Clayton,063,13,"Clayton, 13"
3271477,"July 24, 2025",Pennsylvania,Philadelphia,2300 block of N Lambert St,0,4,0,0,0,,39.989325672365,-75.166687543615,Match,"2300 N LAMBERT ST, PHILADELPHIA, PA, 19132",Philadelphia,101,42,"Philadelphia, 42"
3269743,"July 23, 2025",California,Needles,1900 block of Erin Dr,1,3,0,0,0,,,,No_Match,,,,,
3267641,"July 20, 2025",Mississippi,Waynesboro,Turner St and Grey St,0,5,0,0,0,,31.677258165388,-88.652474197438,Match,"TURNER ST & GRAY ST, WAYNESBORO, MS, 39367",Wayne,153,28,"Wayne, 28"
3266723,"July 20, 2025",Illinois,Chicago,4935 W Ferdinand St,0,4,0,0,0,,41.889478503317,-87.748937282554,Match,"4935 W FERDINAND ST, CHICAGO, IL, 60644",Cook,031,17,"Cook, 17"
3266713,"July 19, 2025",Tennessee,Cordova,71 Fern Glade Cove,1,4,0,0,0,,35.122326038676,-89.755100954704,Match,"71 FERN GLADE COVE, CORDOVA, TN, 38018",Shelby,157,47,"Shelby, 47"
3266988,"July 19, 2025",Arkansas,Little Rock,1800 Broadway St,0,4,0,0,1,,34.732034439492,-92.278481242592,Match,"1800 BROADWAY ST, LITTLE ROCK, AR, 72206",Pulaski,119,05,"Pulaski, 05"
