County_Name,State_FIPS,Total_Incidents,Total_Victims_Killed,Total_Victims_Injured,Total_Suspects_Killed,Total_Suspects_Injured
Kings,6.0,29996,29996,0,0.0,0.0
Bell,48.0,14792,14790,14,0.0,0.0
Delaware,36.0,10052,10052,0,0.0,0.0
Tulare,6.0,9364,9372,18,0.0,0.0
McLean,17.0,6604,6604,0,0.0,0.0
Avoyelles,22.0,5129,5131,4,0.0,0.0
Randolph,37.0,5065,5063,8,0.0,0.0
Gratiot,26.0,5062,5062,0,0.0,0.0
Maricopa,4.0,4758,4762,295,6.0,2.0
Perry,42.0,4314,4314,0,0.0,0.0
Coryell,48.0,4213,4213,0,0.0,0.0
De Witt,17.0,3328,3328,0,0.0,0.0
Williamson,48.0,3077,3080,6,0.0,0.0
Nye,32.0,2950,2950,0,0.0,0.0
Jones,13.0,2909,2909,0,0.0,0.0
Snyder,42.0,2710,2710,0,0.0,0.0
Anne Arundel,24.0,2652,2657,26,0.0,0.0
Prince George's,24.0,2549,2539,86,0.0,0.0
Juniata,42.0,2513,2513,0,0.0,0.0
Richland,45.0,2414,2414,69,0.0,0.0
Concordia,22.0,2398,2398,0,0.0,0.0
King,53.0,2309,2311,171,0.0,2.0
Cole,29.0,2297,2295,8,0.0,0.0
Morrow,39.0,2238,2238,0,0.0,0.0
Williamson,47.0,2196,2196,0,0.0,0.0
Lincoln,40.0,2095,2095,0,0.0,0.0
Gila,4.0,2033,2033,0,0.0,0.0
Rutherford,47.0,1883,1883,16,0.0,0.0
Marion,18.0,1820,1822,318,0.0,2.0
Miller,29.0,1788,1788,0,0.0,0.0
Midland,26.0,1786,1786,0,0.0,0.0
Jasper,13.0,1628,1628,0,0.0,0.0
Delaware,39.0,1620,1620,0,0.0,0.0
Monroe,13.0,1615,1615,0,0.0,0.0
Howard,24.0,1610,1614,2,2.0,0.0
Bibb,13.0,1580,1600,72,0.0,0.0
Chilton,1.0,1552,1552,0,0.0,0.0
Montgomery,37.0,1518,1518,0,0.0,0.0
Fluvanna,51.0,1493,1493,0,0.0,0.0
Saginaw,26.0,1476,1479,65,0.0,0.0
Middlesex,34.0,1450,1450,26,0.0,0.0
Sullivan,36.0,1410,1410,0,0.0,0.0
Pulaski,5.0,1373,1366,78,0.0,2.0
Clinton,26.0,1348,1348,0,0.0,0.0
Louisa,51.0,1347,1347,0,0.0,0.0
Lexington,45.0,1331,1329,18,0.0,0.0
Montgomery,24.0,1287,1285,22,0.0,0.0
Baltimore,24.0,1242,1201,635,2.0,2.0
Bedford,47.0,1229,1229,0,0.0,0.0
Knox,39.0,1209,1209,0,0.0,0.0
Isabella,26.0,1181,1181,0,0.0,0.0
Hendricks,18.0,1181,1183,4,0.0,0.0
Boone,18.0,1179,1179,0,0.0,0.0
Licking,39.0,1171,1171,0,0.0,0.0
Calhoun,45.0,1166,1170,2,2.0,0.0
Faulkner,5.0,1157,1158,35,0.0,0.0
Portage,55.0,1155,1155,0,0.0,0.0
Park,8.0,1140,1140,0,0.0,0.0
Torrance,35.0,1131,1131,0,0.0,0.0
Hamilton,18.0,1091,1091,0,0.0,0.0
Moore,37.0,1075,1075,8,0.0,0.0
Logan,17.0,1072,1072,0,0.0,0.0
Mifflin,42.0,1068,1068,0,0.0,0.0
Catahoula,22.0,1064,1064,0,0.0,0.0
Leake,28.0,1062,1062,0,0.0,0.0
Fresno,6.0,1051,1065,68,0.0,2.0
Moniteau,29.0,1033,1033,0,0.0,0.0
Marshall,47.0,977,977,0,0.0,0.0
Maury,47.0,957,957,0,0.0,0.0
Cumberland,51.0,937,937,0,0.0,0.0
Callaway,29.0,929,927,8,0.0,0.0
Goochland,51.0,927,927,0,0.0,0.0
Putnam,13.0,913,913,0,0.0,0.0
Mercer,34.0,910,904,71,0.0,0.0
Worcester,25.0,893,891,20,0.0,0.0
Buckingham,51.0,884,884,0,0.0,0.0
Monmouth,34.0,875,875,0,0.0,0.0
McLennan,48.0,855,861,8,0.0,2.0
Teller,8.0,848,848,0,0.0,0.0
Pottawatomie,40.0,819,819,0,0.0,0.0
Somerset,34.0,798,798,0,0.0,0.0
Powhatan,51.0,795,795,0,0.0,0.0
Utah,49.0,791,789,10,0.0,10.0
Ocean,34.0,744,744,0,0.0,0.0
Autauga,1.0,737,737,6,0.0,0.0
Osage,29.0,721,721,0,0.0,0.0
Adams,55.0,721,721,0,0.0,0.0
Madison,28.0,699,703,8,0.0,0.0
Burlington,34.0,692,692,0,0.0,0.0
Capitol,9.0,681,674,61,0.0,2.0
Kittitas,53.0,679,679,0,0.0,0.0
Orangeburg,45.0,655,656,37,0.0,0.0
Dauphin,42.0,639,633,24,0.0,0.0
District of Columbia,11.0,634,602,549,2.0,2.0
Middlesex,25.0,634,632,10,0.0,0.0
Pointe Coupee,22.0,622,622,0,0.0,0.0
Twiggs,13.0,622,622,0,0.0,0.0
Maries,29.0,606,606,0,0.0,0.0
Lincoln,21.0,605,605,0,0.0,0.0
Marion,39.0,595,595,0,0.0,0.0
Otsego,36.0,591,591,0,0.0,0.0
Polk,12.0,576,586,30,2.0,2.0
Deschutes,41.0,572,572,0,0.0,0.0
Waushara,55.0,568,568,0,0.0,0.0
Bibb,1.0,559,567,0,0.0,0.0
