Unnamed: 0,year,month,region,state,victim_age,victim_sex,victim_race,victim_race_plus_hispanic,victim_ethnicity,weapon_used,victim_offender_split,offenders_relationship_to_victim,offenders_relationship_to_victim_grouping,offender_sex,circumstance,circumstance_grouping,extra_circumstance_info,multiple_victim_count,incident_id,additional_victim,Latitude,Longitude,Coordinate_Source
223775,2003,3,Southeast,AL,25,Male,Black,Black,Unknown,shotgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301579,False,32.880453,-86.582989,State_Centroid
223776,2003,8,Southeast,AL,69,Male,White (includes Mexican-Americans),White,Unknown,handgun,Single Victim/Single Offender,father,Within Family,Female,Other Arguments,Other Than Felony Type,,0,301580,False,32.863038,-86.79182,State_Centroid
223777,2003,8,Southeast,AL,18,Male,Black,Black,Unknown,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301581,False,32.510491,-86.62291,State_Centroid
223778,2003,1,Southeast,AL,53,Female,Black,Black,Unknown,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301583,False,32.604182,-86.89683,State_Centroid
223779,2003,1,Southeast,AL,,Male,Black,Black,Unknown,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301585,False,32.684488,-86.768808,State_Centroid
223780,2003,1,Southeast,AL,31,Male,Black,Black,Unknown,handgun,Single Victim/Single Offender,friend,Outside Family But Known to Victim,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301588,False,33.004311,-87.024955,State_Centroid
223781,2003,2,Southeast,AL,18,Male,Unknown,Unknown,Unknown,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301591,False,32.719714,-86.725212,State_Centroid
223782,2003,2,Southeast,AL,19,Male,Black,Black,Unknown,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301592,False,32.842941,-86.554891,State_Centroid
223783,2003,2,Southeast,AL,39,Male,Black,Black,Unknown,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301593,False,32.556269,-86.94248,State_Centroid
223784,2003,2,Southeast,AL,30,Female,Black,Black,Unknown,handgun,Single Victim/Single Offender,friend,Outside Family But Known to Victim,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301594,False,32.811767,-86.745078,State_Centroid
223785,2003,2,Southeast,AL,49,Male,Black,Black,Unknown,handgun,Single Victim/Single Offender,friend,Outside Family But Known to Victim,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301595,False,33.024246,-86.66271,State_Centroid
223786,2003,3,Southeast,AL,34,Male,Black,Black,Unknown,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301596,False,32.804364,-87.064559,State_Centroid
223787,2003,3,Southeast,AL,18,Male,Black,Black,Unknown,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301597,False,32.783866,-86.679664,State_Centroid
223788,2003,3,Southeast,AL,27,Male,Black,Black,Unknown,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301598,False,32.558529,-86.58511,State_Centroid
223789,2003,3,Southeast,AL,23,Male,Black,Black,Unknown,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301599,False,33.000542,-86.732632,State_Centroid
223790,2003,4,Southeast,AL,55,Male,Black,Black,Unknown,handgun,Single Victim/Single Offender,stepfather,Within Family,Male,Other Arguments,Other Than Felony Type,,0,301602,False,32.977011,-86.569775,State_Centroid
223791,2003,4,Southeast,AL,2,Female,Black,Black,Unknown,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Other Arguments,Other Than Felony Type,,0,301603,False,32.689239,-86.504335,State_Centroid
223792,2003,5,Southeast,AL,31,Male,Black,Black,Unknown,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301605,False,32.914614,-86.835073,State_Centroid
223793,2003,5,Southeast,AL,30,Male,Black,Black,Unknown,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301606,False,32.963464,-87.05324,State_Centroid
223794,2003,5,Southeast,AL,63,Female,Black,Black,Unknown,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Female,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301607,False,32.637624,-86.662286,State_Centroid
223795,2003,5,Southeast,AL,20,Female,Black,Black,Unknown,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301608,False,32.942098,-87.008076,State_Centroid
223796,2003,6,Southeast,AL,37,Male,Black,Black,Unknown,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301612,False,33.060479,-86.837319,State_Centroid
223797,2003,6,Southeast,AL,35,Male,Black,Black,Unknown,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301613,False,32.758255,-86.802431,State_Centroid
223798,2003,6,Southeast,AL,26,Male,Black,Black,Unknown,handgun,Single Victim/Single Offender,boyfriend,Outside Family But Known to Victim,Female,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301614,False,32.567712,-87.071485,State_Centroid
223799,2003,7,Southeast,AL,31,Male,Black,Black,Unknown,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301617,False,32.908869,-86.504955,State_Centroid
223800,2003,7,Southeast,AL,40,Male,Black,Black,Unknown,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301619,False,32.629609,-86.611377,State_Centroid
223801,2003,7,Southeast,AL,31,Male,Black,Black,Unknown,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301620,False,32.756688,-86.81553,State_Centroid
223802,2003,7,Southeast,AL,24,Male,Black,Black,Unknown,handgun,Single Victim/Single Offender,acquaintance,Outside Family But Known to Victim,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301622,False,33.043424,-86.771657,State_Centroid
223803,2003,7,Southeast,AL,23,Male,Black,Black,Unknown,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301623,False,32.763833,-86.832526,State_Centroid
223804,2003,7,Southeast,AL,26,Male,Black,Black,Unknown,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301624,False,32.609567,-86.884651,State_Centroid
223805,2003,7,Southeast,AL,24,Male,Black,Black,Unknown,handgun,Single Victim/Single Offender,acquaintance,Outside Family But Known to Victim,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301625,False,33.05895,-86.598619,State_Centroid
223806,2003,7,Southeast,AL,54,Male,Black,Black,Unknown,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301626,False,32.779922,-87.005592,State_Centroid
223807,2003,7,Southeast,AL,18,Male,Unknown,Unknown,Unknown,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301627,False,32.776307,-86.767384,State_Centroid
223808,2003,7,Southeast,AL,40,Male,Unknown,Unknown,Unknown,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301628,False,32.570578,-87.015255,State_Centroid
223809,2003,7,Southeast,AL,21,Male,Black,Black,Unknown,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Unknown,Other Arguments,Other Than Felony Type,,0,301629,False,32.819929,-86.738446,State_Centroid
223810,2003,7,Southeast,AL,32,Male,Black,Black,Unknown,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301630,False,32.618023,-86.727821,State_Centroid
223811,2003,8,Southeast,AL,21,Male,Black,Black,Unknown,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,301631,False,32.671486,-86.550082,State_Centroid
