Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Coordinate_Display,Google_Maps_Link,Latitude,Longitude,Geocoding Match,Matched Address,County_Name,County_FIPS,State_FIPS,County_State
1582816,"December 29, 2019",Illinois,Danville,1803 block of Westview Ave,0,5,0,0,0,,"40.155465, -87.614728","https://www.google.com/maps?q=40.155465321121,-87.614728005787",40.155465321121,-87.614728005787,Match,"1803 WESTVIEW AVE, DANVILLE, IL, 61832",Vermilion,183,17,"Vermilion, 17"
1582197,"December 29, 2019",New York,Buffalo,50 block of Henrietta Ave,1,3,0,0,0,,50 block of Henrietta Ave,,,,Tie,,,,,
1583444,"December 29, 2019",California,Ceres,800 block of Allacante Dr,0,5,0,0,0,,"37.590922, -120.981713","https://www.google.com/maps?q=37.590921671766,-120.981712717953",37.590921671766,-120.981712717953,Match,"800 ALLACANTE DR, CERES, CA, 95307",Stanislaus,099,06,"Stanislaus, 06"
1581590,"December 27, 2019",California,Modesto,1900 block of Vernon Ave,1,3,0,0,0,,"37.614454, -121.027952","https://www.google.com/maps?q=37.614454279126,-121.027951674515",37.614454279126,-121.027951674515,Match,"1900 VERNON AVE, MODESTO, CA, 95351",Stanislaus,099,06,"Stanislaus, 06"
1581103,"December 27, 2019",Texas,Houston,500 block of Smart St,2,7,0,0,4,,500 block of Smart St,,,,No_Match,,,,,
1581476,"December 27, 2019",Georgia,Kennesaw,1575 Ridenour Pkwy NW,0,4,0,0,0,,"33.991212, -84.587627","https://www.google.com/maps?q=33.991211754625,-84.587626830526",33.991211754625,-84.587626830526,Match,"1575 RIDENOUR PKWY, KENNESAW, GA, 30152",Cobb,067,13,"Cobb, 13"
1580308,"December 26, 2019",Florida,Saint Petersburg,4300 6th St S,0,5,0,0,0,,"27.729644, -82.640627","https://www.google.com/maps?q=27.72964391612,-82.640626920577",27.72964391612,-82.640626920577,Match,"4300 6TH ST S, SAINT PETERSBURG, FL, 33705",Pinellas,103,12,"Pinellas, 12"
1579889,"December 25, 2019",California,Oakland,2100 block of 34th Ave,0,4,0,0,0,,"37.783700, -122.219660","https://www.google.com/maps?q=37.78369955309,-122.219659552533",37.78369955309,-122.219659552533,Match,"2100 34TH AVE, OAKLAND, CA, 94601",Alameda,001,06,"Alameda, 06"
1579970,"December 25, 2019",Iowa,Coralville,954 Boston Way,1,3,0,0,2,,"41.687750, -91.599423","https://www.google.com/maps?q=41.687749513011,-91.599423272461",41.687749513011,-91.599423272461,Match,"954 BOSTON WAY, CORALVILLE, IA, 52241",Johnson,103,19,"Johnson, 19"
1579856,"December 25, 2019",Virginia,Richmond,1800 E Main St,1,3,0,0,0,,"37.532920, -77.427540","https://www.google.com/maps?q=37.53291962863,-77.427539952547",37.53291962863,-77.427539952547,Match,"1800 E MAIN ST, RICHMOND, VA, 23223",Richmond,760,51,"Richmond, 51"
1579266,"December 24, 2019",Louisiana,New Orleans,6400 block of General Meyer Ave,0,4,0,0,0,,"29.924110, -89.984952","https://www.google.com/maps?q=29.924109818314,-89.984951697767",29.924109818314,-89.984951697767,Match,"6400 GENERAL MEYER AVE, NEW ORLEANS, LA, 70131",Orleans,071,22,"Orleans, 22"
1594317,"December 24, 2019",Illinois,Joliet,1200 block of Cutter Ave,0,5,0,0,0,,"41.546400, -88.053278","https://www.google.com/maps?q=41.54639984661,-88.053277914007",41.54639984661,-88.053277914007,Match,"1200 CUTTER AVE, JOLIET, IL, 60432",Will,197,17,"Will, 17"
1579220,"December 24, 2019",North Carolina,High Point,1226 Montlieu Ave,0,6,0,0,0,,1226 Montlieu Ave,,,,No_Match,,,,,
1577577,"December 22, 2019",Maryland,Baltimore,225 Park Ave,0,7,0,0,0,,"39.292488, -76.618040","https://www.google.com/maps?q=39.292487559521,-76.618040163054",39.292487559521,-76.618040163054,Match,"225 PARK AVE, BALTIMORE, MD, 21201",Baltimore,510,24,"Baltimore, 24"
