"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3106715,"December 31, 2024",California,Oakland,"200 block of Second St",1,3,0,0,0,N/A
3107076,"December 31, 2024",Mississippi,Natchez,"Finger Ln and Lower Woodville Rd",1,5,0,0,1,N/A
3105091,"December 30, 2024","New York",Bronx,"3544 White Plains Rd",0,6,0,0,0,N/A
3105154,"December 30, 2024","New York",Rochester,"100 block of Hollenbeck St",0,4,0,0,0,N/A
3103855,"December 28, 2024","West Virginia",Grantsville,"5957 Pine Creek Rd",2,2,0,0,1,N/A
3104385,"December 28, 2024",California,"Signal Hill","1005 E Burnett St",1,6,0,0,0,N/A
3103407,"December 28, 2024",Louisiana,Vacherie,"5877 LA-18",0,7,0,0,0,N/A
3102259,"December 26, 2024",Georgia,Macon,"1085 Triple Hill Dr",1,6,0,0,0,N/A
3101897,"December 25, 2024",Indiana,Indianapolis,"6402 Meadowlark Dr",1,5,0,0,1,N/A
3102234,"December 25, 2024",Florida,"Homestead (Naranja)","26510 SW 138th Ct",0,4,0,0,1,N/A
3100115,"December 22, 2024",Georgia,Savannah,"2505 Bull St",0,5,0,0,0,N/A
3099823,"December 21, 2024",Kentucky,Louisville,"2200 block of Garland Ave",2,3,0,0,1,N/A
3096143,"December 17, 2024",Maryland,Towson,"8521 Loch Raven Blvd",1,8,0,0,0,N/A
3094796,"December 16, 2024",Wisconsin,Madison,"4901 E Buckeye Rd",2,6,1,0,0,N/A
3094534,"December 15, 2024",Louisiana,"New Orleans","6100 Franklin Ave",2,2,0,0,0,N/A
3094383,"December 15, 2024",Pennsylvania,Philadelphia,"400 block of E Wyoming Ave",1,4,0,0,1,N/A
3094496,"December 14, 2024",Texas,Houston,"10126 Jensen Dr",2,4,0,0,0,N/A
3096566,"December 14, 2024",Utah,"Salt Lake City (West Valley City)","3761 S Oxford Way",4,1,1,0,0,N/A
3094239,"December 14, 2024","New Mexico",Belen,"5 Cam Escondido",4,0,0,0,1,N/A
