title,link,published,summary,content,source
‘Enough is enough’: West Oahu residents call for end to gun violence following teen’s death - Hawaii News Now,https://news.google.com/rss/articles/CBMivwFBVV95cUxQVHJEa1MwcDRkNUU4MXhsS09LZC1lTExiU2ZFSDB5aFFhM0x6aUpfRzFucjlmSHpmYmc4eTBiVFgzOGZNd0VwYmxtc2t3eE5fNFJOdVpTWkMtYVhzUGdRQjU5NTk4aVhMNHZtaXF4RTFNdHFROUpRLUU0TkRfd2J6cEJnTWZ3Y09EaV9zbldpbGtCdmtrbzZpNkgzakZNTktHblNDWklLM1JpMWFldzhQeWR0YXRISFJ0LXh2OFB1QdIB0wFBVV95cUxPMDVUS3hSRjYwaHEwem96RTNXMUtGWTJKRjNJc1RSczhrakV5WVloVnBqMUwtYmFZS21Qd0cxcDBCWUtfOUdqcnlfMkd1MFlZWE1fYlRGVXJWV0daOWZUR1lwN09DY1VvT0NSY0FocUtLWDJJTm1OaGdvWVM3VU9FRVQ0MndFTHBTMXdqU2dLSXFfOGV3SHdGOV9yNmx3NG1IakpweEU0ZzlDb3o3NTZteE5yZkxsa3Y0RFNWazJUeURyckJ3bURtbHpXZ1M5YWV5TkNr?oc=5,"Sat, 13 Sep 2025 05:48:00 GMT","<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxQVHJEa1MwcDRkNUU4MXhsS09LZC1lTExiU2ZFSDB5aFFhM0x6aUpfRzFucjlmSHpmYmc4eTBiVFgzOGZNd0VwYmxtc2t3eE5fNFJOdVpTWkMtYVhzUGdRQjU5NTk4aVhMNHZtaXF4RTFNdHFROUpRLUU0TkRfd2J6cEJnTWZ3Y09EaV9zbldpbGtCdmtrbzZpNkgzakZNTktHblNDWklLM1JpMWFldzhQeWR0YXRISFJ0LXh2OFB1QdIB0wFBVV95cUxPMDVUS3hSRjYwaHEwem96RTNXMUtGWTJKRjNJc1RSczhrakV5WVloVnBqMUwtYmFZS21Qd0cxcDBCWUtfOUdqcnlfMkd1MFlZWE1fYlRGVXJWV0daOWZUR1lwN09DY1VvT0NSY0FocUtLWDJJTm1OaGdvWVM3VU9FRVQ0MndFTHBTMXdqU2dLSXFfOGV3SHdGOV9yNmx3NG1IakpweEU0ZzlDb3o3NTZteE5yZkxsa3Y0RFNWazJUeURyckJ3bURtbHpXZ1M5YWV5TkNr?oc=5"" target=""_blank"">‘Enough is enough’: West Oahu residents call for end to gun violence following teen’s death</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hawaii News Now</font>",,RSS Feed
"More Guns, More Gun Violence in Hawai‘i - Hawaii Business Magazine",https://news.google.com/rss/articles/CBMieEFVX3lxTE1JUHYzbXNCZUxEbFoyUmVuLWRCUFhMQmh0bkRSTHpNQXNWYlhDbU0zSlVrQklHZmpjc2c2RTJIenhYOWIydnJlMC1nTDNkX1pZZjVTMmhsVWc2Tmh6QUFWNHVmTGFCZ3VWYVRuNjlBT1puT1JDdEJzcw?oc=5,"Thu, 06 Feb 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTE1JUHYzbXNCZUxEbFoyUmVuLWRCUFhMQmh0bkRSTHpNQXNWYlhDbU0zSlVrQklHZmpjc2c2RTJIenhYOWIydnJlMC1nTDNkX1pZZjVTMmhsVWc2Tmh6QUFWNHVmTGFCZ3VWYVRuNjlBT1puT1JDdEJzcw?oc=5"" target=""_blank"">More Guns, More Gun Violence in Hawai‘i</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hawaii Business Magazine</font>",,RSS Feed
How many people die from gun-related injuries in Hawaii each year? - usafacts.org,https://news.google.com/rss/articles/CBMirgFBVV95cUxNSTFUV1I1Qjcwal9GczFxSkREcTN5cHExWnl1ZnA3d29Iczh2WUVIWF9JREZncnFWTEc3dEpSSEdEakZPODI2QnFMZWNQU1k2SVVnNjNfaG5Lb3lKRkY3NFNBTlZNZ0djZlNpT09SRkhXRV92T3ExSV9QZFF1ekZOOVdzUjE2dHhTUWxUVkp4RVVmS3pzYTFJX25malZVUGdQQnd4M3RzN3ZQODVET3c?oc=5,"Sat, 14 Dec 2024 03:39:31 GMT","<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxNSTFUV1I1Qjcwal9GczFxSkREcTN5cHExWnl1ZnA3d29Iczh2WUVIWF9JREZncnFWTEc3dEpSSEdEakZPODI2QnFMZWNQU1k2SVVnNjNfaG5Lb3lKRkY3NFNBTlZNZ0djZlNpT09SRkhXRV92T3ExSV9QZFF1ekZOOVdzUjE2dHhTUWxUVkp4RVVmS3pzYTFJX25malZVUGdQQnd4M3RzN3ZQODVET3c?oc=5"" target=""_blank"">How many people die from gun-related injuries in Hawaii each year?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">usafacts.org</font>",,RSS Feed
Assault rifle ban heading to full legislative votes - Hawaii News Now,https://news.google.com/rss/articles/CBMilAFBVV95cUxQR1dXWDhBd3UxdDFUS1ZpX1RGLWNaYTR3Vi1rcHBLRV9FclhaS0JjNC1DdVQ4NDFSOTlfLVVVVjRPRUNfUXNBSVBhMmY5RjBQTmRTQlQ1MzRmd2xyV1lnbjRPMWZuRm5wYktXZGpqUkFLc2E5WWxSWUVaam5yVE1aelZOazdhajFJSHZlWndBQjVoRlNO0gGoAUFVX3lxTFBoSFYwRkp2MFNFbG9aVVVlcjl4N1Q1UFVmRUg5OFZfNEtwYk9IeGhLcEo3R0UtUGQ0X0xHSFFmNVV1Nk1INm5fNjBfeDNPRW11NE82LTI1QWUzY3lFQk1zeXk1Nkw5bi1yRHdGS0luQkJ6ZDl6ZUZLZmhHS1UwS1dVeTNaT1pLV1lidzZSbGI3UkdRRVU0eGJRLUJJRk80eXJFVUNpZ0ZzNQ?oc=5,"Fri, 25 Apr 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxQR1dXWDhBd3UxdDFUS1ZpX1RGLWNaYTR3Vi1rcHBLRV9FclhaS0JjNC1DdVQ4NDFSOTlfLVVVVjRPRUNfUXNBSVBhMmY5RjBQTmRTQlQ1MzRmd2xyV1lnbjRPMWZuRm5wYktXZGpqUkFLc2E5WWxSWUVaam5yVE1aelZOazdhajFJSHZlWndBQjVoRlNO0gGoAUFVX3lxTFBoSFYwRkp2MFNFbG9aVVVlcjl4N1Q1UFVmRUg5OFZfNEtwYk9IeGhLcEo3R0UtUGQ0X0xHSFFmNVV1Nk1INm5fNjBfeDNPRW11NE82LTI1QWUzY3lFQk1zeXk1Nkw5bi1yRHdGS0luQkJ6ZDl6ZUZLZmhHS1UwS1dVeTNaT1pLV1lidzZSbGI3UkdRRVU0eGJRLUJJRk80eXJFVUNpZ0ZzNQ?oc=5"" target=""_blank"">Assault rifle ban heading to full legislative votes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hawaii News Now</font>",,RSS Feed
Hawaii legislative committee advances gun control measures - Courthouse News Service,https://news.google.com/rss/articles/CBMilAFBVV95cUxNbWlIUTJOaEpwcUwtZkIyM1huSmo1alVrTm9RUEMwZXByclNmZVRMRm5TU2RfVENIRWV2dHVjQ2Q5WERRTUtZdDBRekRwREpYX1Z5NnJVdGVyb2l5U0I3Wjc2UWFyNjFRVzZRc0l0SzZ1d0N3ZW1iZ283OWthMkh3OGxMTG53aDFHeFpnbVFJdTRNODFL?oc=5,"Wed, 19 Mar 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxNbWlIUTJOaEpwcUwtZkIyM1huSmo1alVrTm9RUEMwZXByclNmZVRMRm5TU2RfVENIRWV2dHVjQ2Q5WERRTUtZdDBRekRwREpYX1Z5NnJVdGVyb2l5U0I3Wjc2UWFyNjFRVzZRc0l0SzZ1d0N3ZW1iZ283OWthMkh3OGxMTG53aDFHeFpnbVFJdTRNODFL?oc=5"" target=""_blank"">Hawaii legislative committee advances gun control measures</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Courthouse News Service</font>",,RSS Feed
US Supreme Court avoids Hawaii legal fight over gun rights - Reuters,https://news.google.com/rss/articles/CBMiogFBVV95cUxQamw1Y1FnQTVPemdlejRDVDJzOW5OQTZjYm9Wc2hZYVFtamNkbVJpVTNPN0tNYXRvTHYzREZvOXFEa1V5alRnQnpkNE5iMENybXpDaTFDWmhuMWxnRUQxVE8ySm0tUEhSQmNlU0J2T0VYVVRLM19SdE1qMVJyYjQyU1E4Yi1TMy1wT1NSQVF1VWVIRmxrZ093Z2FodkpYMmZydXc?oc=5,"Mon, 09 Dec 2024 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxQamw1Y1FnQTVPemdlejRDVDJzOW5OQTZjYm9Wc2hZYVFtamNkbVJpVTNPN0tNYXRvTHYzREZvOXFEa1V5alRnQnpkNE5iMENybXpDaTFDWmhuMWxnRUQxVE8ySm0tUEhSQmNlU0J2T0VYVVRLM19SdE1qMVJyYjQyU1E4Yi1TMy1wT1NSQVF1VWVIRmxrZ093Z2FodkpYMmZydXc?oc=5"" target=""_blank"">US Supreme Court avoids Hawaii legal fight over gun rights</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",,RSS Feed
Former Hawaii residents in Utah ‘horrified’ by Charlie Kirk’s deadly shooting - Hawaii News Now,https://news.google.com/rss/articles/CBMisgFBVV95cUxQS0QxVElLNkdQVDh3TVVtckl4aHBtbWU5Z3RtSDJpY09uVGVEYWFMNEY5cHMtTzR4M0swdHg1RDQtd3ZGekRrQk5RZmMwbjFKUHE4T0RGWEpQdFAtM0NZaVFUNms5MGkwQjdGaXVGcC1NaDJ6dFB6cUotRy15Nl9nb0pDRmdGTmNoR1JDSnl3RWNYdk5ZXzJBcUowbWFPeU1uQlUxdkRqX2dSdHFONmdONDF30gHGAUFVX3lxTFBDUWRFX1RCeUlkdWxWRjVub0lhaUF5eVQ0UXNNb2t5U25wS0JIM2RYeUNTZnRPWTJlSVlUeGprLWtKRTBxVzEtZ19rUjFNeVlldkx5WEZ2b1JudGlBX05DNnZzSHY5elBwNEJjejZhRHBxTzNRcUNqaWhUSGxqaUhTdncwdkNaLWh3TGNIV0RsVnB3MndvNnZVMl93OE1MMXp4UEZCbkdON2IyYkZlVm9hZGtTVnFKREF1dENpcFZ1bjluRGotZw?oc=5,"Thu, 11 Sep 2025 03:32:00 GMT","<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxQS0QxVElLNkdQVDh3TVVtckl4aHBtbWU5Z3RtSDJpY09uVGVEYWFMNEY5cHMtTzR4M0swdHg1RDQtd3ZGekRrQk5RZmMwbjFKUHE4T0RGWEpQdFAtM0NZaVFUNms5MGkwQjdGaXVGcC1NaDJ6dFB6cUotRy15Nl9nb0pDRmdGTmNoR1JDSnl3RWNYdk5ZXzJBcUowbWFPeU1uQlUxdkRqX2dSdHFONmdONDF30gHGAUFVX3lxTFBDUWRFX1RCeUlkdWxWRjVub0lhaUF5eVQ0UXNNb2t5U25wS0JIM2RYeUNTZnRPWTJlSVlUeGprLWtKRTBxVzEtZ19rUjFNeVlldkx5WEZ2b1JudGlBX05DNnZzSHY5elBwNEJjejZhRHBxTzNRcUNqaWhUSGxqaUhTdncwdkNaLWh3TGNIV0RsVnB3MndvNnZVMl93OE1MMXp4UEZCbkdON2IyYkZlVm9hZGtTVnFKREF1dENpcFZ1bjluRGotZw?oc=5"" target=""_blank"">Former Hawaii residents in Utah ‘horrified’ by Charlie Kirk’s deadly shooting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hawaii News Now</font>",,RSS Feed
Second suspect in Nanakuli shooting pleads not guilty - Hawaii News Now,https://news.google.com/rss/articles/CBMipwFBVV95cUxQQ1lVS2cxSkpIaGk4RXZHcmlWQkdfaFhucWFydEJsWXBwcjNmd0psTy1LR3R0c0pzTldVY0JiVmpVbG55c2UzdFNrNmxOT2RXcmFhNkhueklBMUt3LVZkUmYzbGxNWFlONkNPbTQ1SElpbVJCRzhvRE12dEpnQ2h4bGtmbUJCZDhIMV9qOHFhcHh0bnVvMkhKdEpsWlQ4eGJGTWptSXd0WdIBuwFBVV95cUxQNkp6QUtLcHBKeW0yZDVFcXpaOHkydGxJX09RNmNPUFFNSklBcGRBTmwzUVBDRUxGaFdPU0EwdlVKcnBqRzlDdWhIa0VzWkZsemh3czJnN3FQWEpBZHZEZDhtTVZXeVVoSmhyaEpIZS1jaG5EZFZHWG80UVJ5bnNqaS1CMUhsRmE4UHhLazJjSzJuUE05dng5WEd6ME9FamY2MEtZQTcwa3IzaU5OcWJpODNBNUFhUXh6dmZj?oc=5,"Thu, 11 Sep 2025 23:19:00 GMT","<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxQQ1lVS2cxSkpIaGk4RXZHcmlWQkdfaFhucWFydEJsWXBwcjNmd0psTy1LR3R0c0pzTldVY0JiVmpVbG55c2UzdFNrNmxOT2RXcmFhNkhueklBMUt3LVZkUmYzbGxNWFlONkNPbTQ1SElpbVJCRzhvRE12dEpnQ2h4bGtmbUJCZDhIMV9qOHFhcHh0bnVvMkhKdEpsWlQ4eGJGTWptSXd0WdIBuwFBVV95cUxQNkp6QUtLcHBKeW0yZDVFcXpaOHkydGxJX09RNmNPUFFNSklBcGRBTmwzUVBDRUxGaFdPU0EwdlVKcnBqRzlDdWhIa0VzWkZsemh3czJnN3FQWEpBZHZEZDhtTVZXeVVoSmhyaEpIZS1jaG5EZFZHWG80UVJ5bnNqaS1CMUhsRmE4UHhLazJjSzJuUE05dng5WEd6ME9FamY2MEtZQTcwa3IzaU5OcWJpODNBNUFhUXh6dmZj?oc=5"" target=""_blank"">Second suspect in Nanakuli shooting pleads not guilty</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hawaii News Now</font>",,RSS Feed
Former Hawaii residents react to Charlie Kirk shooting - Hawaii News Now,https://news.google.com/rss/articles/CBMioAFBVV95cUxOa1dZLXlXSWRETXJrN3FBR1loR3FSOEljQ29KUnB4U1BfX0R1ek9uUDNKa3pDYVl0aG5YMktTVlhKSUMzeVJLcUEwbVI4OE9wWlBSYk9tUWkyNHVZamRZYVlOZ2lWZTUyZkhkZ1RPRk5lTTZOMExLVjdkWWRMTUttMlM3X0pwNmlkMDV5SUItNVlyNTlwUjFTQWRnVnYxaUxs?oc=5,"Thu, 11 Sep 2025 23:34:08 GMT","<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxOa1dZLXlXSWRETXJrN3FBR1loR3FSOEljQ29KUnB4U1BfX0R1ek9uUDNKa3pDYVl0aG5YMktTVlhKSUMzeVJLcUEwbVI4OE9wWlBSYk9tUWkyNHVZamRZYVlOZ2lWZTUyZkhkZ1RPRk5lTTZOMExLVjdkWWRMTUttMlM3X0pwNmlkMDV5SUItNVlyNTlwUjFTQWRnVnYxaUxs?oc=5"" target=""_blank"">Former Hawaii residents react to Charlie Kirk shooting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hawaii News Now</font>",,RSS Feed
"Hawaii's Kilauea volcano erupts again, shooting lava 500 feet into the sky - cbsnews.com",https://news.google.com/rss/articles/CBMiigFBVV95cUxQU0RPdVRVSE1FSUVaVl9UY1R5eE9JR1ZZeDJaYmlTQUtCcm5ta3cwaVJ6UXpuTHVsMjJ5UmJDMV9DeW9xaE5QdXdmTEgwV3BQTEJpOFZRYlFpdVVIZUthSzlRS25KRDE1WVQxd1lFaFg1RzJFakxYdEQ3YU8tMUswcHZzV1JGaEVvOHfSAY8BQVVfeXFMT3BRVDAtZjBUeU1vUk9sYmxaN1VBNEZlT19MODdTZk9CeTg2OTMzX09zUnhYWFljZ0ZTWWtoLWdiNzl4SC1zcjNDQ0tTXzZFTDFxSndacUZkUTVHMEJ4VEhkb2I5OVdWcUE1d21ERnZZN2Z2T0FWUGkwUXBQSXIxTFFvVmZOOFhmZmVzcVd1MG8?oc=5,"Wed, 03 Sep 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxQU0RPdVRVSE1FSUVaVl9UY1R5eE9JR1ZZeDJaYmlTQUtCcm5ta3cwaVJ6UXpuTHVsMjJ5UmJDMV9DeW9xaE5QdXdmTEgwV3BQTEJpOFZRYlFpdVVIZUthSzlRS25KRDE1WVQxd1lFaFg1RzJFakxYdEQ3YU8tMUswcHZzV1JGaEVvOHfSAY8BQVVfeXFMT3BRVDAtZjBUeU1vUk9sYmxaN1VBNEZlT19MODdTZk9CeTg2OTMzX09zUnhYWFljZ0ZTWWtoLWdiNzl4SC1zcjNDQ0tTXzZFTDFxSndacUZkUTVHMEJ4VEhkb2I5OVdWcUE1d21ERnZZN2Z2T0FWUGkwUXBQSXIxTFFvVmZOOFhmZmVzcVd1MG8?oc=5"" target=""_blank"">Hawaii's Kilauea volcano erupts again, shooting lava 500 feet into the sky</a>&nbsp;&nbsp;<font color=""#6f6f6f"">cbsnews.com</font>",,RSS Feed
