title,link,published,summary,content,source
"'Horrific:' Healey, Warren, Massachusetts leaders react to Charlie Kirk assassination - The Patriot Ledger",https://news.google.com/rss/articles/CBMizAFBVV95cUxNUWxjUFRMMkVLejdYRFNTZ2RoNGlWMDRZR1o2MUUyYmJVRG1ZbDQ4bk1nWGVyRTQzNlZaZUpzNlpSbmcxTlI1WC1KbHY3RGVoS19xUi1Ub3BTMXBUMjMxUU5zczBMVVl6ZkpJb3dGYXpPZnBQbWhhZnB5REdRNGtJQm5tVm5jY01KOUZYSFB0Qi1IczB2NzVibER5TElDelRmTFlLa1NSOE1JQ1FoS1lTLXRYMUhPTFlaOUFkWWxTVXBfNWduRGxjNmdxMlA?oc=5,"Thu, 11 Sep 2025 02:48:45 GMT","<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxNUWxjUFRMMkVLejdYRFNTZ2RoNGlWMDRZR1o2MUUyYmJVRG1ZbDQ4bk1nWGVyRTQzNlZaZUpzNlpSbmcxTlI1WC1KbHY3RGVoS19xUi1Ub3BTMXBUMjMxUU5zczBMVVl6ZkpJb3dGYXpPZnBQbWhhZnB5REdRNGtJQm5tVm5jY01KOUZYSFB0Qi1IczB2NzVibER5TElDelRmTFlLa1NSOE1JQ1FoS1lTLXRYMUhPTFlaOUFkWWxTVXBfNWduRGxjNmdxMlA?oc=5"" target=""_blank"">'Horrific:' Healey, Warren, Massachusetts leaders react to Charlie Kirk assassination</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Patriot Ledger</font>",,RSS Feed
"Massachusetts Leads the Nation in the Fight Against Gun Violence With the Second-Strongest Gun Laws in the Country, Per Everytown for Gun Safety’s 2025 State Gun Law Rankings - Everytown Research & Policy",https://news.google.com/rss/articles/CBMiswJBVV95cUxPWGM1SHF1QllsSXZzaFpyaXdSR0xzT3lHQUNPWUpXQldneHBycXZDMXdXNVNJVHNzejZQaGZkaXJWb0JoNjhtSjZMYkgxSk8yZ2VSTjJ0eXUzOTU0MTJWQ1BxVjZ6R0I5NDBrT0w1bzEyQU1weXhzZnpHdmJXcmV5WUQyYVo0SUZWWjh3d1hxM3NPZXVRSmowR1JQVTBYOWJwWHN6clJiT3FKOVVKRm10cDNSSlhxRDBtOXFaak1CeDd5XzdpNlpTcHBvUzllR0U1Vmt1dkUxSHZ0M0tzYUd1eW41Y1A5bllQUE9Pc1VxVklEc2xzZlZSbTUwdGlkc2FROXVQNzNJQURjdHhsaVNMX3BPYjdzdUhKczVrdmlUZ1BCWUR3dzBkakw5MHlFNGd1VGln?oc=5,"Wed, 15 Jan 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiswJBVV95cUxPWGM1SHF1QllsSXZzaFpyaXdSR0xzT3lHQUNPWUpXQldneHBycXZDMXdXNVNJVHNzejZQaGZkaXJWb0JoNjhtSjZMYkgxSk8yZ2VSTjJ0eXUzOTU0MTJWQ1BxVjZ6R0I5NDBrT0w1bzEyQU1weXhzZnpHdmJXcmV5WUQyYVo0SUZWWjh3d1hxM3NPZXVRSmowR1JQVTBYOWJwWHN6clJiT3FKOVVKRm10cDNSSlhxRDBtOXFaak1CeDd5XzdpNlpTcHBvUzllR0U1Vmt1dkUxSHZ0M0tzYUd1eW41Y1A5bllQUE9Pc1VxVklEc2xzZlZSbTUwdGlkc2FROXVQNzNJQURjdHhsaVNMX3BPYjdzdUhKczVrdmlUZ1BCWUR3dzBkakw5MHlFNGd1VGln?oc=5"" target=""_blank"">Massachusetts Leads the Nation in the Fight Against Gun Violence With the Second-Strongest Gun Laws in the Country, Per Everytown for Gun Safety’s 2025 State Gun Law Rankings</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Everytown Research & Policy</font>",,RSS Feed
Massachusetts gun licensing law being challenged by New Hampshire as unconstitutional - cbsnews.com,https://news.google.com/rss/articles/CBMinAFBVV95cUxOYjB0a25MVFNmLWFDVFJDN19nMmNNSDAtUGtuV1VLNzJpd2diVW1NTTlZYWx4NXlVbXc1WlFTSEZVYmhqNml1V3dxNkJwVEM1RE00dnVNTzhGNWlKOUwtMzFXMDRvOVlydzRaOEs3dFVINTFud0VKTHA0WjRnQmJCenV6ZEJRTjJLRTVEV200c3dqR18waWhhVUFoaDY?oc=5,"Fri, 05 Sep 2025 22:04:43 GMT","<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxOYjB0a25MVFNmLWFDVFJDN19nMmNNSDAtUGtuV1VLNzJpd2diVW1NTTlZYWx4NXlVbXc1WlFTSEZVYmhqNml1V3dxNkJwVEM1RE00dnVNTzhGNWlKOUwtMzFXMDRvOVlydzRaOEs3dFVINTFud0VKTHA0WjRnQmJCenV6ZEJRTjJLRTVEV200c3dqR18waWhhVUFoaDY?oc=5"" target=""_blank"">Massachusetts gun licensing law being challenged by New Hampshire as unconstitutional</a>&nbsp;&nbsp;<font color=""#6f6f6f"">cbsnews.com</font>",,RSS Feed
Should Massachusetts repeal its 2024 gun control law? - CommonWealth Beacon,https://news.google.com/rss/articles/CBMilwFBVV95cUxOWFBfVFZLUjlSdkw0QXUxZ2JkblhmSGRzM1FZVzZlenc0QjgwVEo5V3AzbFBicVpyTTcwVTFJd1NIcWJfVC1XMmVuZlpBUEpYczl0azJWWlJaWjFSXzE3b2Z0NmEwTmZaOXF5NllPamJBNzVvNEVuY1VwX1hsM2RfZWtCejFyb2tneExfQ1VFd1lUalE1U00w?oc=5,"Wed, 23 Jul 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxOWFBfVFZLUjlSdkw0QXUxZ2JkblhmSGRzM1FZVzZlenc0QjgwVEo5V3AzbFBicVpyTTcwVTFJd1NIcWJfVC1XMmVuZlpBUEpYczl0azJWWlJaWjFSXzE3b2Z0NmEwTmZaOXF5NllPamJBNzVvNEVuY1VwX1hsM2RfZWtCejFyb2tneExfQ1VFd1lUalE1U00w?oc=5"" target=""_blank"">Should Massachusetts repeal its 2024 gun control law?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CommonWealth Beacon</font>",,RSS Feed
A flash point over gun control: Can Massachusetts’ strict firearms law survive the 2026 ballot? - BU News Service,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOLVJKZHRsVVRlMXFiNHctVnVLeWRxaEFaLU80OWpXZ1hHYmowRTRGbHNvT0xVS1pTR1NkNlFyNDNTRklidUpPS0VPcEFRSVUzaGZXTVJCb1FnWWF6TlBvR0xLal9ia2Q0bEE2cENXYXIzc0lCc0tKUEwtNmtCdURiWmdGMGZMSU81WnJXZFFpeHUwUms4NUNxT29VdEZjUVMxa1o0akRtTVlFRjNzNmlYTVpOTnE4T083MHpv?oc=5,"Wed, 09 Apr 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxOLVJKZHRsVVRlMXFiNHctVnVLeWRxaEFaLU80OWpXZ1hHYmowRTRGbHNvT0xVS1pTR1NkNlFyNDNTRklidUpPS0VPcEFRSVUzaGZXTVJCb1FnWWF6TlBvR0xLal9ia2Q0bEE2cENXYXIzc0lCc0tKUEwtNmtCdURiWmdGMGZMSU81WnJXZFFpeHUwUms4NUNxT29VdEZjUVMxa1o0akRtTVlFRjNzNmlYTVpOTnE4T083MHpv?oc=5"" target=""_blank"">A flash point over gun control: Can Massachusetts’ strict firearms law survive the 2026 ballot?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BU News Service</font>",,RSS Feed
"18-year-old threatened school shooting in Massachusetts and had 3D printer capable of making gun, DA says - cbsnews.com",https://news.google.com/rss/articles/CBMimgFBVV95cUxPdTQ5QWl5OGNDaFJLTF9wN09FU2MtLUxIS2Y0NFhZcHZZWExUUVNMS0ZUTXE1bGRIU2tRQlNfMGFONjl6VllwNTJHMFZFNEJCdHdWdm1uYUE1TEgyS0k2Q0t3SHdFeHN5TDVOQVhKYXkwTndTSDZGbHZEVWRsbjhhdTVUazM2YVkxNUdEUzNlbTA0STFMc0RMdXJR?oc=5,"Fri, 12 Sep 2025 19:27:00 GMT","<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxPdTQ5QWl5OGNDaFJLTF9wN09FU2MtLUxIS2Y0NFhZcHZZWExUUVNMS0ZUTXE1bGRIU2tRQlNfMGFONjl6VllwNTJHMFZFNEJCdHdWdm1uYUE1TEgyS0k2Q0t3SHdFeHN5TDVOQVhKYXkwTndTSDZGbHZEVWRsbjhhdTVUazM2YVkxNUdEUzNlbTA0STFMc0RMdXJR?oc=5"" target=""_blank"">18-year-old threatened school shooting in Massachusetts and had 3D printer capable of making gun, DA says</a>&nbsp;&nbsp;<font color=""#6f6f6f"">cbsnews.com</font>",,RSS Feed
Officials: ‘No ongoing threat’ after shooting reported at University of Massachusetts Boston - The Hill,https://news.google.com/rss/articles/CBMizgFBVV95cUxONGNrY2hZUEJGbGZUc2VjclVJYUMxZXFUWEk3czZ0R0VHWXlZcmg3U09BdXI5WnI4cWRTdGsyakY2azk4QTdmZXhzVXpCOXJNTVpBVElyOHNoLUpKcy1vQ21SS3JtNjhYZS1YeW1jeEltSG1kZjI1SzAwaU5iVzNzckppMEVMOFVjR0ZZSnZyNVJGRVVMd0hZRmxnM1R1cjc4VnRDWG5zUXBzdndaLTRyd3pWVDhXMmZkcFNZTjdnR3ZjT0U5SHJqRC0tTHFCUdIB0wFBVV95cUxQbDZMcmdlSjRpbktyY0d4dFVpMzJiRGlORnFyNlRCN29uT3AtMzBMZ1p5bXVTVko3YkgwRXJSMUNuTFdWYndUQnE3cjJUejhNTmNraVhUZzNmQzBMUzB4WU16NjRhbFJBQm9XRXNtVHl6LWpHZjlqZ1Vndktza3k0a0puRC1HeFV0Z3hSc1FEb0pHNkZvTlNHUnM0VXc3RHlvZGF3VnpEeEVob1h0LXI5RTEzTHVYZ3hTWUFodHlqaHh0cVc5MTRDeXYyM09vd1ZxZW1r?oc=5,"Thu, 11 Sep 2025 20:51:00 GMT","<ol><li><a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxONGNrY2hZUEJGbGZUc2VjclVJYUMxZXFUWEk3czZ0R0VHWXlZcmg3U09BdXI5WnI4cWRTdGsyakY2azk4QTdmZXhzVXpCOXJNTVpBVElyOHNoLUpKcy1vQ21SS3JtNjhYZS1YeW1jeEltSG1kZjI1SzAwaU5iVzNzckppMEVMOFVjR0ZZSnZyNVJGRVVMd0hZRmxnM1R1cjc4VnRDWG5zUXBzdndaLTRyd3pWVDhXMmZkcFNZTjdnR3ZjT0U5SHJqRC0tTHFCUdIB0wFBVV95cUxQbDZMcmdlSjRpbktyY0d4dFVpMzJiRGlORnFyNlRCN29uT3AtMzBMZ1p5bXVTVko3YkgwRXJSMUNuTFdWYndUQnE3cjJUejhNTmNraVhUZzNmQzBMUzB4WU16NjRhbFJBQm9XRXNtVHl6LWpHZjlqZ1Vndktza3k0a0puRC1HeFV0Z3hSc1FEb0pHNkZvTlNHUnM0VXc3RHlvZGF3VnpEeEVob1h0LXI5RTEzTHVYZ3hTWUFodHlqaHh0cVc5MTRDeXYyM09vd1ZxZW1r?oc=5"" target=""_blank"">Officials: ‘No ongoing threat’ after shooting reported at University of Massachusetts Boston</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hill</font></li><li><a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxNeklDRkt0bVhiOWliRkFyUnpUQ045TTdfUzQ1X0xsWDJkUnlXX1p6NS1JYVlZUzZNT0k3MlZRWHBMa2d1RENSeExoSExDcmE0R2gzd3RzWFYzUHVhWGNCczk0U3hLaWlRci1uNnF4dkR3ZmdYY1FFckhLT3hyNU01VzFUWjhhT0lFeGNHT1pnQnpVdi10M1JaSA?oc=5"" target=""_blank"">Reports of shooting at University of Massachusetts Boston</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Stuff</font></li><li><a href=""https://news.google.com/rss/articles/CBMilgJBVV95cUxQUTR0c1VUSmd1QkdUQVcwc3Y5RUM4LXFSTS1qWFdBRS1xd3lNYWNndEpOeWc2cXh1RXNaM1lnMFVoOUx6YUc3NURfUjNmUHgtV2t5YU9wUzdRV0NwX1luWXAyeWVaVUljQVEwYndPakVwZWJ1U21IQmhZT0NFZ0E1MzVVNjlXbnNvUE9EVUFDcDM3d0lZUlAyWk5xQTVCVUwyZ25FNEQ2R0FRRWZKWDUyR1hzTnJNRzFsMVZTRFJoQ2F5UFJWMER0SUFRNWZkSHBmYXEyZ3c1bU81MmtJLTVCNktuQk9LUXMzQ3BfYWlkZXpDdDBzQ0liUzc0RnRJbEhwOElKNFpucjNzZ2t5Q0pBcWxEMDQ2QdIBmwJBVV95cUxPcDhoTGRIR0VVZTJibmlmZUlFMWdhZ3J5NDRXWUJ2dGJmRWt4VXlwcXVuemRsV09rRU51Ukhoa3FncldZME5abm1HY0NNSDdHZXJQWGlZb0Zjak14bHJuWV9lZzkxYlZsb2lCeEdQTkRCczlvaWdMZnhWWjd1WDIwSWVfTFlfUFVTRTlfODhPcVhMakhpc1VzMEg3LU1DekZFaHVXdG1vNFlzeWQxYTJhX3lyM1NoN2RxT0JJUGVMSjRHTUMwUFVONm1RaTdPblR5YTlmN2Q1NEh2MUlMcnVnUmdxdkJzMWsxYzIwNVlyTUNTdnZOSUNmeUdKdzF3LU04RmVmdjN3TlFfLTRrOW9sdkc0WkRCeEdnVnRz?oc=5"" target=""_blank"">University of Massachusetts alert: First photos from Residence Hall East emerge; active shooter feared | Hindustan Times</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font></li></ol>",,RSS Feed
"Rhode Island, Massachusetts officials respond to shooting death of Charlie Kirk - abc6.com",https://news.google.com/rss/articles/CBMiogFBVV95cUxOdlMxM1dDcjRMNm9BOTF6eW1BVm83M3VYakFTMmNxWGtLUG1hbGFweE5pZTF2bEZBdm9iMXpCb1A5TmM0N090OUdmeXNOOVhweklOWktDWTVwRU1vX25QcXdpTW1Mc3ZXZUpDZVMwYmJNQVAwSDFveUhhOERUT3RVbVJOXzJnbXA4Z0dQYUg1ZlZTV0NjM1ZkUG9nOUxWV3d4UVE?oc=5,"Wed, 10 Sep 2025 21:29:36 GMT","<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxOdlMxM1dDcjRMNm9BOTF6eW1BVm83M3VYakFTMmNxWGtLUG1hbGFweE5pZTF2bEZBdm9iMXpCb1A5TmM0N090OUdmeXNOOVhweklOWktDWTVwRU1vX25QcXdpTW1Mc3ZXZUpDZVMwYmJNQVAwSDFveUhhOERUT3RVbVJOXzJnbXA4Z0dQYUg1ZlZTV0NjM1ZkUG9nOUxWV3d4UVE?oc=5"" target=""_blank"">Rhode Island, Massachusetts officials respond to shooting death of Charlie Kirk</a>&nbsp;&nbsp;<font color=""#6f6f6f"">abc6.com</font>",,RSS Feed
New Hampshire’s challenge of a Massachusetts gun law seeks to expand Supreme Court precedent - New Hampshire Bulletin,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPaU5FWV9CQ3llSjdoOVBCeHJpbXpOZVY3Nk1HS1c4emRuMVpMSkRrNjQtaGRIYUdwQU9IeUtYTXNRRTdod3ZJdDJJak5zbEVIaEM1LWVUcU11c09VeE44TGZhN3ZDYjZSTWJRTE5aOFc5Vm5HNUxCTzJtMndySDhzc3g0QmM2VWlDQjR3VWFySUlkS0Z3NFk3alNtUWFWUWlnM2ZPbXlTMWJNTU54RTR3MW0tUWJQMExWOUhBUkxMWW5OcjItM3VXelJCZ3VZZjI5MEE?oc=5,"Fri, 12 Sep 2025 09:11:15 GMT","<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxPaU5FWV9CQ3llSjdoOVBCeHJpbXpOZVY3Nk1HS1c4emRuMVpMSkRrNjQtaGRIYUdwQU9IeUtYTXNRRTdod3ZJdDJJak5zbEVIaEM1LWVUcU11c09VeE44TGZhN3ZDYjZSTWJRTE5aOFc5Vm5HNUxCTzJtMndySDhzc3g0QmM2VWlDQjR3VWFySUlkS0Z3NFk3alNtUWFWUWlnM2ZPbXlTMWJNTU54RTR3MW0tUWJQMExWOUhBUkxMWW5OcjItM3VXelJCZ3VZZjI5MEE?oc=5"" target=""_blank"">New Hampshire’s challenge of a Massachusetts gun law seeks to expand Supreme Court precedent</a>&nbsp;&nbsp;<font color=""#6f6f6f"">New Hampshire Bulletin</font>",,RSS Feed
"Southeastern Massachusetts teen arraigned, accused of allegedly preparing to use firearm at school - Fall River Reporter",https://news.google.com/rss/articles/CBMixwFBVV95cUxOQUZocmRsYVlwc29qZlhBWXZDRjBKT21BeDVYR2M5dGk2Vi0xVXRJX0lpclkxUzd6ZFVpQ0R5N2J3Y2dPWmxISmxvWnlhazZobVYzWTRObkFydlZHVW5XcTNwNHhJaGpmSF9qTWJiYXFjeEpoRFM2Z0NENkVuejlOdG9yUkRIOExTdG9Gc2x4ZW1ZdV9sRVhTWjA3eGF5bGRsRUQ3aDdHRjlfcE10Rk1CWW1YWVNSN3o4dkNOQmhXbUQwUTgxZkdN0gHHAUFVX3lxTE5BRmhyZGxhWXBzb2pmWEFZdkNGMEpPbUF4NVhHYzl0aTZWLTFVdElfSWlyWTFTN3pkVWlDRHk3YndjZ09abEhKbG9aeWFrNmhtVjNZNE5uQXJ2VkdVbldxM3A0eEloamZIX2pNYmJhcWN4SmhEUzZnQ0Q2RW56OU50b3JSREg4TFN0b0ZzbHhlbVl1X2xFWFNaMDd4YXlsZGxFRDdoN0dGOV9wTXRGTUJZbVhZU1I3ejh2Q05CaFdtRDBRODFmR00?oc=5,"Fri, 12 Sep 2025 22:18:45 GMT","<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxOQUZocmRsYVlwc29qZlhBWXZDRjBKT21BeDVYR2M5dGk2Vi0xVXRJX0lpclkxUzd6ZFVpQ0R5N2J3Y2dPWmxISmxvWnlhazZobVYzWTRObkFydlZHVW5XcTNwNHhJaGpmSF9qTWJiYXFjeEpoRFM2Z0NENkVuejlOdG9yUkRIOExTdG9Gc2x4ZW1ZdV9sRVhTWjA3eGF5bGRsRUQ3aDdHRjlfcE10Rk1CWW1YWVNSN3o4dkNOQmhXbUQwUTgxZkdN0gHHAUFVX3lxTE5BRmhyZGxhWXBzb2pmWEFZdkNGMEpPbUF4NVhHYzl0aTZWLTFVdElfSWlyWTFTN3pkVWlDRHk3YndjZ09abEhKbG9aeWFrNmhtVjNZNE5uQXJ2VkdVbldxM3A0eEloamZIX2pNYmJhcWN4SmhEUzZnQ0Q2RW56OU50b3JSREg4TFN0b0ZzbHhlbVl1X2xFWFNaMDd4YXlsZGxFRDdoN0dGOV9wTXRGTUJZbVhZU1I3ejh2Q05CaFdtRDBRODFmR00?oc=5"" target=""_blank"">Southeastern Massachusetts teen arraigned, accused of allegedly preparing to use firearm at school</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fall River Reporter</font>",,RSS Feed
