title,link,published,summary,content,source
Firearm Safety in Michigan: Awareness and Action - Michigan State Medical Society,https://news.google.com/rss/articles/CBMilAFBVV95cUxPRlV6WGlvVkJOT3R3Z3FFR3JYajhPYUNmd3lnZEhzdk5zNVZSaGRZX0xGeW5sUWdjTS1kenYybkU0Mzd3Z1FfMHBZMnpEU2VTUzhkNzZTYWUwUUlSY2tMaF9YckxWWXpUalZtMDhBR2xtaGtCaWtIT3ZZMnlPbHE4d29fMEh3WWxza3BmY0ZOcmlMMmhV?oc=5,"Thu, 04 Sep 2025 15:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxPRlV6WGlvVkJOT3R3Z3FFR3JYajhPYUNmd3lnZEhzdk5zNVZSaGRZX0xGeW5sUWdjTS1kenYybkU0Mzd3Z1FfMHBZMnpEU2VTUzhkNzZTYWUwUUlSY2tMaF9YckxWWXpUalZtMDhBR2xtaGtCaWtIT3ZZMnlPbHE4d29fMEh3WWxza3BmY0ZOcmlMMmhV?oc=5"" target=""_blank"">Firearm Safety in Michigan: Awareness and Action</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Michigan State Medical Society</font>",,RSS Feed
"Working to Build a Future Free from Gun Violence, Senate Judiciary Committee Advances Slate of Gun Safety Legislation - Michigan Senate Democrats",https://news.google.com/rss/articles/CBMi7gFBVV95cUxPNlBuNHJ6WGZtcUFkdGpSUjMyVHhBQ3hvOW9aOVROMEFBWmRyekxPN0NWd3FrTEdqbnRMMnAwa2FZUnQ1VVQ4WlNBR21LeGJSOFdvNGdnSmkzREVadmp6T1hDODBaMG14U1N1UWFNWEpZc29VZFVLb1Y4U3JuRnNPbmZrdXMzZjJkX2JIcmJ0bjVPeV9oVnRiaVV4VWlOc29ZdU52OVdwbTE1MWdGM24xaXVzLXNtQXhlMk1CSkxKRFM3aDlrcVItbjdySHVlTVd2N2doRjBUWFpRUW42ODZOb09sWVlJS0VNVTNJNmRn?oc=5,"Thu, 05 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxPNlBuNHJ6WGZtcUFkdGpSUjMyVHhBQ3hvOW9aOVROMEFBWmRyekxPN0NWd3FrTEdqbnRMMnAwa2FZUnQ1VVQ4WlNBR21LeGJSOFdvNGdnSmkzREVadmp6T1hDODBaMG14U1N1UWFNWEpZc29VZFVLb1Y4U3JuRnNPbmZrdXMzZjJkX2JIcmJ0bjVPeV9oVnRiaVV4VWlOc29ZdU52OVdwbTE1MWdGM24xaXVzLXNtQXhlMk1CSkxKRFM3aDlrcVItbjdySHVlTVd2N2doRjBUWFpRUW42ODZOb09sWVlJS0VNVTNJNmRn?oc=5"" target=""_blank"">Working to Build a Future Free from Gun Violence, Senate Judiciary Committee Advances Slate of Gun Safety Legislation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Michigan Senate Democrats</font>",,RSS Feed
A Roadmap For Safety: Policies to Reduce Gun Violence in Michigan - Johns Hopkins Bloomberg School of Public Health,https://news.google.com/rss/articles/CBMisAFBVV95cUxOc3ZqWXlwc05DYnRGaXBtWldaR1I0cUE1dGxxVi1YeGIyUHgxdEh4MVdTVG5DaVQ2VDU2anBTQ243Wk1jNERpMVFUbnFVZEZ5OWZoWE9wVC1Wai1tSjI4bHRvams3amtmcG4wdEVUMXlGUGFzTXgySlVhU3YwakRKUUhGUm5qU1lxb1JZcFdvdVJLaWhCR0FUN1JsV0Fzb3Z1RzR6QlJDV3V4MlhwZWtwMA?oc=5,"Wed, 21 May 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxOc3ZqWXlwc05DYnRGaXBtWldaR1I0cUE1dGxxVi1YeGIyUHgxdEh4MVdTVG5DaVQ2VDU2anBTQ243Wk1jNERpMVFUbnFVZEZ5OWZoWE9wVC1Wai1tSjI4bHRvams3amtmcG4wdEVUMXlGUGFzTXgySlVhU3YwakRKUUhGUm5qU1lxb1JZcFdvdVJLaWhCR0FUN1JsV0Fzb3Z1RzR6QlJDV3V4MlhwZWtwMA?oc=5"" target=""_blank"">A Roadmap For Safety: Policies to Reduce Gun Violence in Michigan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Johns Hopkins Bloomberg School of Public Health</font>",,RSS Feed
"Michigan Senate Passes Critical Gun Violence Prevention Bills; Moms Demand Action, Students Demand Action Respond - Everytown",https://news.google.com/rss/articles/CBMi3AFBVV95cUxNVUpxNWRCejhyMTR2dzlBNXl0SDNqc2hKOWxnczJNRXdwdjgzYlYxeWlMZ0JyUVRNVnUyRGladllnZjdvWHRiMEdINU9tMUUtcEZIdF81R3M0bENjS3pOZktzaVBFZ1N4dng1NjVJVC11NkV4TzhmZFgxZXMzQ2lJdXRJYzUzMTc3M1pmdWRDNmRDbEdMejhLczNJZ1BuUFlsRkQxdDJtQzFxa1dwTDBXNVlKVkg5N0VQdkFkQ3ZPcEx0aDhoSXdZTjR6QlRJS1NRdWVoRTVKRzZQUkJX?oc=5,"Wed, 25 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxNVUpxNWRCejhyMTR2dzlBNXl0SDNqc2hKOWxnczJNRXdwdjgzYlYxeWlMZ0JyUVRNVnUyRGladllnZjdvWHRiMEdINU9tMUUtcEZIdF81R3M0bENjS3pOZktzaVBFZ1N4dng1NjVJVC11NkV4TzhmZFgxZXMzQ2lJdXRJYzUzMTc3M1pmdWRDNmRDbEdMejhLczNJZ1BuUFlsRkQxdDJtQzFxa1dwTDBXNVlKVkg5N0VQdkFkQ3ZPcEx0aDhoSXdZTjR6QlRJS1NRdWVoRTVKRzZQUkJX?oc=5"" target=""_blank"">Michigan Senate Passes Critical Gun Violence Prevention Bills; Moms Demand Action, Students Demand Action Respond</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Everytown</font>",,RSS Feed
Michigan Gun Safety Leaders Call for Wider Use of Red Flag Law After Minnesota School Shooting - WZMQ 19 News,https://news.google.com/rss/articles/CBMixAFBVV95cUxNeHRkWW5wclBaeWp4UDg4N3V5ZXVZem9WN3pjb1VJMU1qWUJHbnNFbm92YUdjTDBQa1JOZGR1c2dReVAwQ3dMZ2s2TFk4dmhkU082N1lVNmh5OGJLSjhtUHI1VG9VXzhFSGhVZ3JwVGlwdzhBdWY3Z3BsVEs2cjhRYlBQVy1LeEJITGlqUGxBcFJ6NUhnSk5fSHNrOE1vYTZkX091a2Z6VnhCWmlxU3M2b2lxQ2syNktyQk9wVHV6NTBUd0JY?oc=5,"Tue, 09 Sep 2025 00:00:34 GMT","<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxNeHRkWW5wclBaeWp4UDg4N3V5ZXVZem9WN3pjb1VJMU1qWUJHbnNFbm92YUdjTDBQa1JOZGR1c2dReVAwQ3dMZ2s2TFk4dmhkU082N1lVNmh5OGJLSjhtUHI1VG9VXzhFSGhVZ3JwVGlwdzhBdWY3Z3BsVEs2cjhRYlBQVy1LeEJITGlqUGxBcFJ6NUhnSk5fSHNrOE1vYTZkX091a2Z6VnhCWmlxU3M2b2lxQ2syNktyQk9wVHV6NTBUd0JY?oc=5"" target=""_blank"">Michigan Gun Safety Leaders Call for Wider Use of Red Flag Law After Minnesota School Shooting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WZMQ 19 News</font>",,RSS Feed
Michigan Senate passes ban on ghost guns and bump stocks and bills to codify Capitol gun ban - Michigan Advance,https://news.google.com/rss/articles/CBMizAFBVV95cUxOandQc1lSNkdsejFuM3JTTHlCMGozOFk5RWdyQjcySE9fWWJOeENsZEtCbFg0cmNMeWNxc1Zsb2R6ajlSLWhzSTdQU0xqWDNiLU1CcDBoRFNQT2hfQlJkc3dSTjhIMXA3WDNadUxrZW4zdnJ2Q1A3TmFub1dQR0UzWnNwUkpaR2pUNVMzLVVMRzM4Q2ZtWkpac2ptZzEtWUFuMUJ1UGxNWGJLcWJIVDVfYUNPdWc1TTlsYzhxOC1YUDVwcVdDaWxrLXVLRDA?oc=5,"Wed, 25 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxOandQc1lSNkdsejFuM3JTTHlCMGozOFk5RWdyQjcySE9fWWJOeENsZEtCbFg0cmNMeWNxc1Zsb2R6ajlSLWhzSTdQU0xqWDNiLU1CcDBoRFNQT2hfQlJkc3dSTjhIMXA3WDNadUxrZW4zdnJ2Q1A3TmFub1dQR0UzWnNwUkpaR2pUNVMzLVVMRzM4Q2ZtWkpac2ptZzEtWUFuMUJ1UGxNWGJLcWJIVDVfYUNPdWc1TTlsYzhxOC1YUDVwcVdDaWxrLXVLRDA?oc=5"" target=""_blank"">Michigan Senate passes ban on ghost guns and bump stocks and bills to codify Capitol gun ban</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Michigan Advance</font>",,RSS Feed
Whitmer approves new gun and school safety laws for Michigan - Detroit Free Press,https://news.google.com/rss/articles/CBMirgFBVV95cUxOdWZneDJwOWthOENqZmJsd3VPZEFNaFlMME9HS0hNNjlWM01SMDFsLWdHRGpZWWdkZ2xWRmtTQXRfRTBvZzVNOHY5V1p2MnB5RGNnZVB4WG1OWTBmbXAyR0hQeXlHeWEwTDVqbUVpOUtPcTJpT2N5UF9Wcm1ORnFRNWZvWjdCZTFHSFByRHJ4Rm4wd19zTWhDajZPTHNPeno5TUstamY4Z0EzQTVRUlE?oc=5,"Wed, 22 Jan 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxOdWZneDJwOWthOENqZmJsd3VPZEFNaFlMME9HS0hNNjlWM01SMDFsLWdHRGpZWWdkZ2xWRmtTQXRfRTBvZzVNOHY5V1p2MnB5RGNnZVB4WG1OWTBmbXAyR0hQeXlHeWEwTDVqbUVpOUtPcTJpT2N5UF9Wcm1ORnFRNWZvWjdCZTFHSFByRHJ4Rm4wd19zTWhDajZPTHNPeno5TUstamY4Z0EzQTVRUlE?oc=5"" target=""_blank"">Whitmer approves new gun and school safety laws for Michigan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Detroit Free Press</font>",,RSS Feed
Senate Democrats Champion Slate of Gun Safety Legislation to Protect Michigan Communities - Michigan Senate Democrats,https://news.google.com/rss/articles/CBMiX0FVX3lxTFBhbDdHakxGbmVud0Vqdk9KTndlTGlUcEZKSV9jTnZ3Zi0xa0RBUWtleVhlbkJQVTVYQk1kczBSSXFnN040eXF3YXVoQTN1SF8ySmVfTmRrZHJCTmFzMDh3?oc=5,"Wed, 25 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiX0FVX3lxTFBhbDdHakxGbmVud0Vqdk9KTndlTGlUcEZKSV9jTnZ3Zi0xa0RBUWtleVhlbkJQVTVYQk1kczBSSXFnN040eXF3YXVoQTN1SF8ySmVfTmRrZHJCTmFzMDh3?oc=5"" target=""_blank"">Senate Democrats Champion Slate of Gun Safety Legislation to Protect Michigan Communities</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Michigan Senate Democrats</font>",,RSS Feed
"GOP leader: Bump stock, ghost gun bans ‘dead on arrival’ in Michigan House - Bridge Michigan",https://news.google.com/rss/articles/CBMiqgFBVV95cUxOSGNnSzYtTDltRU1VOG1wdHd6bDY3dG1aS1Fxei1sYUJUTmVEOE5jaHpWRlkwWWRsTUVYa3lVQ1R3aFhxSWtHNFRXelVFN1FnRElMeEZtLVZLT19KLThkR3JtYjg5aDhHVl9vTkk3bExLZ0kxRWQ5QWhVQ1BhZ2FBd3l6anhkNGNQM2lQYVZYWEJDXzFXUVNrUFdMNFNjRDJoTlh2MEZtWHBEZw?oc=5,"Thu, 26 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxOSGNnSzYtTDltRU1VOG1wdHd6bDY3dG1aS1Fxei1sYUJUTmVEOE5jaHpWRlkwWWRsTUVYa3lVQ1R3aFhxSWtHNFRXelVFN1FnRElMeEZtLVZLT19KLThkR3JtYjg5aDhHVl9vTkk3bExLZ0kxRWQ5QWhVQ1BhZ2FBd3l6anhkNGNQM2lQYVZYWEJDXzFXUVNrUFdMNFNjRDJoTlh2MEZtWHBEZw?oc=5"" target=""_blank"">GOP leader: Bump stock, ghost gun bans ‘dead on arrival’ in Michigan House</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bridge Michigan</font>",,RSS Feed
Michigan House Republicans introduce bills to repeal gun safety laws - The Michigan Independent,https://news.google.com/rss/articles/CBMipgFBVV95cUxNbnhZNDkzQW54U2R5ZnBCOWtFMEpZSXNESnN0WjJxQVh3dFJWblBiaERkaHFYX3pjR2xzOTFQaW53NG5LQXZiWUx5bk5PLXhNX3VaMmJtd3hEelhFamV5d2M2Q09RTEhuckpvdzgwQVZEV3BhTTBLMU4yLUtCemxLV2pJZC1sZWpXUkdvMXF6SkdjdWRBYmppUUhLZFlJcHBrMnlmY3hB?oc=5,"Fri, 14 Mar 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxNbnhZNDkzQW54U2R5ZnBCOWtFMEpZSXNESnN0WjJxQVh3dFJWblBiaERkaHFYX3pjR2xzOTFQaW53NG5LQXZiWUx5bk5PLXhNX3VaMmJtd3hEelhFamV5d2M2Q09RTEhuckpvdzgwQVZEV3BhTTBLMU4yLUtCemxLV2pJZC1sZWpXUkdvMXF6SkdjdWRBYmppUUhLZFlJcHBrMnlmY3hB?oc=5"" target=""_blank"">Michigan House Republicans introduce bills to repeal gun safety laws</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Michigan Independent</font>",,RSS Feed
