title,link,published,summary,content,source
Nebraska Moms Demand Action and Students Demand Action Volunteers Underscore Urgent Need for Action on Gun Safety During Annual Advocacy Day in the Capitol - Moms Demand Action,https://news.google.com/rss/articles/CBMimwJBVV95cUxOcEJKby1yeWVFNE43cFItb01OTjE1VDIxWW1PM21USy1pSlJ6VTE1akFSdUhhTUZERW9RZF9jY00zeDZ2LXVTUnl5Qm1HNC02NzFRQlNLZXNqRXV1YWRLSkkyNkJEVS0zbTRQNUUtSXFLQzZUZmRjendqcV92bzZTRk9vUlVGay1FS0c4dWppX2d4NHliaW56Tjg2TE11UU5UWElDQlZ3VHM0bkU3OTg4N2JlTVdNOC1uSFJPOE43OExBSUk0MGptR0sycjhHWDJGQmxBNWxDeVA5dG9xWTRMS19LWnQ1VkJjT0Nydzd0Q3ZPUDJBb3NYM1EteFpsaU9ENHBVMF9FVHU0eDlJZHY5UWtZaHVlN3hjWmlj?oc=5,"Fri, 21 Feb 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMimwJBVV95cUxOcEJKby1yeWVFNE43cFItb01OTjE1VDIxWW1PM21USy1pSlJ6VTE1akFSdUhhTUZERW9RZF9jY00zeDZ2LXVTUnl5Qm1HNC02NzFRQlNLZXNqRXV1YWRLSkkyNkJEVS0zbTRQNUUtSXFLQzZUZmRjendqcV92bzZTRk9vUlVGay1FS0c4dWppX2d4NHliaW56Tjg2TE11UU5UWElDQlZ3VHM0bkU3OTg4N2JlTVdNOC1uSFJPOE43OExBSUk0MGptR0sycjhHWDJGQmxBNWxDeVA5dG9xWTRMS19LWnQ1VkJjT0Nydzd0Q3ZPUDJBb3NYM1EteFpsaU9ENHBVMF9FVHU0eDlJZHY5UWtZaHVlN3hjWmlj?oc=5"" target=""_blank"">Nebraska Moms Demand Action and Students Demand Action Volunteers Underscore Urgent Need for Action on Gun Safety During Annual Advocacy Day in the Capitol</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moms Demand Action</font>",,RSS Feed
How many people die from gun-related injuries in Nebraska each year? - usafacts.org,https://news.google.com/rss/articles/CBMisAFBVV95cUxNVXR0NEdvc1FTc0NGeTZ6X1F5a2x3VC0yYk10b1dXUVhyTllrQm1NWk42Rm5RQXF3aDlhWkJmS1RUX0Y1d0hjNmdsSjNrMlJDa0Y1TXBnUVduTTBDLTZJRlR3UnNmNmdFeFVUOGh6aEo5MWs5RG9qS2FlTnlBNTByY3UtdVNWcUtzb3dFSXh1Rnh0Y2hiZTNYcVRBWVFxaFdUcUtuZkM2TkQwUUN3WURyLQ?oc=5,"Sun, 15 Dec 2024 06:24:04 GMT","<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxNVXR0NEdvc1FTc0NGeTZ6X1F5a2x3VC0yYk10b1dXUVhyTllrQm1NWk42Rm5RQXF3aDlhWkJmS1RUX0Y1d0hjNmdsSjNrMlJDa0Y1TXBnUVduTTBDLTZJRlR3UnNmNmdFeFVUOGh6aEo5MWs5RG9qS2FlTnlBNTByY3UtdVNWcUtzb3dFSXh1Rnh0Y2hiZTNYcVRBWVFxaFdUcUtuZkM2TkQwUUN3WURyLQ?oc=5"" target=""_blank"">How many people die from gun-related injuries in Nebraska each year?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">usafacts.org</font>",,RSS Feed
Nebraska moms rally at pedestrian bridge to raise awareness about gun violence - WOWT,https://news.google.com/rss/articles/CBMisAFBVV95cUxQTG9EVE1NdUVFWXJDenB2Ung2YzBUNlZVWDhGMkplTUZ0ZkVOYlc3V0V1Z21JbzI2Sm0xZ1BmMFBJUVVhMzRVdjViTWVpX1dGcWdvY0NfbXFmUTNDOTNxNDA3dTFuTGo1NHgxRG1UbWdhNE5pZDNfd0lrdGVIRnc0TFNYS3lDNlcwVTFpWHBnRXAyWjMxdkNvUTVDX29OMW1EaEcxaVhvWFh1TmFjLUtraA?oc=5,"Sat, 07 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxQTG9EVE1NdUVFWXJDenB2Ung2YzBUNlZVWDhGMkplTUZ0ZkVOYlc3V0V1Z21JbzI2Sm0xZ1BmMFBJUVVhMzRVdjViTWVpX1dGcWdvY0NfbXFmUTNDOTNxNDA3dTFuTGo1NHgxRG1UbWdhNE5pZDNfd0lrdGVIRnc0TFNYS3lDNlcwVTFpWHBnRXAyWjMxdkNvUTVDX29OMW1EaEcxaVhvWFh1TmFjLUtraA?oc=5"" target=""_blank"">Nebraska moms rally at pedestrian bridge to raise awareness about gun violence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WOWT</font>",,RSS Feed
Why does Nebraska have a low gun death rate despite high ownership? - KLKN-TV,https://news.google.com/rss/articles/CBMilAFBVV95cUxPY1prUnFfSFdOWWU0a29Xb0pJdjVscE0xc0ZhdXZvS3ZMVERjSFJCY3FqXzdTYUFhbzF6NTJQSEl6UF9JTU54R2dFS29nenVRckptcGEzTUhSUW9pdDBpam1na0J5aG8zTjlZakRvanktaE9zMDl5aWtUU25mRU1SRkw2VERjcXZ1bkdETTA1andIUDIx?oc=5,"Tue, 17 Dec 2024 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxPY1prUnFfSFdOWWU0a29Xb0pJdjVscE0xc0ZhdXZvS3ZMVERjSFJCY3FqXzdTYUFhbzF6NTJQSEl6UF9JTU54R2dFS29nenVRckptcGEzTUhSUW9pdDBpam1na0J5aG8zTjlZakRvanktaE9zMDl5aWtUU25mRU1SRkw2VERjcXZ1bkdETTA1andIUDIx?oc=5"" target=""_blank"">Why does Nebraska have a low gun death rate despite high ownership?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KLKN-TV</font>",,RSS Feed
"Tiny Nebraska village chosen for national school gun violence memorial site - KOLN | Nebraska Local News, Weather, Sports | Lincoln, NE",https://news.google.com/rss/articles/CBMilwFBVV95cUxOcjh3dkFCMFl1enVESlVlMTlkMDF6YlFCRHlqM2h5Z3Uzc2p2b0doMXZHNGFNT0FKeUVGSFdMRDRVcm5mMUlyMVFKYVVyRllJSW9oSExqT2lNZHdoajBoc2cyYjB1QjR6WmtYakdaNXNBR3NGU3hDcmFJQi1ubnFVc1o5eklJSDliZ0VVTjNKelZFVDNMcXdz0gGrAUFVX3lxTE5OVWs5azNSSlZSUi1FNHUwaFI1aHdvVjF0Y3V6b3Y3SGVMUkFMTERYdG14YXRzSnI5dndmOExpSUtpaDMzZThFMUdLdERZd0FzMHZtaDhSeTJKdmlqdTh3TlNQcXdnYW1kZ09JTGZzM3lUVElWNmlpd3hGZUFHazNRZXB3dW5WQ0VrOXRPZ2EzWmtQaGpwMkNiYVpwM1dLaEoyZmFZZFJ6MjJDSQ?oc=5,"Wed, 15 Jan 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxOcjh3dkFCMFl1enVESlVlMTlkMDF6YlFCRHlqM2h5Z3Uzc2p2b0doMXZHNGFNT0FKeUVGSFdMRDRVcm5mMUlyMVFKYVVyRllJSW9oSExqT2lNZHdoajBoc2cyYjB1QjR6WmtYakdaNXNBR3NGU3hDcmFJQi1ubnFVc1o5eklJSDliZ0VVTjNKelZFVDNMcXdz0gGrAUFVX3lxTE5OVWs5azNSSlZSUi1FNHUwaFI1aHdvVjF0Y3V6b3Y3SGVMUkFMTERYdG14YXRzSnI5dndmOExpSUtpaDMzZThFMUdLdERZd0FzMHZtaDhSeTJKdmlqdTh3TlNQcXdnYW1kZ09JTGZzM3lUVElWNmlpd3hGZUFHazNRZXB3dW5WQ0VrOXRPZ2EzWmtQaGpwMkNiYVpwM1dLaEoyZmFZZFJ6MjJDSQ?oc=5"" target=""_blank"">Tiny Nebraska village chosen for national school gun violence memorial site</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KOLN | Nebraska Local News, Weather, Sports | Lincoln, NE</font>",,RSS Feed
Nebraska Supreme Court Mulls Standing on City Gun Law - FindLaw,https://news.google.com/rss/articles/CBMioAFBVV95cUxQNW1wWkZrbUZrSjhhVVVuSmhGLXNhcENnOVU0Z2lWQW1EeGMyMHlQVnpFS0t3YnhuUllncFdLV2FDcW94UGdRcmY4c29CMGpxRkdXdFU5TjNSakU0aGF6b2lsSW12ZWtRMWg0ZWRlektRMGt1ZV9iaHJMYlY0eER0ZjJjVDVadHdmT3ROTjladWZ4Q005dTFVb0JYNWE1YVFE?oc=5,"Mon, 07 Apr 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxQNW1wWkZrbUZrSjhhVVVuSmhGLXNhcENnOVU0Z2lWQW1EeGMyMHlQVnpFS0t3YnhuUllncFdLV2FDcW94UGdRcmY4c29CMGpxRkdXdFU5TjNSakU0aGF6b2lsSW12ZWtRMWg0ZWRlektRMGt1ZV9iaHJMYlY0eER0ZjJjVDVadHdmT3ROTjladWZ4Q005dTFVb0JYNWE1YVFE?oc=5"" target=""_blank"">Nebraska Supreme Court Mulls Standing on City Gun Law</a>&nbsp;&nbsp;<font color=""#6f6f6f"">FindLaw</font>",,RSS Feed
Nebraska: NRA Presents Senator Tom Brewer with Defender of Freedom Award - NRA-ILA,https://news.google.com/rss/articles/CBMisgFBVV95cUxOQzB5dkQ0WHMzY2hpclJZQjA0S0NuWU5Odkpsc2MwdkdMT0pUVXZ3Rm5KXzc4b3pXZkw0NVRHdmRlQkxBam1sMlNlZzU5WE1zYzNJNkpnSHBGbG5hWjhmUXJ0akVRT0tjMDBOMEZRQWxqX2RqaVZhVzdZNjQ5ZGhtT01nMEM1QkVSRVp0X01yT21zU2xqSzBMdTVvaVNFVmtSUTZsc01TaURTRGY2VVlad2dn?oc=5,"Fri, 16 May 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxOQzB5dkQ0WHMzY2hpclJZQjA0S0NuWU5Odkpsc2MwdkdMT0pUVXZ3Rm5KXzc4b3pXZkw0NVRHdmRlQkxBam1sMlNlZzU5WE1zYzNJNkpnSHBGbG5hWjhmUXJ0akVRT0tjMDBOMEZRQWxqX2RqaVZhVzdZNjQ5ZGhtT01nMEM1QkVSRVp0X01yT21zU2xqSzBMdTVvaVNFVmtSUTZsc01TaURTRGY2VVlad2dn?oc=5"" target=""_blank"">Nebraska: NRA Presents Senator Tom Brewer with Defender of Freedom Award</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NRA-ILA</font>",,RSS Feed
Nebraska gun rights advocates say proposed bill would protect privacy - WOWT,https://news.google.com/rss/articles/CBMipAFBVV95cUxNTDdfeEpYR2ZkUkxzc1ZZU2NtX1M0RGVJMFBObWNnbXdHRlNPSWU1LWk3WkxMbHlpREpid2FOX0JIbHNrdDEzbTM4ZHF6YzlGdF9kTU9tR0dHemRsZjRpNmlmOEVRSExiSjNkT2c0d2ItYUNkc2tOcHJUQkdLMVJ2ZjloUlFwbkVwWVVlTnp0RC11UkJLRG9YajFOcjluV3dacGlKbtIBuAFBVV95cUxQdkZNZlRJUDVoeW43Qk9Sdi1nbDF4bjVZWk5JejI4ZkZwaTRORWFMU2Zqakhid21jRHBQUndwYXhkRWUzR2VMNm05bjVxQ2RtemxOWFR6NVlnUHlITWE0RS1MV1RWeE5GVkZxSVR6U3VwRG9YbG9va1p1RHJhWTh1bk9QQW9FaHNNX1M3ZEwzaGM2MVpXQlJLdktOaG9mQXhFVnBQSmFybDluYUN0aEV0NjVtS05tSnJv?oc=5,"Mon, 17 Mar 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxNTDdfeEpYR2ZkUkxzc1ZZU2NtX1M0RGVJMFBObWNnbXdHRlNPSWU1LWk3WkxMbHlpREpid2FOX0JIbHNrdDEzbTM4ZHF6YzlGdF9kTU9tR0dHemRsZjRpNmlmOEVRSExiSjNkT2c0d2ItYUNkc2tOcHJUQkdLMVJ2ZjloUlFwbkVwWVVlTnp0RC11UkJLRG9YajFOcjluV3dacGlKbtIBuAFBVV95cUxQdkZNZlRJUDVoeW43Qk9Sdi1nbDF4bjVZWk5JejI4ZkZwaTRORWFMU2Zqakhid21jRHBQUndwYXhkRWUzR2VMNm05bjVxQ2RtemxOWFR6NVlnUHlITWE0RS1MV1RWeE5GVkZxSVR6U3VwRG9YbG9va1p1RHJhWTh1bk9QQW9FaHNNX1M3ZEwzaGM2MVpXQlJLdktOaG9mQXhFVnBQSmFybDluYUN0aEV0NjVtS05tSnJv?oc=5"" target=""_blank"">Nebraska gun rights advocates say proposed bill would protect privacy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WOWT</font>",,RSS Feed
Nebraska Supreme Court to weigh part of handgun restrictions lawsuit against Lincoln - Nebraska Examiner,https://news.google.com/rss/articles/CBMivgFBVV95cUxNMFh3eXp2eUlPZm00c2Z1Yjd2eGQzTG15cmFObWZEZGRaVFVZV1A1b19GMFJHNWpGQjdqTEVuR3N1YTlxM0JqTjF4bU1TajFxR0p0MTdQaXladVJmRUlaX1FOWXRGT0RRc05aVWVQa2phR21kTTMwUEJHWlZWcDlWNGxmUTNwWGJ2Yk1ycW1tVUJ4cEFlVUR6al9kczlfdW13YTg1Rk9Kc1lsM1ZQVzhzTVZ2aFZVZHBfeHotMnFn?oc=5,"Tue, 28 Jan 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxNMFh3eXp2eUlPZm00c2Z1Yjd2eGQzTG15cmFObWZEZGRaVFVZV1A1b19GMFJHNWpGQjdqTEVuR3N1YTlxM0JqTjF4bU1TajFxR0p0MTdQaXladVJmRUlaX1FOWXRGT0RRc05aVWVQa2phR21kTTMwUEJHWlZWcDlWNGxmUTNwWGJ2Yk1ycW1tVUJ4cEFlVUR6al9kczlfdW13YTg1Rk9Kc1lsM1ZQVzhzTVZ2aFZVZHBfeHotMnFn?oc=5"" target=""_blank"">Nebraska Supreme Court to weigh part of handgun restrictions lawsuit against Lincoln</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nebraska Examiner</font>",,RSS Feed
"Nebraska's permitless carry law faces legal challenges from cities, gun owners - KHGI",https://news.google.com/rss/articles/CBMiqwFBVV95cUxNV2NkT3lDZ3JoM3d4UUdTSXVjdnhYRnIyOWJIcTM2b01sZkxMSnAwU0djdmZvbXYtWFYxZXl4YzZ4d0x0Zkgxd0xzR0swbG1JNEhvYU5uRXJ2X0lCRWZNOE1leEtObkxEYURZQmNndEh3VUs5S3IwbkxtaDBZcUZBZGRmV0QxbThjLXRGczV6bVlYaHE1bVJ6Yk1DN2gxS1g3WHVIMnF1MlphOVk?oc=5,"Tue, 21 Jan 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxNV2NkT3lDZ3JoM3d4UUdTSXVjdnhYRnIyOWJIcTM2b01sZkxMSnAwU0djdmZvbXYtWFYxZXl4YzZ4d0x0Zkgxd0xzR0swbG1JNEhvYU5uRXJ2X0lCRWZNOE1leEtObkxEYURZQmNndEh3VUs5S3IwbkxtaDBZcUZBZGRmV0QxbThjLXRGczV6bVlYaHE1bVJ6Yk1DN2gxS1g3WHVIMnF1MlphOVk?oc=5"" target=""_blank"">Nebraska's permitless carry law faces legal challenges from cities, gun owners</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KHGI</font>",,RSS Feed
