title,link,published,summary,content,source
Oklahoma children die more often from gunshot wounds than in other states. Why? - The Oklahoman,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNOWwzdDhkUXJfdFJONEhJd2tfamFsbFNUSGNwVWR3d1JpUVJJOG80bWc4SGFjeF9KUEZMakloeWp4U3B6UTI1dGJCUjNId2dXbE1xeG8xSjRudXZTU25qS0VZdllSeWdnR2JndjNSU3h3QVUwLXBsUkI0SEJUd204OUM5S2JYWU5jamxpcDNTTzZvM05YQ29uLW0xRHczSUVTZHM5QkVWekV1NF8yaGk4TFhTUlhiWkxFYndV?oc=5,"Wed, 10 Sep 2025 10:30:19 GMT","<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxNOWwzdDhkUXJfdFJONEhJd2tfamFsbFNUSGNwVWR3d1JpUVJJOG80bWc4SGFjeF9KUEZMakloeWp4U3B6UTI1dGJCUjNId2dXbE1xeG8xSjRudXZTU25qS0VZdllSeWdnR2JndjNSU3h3QVUwLXBsUkI0SEJUd204OUM5S2JYWU5jamxpcDNTTzZvM05YQ29uLW0xRHczSUVTZHM5QkVWekV1NF8yaGk4TFhTUlhiWkxFYndV?oc=5"" target=""_blank"">Oklahoma children die more often from gunshot wounds than in other states. Why?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Oklahoman</font>",,RSS Feed
'Enough is enough': Oklahoma Democrats decry shooting of Charlie Kirk - KOCO,https://news.google.com/rss/articles/CBMilAFBVV95cUxQeEJPcTJRWkJOa2NjY1FuRHRiMTZ1aWdhb2dpOTVmUXNFNFVuZXlVNEJMQmR2elBqSDhldUdfUkM2bjRPT1dwZF83d2k1RHo3aG95Rm8zQ2UzRTVhblYwTGFfR1R2NGdUQ2ZWbThMVWlwM05jODBmeUFHQWhNVVBGS2p0OHFjNk5yR3B0MDJZZDV5TWly?oc=5,"Wed, 10 Sep 2025 23:09:00 GMT","<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxQeEJPcTJRWkJOa2NjY1FuRHRiMTZ1aWdhb2dpOTVmUXNFNFVuZXlVNEJMQmR2elBqSDhldUdfUkM2bjRPT1dwZF83d2k1RHo3aG95Rm8zQ2UzRTVhblYwTGFfR1R2NGdUQ2ZWbThMVWlwM05jODBmeUFHQWhNVVBGS2p0OHFjNk5yR3B0MDJZZDV5TWly?oc=5"" target=""_blank"">'Enough is enough': Oklahoma Democrats decry shooting of Charlie Kirk</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KOCO</font>",,RSS Feed
Oklahoma lawmakers react to shooting death of Charlie Kirk - KOKH,https://news.google.com/rss/articles/CBMi2wJBVV95cUxNdDNYbk5admxxaV9GU0UwQ1JrUGt6aTdNR3BfcmM5ajh0cW56blMtOUlaUDYwWEdvYkxxR01lUllXeGpRTTllQldlbTZnSWFLY1ZWWTE5Z3NVUTR5YmlPaGRVZWFDX20xN3YzeUdpLVhzTFR2cndMWm9jVEZHRE9HcEI0TFkxOXlfeThfMmpqdGhiWDhwLWpkbWVGUUZ5eHJoTTBFSTA4ZlBBQ0dFdGVNVFBaWjl6LUp4VHo3azM4OHZHb0hEWGxJQURUMEMtc0x3ZDRnUG5kN0IwYjQ3U2tmUkI4ZlBVXzA1N3M3cmNxS3BBYjJxa3E3MGVUNmNUMVV2bE9yUlc3TFcxSERfUTZpRlJqLVhTeTZzSGlIRGc4MXNhTnhMRjlxWE53UGZRWmpJMHprbGZSRGlDSFF4VU9tNXJ2UG1fVU9kc3NvM3phNEFBVHliS0xDUmJNUQ?oc=5,"Wed, 10 Sep 2025 21:45:28 GMT","<a href=""https://news.google.com/rss/articles/CBMi2wJBVV95cUxNdDNYbk5admxxaV9GU0UwQ1JrUGt6aTdNR3BfcmM5ajh0cW56blMtOUlaUDYwWEdvYkxxR01lUllXeGpRTTllQldlbTZnSWFLY1ZWWTE5Z3NVUTR5YmlPaGRVZWFDX20xN3YzeUdpLVhzTFR2cndMWm9jVEZHRE9HcEI0TFkxOXlfeThfMmpqdGhiWDhwLWpkbWVGUUZ5eHJoTTBFSTA4ZlBBQ0dFdGVNVFBaWjl6LUp4VHo3azM4OHZHb0hEWGxJQURUMEMtc0x3ZDRnUG5kN0IwYjQ3U2tmUkI4ZlBVXzA1N3M3cmNxS3BBYjJxa3E3MGVUNmNUMVV2bE9yUlc3TFcxSERfUTZpRlJqLVhTeTZzSGlIRGc4MXNhTnhMRjlxWE53UGZRWmpJMHprbGZSRGlDSFF4VU9tNXJ2UG1fVU9kc3NvM3phNEFBVHliS0xDUmJNUQ?oc=5"" target=""_blank"">Oklahoma lawmakers react to shooting death of Charlie Kirk</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KOKH</font>",,RSS Feed
"From Colorado to Oklahoma, one student's experiences with gun violence and gun law advocacy - The Oklahoman",https://news.google.com/rss/articles/CBMiswFBVV95cUxQbFJpTm9lb0ZhRVlCMGE2V1ZGWjV2UzFqd1VXM0hneS1wMmFheHlweEt5QkFtX09hVElVOE1tbGY0cTVrcEZUdFVNTzJ5X1NnT1k5MElEcDI5Q3dZOHdUc2R1WVkya1pDT1d6R3JhS1hjNTdoa256Yk1DS0xnTDZqaU1xd2tLa0llbnhCSXdoZ2NNVzI0UXhtbmp4YnBwaFdSSW9fdlRaeGJRd25ZX2hwYzBUdw?oc=5,"Wed, 10 Sep 2025 10:01:27 GMT","<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxQbFJpTm9lb0ZhRVlCMGE2V1ZGWjV2UzFqd1VXM0hneS1wMmFheHlweEt5QkFtX09hVElVOE1tbGY0cTVrcEZUdFVNTzJ5X1NnT1k5MElEcDI5Q3dZOHdUc2R1WVkya1pDT1d6R3JhS1hjNTdoa256Yk1DS0xnTDZqaU1xd2tLa0llbnhCSXdoZ2NNVzI0UXhtbmp4YnBwaFdSSW9fdlRaeGJRd25ZX2hwYzBUdw?oc=5"" target=""_blank"">From Colorado to Oklahoma, one student's experiences with gun violence and gun law advocacy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Oklahoman</font>",,RSS Feed
Senate advances gun bill that could expand gun rights for Oklahoma municipal employees - Oklahoma Voice,https://news.google.com/rss/articles/CBMivAFBVV95cUxNMFk0azZsMUZqeDE0X3o4am9uU2RiaDA5c0dYVFBseEN4WlgycWJZSkE0NkVpZTNZYUNrQmNibExxQ0thRHNRR0hsd2o0Ry13N0NpT3R2LXhNanI4dFBKMGdRQnVMZ2FCUFNWeEthMlJHQmk2YTJmbGg3MG5waUtDcFVJSGR3ZEZqSDh1VXExZEJxVGlKbU5nek4yQzBuTzNINmdmbjNZTDkxTEdpNHVLdHBhS0c0bGROandfcQ?oc=5,"Tue, 06 May 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxNMFk0azZsMUZqeDE0X3o4am9uU2RiaDA5c0dYVFBseEN4WlgycWJZSkE0NkVpZTNZYUNrQmNibExxQ0thRHNRR0hsd2o0Ry13N0NpT3R2LXhNanI4dFBKMGdRQnVMZ2FCUFNWeEthMlJHQmk2YTJmbGg3MG5waUtDcFVJSGR3ZEZqSDh1VXExZEJxVGlKbU5nek4yQzBuTzNINmdmbjNZTDkxTEdpNHVLdHBhS0c0bGROandfcQ?oc=5"" target=""_blank"">Senate advances gun bill that could expand gun rights for Oklahoma municipal employees</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Oklahoma Voice</font>",,RSS Feed
HURRICANE GAMEDAY,https://www.allsides.com/news/2025-09-13-0700/environment-hurricane-gameday,"Sat, 13 Sep 2025 14:00:01 +0000","<div class=""row-fluid field field-name-field-article-link field-type-link-field field-label-hidden clearfix""> <div class=""field-items""> <div class=""field-item even""> <a class=""article-link"" href=""https://tulsaworld.com/article_180d3573-9799-5973-978a-ae64723da29d.html"" rel=""nofollow"" target=""_blank"" title=""News Article"">https://tulsaworld.com/article_180d3573-9799-5973-978a-ae64723da29d.html</a> </div> </div> </div> <div class=""row-fluid field field-name-body field-type-text-with-summary field-label-hidden clearfix""> <div class=""field-items""> <div class=""field-item even""> <p>FOUR DOWNS | FOR THE GOLDEN HURRICANE 1 Don't let New Mexico State beat you again: TU coach Tre Lamb has been saying since the beginning of fall practice he was interested in how his team would respond to adversity.</p> </div> </div> </div> <div class=""row-fluid field field-name-field-image-of-news field-type-image field-label-hidden clearfix""> <div class=""field-items""> <div class=""field-item even""> <img alt="""" height=""429"" src=""https://www.allsides.com/sites/default/files/6857191.jpg"" width=""818"" /> </div> </div> </div> <div class=""row-fluid field field-name-field-news-source field-type-node-reference field-label-hidden clearfix""> <div class=""field-items""> <div class=""field-item even""> <article class=""node-133972 node node-news-source node-teaser clearfix""> <header> <h2 class=""node__title node-title""><a href=""https://www.allsides.com/news-source/tulsa-world-media-bias"">Tulsa World</a></h2> <span class=""rdf-meta element-hidden""></span> </header> <div class=""row-fluid field field-name-field-news-bias field-type-node-reference field-label-hidden clearfix""> <div class=""field-items""> <div class=""field-item even""> <article class=""node-73 node node-bias node-teaser clearfix""> <header> <span class=""rdf-meta element-hidden""></span> </header> <div class=""row-fluid field field-name-field-bias-image field-type-image field-label-hidden clearfix""> <div class=""field-items""> <div class=""field-item even""> <a href=""https://www.allsides.com/media-bias/center""><img alt=""AllSides Media Bias Rating: Center"" height=""12"" src=""https://www.allsides.com/sites/default/files/bias-center.png"" title=""AllSides Media Bias Rating: Center"" width=""72"" /></a> </div> </div> </div> <ul class=""links inline""><li class=""node-readmore first last""><a href=""https://www.allsides.com/media-bias/center"" rel=""tag"" title=""Center"">Read more<span class=""element-invisible""> about Center</span></a></li> </ul> </article><!-- /.node --> </div> </div> </div> <ul class=""links inline""><li class=""node-readmore first last""><a href=""https://www.allsides.com/news-source/tulsa-world-media-bias"" rel=""tag"" title=""Tulsa World"">Read more<span class=""element-invisible""> about Tulsa World</span></a></li> </ul> </article><!-- /.node --> </div> </div> </div> <div class=""row-fluid field field-name-field-topic field-type-taxonomy-term-reference field-label-hidden clearfix""> <div class=""field-items""> <div class=""field-item even""> <a href=""https://www.allsides.com/topics/environment"">Environment</a> </div> </div> </div> <div class=""row-fluid field field-name-field-tags-headlines field-type-taxonomy-term-reference field-label-above clearfix""> <div class=""field-label"">Tags:&nbsp;</div> <div class=""field-items""> <div class=""field-item even""> <a href=""https://www.allsides.com/tags/oklahoma"">Oklahoma</a> </div> <div class=""field-item odd""> <a href=""https://www.allsides.com/tags/tulsa"">Tulsa</a> </div> <div class=""field-item even""> <a href=""https://www.allsides.com/tags/weather"">Weather</a> </div> <div class=""field-item odd""> <a href=""https://www.allsides.com/topics/environment"">Environment</a> </div> </div> </div> <div class=""row-fluid field field-name-field-type-of-content field-type-taxonomy-term-reference field-label-above clearfix""> <div class=""field-label"">Type of Content:&nbsp;</div> <div class=""field-items""> <div class=""field-item even""> <a href=""https://www.allsides.com/news/report"">News</a> </div> </div> </div> <div class=""row-fluid field field-name-field-featured-story field-type-list-boolean field-label-above clearfix""> <div class=""field-label"">Approved Story:&nbsp;</div> <div class=""field-items""> <div class=""field-item even""> 1 </div> </div> </div> <div class=""row-fluid field field-name-field-media-type field-type-taxonomy-term-reference field-label-above clearfix""> <div class=""field-label"">Format:&nbsp;</div> <div class=""field-items""> <div class=""field-item even""> <a href=""https://www.allsides.com/articles"">Article</a> </div> </div> </div> <div class=""row-fluid field field-name-field-except-on-these-pages field-type-list-text field-label-above clearfix""> <div class=""field-label"">Hide on the following page types::&nbsp;</div> <div class=""field-items""> <div class=""field-item even""> Front Page </div> <div class=""field-item odd""> Tag Pages </div> <div class=""field-item even""> Topic Pages </div> <div class=""field-item odd""> Community Pages </div> </div> </div> <div class=""row-fluid field field-name-field-region field-type-taxonomy-term-reference field-label-above clearfix""> <div class=""field-label"">Region:&nbsp;</div> <div class=""field-items""> <div class=""field-item even""> <a href=""https://www.allsides.com/local/oklahoma"">Oklahoma</a> </div> </div> </div> <div class=""row-fluid field field-name-field-alternative-article-format field-type-list-text field-label-above clearfix""> <div class=""field-label"">News Item Format:&nbsp;</div> <div class=""field-items""> <div class=""field-item even""> Standard </div> </div> </div> <div class=""row-fluid field field-name-field-cluster field-type-taxonomy-term-reference field-label-above clearfix""> <div class=""field-label"">Story Cluster:&nbsp;</div> <div class=""field-items""> <div class=""field-item even""> <a href=""https://www.allsides.com/story-cluster/2062488"">2062488</a> </div> </div> </div> <div class=""row-fluid field field-name-field-autocurated field-type-list-boolean field-label-above clearfix""> <div class=""field-label"">Autocurated:&nbsp;</div> <div class=""field-items""> <div class=""field-item even""> 1 </div> </div> </div> <div class=""row-fluid field field-name-field-externalid field-type-text field-label-above clearfix""> <div class=""field-label"">External ID:&nbsp;</div> <div class=""field-items""> <div class=""field-item even""> 6857191 </div> </div> </div>",,RSS Feed
Bill expanding gun rights for Oklahoma municipal employees heads to governor’s desk - Oklahoma Voice,https://news.google.com/rss/articles/CBMitwFBVV95cUxQcGFrNC13XzRJc0dZNlpmWXlLQ3daZ21NUE1KcG01UUlWbC1OMnFfV3M0MUg4R3RUX2Z1bEU2S2RIbXltYVBsd3JSZE9SVVBCUVZjMHhPVndHbDA2UnAtMkg2ZnFvUlVYMmZMMng0dG5rdXlFelVlRzhIX0FLWVhqd3VCTkw1cFhKZ2hBMVhOdWVnSkpqNkdqSWt3R3E5T0x5emFsbm16ZThVQWN1dzJiUmRhOTZoUXM?oc=5,"Wed, 14 May 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxQcGFrNC13XzRJc0dZNlpmWXlLQ3daZ21NUE1KcG01UUlWbC1OMnFfV3M0MUg4R3RUX2Z1bEU2S2RIbXltYVBsd3JSZE9SVVBCUVZjMHhPVndHbDA2UnAtMkg2ZnFvUlVYMmZMMng0dG5rdXlFelVlRzhIX0FLWVhqd3VCTkw1cFhKZ2hBMVhOdWVnSkpqNkdqSWt3R3E5T0x5emFsbm16ZThVQWN1dzJiUmRhOTZoUXM?oc=5"" target=""_blank"">Bill expanding gun rights for Oklahoma municipal employees heads to governor’s desk</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Oklahoma Voice</font>",,RSS Feed
Oklahoma lawmakers push for medical marijuana patients' gun rights - KOCO,https://news.google.com/rss/articles/CBMipgFBVV95cUxNSm1oTkpZZmZEelNFYXhCUktJWGNvbnJjSmd6d0d6Zkg3Ny02bmY5Nnc4QVZ2cExHd3U4WEl0QmFaY3V6Nm8zWWZBR2dDR0tSUFRLZmZ6TG92WjJnOGkyQ3pVbXJmc0V2OTRXNl9hVi1MWkYxQjJkbnlmWERUY09fT1pkUXliMEVYRVdMQnFoLWJwWTByenlVMmN1YmxuUzByNXl4cU5n?oc=5,"Wed, 19 Feb 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxNSm1oTkpZZmZEelNFYXhCUktJWGNvbnJjSmd6d0d6Zkg3Ny02bmY5Nnc4QVZ2cExHd3U4WEl0QmFaY3V6Nm8zWWZBR2dDR0tSUFRLZmZ6TG92WjJnOGkyQ3pVbXJmc0V2OTRXNl9hVi1MWkYxQjJkbnlmWERUY09fT1pkUXliMEVYRVdMQnFoLWJwWTByenlVMmN1YmxuUzByNXl4cU5n?oc=5"" target=""_blank"">Oklahoma lawmakers push for medical marijuana patients' gun rights</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KOCO</font>",,RSS Feed
Do states with fewer gun laws and more guns have higher suicide rates? - Oklahoma Watch,https://news.google.com/rss/articles/CBMiqwFBVV95cUxONndDMWxuX2t2MGIyU0R3MkhuWC1RZ0NIcFM3alNmeGh1Q1FsU1dwVGFIR0lVX2xsOEFHYkFKSm8tWjFpb0M3b0ZGNjE4SnNUbWtXSW1KakVLV1h1TkJ0WjBZZHpJVWdBaXZjYTVULXRmbHYybFl6WEg3bG41RzkzczFTWnd5YVg1R0p1Y3JyZnQ0WkdZMldXR0xJYnAxaV9uaVlDR3FzLWpwb2s?oc=5,"Tue, 08 Jul 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxONndDMWxuX2t2MGIyU0R3MkhuWC1RZ0NIcFM3alNmeGh1Q1FsU1dwVGFIR0lVX2xsOEFHYkFKSm8tWjFpb0M3b0ZGNjE4SnNUbWtXSW1KakVLV1h1TkJ0WjBZZHpJVWdBaXZjYTVULXRmbHYybFl6WEg3bG41RzkzczFTWnd5YVg1R0p1Y3JyZnQ0WkdZMldXR0xJYnAxaV9uaVlDR3FzLWpwb2s?oc=5"" target=""_blank"">Do states with fewer gun laws and more guns have higher suicide rates?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Oklahoma Watch</font>",,RSS Feed
Oklahoma sees surge in bills promoting expanded firearm carry rights - KOKH,https://news.google.com/rss/articles/CBMi8AFBVV95cUxPVTBQX3V4SGMzSjF2RWxHQVA4d1EtQU5FSnVRNS1wNXBOMjNYZWZNZll4OTV2dEpoX3p6dVpLN3Q4cnRKNTNaU25Hd3JDNm1lYU9FTTlScm1nOHIyX3U3UnJXUGxwRTV5SzhBdXNIRTZSV2xvMHFHWU9ic0ZDelhyMkFpS2ZpUmxobDVXNk5vUzBWVVU1cnJZd2E2RllIeVBadHlaeVFrRklHcFY5aVd4bml0TmtqQ0JKdjRSZXQzUXp3aDlTdFYtRVlQb0NISENtUFNReFNrUjdZQlRlVkFTSExmamdhd3pXQ3pHenpVTGY?oc=5,"Thu, 16 Jan 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxPVTBQX3V4SGMzSjF2RWxHQVA4d1EtQU5FSnVRNS1wNXBOMjNYZWZNZll4OTV2dEpoX3p6dVpLN3Q4cnRKNTNaU25Hd3JDNm1lYU9FTTlScm1nOHIyX3U3UnJXUGxwRTV5SzhBdXNIRTZSV2xvMHFHWU9ic0ZDelhyMkFpS2ZpUmxobDVXNk5vUzBWVVU1cnJZd2E2RllIeVBadHlaeVFrRklHcFY5aVd4bml0TmtqQ0JKdjRSZXQzUXp3aDlTdFYtRVlQb0NISENtUFNReFNrUjdZQlRlVkFTSExmamdhd3pXQ3pHenpVTGY?oc=5"" target=""_blank"">Oklahoma sees surge in bills promoting expanded firearm carry rights</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KOKH</font>",,RSS Feed
