title,link,published,summary,content,source
"VICTORY FOR GUN SAFETY: Everytown, Moms Demand Action, Students Demand Action Applaud Rhode Island Governor Daniel McKee for Signing Assault Weapons Ban in Rhode Island - Everytown",https://news.google.com/rss/articles/CBMipAJBVV95cUxPNTd0TjU5OEpXTnRIcm1KRS1mdmtFcUVXMkIzLW5scm5sVEZXU0hGUHNpZnlTMEt3TWZFeDhqbjBpYWdkQXZXR0I1MFlmZ1dGQi1NZ0h2a1I3VEphLXZfN0pab3FKN283aWlNVXEzNmZwQ09UZzRUclpOYkpjODlqajNKYzkzczlQX2F5MlUzTjFFeFkyNXQ5U0NOS0F1SHM2YkVqREJCWTdwUlJIWDVLX2JnYTNaWlNYRi1kSUJNeFZWQXI0VzNLN0JiMXFnYkVfVFFNNTZ0dm9hWVZfQXNDcWRNbW9fVTN5Y3NzWFpPeUZ0VkFwRlZvZHhWcE1QZXFBVUtIYU8zaF9pSVJlZzFsT2lVRThrNjhHa0ZyZGlYNVBBd3dW?oc=5,"Thu, 26 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMipAJBVV95cUxPNTd0TjU5OEpXTnRIcm1KRS1mdmtFcUVXMkIzLW5scm5sVEZXU0hGUHNpZnlTMEt3TWZFeDhqbjBpYWdkQXZXR0I1MFlmZ1dGQi1NZ0h2a1I3VEphLXZfN0pab3FKN283aWlNVXEzNmZwQ09UZzRUclpOYkpjODlqajNKYzkzczlQX2F5MlUzTjFFeFkyNXQ5U0NOS0F1SHM2YkVqREJCWTdwUlJIWDVLX2JnYTNaWlNYRi1kSUJNeFZWQXI0VzNLN0JiMXFnYkVfVFFNNTZ0dm9hWVZfQXNDcWRNbW9fVTN5Y3NzWFpPeUZ0VkFwRlZvZHhWcE1QZXFBVUtIYU8zaF9pSVJlZzFsT2lVRThrNjhHa0ZyZGlYNVBBd3dW?oc=5"" target=""_blank"">VICTORY FOR GUN SAFETY: Everytown, Moms Demand Action, Students Demand Action Applaud Rhode Island Governor Daniel McKee for Signing Assault Weapons Ban in Rhode Island</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Everytown</font>",,RSS Feed
"Guns kill more U.S. children than other causes, but state policies can help, study finds - Rhode Island Current",https://news.google.com/rss/articles/CBMixwFBVV95cUxQWk5ySUFmRFBTMUlIY3NPNmNPLVpxVUxreV9peXhzeU5pbUZXSDZYVEJWUkdoaUhxQjlxeThhTTh5ZG1iZXpDMHNYVXRQdC0xSWU5QjBGM3pDQ1VkUC1LSER2UjdHR18xNDhZWlRtZHpSTlliemR4Q1RWODcwVVM5NXBsakhHVGd0eG01OVBwdWlyTWhqbjF2LVdCNWlXbWdCdnlnMEwtOHVPTkZkVTFpY3NlcWtfSFloVnZqUjdZN3FYU0dxVE4w?oc=5,"Mon, 23 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxQWk5ySUFmRFBTMUlIY3NPNmNPLVpxVUxreV9peXhzeU5pbUZXSDZYVEJWUkdoaUhxQjlxeThhTTh5ZG1iZXpDMHNYVXRQdC0xSWU5QjBGM3pDQ1VkUC1LSER2UjdHR18xNDhZWlRtZHpSTlliemR4Q1RWODcwVVM5NXBsakhHVGd0eG01OVBwdWlyTWhqbjF2LVdCNWlXbWdCdnlnMEwtOHVPTkZkVTFpY3NlcWtfSFloVnZqUjdZN3FYU0dxVE4w?oc=5"" target=""_blank"">Guns kill more U.S. children than other causes, but state policies can help, study finds</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Rhode Island Current</font>",,RSS Feed
Gun bills draw a crowd to R.I. State House for seven and a half hours of testimony - Rhode Island Current,https://news.google.com/rss/articles/CBMiwgFBVV95cUxNZmJobGtfRzUxOE11cWY0T2JSeGRPbTFhVHhWc05lTXItSUtkU3NqT0MyMGlEMGM3dkxDSHlKQUI4al9XLUQ3NG82NWwwT0gwalRDcTBMeHROSFRfSVpfc3JIRm9fTVFZZW9NcXVGay1SZUJUV191RkE4WVBUSUlqcEdsazBlWnpGWDIzQml3N1VudGYzaDNYMk4xb0tnTThIbHQ2N2hkXzBOREF0NlRWNUlSRzdud1VDRFVMYThGYUo3Zw?oc=5,"Wed, 14 May 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxNZmJobGtfRzUxOE11cWY0T2JSeGRPbTFhVHhWc05lTXItSUtkU3NqT0MyMGlEMGM3dkxDSHlKQUI4al9XLUQ3NG82NWwwT0gwalRDcTBMeHROSFRfSVpfc3JIRm9fTVFZZW9NcXVGay1SZUJUV191RkE4WVBUSUlqcEdsazBlWnpGWDIzQml3N1VudGYzaDNYMk4xb0tnTThIbHQ2N2hkXzBOREF0NlRWNUlSRzdud1VDRFVMYThGYUo3Zw?oc=5"" target=""_blank"">Gun bills draw a crowd to R.I. State House for seven and a half hours of testimony</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Rhode Island Current</font>",,RSS Feed
Fact vs. Fiction on Rhode Island’s Assault Weapons Ban Legislation (H 5436/SB 359) - Everytown,https://news.google.com/rss/articles/CBMisAFBVV95cUxQSDZVQ1hodEphTWI4SHljOVBQOFpMS2liOWpxbUdsN2FMQk5RRDlUQ181dW1idmp3SjJGLVVuTndYU0ljTGY4OVBaY0c4SnQ3YkE4ZDhCdWRsRy0xbHNMUENpZ0NUdDV2cUNTOGdYdkVwT0d0aGtqTnI1ZVg2WlVacDd4UngybWx3LWl2NVUwMUg1azQyLWVyLWJ5ckZuYzhEMlliWm5VM1BPWWN6eEQwTw?oc=5,"Thu, 27 Mar 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxQSDZVQ1hodEphTWI4SHljOVBQOFpMS2liOWpxbUdsN2FMQk5RRDlUQ181dW1idmp3SjJGLVVuTndYU0ljTGY4OVBaY0c4SnQ3YkE4ZDhCdWRsRy0xbHNMUENpZ0NUdDV2cUNTOGdYdkVwT0d0aGtqTnI1ZVg2WlVacDd4UngybWx3LWl2NVUwMUg1azQyLWVyLWJ5ckZuYzhEMlliWm5VM1BPWWN6eEQwTw?oc=5"" target=""_blank"">Fact vs. Fiction on Rhode Island’s Assault Weapons Ban Legislation (H 5436/SB 359)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Everytown</font>",,RSS Feed
Rhode Island Sends MSR Ban to Governor Despite Recent SCOTUS Warnings - NSSF | The Firearm Industry Trade Association,https://news.google.com/rss/articles/CBMiogFBVV95cUxPYzdyYUxjR19fRU1ZQ2h1bUVfMl96TVN0V1Z6NnMyU2NXdzFYT09kM05mM2o4QlY0UDdDZlJ0b1pzRlFBM1N4bjhvOVVoQWVILWhneU4tS1JZaXlXS0FTVmFfZ3VqOU1sS0FRc2ZIc0ExLXN6UlNrRWt0TVFyVTNHeUhyams4Vkx1dUIxYktyOGNmbW5DQjhiQzQwYWpyU284cFE?oc=5,"Thu, 26 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxPYzdyYUxjR19fRU1ZQ2h1bUVfMl96TVN0V1Z6NnMyU2NXdzFYT09kM05mM2o4QlY0UDdDZlJ0b1pzRlFBM1N4bjhvOVVoQWVILWhneU4tS1JZaXlXS0FTVmFfZ3VqOU1sS0FRc2ZIc0ExLXN6UlNrRWt0TVFyVTNHeUhyams4Vkx1dUIxYktyOGNmbW5DQjhiQzQwYWpyU284cFE?oc=5"" target=""_blank"">Rhode Island Sends MSR Ban to Governor Despite Recent SCOTUS Warnings</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NSSF | The Firearm Industry Trade Association</font>",,RSS Feed
Behind the bills: Rhode Island’s new gun control law and student cell phone ban - The Public's Radio,https://news.google.com/rss/articles/CBMiwAFBVV95cUxNNmNsOTZJTFVZQzFxRUJfc3FNUUMtZFVNQTVwclNtOGZuOFVFMmNzRzVxQlNKQVdNYmUyOHpLNGlxM254ZUlITTFaS1hJdm5UeFM1QkFLR0pfaGNzQVJPc3hjbWpZWGQtUEdyaEIxNzN3cjBVbTBrdlNaWXdyaWRKcnZYMFZacDg1YXM4Q3pZb2Zxd28xTk1Cald5Z19QbmRtOTZsTTlnU3lEb1RvNU44bUdQVW85b2YzYU1ackQzZHg?oc=5,"Fri, 27 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxNNmNsOTZJTFVZQzFxRUJfc3FNUUMtZFVNQTVwclNtOGZuOFVFMmNzRzVxQlNKQVdNYmUyOHpLNGlxM254ZUlITTFaS1hJdm5UeFM1QkFLR0pfaGNzQVJPc3hjbWpZWGQtUEdyaEIxNzN3cjBVbTBrdlNaWXdyaWRKcnZYMFZacDg1YXM4Q3pZb2Zxd28xTk1Cald5Z19QbmRtOTZsTTlnU3lEb1RvNU44bUdQVW85b2YzYU1ackQzZHg?oc=5"" target=""_blank"">Behind the bills: Rhode Island’s new gun control law and student cell phone ban</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Public's Radio</font>",,RSS Feed
"Rhode Island, Massachusetts officials respond to shooting death of Charlie Kirk - abc6.com",https://news.google.com/rss/articles/CBMiogFBVV95cUxOdlMxM1dDcjRMNm9BOTF6eW1BVm83M3VYakFTMmNxWGtLUG1hbGFweE5pZTF2bEZBdm9iMXpCb1A5TmM0N090OUdmeXNOOVhweklOWktDWTVwRU1vX25QcXdpTW1Mc3ZXZUpDZVMwYmJNQVAwSDFveUhhOERUT3RVbVJOXzJnbXA4Z0dQYUg1ZlZTV0NjM1ZkUG9nOUxWV3d4UVE?oc=5,"Wed, 10 Sep 2025 21:29:36 GMT","<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxOdlMxM1dDcjRMNm9BOTF6eW1BVm83M3VYakFTMmNxWGtLUG1hbGFweE5pZTF2bEZBdm9iMXpCb1A5TmM0N090OUdmeXNOOVhweklOWktDWTVwRU1vX25QcXdpTW1Mc3ZXZUpDZVMwYmJNQVAwSDFveUhhOERUT3RVbVJOXzJnbXA4Z0dQYUg1ZlZTV0NjM1ZkUG9nOUxWV3d4UVE?oc=5"" target=""_blank"">Rhode Island, Massachusetts officials respond to shooting death of Charlie Kirk</a>&nbsp;&nbsp;<font color=""#6f6f6f"">abc6.com</font>",,RSS Feed
"R.I. follows Mass., Conn., in mandating state access to latest COVID-19 shot - Rhode Island Current",https://news.google.com/rss/articles/CBMitAFBVV95cUxQOGFlbkdldkNtd1MzREZMTFJaYXppWDBxQnRJd2VkOTNpU3JDUm5rbFBoSTFTSVZMdFBkQVhlSk14amhDOUdDZVhuLU1vQTh6eDUzUjJUc3dWVF9kREdCLURWZWt0UjhWWHBXTnJ1ci1veHhqdV9paW5nMGVNYlRKZm92M0Z2eGZJbFhyaUZFQ0Z3UDMyQ3JjWFR0QmpIVnNWUGQwV1Yzeml3dlR5dWlld2Y3bG0?oc=5,"Fri, 12 Sep 2025 20:15:38 GMT","<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxQOGFlbkdldkNtd1MzREZMTFJaYXppWDBxQnRJd2VkOTNpU3JDUm5rbFBoSTFTSVZMdFBkQVhlSk14amhDOUdDZVhuLU1vQTh6eDUzUjJUc3dWVF9kREdCLURWZWt0UjhWWHBXTnJ1ci1veHhqdV9paW5nMGVNYlRKZm92M0Z2eGZJbFhyaUZFQ0Z3UDMyQ3JjWFR0QmpIVnNWUGQwV1Yzeml3dlR5dWlld2Y3bG0?oc=5"" target=""_blank"">R.I. follows Mass., Conn., in mandating state access to latest COVID-19 shot</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Rhode Island Current</font>",,RSS Feed
Ban on selling assault-style weapons in R.I. becomes law - Rhode Island Current,https://news.google.com/rss/articles/CBMinwFBVV95cUxQUXVLR0tXeGFhejBrZHJJRWR3dGFjbXVISW1jajVoRmpkamFJd1YwZDRuc3JSMnM3V1FkSVBuS01QdXFjUm1PdDhxTHRLY2o1NHk4amhPaXpvTVVZOS1IUWxQOUxWS2s5SzNsTFlJLVJCRS1OejN1OGVESzBoUkhwSkRKc0d1VW45dG9jU1p4WEw5eFpoNldCYU5POHQtOFU?oc=5,"Thu, 26 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxQUXVLR0tXeGFhejBrZHJJRWR3dGFjbXVISW1jajVoRmpkamFJd1YwZDRuc3JSMnM3V1FkSVBuS01QdXFjUm1PdDhxTHRLY2o1NHk4amhPaXpvTVVZOS1IUWxQOUxWS2s5SzNsTFlJLVJCRS1OejN1OGVESzBoUkhwSkRKc0d1VW45dG9jU1p4WEw5eFpoNldCYU5POHQtOFU?oc=5"" target=""_blank"">Ban on selling assault-style weapons in R.I. becomes law</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Rhode Island Current</font>",,RSS Feed
"VICTORY FOR GUN SAFETY: Everytown, Moms Demand Action, Students Demand Action Applaud Rhode Island Governor Daniel McKee for Signing Assault Weapons Ban in Rhode Island | Everytown - Everytown",https://news.google.com/rss/articles/CBMipAJBVV95cUxPNTd0TjU5OEpXTnRIcm1KRS1mdmtFcUVXMkIzLW5scm5sVEZXU0hGUHNpZnlTMEt3TWZFeDhqbjBpYWdkQXZXR0I1MFlmZ1dGQi1NZ0h2a1I3VEphLXZfN0pab3FKN283aWlNVXEzNmZwQ09UZzRUclpOYkpjODlqajNKYzkzczlQX2F5MlUzTjFFeFkyNXQ5U0NOS0F1SHM2YkVqREJCWTdwUlJIWDVLX2JnYTNaWlNYRi1kSUJNeFZWQXI0VzNLN0JiMXFnYkVfVFFNNTZ0dm9hWVZfQXNDcWRNbW9fVTN5Y3NzWFpPeUZ0VkFwRlZvZHhWcE1QZXFBVUtIYU8zaF9pSVJlZzFsT2lVRThrNjhHa0ZyZGlYNVBBd3dW?oc=5,"Thu, 26 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMipAJBVV95cUxPNTd0TjU5OEpXTnRIcm1KRS1mdmtFcUVXMkIzLW5scm5sVEZXU0hGUHNpZnlTMEt3TWZFeDhqbjBpYWdkQXZXR0I1MFlmZ1dGQi1NZ0h2a1I3VEphLXZfN0pab3FKN283aWlNVXEzNmZwQ09UZzRUclpOYkpjODlqajNKYzkzczlQX2F5MlUzTjFFeFkyNXQ5U0NOS0F1SHM2YkVqREJCWTdwUlJIWDVLX2JnYTNaWlNYRi1kSUJNeFZWQXI0VzNLN0JiMXFnYkVfVFFNNTZ0dm9hWVZfQXNDcWRNbW9fVTN5Y3NzWFpPeUZ0VkFwRlZvZHhWcE1QZXFBVUtIYU8zaF9pSVJlZzFsT2lVRThrNjhHa0ZyZGlYNVBBd3dW?oc=5"" target=""_blank"">VICTORY FOR GUN SAFETY: Everytown, Moms Demand Action, Students Demand Action Applaud Rhode Island Governor Daniel McKee for Signing Assault Weapons Ban in Rhode Island | Everytown</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Everytown</font>",,RSS Feed
