title,link,published,summary,content,source
"Despite Strong Opposition from Gun Safety Advocates, South Dakota Legislature Passes Measure to Force Guns on College Campuses, Moms Demand Action and Students Demand Action Urge Governor to Veto - Everytown",https://news.google.com/rss/articles/CBMiygJBVV95cUxPOW1XekpsZ2J0b0NranZUZW84VG9pc0hfZWtuUFJTamlWaE5HZkxFUGI5d1RFMFJVWnVicmwwUVlITTRveXU3cmR2RVlCd1VsOXUtNzZMUTZrOUl3ZU5yYzBMSlJ3MnktVzFnQ0xzZk1BU0VmbERCbVQyQkdydFNtdWZXT1VnLUNaX3d6eTZBR2hDYXlBN3NXQmEyTHZqRmZZeVdhYWJ6a1NSNHFLUTRxVDBuZW9uTTF4TFEwYUxEWENfanBscnBUUFk3N1ZWOG50amlvUHNwb0NJV05PT2xXd3otNUlpOUZPT3daYmh2NjBtZk1zWkpTSGF0cDcwVmdSVk1OUVRRRmpObjZuMUZWRy0tOWkxRmtvUzBuTXE4NHJuRnRhSExGREJhWUQ5blZNYmpoUWx4UXlCZXBrbDlnVzU0OHVZQTVFS3c?oc=5,"Thu, 06 Mar 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiygJBVV95cUxPOW1XekpsZ2J0b0NranZUZW84VG9pc0hfZWtuUFJTamlWaE5HZkxFUGI5d1RFMFJVWnVicmwwUVlITTRveXU3cmR2RVlCd1VsOXUtNzZMUTZrOUl3ZU5yYzBMSlJ3MnktVzFnQ0xzZk1BU0VmbERCbVQyQkdydFNtdWZXT1VnLUNaX3d6eTZBR2hDYXlBN3NXQmEyTHZqRmZZeVdhYWJ6a1NSNHFLUTRxVDBuZW9uTTF4TFEwYUxEWENfanBscnBUUFk3N1ZWOG50amlvUHNwb0NJV05PT2xXd3otNUlpOUZPT3daYmh2NjBtZk1zWkpTSGF0cDcwVmdSVk1OUVRRRmpObjZuMUZWRy0tOWkxRmtvUzBuTXE4NHJuRnRhSExGREJhWUQ5blZNYmpoUWx4UXlCZXBrbDlnVzU0OHVZQTVFS3c?oc=5"" target=""_blank"">Despite Strong Opposition from Gun Safety Advocates, South Dakota Legislature Passes Measure to Force Guns on College Campuses, Moms Demand Action and Students Demand Action Urge Governor to Veto</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Everytown</font>",,RSS Feed
Youth gun deaths in the US have surged 50% since 2019 - South Dakota Searchlight,https://news.google.com/rss/articles/CBMioAFBVV95cUxOUlNCM0tfekVpcEo1VkFHdHNPOExxS0VncEZHQ0N5UlR3TVUwR05lOUY5TTNaYXo0NEdDV19PaWRsZ2s0OWliSmZLYWxrbWozb3NlM0UwUTc5RU5zSk0tTW96eTVRSDhsSFBwQS00MmJvRFp2QmdUcDgtaWRjd2x3LWxlY0JrOTdoN1RsRHVVV01yT3BJeldMd2hXUzhNRy1G?oc=5,"Mon, 24 Mar 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxOUlNCM0tfekVpcEo1VkFHdHNPOExxS0VncEZHQ0N5UlR3TVUwR05lOUY5TTNaYXo0NEdDV19PaWRsZ2s0OWliSmZLYWxrbWozb3NlM0UwUTc5RU5zSk0tTW96eTVRSDhsSFBwQS00MmJvRFp2QmdUcDgtaWRjd2x3LWxlY0JrOTdoN1RsRHVVV01yT3BJeldMd2hXUzhNRy1G?oc=5"" target=""_blank"">Youth gun deaths in the US have surged 50% since 2019</a>&nbsp;&nbsp;<font color=""#6f6f6f"">South Dakota Searchlight</font>",,RSS Feed
How many people die from gun-related injuries in South Dakota each year? - usafacts.org,https://news.google.com/rss/articles/CBMitgFBVV95cUxNY3hXYmFiN1UzLXdVRnRxeVFnNWZQWG05dzJibGVvZmZibDdXODZjNHQ5ZFB6S01HeThla1FtZUJ1c0w2NVl5eTZNSi1uOFU3aWJvV3JYeVhlZlhpWE4yMDVQeFJIclNCRXFBaUFtLW9NeG9sUzVFTDNfWVNZQXRmdmlQcG1oTUV0RjdQd2RvaGs2c2Z3N2tVM3lJZFhkYmg5ZWQ4RGxmUFpTVV9NQ195Y21XdGkyQQ?oc=5,"Sat, 14 Dec 2024 03:40:19 GMT","<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxNY3hXYmFiN1UzLXdVRnRxeVFnNWZQWG05dzJibGVvZmZibDdXODZjNHQ5ZFB6S01HeThla1FtZUJ1c0w2NVl5eTZNSi1uOFU3aWJvV3JYeVhlZlhpWE4yMDVQeFJIclNCRXFBaUFtLW9NeG9sUzVFTDNfWVNZQXRmdmlQcG1oTUV0RjdQd2RvaGs2c2Z3N2tVM3lJZFhkYmg5ZWQ4RGxmUFpTVV9NQ195Y21XdGkyQQ?oc=5"" target=""_blank"">How many people die from gun-related injuries in South Dakota each year?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">usafacts.org</font>",,RSS Feed
Sandy Hook survivor calls for gun safety education in South Dakota - Dakota News Now,https://news.google.com/rss/articles/CBMiowFBVV95cUxOOGswakJueXVFTS1ld2dEdmhHcEJWbVBSeEtkV2p6ckY5YjFQQXYzSThnc1BxbWtuMFdLMHRNS09kNEZLcHA1NXdMREpYZFhYSnlJY29TbzZ4bFRGRkh4dElpM3ZmOFgyTjNRdUpVWi1vdjY5QjVTR2RJT0pFUmItTGp4MVJCT3NNRVhVZ2stWXdya013NHpKd3N6UklGRk9lQmpF0gG3AUFVX3lxTE5qdURkZ3JtWUE0dmRBQzdabXYtcmpJNEJMaml2cnFSRHVmbWt1YTR4ZTZEQkp4anhmT2JHWm9rSGJzalc5bUVyTndycWdIWGMxcHpWTVJsakVsM1RhaWo5QmVKb0hDUWFsdFBsMW83c3FhQ01kNGdPU3phaUk4SFJhUDZ2U1VXMlFEMXhLY1F2dWF2N0M1VlRNZzlJM0VuNHRwWVB3cVJIS3k5ZVItNDRoSFlzc1VnRQ?oc=5,"Wed, 30 Jul 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxOOGswakJueXVFTS1ld2dEdmhHcEJWbVBSeEtkV2p6ckY5YjFQQXYzSThnc1BxbWtuMFdLMHRNS09kNEZLcHA1NXdMREpYZFhYSnlJY29TbzZ4bFRGRkh4dElpM3ZmOFgyTjNRdUpVWi1vdjY5QjVTR2RJT0pFUmItTGp4MVJCT3NNRVhVZ2stWXdya013NHpKd3N6UklGRk9lQmpF0gG3AUFVX3lxTE5qdURkZ3JtWUE0dmRBQzdabXYtcmpJNEJMaml2cnFSRHVmbWt1YTR4ZTZEQkp4anhmT2JHWm9rSGJzalc5bUVyTndycWdIWGMxcHpWTVJsakVsM1RhaWo5QmVKb0hDUWFsdFBsMW83c3FhQ01kNGdPU3phaUk4SFJhUDZ2U1VXMlFEMXhLY1F2dWF2N0M1VlRNZzlJM0VuNHRwWVB3cVJIS3k5ZVItNDRoSFlzc1VnRQ?oc=5"" target=""_blank"">Sandy Hook survivor calls for gun safety education in South Dakota</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dakota News Now</font>",,RSS Feed
What concealed carry on campus means for South Dakota schools - South Dakota News Watch,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPdU9sYzIzX3VFRTVTY09IQ18yS0ZRaUx6ME0xUTBzRGY3X2lVeGpQSi1lNUFTTXZsSHcxSnZCbDl3R3VYY281THZaMWhaSURvNUFYWFNCbFMzLTFNNy1WdUc1YmFhenhDUG1RcmdPTTBGejhRNHNVQ1kyYXp3RzZHVUZZenB5cmVCY1Nv?oc=5,"Thu, 12 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiiwFBVV95cUxPdU9sYzIzX3VFRTVTY09IQ18yS0ZRaUx6ME0xUTBzRGY3X2lVeGpQSi1lNUFTTXZsSHcxSnZCbDl3R3VYY281THZaMWhaSURvNUFYWFNCbFMzLTFNNy1WdUc1YmFhenhDUG1RcmdPTTBGejhRNHNVQ1kyYXp3RzZHVUZZenB5cmVCY1Nv?oc=5"" target=""_blank"">What concealed carry on campus means for South Dakota schools</a>&nbsp;&nbsp;<font color=""#6f6f6f"">South Dakota News Watch</font>",,RSS Feed
South Dakota governor signs bills allowing concealed handguns at bars and colleges - South Dakota Searchlight,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOLUdCUV9iR0JNOFpLLU83Z0k5dGd1SXpLQTEta0pwTHFCX0lMRHpOWGN0SFZsRV9ILW85aDV5aHU5bTBSLW5mTWRiMXMwYUplTngxQ1ZKZU5yWU8zaDFxMkdOUzA5aEpaSUdHUmdVMmlnQVRJTmtUTWpMUUJsNHFSZzNyM3dkSWpGWmI2eGdRR2tCVXNxUmhDd0lNRDhTVERNdmt0dlpQd3FYZW9mczNvRTlETVEyN3JlSFZ5NGVOYWNRT3dkdFNFOQ?oc=5,"Mon, 24 Mar 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxOLUdCUV9iR0JNOFpLLU83Z0k5dGd1SXpLQTEta0pwTHFCX0lMRHpOWGN0SFZsRV9ILW85aDV5aHU5bTBSLW5mTWRiMXMwYUplTngxQ1ZKZU5yWU8zaDFxMkdOUzA5aEpaSUdHUmdVMmlnQVRJTmtUTWpMUUJsNHFSZzNyM3dkSWpGWmI2eGdRR2tCVXNxUmhDd0lNRDhTVERNdmt0dlpQd3FYZW9mczNvRTlETVEyN3JlSFZ5NGVOYWNRT3dkdFNFOQ?oc=5"" target=""_blank"">South Dakota governor signs bills allowing concealed handguns at bars and colleges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">South Dakota Searchlight</font>",,RSS Feed
South Dakota lawmakers pass amended bill to allow concealed guns in bars - Argus Leader,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQRWtOdjlEWFdsaE1yeFFHSjR1WmpNY1p6em5hUlRWb2FtSFFEd0dmMVBUN2E0dmxvOVQ4TDJPMFRXMXUwRThjMHFSN2l6X1R1Y1hVMzBzOWdvSl9fZDBtdDQ4anlXNl9MdEdESnd1T2lnZE4yWVI1NkQ3WTFvYXpLb09GNGx0WkU4NGZrbkhaY0FpamhHZU04eEo0MVhnOXA4Tjk2anBXWmhzc2ZsZl9HdHNpSEFmbGlnUk5COEZMTHJlR0xSNE80T3BsNmhjR3BMMEE?oc=5,"Wed, 12 Mar 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxQRWtOdjlEWFdsaE1yeFFHSjR1WmpNY1p6em5hUlRWb2FtSFFEd0dmMVBUN2E0dmxvOVQ4TDJPMFRXMXUwRThjMHFSN2l6X1R1Y1hVMzBzOWdvSl9fZDBtdDQ4anlXNl9MdEdESnd1T2lnZE4yWVI1NkQ3WTFvYXpLb09GNGx0WkU4NGZrbkhaY0FpamhHZU04eEo0MVhnOXA4Tjk2anBXWmhzc2ZsZl9HdHNpSEFmbGlnUk5COEZMTHJlR0xSNE80T3BsNmhjR3BMMEE?oc=5"" target=""_blank"">South Dakota lawmakers pass amended bill to allow concealed guns in bars</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Argus Leader</font>",,RSS Feed
South Dakota is a leader on Second Amendment rights - Brookings Register,https://news.google.com/rss/articles/CBMinAFBVV95cUxPYTN2bDRNLUExRUlxdHZtSENVZDlUMmlpYmdXcUdUNGNjRkZpUDBOUi1HQzZ1ZjM4TWJzbWJoNHJydFlTOWE4Ui1pdzA1bmhUMnhRN0JXQ3NpQlNhNm5PMGVDaVZVc19KcVF2d0lGT1J2WG04bXM4RVlWaEU3OFRUTzlnNl9IeUFibjRvOTY3X1gtNjg1T1hBd2VHMlU?oc=5,"Mon, 14 Jul 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxPYTN2bDRNLUExRUlxdHZtSENVZDlUMmlpYmdXcUdUNGNjRkZpUDBOUi1HQzZ1ZjM4TWJzbWJoNHJydFlTOWE4Ui1pdzA1bmhUMnhRN0JXQ3NpQlNhNm5PMGVDaVZVc19KcVF2d0lGT1J2WG04bXM4RVlWaEU3OFRUTzlnNl9IeUFibjRvOTY3X1gtNjg1T1hBd2VHMlU?oc=5"" target=""_blank"">South Dakota is a leader on Second Amendment rights</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Brookings Register</font>",,RSS Feed
South Dakota political leaders offer prayers for slain conservative activist Charlie Kirk - Argus Leader,https://news.google.com/rss/articles/CBMizgFBVV95cUxQR0lRTUhEWS1qOFRRTTZTY3ZBdzE3Zm5ndlgzcHIwRElROHl6aF82aU10SUFVUHFlem1MQmxNTXdyQTJqdHZmWW84d1c3NlFGV0o2SHN6WHMyRGtBSnBVZlhLS0tvaG1Hd3Nvc1lDbHhQeGJBQ3ltS3VUMFdxeEtYRTc3SnFJUVQyYVFVQjhFYTlUMkprOUg1aV84QkNNTEl3TldrdzZVMDlQUHpHSUFwQVZ2TkRxMVVlcXV3R1Zzc1d6eEpCMDhRSWQtYlZhQQ?oc=5,"Thu, 11 Sep 2025 04:18:45 GMT","<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxQR0lRTUhEWS1qOFRRTTZTY3ZBdzE3Zm5ndlgzcHIwRElROHl6aF82aU10SUFVUHFlem1MQmxNTXdyQTJqdHZmWW84d1c3NlFGV0o2SHN6WHMyRGtBSnBVZlhLS0tvaG1Hd3Nvc1lDbHhQeGJBQ3ltS3VUMFdxeEtYRTc3SnFJUVQyYVFVQjhFYTlUMkprOUg1aV84QkNNTEl3TldrdzZVMDlQUHpHSUFwQVZ2TkRxMVVlcXV3R1Zzc1d6eEpCMDhRSWQtYlZhQQ?oc=5"" target=""_blank"">South Dakota political leaders offer prayers for slain conservative activist Charlie Kirk</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Argus Leader</font>",,RSS Feed
South Dakota leaders speak out after Charlie Kirk shooting - Dakota News Now,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQUUZzZmVneFhnUTVDc2wybVl5Vldsd2RsSmFLbTQ4UUE2Njk4UGlfOC1VYWZ3Y25EVWZqQ2hHaFAyVnE3bFBSMmNBV1pQVTJsWFp2M1g5S1p2ZjRUSmJKaFRkRWU3aFN5cDVybjN0cFJyUERPYXNGR1k2RkExamVRdXVweWZ4bTZkLWxoZnh3amNSYjlVUDE1dmx1bWtvNDVfTnhSM0dhdXZ3dw?oc=5,"Thu, 11 Sep 2025 03:20:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxQUUZzZmVneFhnUTVDc2wybVl5Vldsd2RsSmFLbTQ4UUE2Njk4UGlfOC1VYWZ3Y25EVWZqQ2hHaFAyVnE3bFBSMmNBV1pQVTJsWFp2M1g5S1p2ZjRUSmJKaFRkRWU3aFN5cDVybjN0cFJyUERPYXNGR1k2RkExamVRdXVweWZ4bTZkLWxoZnh3amNSYjlVUDE1dmx1bWtvNDVfTnhSM0dhdXZ3dw?oc=5"" target=""_blank"">South Dakota leaders speak out after Charlie Kirk shooting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dakota News Now</font>",,RSS Feed
