title,link,published,summary,content,source
Hundreds of Va. students walk out of class in coordinated gun violence protest - Virginia Mercury,https://news.google.com/rss/articles/CBMiswFBVV95cUxPZFVZZ2tHczVJVE4xSGZpMXcxREhfdm1ZaUhEVHdsejZSaXp4UzhCMzVfdlFxck9DeUFrUlY1TDFmMXdhd0JKREpmcEFCRXFpVVA2S3Bicy16TW9Uc2h1UldlRjlMY24wbVlMa0xwbmRhc05LYm9FeVZXYURqX0RxVDZYSk5LWEpZZDB1RGwxd0d5c0k0Y3ZjRlE0T3U5M2JXQXVPSThtYkVxQUZXUUw4SFlTQQ?oc=5,"Fri, 05 Sep 2025 19:37:29 GMT","<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxPZFVZZ2tHczVJVE4xSGZpMXcxREhfdm1ZaUhEVHdsejZSaXp4UzhCMzVfdlFxck9DeUFrUlY1TDFmMXdhd0JKREpmcEFCRXFpVVA2S3Bicy16TW9Uc2h1UldlRjlMY24wbVlMa0xwbmRhc05LYm9FeVZXYURqX0RxVDZYSk5LWEpZZDB1RGwxd0d5c0k0Y3ZjRlE0T3U5M2JXQXVPSThtYkVxQUZXUUw4SFlTQQ?oc=5"" target=""_blank"">Hundreds of Va. students walk out of class in coordinated gun violence protest</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Virginia Mercury</font>",,RSS Feed
"As Virginia’s Legislative Session Comes To An End, Gun Safety Advocates Await Governor’s Action on More Than 20 Gun Safety Bills - Everytown",https://news.google.com/rss/articles/CBMi7wFBVV95cUxOTktGRGRJbk8wX0o4SXB4NndrM1l2eG1LRDdiREdQV1BLQmQ4Zk54MGxITVJ5Z3R0UzQwTDBCbk4wRmxNYkdfVUFka2NZUktOdFNsX0xUWV9nU1hZNl9SVXMybW52MHROakVNRDJvQmJONzRRaXB0Z3dsYm5VbTZ1eTlRdjJkU2h3WGlsbnhzUlNDdHQ1WDVlWkw2aG16OTRQMDVRWTBwVGNrdGVWNllCVlNBaTlLaGRGSHg1LUUxWFY5REZHbGxnbjYyaDBtcFJtazJad19jc19SRld3YnczcFFRT0RHa2VUSEdwV21wTQ?oc=5,"Mon, 24 Feb 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxOTktGRGRJbk8wX0o4SXB4NndrM1l2eG1LRDdiREdQV1BLQmQ4Zk54MGxITVJ5Z3R0UzQwTDBCbk4wRmxNYkdfVUFka2NZUktOdFNsX0xUWV9nU1hZNl9SVXMybW52MHROakVNRDJvQmJONzRRaXB0Z3dsYm5VbTZ1eTlRdjJkU2h3WGlsbnhzUlNDdHQ1WDVlWkw2aG16OTRQMDVRWTBwVGNrdGVWNllCVlNBaTlLaGRGSHg1LUUxWFY5REZHbGxnbjYyaDBtcFJtazJad19jc19SRld3YnczcFFRT0RHa2VUSEdwV21wTQ?oc=5"" target=""_blank"">As Virginia’s Legislative Session Comes To An End, Gun Safety Advocates Await Governor’s Action on More Than 20 Gun Safety Bills</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Everytown</font>",,RSS Feed
"Amidst rise in political violence, Virginia politicians aren’t hiding - Cville Right Now",https://news.google.com/rss/articles/CBMiqwFBVV95cUxQV0RNaUVreDRuQVI3eXBWQl9keXBnLWR5UnpPWnlXTFlzNGg3QllvamFvVi1HVUxoV05GTG40dGZFQ3U0VHZGODZfZGZ0cHRPVHBOeVNkZEo5WnB0TUQ4cnpZaVY5Y2xmaXFOa1NUamtDMGliNnBxRlV0QVJ5Rm1SM0MyTnVISXFmZDNRbnZxRGJVNVVTVnBia2dYM0l5TnAzSUUtcWROYkp4TE0?oc=5,"Fri, 12 Sep 2025 10:48:31 GMT","<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxQV0RNaUVreDRuQVI3eXBWQl9keXBnLWR5UnpPWnlXTFlzNGg3QllvamFvVi1HVUxoV05GTG40dGZFQ3U0VHZGODZfZGZ0cHRPVHBOeVNkZEo5WnB0TUQ4cnpZaVY5Y2xmaXFOa1NUamtDMGliNnBxRlV0QVJ5Rm1SM0MyTnVISXFmZDNRbnZxRGJVNVVTVnBia2dYM0l5TnAzSUUtcWROYkp4TE0?oc=5"" target=""_blank"">Amidst rise in political violence, Virginia politicians aren’t hiding</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Cville Right Now</font>",,RSS Feed
"Clinic Students Help Pass Bills on Preventing Gun Violence, Math Education, Criminal Justice - University of Virginia School of Law",https://news.google.com/rss/articles/CBMixwFBVV95cUxNRFdFTi1Fd3pkOGdtRVplRUpKNHhDVmFpYnJNbHdTdC1CeHQ3clJfbzdaNEtrbU1GVkpZQ0I0SS1MY29qWDdkSWtEUzVad2s1U1VaRmtCcXhrVkI1V3Yxd1JIOG1HMkpJVVNYNGlfQ1ZDcnFOclJSLUNLS01CblotTEtIVTJEajlJdVRTRnVLZ19kb3JCWWZuVEtuR2FvMktKS0xUaTRqNnNOSzNaZWs2ZFdlX3h4VDg5R2dneVY2SG1SUDFPSlFF?oc=5,"Tue, 20 May 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxNRFdFTi1Fd3pkOGdtRVplRUpKNHhDVmFpYnJNbHdTdC1CeHQ3clJfbzdaNEtrbU1GVkpZQ0I0SS1MY29qWDdkSWtEUzVad2s1U1VaRmtCcXhrVkI1V3Yxd1JIOG1HMkpJVVNYNGlfQ1ZDcnFOclJSLUNLS01CblotTEtIVTJEajlJdVRTRnVLZ19kb3JCWWZuVEtuR2FvMktKS0xUaTRqNnNOSzNaZWs2ZFdlX3h4VDg5R2dneVY2SG1SUDFPSlFF?oc=5"" target=""_blank"">Clinic Students Help Pass Bills on Preventing Gun Violence, Math Education, Criminal Justice</a>&nbsp;&nbsp;<font color=""#6f6f6f"">University of Virginia School of Law</font>",,RSS Feed
Virginia leaders speak on Hampton Roads gun violence at National Night Out - 13newsnow.com,https://news.google.com/rss/articles/CBMijwJBVV95cUxNZGU4eDVFYXh6OHNUOXFFbklEYVZjQU9DSUdhRjRBME84MjNJQzBXTS1nLTNMTEJEV2Z2M2J4eU9xSTIyZlJ5ZXN1WHU1bG9YYmx3aW8wdGxBWU5COHI0UXo4VElQbXN5bkQwSEFwRnduYjNSeHM5blBWV2JjLS1MM2dKU2hEYUpQOElfQ1dKNV81a2QtbE8tNUsxb09oZUI2bGZiX1d3VlhYNjhkWXJlMWJKMzY0UlFXWmc2dF9ZN0gyMEF2ZVVTMlA0RGQwUTB4UURueVNRbldNTHJfQUU3Nk1RZ3VuNW05U044R0QxdEZucm1yRXVLaVg5eEtUUjZEaUI2ODRQNnJGMEpLUkpN?oc=5,"Tue, 05 Aug 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMijwJBVV95cUxNZGU4eDVFYXh6OHNUOXFFbklEYVZjQU9DSUdhRjRBME84MjNJQzBXTS1nLTNMTEJEV2Z2M2J4eU9xSTIyZlJ5ZXN1WHU1bG9YYmx3aW8wdGxBWU5COHI0UXo4VElQbXN5bkQwSEFwRnduYjNSeHM5blBWV2JjLS1MM2dKU2hEYUpQOElfQ1dKNV81a2QtbE8tNUsxb09oZUI2bGZiX1d3VlhYNjhkWXJlMWJKMzY0UlFXWmc2dF9ZN0gyMEF2ZVVTMlA0RGQwUTB4UURueVNRbldNTHJfQUU3Nk1RZ3VuNW05U044R0QxdEZucm1yRXVLaVg5eEtUUjZEaUI2ODRQNnJGMEpLUkpN?oc=5"" target=""_blank"">Virginia leaders speak on Hampton Roads gun violence at National Night Out</a>&nbsp;&nbsp;<font color=""#6f6f6f"">13newsnow.com</font>",,RSS Feed
Localities are too timid about using Virginia red flag law that can save lives - Virginia Mercury,https://news.google.com/rss/articles/CBMiugFBVV95cUxQdktpMVVIdmh1VU9oQS1EamJHRV9rTUlXbmprc0VoZTN2a050TXZDTmxtWjJ6RGlQRm9UYnVCWmIzUnV4aXAyOEF3blRYUThON0R4dGtIR1owQlMycVFOWUV0WDAzaVlLcVV1RHA1ejItUFNYRkxJOTdiVlVXTWtzUUNMQnVhZWZDU2pDMURIRmlDUk9lRUNfLWt6MlNacVBvSVpwdEc0bG9WTUFUMnc0aDlrX3RFZ1JDc3c?oc=5,"Thu, 11 Sep 2025 09:24:27 GMT","<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxQdktpMVVIdmh1VU9oQS1EamJHRV9rTUlXbmprc0VoZTN2a050TXZDTmxtWjJ6RGlQRm9UYnVCWmIzUnV4aXAyOEF3blRYUThON0R4dGtIR1owQlMycVFOWUV0WDAzaVlLcVV1RHA1ejItUFNYRkxJOTdiVlVXTWtzUUNMQnVhZWZDU2pDMURIRmlDUk9lRUNfLWt6MlNacVBvSVpwdEc0bG9WTUFUMnc0aDlrX3RFZ1JDc3c?oc=5"" target=""_blank"">Localities are too timid about using Virginia red flag law that can save lives</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Virginia Mercury</font>",,RSS Feed
Governor Glenn Youngkin Vetoes Critical Pieces of Gun Safety Legislation While Signing Other Gun Safety Measures; Virginia Chapters of Moms Demand Action and Students Demand Action Respond - Everytown,https://news.google.com/rss/articles/CBMiwgJBVV95cUxOUjBsLUE0WExvbFFtUXQyVVN3R2FCSmZITUNCX3lmZTRNZ1VudmRBNnc5aENKMW5RUnlvRE52LWhYZjJqU1Q3SjhpWjczU25TNHRIdmhlUVJpdnN5YzN6bk5aT0pLOVFHSExfckJYVkEwdXhIaEdkMXZzSmxMdU9jdU03czQ0ZnRDYUY2OFBpOGZ4aEhiQ2o0ZjFKUF9PYUplTzhoQ0tXR1NSTnNJMm1NU0d5TFZ1N05GdVJRMzAtaG9rNEt6YWtGei1vQm5lQmRqMHFjZXVZWlVnaHBtX242cEY0bmlSR3hpaWlfblJnd20tNnhtTjJoUFRaUjBhNXNxeVlfaER6U3dhLUZLUGxXNGJ4MWZ6UFpQa0ZQRHp0VndERmNFWWcwTWJ4U01WOHhJd0NjNjY2YjhFb3VBNWV4cGV3?oc=5,"Wed, 26 Mar 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiwgJBVV95cUxOUjBsLUE0WExvbFFtUXQyVVN3R2FCSmZITUNCX3lmZTRNZ1VudmRBNnc5aENKMW5RUnlvRE52LWhYZjJqU1Q3SjhpWjczU25TNHRIdmhlUVJpdnN5YzN6bk5aT0pLOVFHSExfckJYVkEwdXhIaEdkMXZzSmxMdU9jdU03czQ0ZnRDYUY2OFBpOGZ4aEhiQ2o0ZjFKUF9PYUplTzhoQ0tXR1NSTnNJMm1NU0d5TFZ1N05GdVJRMzAtaG9rNEt6YWtGei1vQm5lQmRqMHFjZXVZWlVnaHBtX242cEY0bmlSR3hpaWlfblJnd20tNnhtTjJoUFRaUjBhNXNxeVlfaER6U3dhLUZLUGxXNGJ4MWZ6UFpQa0ZQRHp0VndERmNFWWcwTWJ4U01WOHhJd0NjNjY2YjhFb3VBNWV4cGV3?oc=5"" target=""_blank"">Governor Glenn Youngkin Vetoes Critical Pieces of Gun Safety Legislation While Signing Other Gun Safety Measures; Virginia Chapters of Moms Demand Action and Students Demand Action Respond</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Everytown</font>",,RSS Feed
Virginia Democrats take aim at gun control vetoes during reconvene session - Courthouse News Service,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQOFFIQnBHdHJ5Z1UtRlZuY2UxUGlXcTRlQ09LMEFkY19mSUN5Q0ZQYm5OYlNIVHp6ODl4VTBQcHFYczRuVEdDX1g0RlVxTzFGdF9hbGg2MEw3eFJTZ2NSS19KTGY1SW5zZEZQOWhFUks2enpNeGZXa3NDSFJoUUNGbF9nNnNTd01zLURUM2t5QVk3YnVqdTFGQmxPdk1iOTB5YU9oUGJxcy1GQQ?oc=5,"Wed, 02 Apr 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxQOFFIQnBHdHJ5Z1UtRlZuY2UxUGlXcTRlQ09LMEFkY19mSUN5Q0ZQYm5OYlNIVHp6ODl4VTBQcHFYczRuVEdDX1g0RlVxTzFGdF9hbGg2MEw3eFJTZ2NSS19KTGY1SW5zZEZQOWhFUks2enpNeGZXa3NDSFJoUUNGbF9nNnNTd01zLURUM2t5QVk3YnVqdTFGQmxPdk1iOTB5YU9oUGJxcy1GQQ?oc=5"" target=""_blank"">Virginia Democrats take aim at gun control vetoes during reconvene session</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Courthouse News Service</font>",,RSS Feed
Gun Control Takes Center Stage in Virginia | An Official Journal Of The NRA - America’s 1st Freedom,https://news.google.com/rss/articles/CBMijwFBVV95cUxPTy1ZNjU4V2ZEWUFMaUkweFFUVmlaZTNhNWFkZHVCRTRwbWpDaXI1MUdMa2szdHZjaHctQWphMXJvSlJIWDdmUE5jQWxtTDIzZGlsS1FyMUYtMlpPZUpDQWJwd2plSVoyd1Z1TGtiSmYwQ0kxU0t1a2toRFJSVXRnNnMycHc1VzVEb1ZQc3g1TQ?oc=5,"Mon, 21 Apr 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxPTy1ZNjU4V2ZEWUFMaUkweFFUVmlaZTNhNWFkZHVCRTRwbWpDaXI1MUdMa2szdHZjaHctQWphMXJvSlJIWDdmUE5jQWxtTDIzZGlsS1FyMUYtMlpPZUpDQWJwd2plSVoyd1Z1TGtiSmYwQ0kxU0t1a2toRFJSVXRnNnMycHc1VzVEb1ZQc3g1TQ?oc=5"" target=""_blank"">Gun Control Takes Center Stage in Virginia | An Official Journal Of The NRA</a>&nbsp;&nbsp;<font color=""#6f6f6f"">America’s 1st Freedom</font>",,RSS Feed
Gun Control Bills Survive Virginia Crossover - Sportsmen's Alliance,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPNUNnYm5nOXoxbWJvZERicHNlVG5JdjhmQ2FFV3FkcEtETlN0MDhYZDFrby1aVFhOcGhrUXFXZUM4QTF5S1oxN3UxU3FfcU4xT1cxM05BdGJ4WHBQNDR6aGdRUlZraHR4MENWa3dPSVZsaDB0TlotRXdWb2xyUTBTXzR1QVBsMzU3?oc=5,"Mon, 10 Feb 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxPNUNnYm5nOXoxbWJvZERicHNlVG5JdjhmQ2FFV3FkcEtETlN0MDhYZDFrby1aVFhOcGhrUXFXZUM4QTF5S1oxN3UxU3FfcU4xT1cxM05BdGJ4WHBQNDR6aGdRUlZraHR4MENWa3dPSVZsaDB0TlotRXdWb2xyUTBTXzR1QVBsMzU3?oc=5"" target=""_blank"">Gun Control Bills Survive Virginia Crossover</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Sportsmen's Alliance</font>",,RSS Feed
