title,link,published,summary,content,source
Police arrested a 13-year-old in Washington state who had ‘everything ready to go’ for a mass shooting - CNN,https://news.google.com/rss/articles/CBMigAFBVV95cUxOT09CeklvZS04X1lUSWZwa0taU1E1UXhQUVdLdnc5bVBSZllydUR0VVZXVFB6Zlo1WFU1VVlRektZQXROZ3NUN2tWellIaHBTRFZCU2VURV85Y0JJN1VoUmhNdU11R0pwVXh4azMzV3hDVFBJME9ZczlLZ0ZDNENMdg?oc=5,"Tue, 09 Sep 2025 20:42:58 GMT","<a href=""https://news.google.com/rss/articles/CBMigAFBVV95cUxOT09CeklvZS04X1lUSWZwa0taU1E1UXhQUVdLdnc5bVBSZllydUR0VVZXVFB6Zlo1WFU1VVlRektZQXROZ3NUN2tWellIaHBTRFZCU2VURV85Y0JJN1VoUmhNdU11R0pwVXh4azMzV3hDVFBJME9ZczlLZ0ZDNENMdg?oc=5"" target=""_blank"">Police arrested a 13-year-old in Washington state who had ‘everything ready to go’ for a mass shooting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font>",,RSS Feed
Washington Becomes Latest State to Enact Permit-to-Purchase Law - Johns Hopkins Bloomberg School of Public Health,https://news.google.com/rss/articles/CBMirAFBVV95cUxNemhXa3NhcUc2WU9WdHRoNDVkSWs5ekFiRU1hNDNnXzlaUHNnZnE3WVNUZnIzdGJPNnlYMkE5RmlMOU9ZZ0dzaTlpRTA2elpsQlhLbnppdngyRzRJMnlTUGFxemlhdTEwcGR2WTIyUXRTMDNaSjYtQWNNN2tXWHVSSDlpOTFUb01FWUVtV2NMNUswOE5XdWdaMnprd01Sc0VvNjdaVVR0ZWhySDA4?oc=5,"Tue, 20 May 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxNemhXa3NhcUc2WU9WdHRoNDVkSWs5ekFiRU1hNDNnXzlaUHNnZnE3WVNUZnIzdGJPNnlYMkE5RmlMOU9ZZ0dzaTlpRTA2elpsQlhLbnppdngyRzRJMnlTUGFxemlhdTEwcGR2WTIyUXRTMDNaSjYtQWNNN2tXWHVSSDlpOTFUb01FWUVtV2NMNUswOE5XdWdaMnprd01Sc0VvNjdaVVR0ZWhySDA4?oc=5"" target=""_blank"">Washington Becomes Latest State to Enact Permit-to-Purchase Law</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Johns Hopkins Bloomberg School of Public Health</font>",,RSS Feed
Charlie Kirk shooting raises concerns about political violence - NBC4 Washington,https://news.google.com/rss/articles/CBMiogFBVV95cUxPb0pzLTJ5Wmc4RWJqMHloZ0hpSmdkNC1uT2ZmcW5NVjNLODdKLWc0bHc3bURxMG02cFBZOEI5a2NYd1VpU3RmeEtVVWFtMVEzcUZYeUJCLXFrMnQyUE1aX2hBeDJhd2RrajAwUTZkS1ZVR0hzWGltVFlVcU9Gd0xjZnhkMWttUTJGTGNWRGM1bXVnSXJRckY5Uy16QUFtLTNWcVHSAaoBQVVfeXFMT3haWm53NWpobkUtZTAyX1RWZjdPakJJb25rR0ZIZFhlc1E1S1YzWkVXQnp4Y3Q1N1lHUVVra0dwZ3M2RXZWU2ZNVmk0VnJNdi1iSWhzNHNkNk9ZN2ZEbjVtV3hHeHdaYlF1eW1UN3pOYm11TWlEOVR0dWVKMUtXcVZWZF9MOEF0eHBSRFdaREhGOTMzRWVZLXBNa0Vac20tcFphdXBkOXN6RlE?oc=5,"Thu, 11 Sep 2025 00:10:06 GMT","<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxPb0pzLTJ5Wmc4RWJqMHloZ0hpSmdkNC1uT2ZmcW5NVjNLODdKLWc0bHc3bURxMG02cFBZOEI5a2NYd1VpU3RmeEtVVWFtMVEzcUZYeUJCLXFrMnQyUE1aX2hBeDJhd2RrajAwUTZkS1ZVR0hzWGltVFlVcU9Gd0xjZnhkMWttUTJGTGNWRGM1bXVnSXJRckY5Uy16QUFtLTNWcVHSAaoBQVVfeXFMT3haWm53NWpobkUtZTAyX1RWZjdPakJJb25rR0ZIZFhlc1E1S1YzWkVXQnp4Y3Q1N1lHUVVra0dwZ3M2RXZWU2ZNVmk0VnJNdi1iSWhzNHNkNk9ZN2ZEbjVtV3hHeHdaYlF1eW1UN3pOYm11TWlEOVR0dWVKMUtXcVZWZF9MOEF0eHBSRFdaREhGOTMzRWVZLXBNa0Vac20tcFphdXBkOXN6RlE?oc=5"" target=""_blank"">Charlie Kirk shooting raises concerns about political violence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NBC4 Washington</font>",,RSS Feed
Washingtonians will need state permit to buy guns under new law - Washington State Standard,https://news.google.com/rss/articles/CBMisAFBVV95cUxNRDhOR2VmbklMbmtMeU5aaTZabnI2aHF3ZEVLSUpqNXUwYThMRERzMkdTWDBPWE55dUFHS19lMmU0YTh6QjlhQm9LZ1JCTFdYUE1NejNqdHFIN3hiZnR2VWE5aEc0MVZnQ2FLdFNTTVlHNXhEbFhUbUdrTlJvTHFWVEVxRmVBM1A0REN0ems5Z0dLMWt0UV9aT2pRYnp3NlRoNDJ3UlNEMWo4NXJFUWZPbg?oc=5,"Tue, 20 May 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxNRDhOR2VmbklMbmtMeU5aaTZabnI2aHF3ZEVLSUpqNXUwYThMRERzMkdTWDBPWE55dUFHS19lMmU0YTh6QjlhQm9LZ1JCTFdYUE1NejNqdHFIN3hiZnR2VWE5aEc0MVZnQ2FLdFNTTVlHNXhEbFhUbUdrTlJvTHFWVEVxRmVBM1A0REN0ems5Z0dLMWt0UV9aT2pRYnp3NlRoNDJ3UlNEMWo4NXJFUWZPbg?oc=5"" target=""_blank"">Washingtonians will need state permit to buy guns under new law</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Washington State Standard</font>",,RSS Feed
How gun-buying licenses will work in Washington state - Axios,https://news.google.com/rss/articles/CBMifEFVX3lxTFBmS1hodlR0V1BpNlFJdXNWVG9ZaGJKWWdCS2RiNXVLUWFPQzdhZlJWRzI3ekZQbUxjTXdkYlNJVFYtSFZ0d01ZR1k1TUkyWXBUenZPTEZ3NEQtVGFJd1BfR25PeFRwUF9heHlxaURGc3JHZ0ZiX3o0TXN4THE?oc=5,"Mon, 16 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMifEFVX3lxTFBmS1hodlR0V1BpNlFJdXNWVG9ZaGJKWWdCS2RiNXVLUWFPQzdhZlJWRzI3ekZQbUxjTXdkYlNJVFYtSFZ0d01ZR1k1TUkyWXBUenZPTEZ3NEQtVGFJd1BfR25PeFRwUF9heHlxaURGc3JHZ0ZiX3o0TXN4THE?oc=5"" target=""_blank"">How gun-buying licenses will work in Washington state</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Axios</font>",,RSS Feed
"Utah, where Charlie Kirk was killed, has strong pro-gun laws - The Washington Post",https://news.google.com/rss/articles/CBMiwwFBVV95cUxQM0tYQ3JNQ1RfNkRQSTBPazlUUWZRbnBnMjN4LUdZYjVOaGExNUd4R2dMQ0RjX1VGOVphT0VvTmdZX2Y4c0YyZ2ZmVWVLZHg4RFFFZmdTZUt0b1NwYjRIcnpjN0JPVzBaeFc5YUFYaXR5NkFlX2x6N2QzTWF6WHpNbm5GWFQxOFlnNUJBSEFjem5FQWtaUWk3WUh4S0NmT1pDS1k5b1ViWWtIamZfTFdIemd5WGhXRmdkbGhBNXdPWlcxYjg?oc=5,"Thu, 11 Sep 2025 20:28:08 GMT","<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxQM0tYQ3JNQ1RfNkRQSTBPazlUUWZRbnBnMjN4LUdZYjVOaGExNUd4R2dMQ0RjX1VGOVphT0VvTmdZX2Y4c0YyZ2ZmVWVLZHg4RFFFZmdTZUt0b1NwYjRIcnpjN0JPVzBaeFc5YUFYaXR5NkFlX2x6N2QzTWF6WHpNbm5GWFQxOFlnNUJBSEFjem5FQWtaUWk3WUh4S0NmT1pDS1k5b1ViWWtIamZfTFdIemd5WGhXRmdkbGhBNXdPWlcxYjg?oc=5"" target=""_blank"">Utah, where Charlie Kirk was killed, has strong pro-gun laws</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Washington Post</font>",,RSS Feed
Washington gun laws could tighten if Governor signs new bill into law - KXLY.com,https://news.google.com/rss/articles/CBMi3gFBVV95cUxONzQtUHFmY1FwTGVmWmE0ZE94YVFqaW82Vk1OV3Fsa3FKelBMSXU4cE5lVDQ0dnRIb3NNNjlnTTNiOFBRaklzTFRXOGFYRll5Ql9uWEdSOWdqUXNmUnoycFdHNW9rR2U3V2ZzVFdkUU5SUXAtYmxFWGhaU2ZBTXZLdkR5eXNuZUE0cmotc1RDSmh4QXJpSEF6anpQaTd6eHpIMHl1RmtGaW9CVjlhTVhYdTBZeUdlUlo0SGJteXVnaWpyY3daZXQtOGdKLWVrOVV5RzY0N2hYTkFXOVdfS1E?oc=5,"Tue, 15 Apr 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxONzQtUHFmY1FwTGVmWmE0ZE94YVFqaW82Vk1OV3Fsa3FKelBMSXU4cE5lVDQ0dnRIb3NNNjlnTTNiOFBRaklzTFRXOGFYRll5Ql9uWEdSOWdqUXNmUnoycFdHNW9rR2U3V2ZzVFdkUU5SUXAtYmxFWGhaU2ZBTXZLdkR5eXNuZUE0cmotc1RDSmh4QXJpSEF6anpQaTd6eHpIMHl1RmtGaW9CVjlhTVhYdTBZeUdlUlo0SGJteXVnaWpyY3daZXQtOGdKLWVrOVV5RzY0N2hYTkFXOVdfS1E?oc=5"" target=""_blank"">Washington gun laws could tighten if Governor signs new bill into law</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KXLY.com</font>",,RSS Feed
The Charlie Kirk shooting suspect went from a quiet upbringing to a murder charge - The Washington Post,https://news.google.com/rss/articles/CBMijAFBVV95cUxOaUtER254VE1INmNsMnE4WXRYdl9MZHpybGk0TzNBaGlNcEpWSVVXem1Gcm91Qk95bXlXaEtWUFR2Rnc3SktuRUZQR3ZMNVpOOU9DTnRDd0Ria1pKeERRLUpPZjlVV01QRHlzYzJnQjJ1M2xOZnl4MlViZkhkbEY2UEJxem1rOHJGdDRPYw?oc=5,"Sat, 13 Sep 2025 20:02:13 GMT","<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxOaUtER254VE1INmNsMnE4WXRYdl9MZHpybGk0TzNBaGlNcEpWSVVXem1Gcm91Qk95bXlXaEtWUFR2Rnc3SktuRUZQR3ZMNVpOOU9DTnRDd0Ria1pKeERRLUpPZjlVV01QRHlzYzJnQjJ1M2xOZnl4MlViZkhkbEY2UEJxem1rOHJGdDRPYw?oc=5"" target=""_blank"">The Charlie Kirk shooting suspect went from a quiet upbringing to a murder charge</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Washington Post</font>",,RSS Feed
D.C. Memo: Kirk shooting ignites partisan rancor in Washington - MinnPost,https://news.google.com/rss/articles/CBMipAFBVV95cUxNSFoxdV9WNi1KT1hPZUc0QndUd0QxT3JwdXAwZk1DQXRCMnFuRHJUeDQ0ZzB0ZzNSYUl1UGI2d3c3OGRqdGVxZzFvc3UyWFJVV3R3Zmduak9IeWg1NDI3MXlINE5PQy1jZ1lpOTdrZWdfRzJLVXllUHhhNzJlN1NmMF9wd3pjYTJWOUhYYWdkS1BkNXRsTHMtUGZubnFkZ2VHYzZUSQ?oc=5,"Fri, 12 Sep 2025 17:02:19 GMT","<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxNSFoxdV9WNi1KT1hPZUc0QndUd0QxT3JwdXAwZk1DQXRCMnFuRHJUeDQ0ZzB0ZzNSYUl1UGI2d3c3OGRqdGVxZzFvc3UyWFJVV3R3Zmduak9IeWg1NDI3MXlINE5PQy1jZ1lpOTdrZWdfRzJLVXllUHhhNzJlN1NmMF9wd3pjYTJWOUhYYWdkS1BkNXRsTHMtUGZubnFkZ2VHYzZUSQ?oc=5"" target=""_blank"">D.C. Memo: Kirk shooting ignites partisan rancor in Washington</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MinnPost</font>",,RSS Feed
What to know about the fatal shooting of Charlie Kirk - NBC4 Washington,https://news.google.com/rss/articles/CBMipgFBVV95cUxQMzZiRktqZmt4SDBfVzRLeEVXNEIzb0FTeUxSeEYwLWFEZ2ZKQmdCQ0FBRU9WQVk0UzU1aGlNUGNhZ3dxS21kNTZDN0d2eUYxYldWY0RvdGREci1JYUFUMkI3VDBnRTY5Q0IxRmtKcTNleXpyREw5ZWpkRm1xZDgtVzlMSmxmaXh5c2xWYUZ6bDZjQlJ2QWFWeGpuVS16dXJ3ZG5KVnlB0gGuAUFVX3lxTFBDZnlRTnlaV09TcTFrSDVIMlFjbEx6cFRQRktBb2Q4WjJrTGQyekkyVEtPUmE2N0Q5Mmw0bjUxQ1hMNjA1SGNoOThMZlJFclZsQkdHa29SblR6bjZPeHgwNERvRjI3MnRub1lfalI2M0dhV1ZlR2ZmNExaN1RCcGd0M0hsSHNQYnNObWxaR24wQjIxbk02dC1BalN2VHhQeF9jNV9qb3RiQ0l1MDZRQQ?oc=5,"Thu, 11 Sep 2025 10:28:14 GMT","<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxQMzZiRktqZmt4SDBfVzRLeEVXNEIzb0FTeUxSeEYwLWFEZ2ZKQmdCQ0FBRU9WQVk0UzU1aGlNUGNhZ3dxS21kNTZDN0d2eUYxYldWY0RvdGREci1JYUFUMkI3VDBnRTY5Q0IxRmtKcTNleXpyREw5ZWpkRm1xZDgtVzlMSmxmaXh5c2xWYUZ6bDZjQlJ2QWFWeGpuVS16dXJ3ZG5KVnlB0gGuAUFVX3lxTFBDZnlRTnlaV09TcTFrSDVIMlFjbEx6cFRQRktBb2Q4WjJrTGQyekkyVEtPUmE2N0Q5Mmw0bjUxQ1hMNjA1SGNoOThMZlJFclZsQkdHa29SblR6bjZPeHgwNERvRjI3MnRub1lfalI2M0dhV1ZlR2ZmNExaN1RCcGd0M0hsSHNQYnNObWxaR24wQjIxbk02dC1BalN2VHhQeF9jNV9qb3RiQ0l1MDZRQQ?oc=5"" target=""_blank"">What to know about the fatal shooting of Charlie Kirk</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NBC4 Washington</font>",,RSS Feed
