title,link,published,summary,content,source
Governor Ivey Officially Launches Public Safety Package - - Alabama Governor's Office (.gov),https://news.google.com/rss/articles/CBMipAFBVV95cUxOTDZlelBkVkRSbGtnQlVKaGJGV0RIWDRHenRwY1k0eGNHUjU0dnhPdDNQNUVCN1F2RnBUcUQwcUFWcG1UeVo5V1VlX1BTb0ptTmVDOGxIckd6cEl6aG1SMDNNTHlnOTdqOHJWRDJJaDN5Vm02a0djUF9jaHk5Yk9MWWVpRkZOcFBLcXk4SGtTU2xqV21XWnhucUJkbmlfcVZZeFc5SA?oc=5,"Wed, 05 Feb 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxOTDZlelBkVkRSbGtnQlVKaGJGV0RIWDRHenRwY1k0eGNHUjU0dnhPdDNQNUVCN1F2RnBUcUQwcUFWcG1UeVo5V1VlX1BTb0ptTmVDOGxIckd6cEl6aG1SMDNNTHlnOTdqOHJWRDJJaDN5Vm02a0djUF9jaHk5Yk9MWWVpRkZOcFBLcXk4SGtTU2xqV21XWnhucUJkbmlfcVZZeFc5SA?oc=5"" target=""_blank"">Governor Ivey Officially Launches Public Safety Package -</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Alabama Governor's Office (.gov)</font>",,RSS Feed
"In Selma, friends and family of gun violence victims honor loved ones with quilt - Alabama Reflector",https://news.google.com/rss/articles/CBMivAFBVV95cUxPUERJak05dUdGMExCX0VVVmhuZWdVbXNpb1RVRU5BQXBCSHBjdU4yVmhTUjM5eHNzS0pSOHhYcWxHWWZMNG1MbFFnZzBxRVo3aEhOVDlaMWNsWjRDaHdJNnVwa1VwbWs0RTRHQ2d0bWhuYnQ4UEY3MUVBNkZmLU9hUTlYNC1ZdlRQUmJvUjRxeHJDYVFDd09uZURNdUFZcjVVdXpJb05VQnJFbk9vcmlnNUs4NE1MeEx1SmdiNA?oc=5,"Thu, 14 Aug 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxPUERJak05dUdGMExCX0VVVmhuZWdVbXNpb1RVRU5BQXBCSHBjdU4yVmhTUjM5eHNzS0pSOHhYcWxHWWZMNG1MbFFnZzBxRVo3aEhOVDlaMWNsWjRDaHdJNnVwa1VwbWs0RTRHQ2d0bWhuYnQ4UEY3MUVBNkZmLU9hUTlYNC1ZdlRQUmJvUjRxeHJDYVFDd09uZURNdUFZcjVVdXpJb05VQnJFbk9vcmlnNUs4NE1MeEx1SmdiNA?oc=5"" target=""_blank"">In Selma, friends and family of gun violence victims honor loved ones with quilt</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Alabama Reflector</font>",,RSS Feed
Data reveals Alabama to have fifth highest rate of gun violence in the U.S. - Alabama Political Reporter,https://news.google.com/rss/articles/CBMisgFBVV95cUxNTzMzajZsdEdUdnhDOTY2UjczSDQ5WHdCT0JPNjg1Wl9PYnliTlVqWFBYVF8xYmd1eE92Q0pCYThvNVRyODlCMHU1NFYyVUM5M244R01OdXhfMER5QXR5ajJ2SDFUNGxrUUNOTk1BR216Y2RYYmpJNy1La1VlS29jOTMwNElKNGI4bFc4U3paeU90eFAySTdvRWdyMUkzYUNUTDd2U2NoWXB6YTI5bGh2aExB?oc=5,"Tue, 29 Apr 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxNTzMzajZsdEdUdnhDOTY2UjczSDQ5WHdCT0JPNjg1Wl9PYnliTlVqWFBYVF8xYmd1eE92Q0pCYThvNVRyODlCMHU1NFYyVUM5M244R01OdXhfMER5QXR5ajJ2SDFUNGxrUUNOTk1BR216Y2RYYmpJNy1La1VlS29jOTMwNElKNGI4bFc4U3paeU90eFAySTdvRWdyMUkzYUNUTDd2U2NoWXB6YTI5bGh2aExB?oc=5"" target=""_blank"">Data reveals Alabama to have fifth highest rate of gun violence in the U.S.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Alabama Political Reporter</font>",,RSS Feed
Alabama legislative committees give mixed reception to gun violence bills - Alabama Reflector,https://news.google.com/rss/articles/CBMitAFBVV95cUxNVDVLN0Y2RkRQbG82WlJ1NlNDbEpqbzd5aHFHMjNnbGRiNDFMRFkxVFZjN3BRTFB2OWJvblNhWC0wQ0VxLWVaZmhYOXFFbVVCUlZQZldFaGpKQW1Ha0liTE5mSlB1c0tEMTVFMDNrTGR0MmNGTFo5eXpWZVcyenpWbGp3VGR2REtNSG5YZ25vcGtxZnFhZEFvSGEycHVLVDR2dTBSYk9YN1NCclZFUEZVMS1hRHU?oc=5,"Thu, 13 Feb 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxNVDVLN0Y2RkRQbG82WlJ1NlNDbEpqbzd5aHFHMjNnbGRiNDFMRFkxVFZjN3BRTFB2OWJvblNhWC0wQ0VxLWVaZmhYOXFFbVVCUlZQZldFaGpKQW1Ha0liTE5mSlB1c0tEMTVFMDNrTGR0MmNGTFo5eXpWZVcyenpWbGp3VGR2REtNSG5YZ25vcGtxZnFhZEFvSGEycHVLVDR2dTBSYk9YN1NCclZFUEZVMS1hRHU?oc=5"" target=""_blank"">Alabama legislative committees give mixed reception to gun violence bills</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Alabama Reflector</font>",,RSS Feed
Alabama Governor Signs Bill Banning Gun Conversion Devices - The New York Times,https://news.google.com/rss/articles/CBMiigFBVV95cUxQcEFaM2FDaGJFYWh5T1BMNmZLaWRtU0QxdDFWQkRITlY4cThfTTFLeUwtdGUzbkRTT3ZIVG9TRXRBTmRmbzh6VEFrdHpPckdtMHpFWGsydDhUVjRreENoOWlvWjRaYmlORjRGU205bHRfSUQ4NzJUUnRudHVkYWpERlhkYWtUS1dvbnc?oc=5,"Wed, 19 Mar 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxQcEFaM2FDaGJFYWh5T1BMNmZLaWRtU0QxdDFWQkRITlY4cThfTTFLeUwtdGUzbkRTT3ZIVG9TRXRBTmRmbzh6VEFrdHpPckdtMHpFWGsydDhUVjRreENoOWlvWjRaYmlORjRGU205bHRfSUQ4NzJUUnRudHVkYWpERlhkYWtUS1dvbnc?oc=5"" target=""_blank"">Alabama Governor Signs Bill Banning Gun Conversion Devices</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font>",,RSS Feed
Alabama bans devices converting pistols to machine guns - The Guardian,https://news.google.com/rss/articles/CBMifEFVX3lxTFBiZnQxUjl6amtrRGhNRnNFWXFkaDFua0lxTk5zS2F3U3ZGbmFvNE5STHozSE4zbnJPeDA0cjcyYVlZREJQN2JnRUowS3hqWE5XVjNPNEFJem80LXRISHd5R0trVGhXNEVQZjBFeU1pOHhqb0h1VEFLeTlfdW4?oc=5,"Wed, 19 Mar 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMifEFVX3lxTFBiZnQxUjl6amtrRGhNRnNFWXFkaDFua0lxTk5zS2F3U3ZGbmFvNE5STHozSE4zbnJPeDA0cjcyYVlZREJQN2JnRUowS3hqWE5XVjNPNEFJem80LXRISHd5R0trVGhXNEVQZjBFeU1pOHhqb0h1VEFLeTlfdW4?oc=5"" target=""_blank"">Alabama bans devices converting pistols to machine guns</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Guardian</font>",,RSS Feed
Alabama gun owners who ‘pose danger to others’ would be required to surrender firearms under proposed law - AL.com,https://news.google.com/rss/articles/CBMi1wFBVV95cUxNMFFZaWRsaGdPSDZvbmd6cW9ZdG9VQ1VCSWZhSWNoc2JaMDVZTGNlVmpsTndiY0toQ0FlM2dxb0k5QjFDVHRiNnpRRmc2SnlUSi1QNG5zam5yYXZjbC1PWUZEWEFoMkxWd1pDZGRFcHFwQWdVYkIwWHg2U00wM2RId1AxSHNjMHFOVjFydXp1QnRLZXlQRkhuMGUtR2tqS1RCcV82MjgtM04ydW9MN2dGUEIzbFBSb1NWc2tMbGd6TGotT096RzFETXBnNzF0MHB1aEZpOXI3RdIB6wFBVV95cUxNNEZfQlY5MG5aUTZad0x6eVoxaFZyQlc4aWx5aW1tQU9IQklPSkt3NUpuMDhXemRhSFhBakI4amVFV21RN3JQVXZZSjN6eHlwU1VDSnFzUkkzWjNMOWtxd0kycGVDcmxzQ1k3NmdPdXpSS0plelljRDFrUmhjVnlqc1ZZcjBZR1Y5ei1mRm1kYTdqbUNmWEJGR1VvT2Vlc09IekItT19OSEVXVnBhRE9DcFczOGVBUFZBeEkwYTJoRHBRbXc3QWFpT1lUTnlaODNLOEtxc3RSdEhHaDdTa3dPR2EwdTBZVGlFYjhz?oc=5,"Mon, 17 Feb 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxNMFFZaWRsaGdPSDZvbmd6cW9ZdG9VQ1VCSWZhSWNoc2JaMDVZTGNlVmpsTndiY0toQ0FlM2dxb0k5QjFDVHRiNnpRRmc2SnlUSi1QNG5zam5yYXZjbC1PWUZEWEFoMkxWd1pDZGRFcHFwQWdVYkIwWHg2U00wM2RId1AxSHNjMHFOVjFydXp1QnRLZXlQRkhuMGUtR2tqS1RCcV82MjgtM04ydW9MN2dGUEIzbFBSb1NWc2tMbGd6TGotT096RzFETXBnNzF0MHB1aEZpOXI3RdIB6wFBVV95cUxNNEZfQlY5MG5aUTZad0x6eVoxaFZyQlc4aWx5aW1tQU9IQklPSkt3NUpuMDhXemRhSFhBakI4amVFV21RN3JQVXZZSjN6eHlwU1VDSnFzUkkzWjNMOWtxd0kycGVDcmxzQ1k3NmdPdXpSS0plelljRDFrUmhjVnlqc1ZZcjBZR1Y5ei1mRm1kYTdqbUNmWEJGR1VvT2Vlc09IekItT19OSEVXVnBhRE9DcFczOGVBUFZBeEkwYTJoRHBRbXc3QWFpT1lUTnlaODNLOEtxc3RSdEhHaDdTa3dPR2EwdTBZVGlFYjhz?oc=5"" target=""_blank"">Alabama gun owners who ‘pose danger to others’ would be required to surrender firearms under proposed law</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AL.com</font>",,RSS Feed
New Alabama bill proposes gun confiscation for dangerous individuals - WTVM.com,https://news.google.com/rss/articles/CBMingFBVV95cUxNalNWRG1kem9UX2xGaUdVMXdhWkJNaXBseHlhRE11MWlJMkhyQjVUa2s0VWIyZGE3MkpveENrREVtd1djTHp2M2xuSHl1dDBIYzVYOF9kakRMNXdFTEdTeGlaeWQtYmFUMk9jV1VnX2tELTJOZ0lKUkstU2VTZFNXY0FoRDBYcVMtSzd0X01TWmtWQUNjRXNyalRoUmZ6Z9IBsgFBVV95cUxObzRVcFJZdGNNYzNJWkdmMDM4bHJSSzBWUWpnbjBjdnRnVzhzZ0ljVl95YmF5RnJmRWx1QkZsWE1KMklSeXdIX0xGMFF1TTZQWE93Vzl0ZzBjcFgxUTMtUlM0SzMwaU9TaFhtaGJYOTFVanp6LWpyT2ZWWHhfX1V6Y3FWYWVrcjVjbG5XOENmVkVVTnlRd29ycVEwNDNiamxfYlJzWUxDQ21hN0NRem1BWnNn?oc=5,"Wed, 19 Feb 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxNalNWRG1kem9UX2xGaUdVMXdhWkJNaXBseHlhRE11MWlJMkhyQjVUa2s0VWIyZGE3MkpveENrREVtd1djTHp2M2xuSHl1dDBIYzVYOF9kakRMNXdFTEdTeGlaeWQtYmFUMk9jV1VnX2tELTJOZ0lKUkstU2VTZFNXY0FoRDBYcVMtSzd0X01TWmtWQUNjRXNyalRoUmZ6Z9IBsgFBVV95cUxObzRVcFJZdGNNYzNJWkdmMDM4bHJSSzBWUWpnbjBjdnRnVzhzZ0ljVl95YmF5RnJmRWx1QkZsWE1KMklSeXdIX0xGMFF1TTZQWE93Vzl0ZzBjcFgxUTMtUlM0SzMwaU9TaFhtaGJYOTFVanp6LWpyT2ZWWHhfX1V6Y3FWYWVrcjVjbG5XOENmVkVVTnlRd29ycVEwNDNiamxfYlJzWUxDQ21hN0NRem1BWnNn?oc=5"" target=""_blank"">New Alabama bill proposes gun confiscation for dangerous individuals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WTVM.com</font>",,RSS Feed
Alabama lawmakers react to shooting death of conservative activist Charlie Kirk - WSFA,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQTFdvM3NTYmV1S3JCMC1qbWdXV2o2SWxxS3hPVU50YnNvcTI4M20zNlVBdzZEMVVQbXBRVWxOX2QtVUpDSlhMSlphbm92SEkwV2ZSVjFSX1RUSTA5SXNUS1NMZDREb0Zkdll1R3A2dHphU2NGSDk4SWZmd0wxZUhoeW4ybG9Tbzc0NFAtdTk5TVM3T1NyNzBwRkttQWNKem00bnFodjdFZFFUdw?oc=5,"Wed, 10 Sep 2025 20:57:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxQTFdvM3NTYmV1S3JCMC1qbWdXV2o2SWxxS3hPVU50YnNvcTI4M20zNlVBdzZEMVVQbXBRVWxOX2QtVUpDSlhMSlphbm92SEkwV2ZSVjFSX1RUSTA5SXNUS1NMZDREb0Zkdll1R3A2dHphU2NGSDk4SWZmd0wxZUhoeW4ybG9Tbzc0NFAtdTk5TVM3T1NyNzBwRkttQWNKem00bnFodjdFZFFUdw?oc=5"" target=""_blank"">Alabama lawmakers react to shooting death of conservative activist Charlie Kirk</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WSFA</font>",,RSS Feed
Alabama leaders on Charlie Kirk shooting suspect Tyler Robinson’s capture: ‘Time for the death penalty’ - AL.com,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPdURzOEtDTE5qQzZCQTR1VFJZemVFaVFDU3RCcDdYcWdmejJaeVdQd2RpS3Q0cnBUekFtbksyRU9LcGttYl94V2o0bHhqM2EtbkVEcUQ1T1dvRm5RQlM2VjNROU9WSXFiOUZJT2t5VGI5d1hTeE9Mbm1TaDA1dWpBY1JTVWtEc0t1Umt4V045UkRGUDVaNHJKbVJudTdWbm1jaF9kajkwMzMtSWp6RUZQMzhjYnlJNndDbjJpc3FobnZNYXdablJJbVAxd1lvUlBBS2fSAeYBQVVfeXFMUEFyY0ttRTQzcTY5dUZHRngyN0ZKRXJUTENQMWZDa0VJX2lzSm1KOHFlQk5uYUJZRldpMGp3SHRINWZDRXNXS0RQTlJ3ZmU4LU95bGVxNEtjVEFEU0tjWHpYWEtoWUZSNjhSeHdIZXd2TGljRU9pUm1oRFFkdzVnZGttODFYODNuMGRqX2VVR2dhVFhpRGoyamlFZ3FjT0FNYkRnUEpNQkIzWGpKUEgzelg3QjNJSWYzbTRHNkx2WEU5OXFIRDZYeFc4NXhoaFZXek9TOFk4ZkxmUk5QdWhyaWptSEtEclE?oc=5,"Fri, 12 Sep 2025 15:27:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxPdURzOEtDTE5qQzZCQTR1VFJZemVFaVFDU3RCcDdYcWdmejJaeVdQd2RpS3Q0cnBUekFtbksyRU9LcGttYl94V2o0bHhqM2EtbkVEcUQ1T1dvRm5RQlM2VjNROU9WSXFiOUZJT2t5VGI5d1hTeE9Mbm1TaDA1dWpBY1JTVWtEc0t1Umt4V045UkRGUDVaNHJKbVJudTdWbm1jaF9kajkwMzMtSWp6RUZQMzhjYnlJNndDbjJpc3FobnZNYXdablJJbVAxd1lvUlBBS2fSAeYBQVVfeXFMUEFyY0ttRTQzcTY5dUZHRngyN0ZKRXJUTENQMWZDa0VJX2lzSm1KOHFlQk5uYUJZRldpMGp3SHRINWZDRXNXS0RQTlJ3ZmU4LU95bGVxNEtjVEFEU0tjWHpYWEtoWUZSNjhSeHdIZXd2TGljRU9pUm1oRFFkdzVnZGttODFYODNuMGRqX2VVR2dhVFhpRGoyamlFZ3FjT0FNYkRnUEpNQkIzWGpKUEgzelg3QjNJSWYzbTRHNkx2WEU5OXFIRDZYeFc4NXhoaFZXek9TOFk4ZkxmUk5QdWhyaWptSEtEclE?oc=5"" target=""_blank"">Alabama leaders on Charlie Kirk shooting suspect Tyler Robinson’s capture: ‘Time for the death penalty’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AL.com</font>",,RSS Feed
3 students hospitalized after shooting at Colorado high school - Alabama Reflector,https://news.google.com/rss/articles/CBMipgFBVV95cUxNRmsyNjJ0ZVIwSEdBS09nMVRoSmVNMHdFWmZwal9TUUdEVzA1d05SY1poQnpLb2puS2t1N05nUGFrX1NKVnRrdURFd0F2dmFXWFlrSkYzRXdaNnJKbzU2SGxVUWhqcDB3WkFjUjhFRG5xLW1tTkVEdUpuNVVxYno3eUlZUTc1bGhPOXdBcG5qSTk3WDg0QThiSm8zWjhPdWRmNi1TMDRR?oc=5,"Wed, 10 Sep 2025 23:00:54 GMT","<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxNRmsyNjJ0ZVIwSEdBS09nMVRoSmVNMHdFWmZwal9TUUdEVzA1d05SY1poQnpLb2puS2t1N05nUGFrX1NKVnRrdURFd0F2dmFXWFlrSkYzRXdaNnJKbzU2SGxVUWhqcDB3WkFjUjhFRG5xLW1tTkVEdUpuNVVxYno3eUlZUTc1bGhPOXdBcG5qSTk3WDg0QThiSm8zWjhPdWRmNi1TMDRR?oc=5"" target=""_blank"">3 students hospitalized after shooting at Colorado high school</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Alabama Reflector</font>",,RSS Feed
"Alabama, Virginia universities issue lockdowns over ‘terrorist threat’ after Charlie Kirk shooting | Hindustan Times - Hindustan Times",https://news.google.com/rss/articles/CBMi-gFBVV95cUxOQ2h2OGdHRjVaOXg5WHBKd2cyVVR6MG5vZDNaWll3R05JVWhCeHhEM243ZEtWa2lHcS1hcDVJUVJkZVlDZUc4d2QzOUI1MU9HUVRWeFQyalNfUmx2RlZzS29jTFpDNXRVSFhCNndWMkdzMjhsM2wzWWJjRGJpZ2RuTlpzNWlWeWhUQ2E4bVE5TU42QU5wenBQMHQwc0ttamdNQVZDZXZreW52UmVmczdINEx1al9nV1hmUURsT1J3cVRSRUtZMG1uUTNySmNVT05qTnFCM1EteDQ4RFZULW5qdC1CbElncm1ZUC03dHkwNHp6TDJuSnpDZ3V30gH_AUFVX3lxTFA5bEd5V3hXSnp6TzVnSlU4YXVleWdNMVQwUWZCYXVwS195Sk1YR2NlWWpBeTVkbmJMdFlRMlBIandrVm9DVUpzbFlvdUJxNFNMMnFlY0k1bjFPWFUtbmttOW1YZnNxc2RWTUZ0UUFraGptZjJOX3phNXJiU2hxLWxTMmZ5ejN0S0IwYVJqb3dMckEtamsybktrZzVlSE9VMHZ1bXI2OXVIeXRDY25TV2JNeDRMLUV5Y0F5eDhXQjdEVFR4WXdEVDctV3laUHVlRU5uUlEyLXduMFp4MmdBcF9MSnVjWFp4V3hhQXJJcTdYWlZFRklUT2JjRkJmbzBhVQ?oc=5,"Thu, 11 Sep 2025 18:01:37 GMT","<a href=""https://news.google.com/rss/articles/CBMi-gFBVV95cUxOQ2h2OGdHRjVaOXg5WHBKd2cyVVR6MG5vZDNaWll3R05JVWhCeHhEM243ZEtWa2lHcS1hcDVJUVJkZVlDZUc4d2QzOUI1MU9HUVRWeFQyalNfUmx2RlZzS29jTFpDNXRVSFhCNndWMkdzMjhsM2wzWWJjRGJpZ2RuTlpzNWlWeWhUQ2E4bVE5TU42QU5wenBQMHQwc0ttamdNQVZDZXZreW52UmVmczdINEx1al9nV1hmUURsT1J3cVRSRUtZMG1uUTNySmNVT05qTnFCM1EteDQ4RFZULW5qdC1CbElncm1ZUC03dHkwNHp6TDJuSnpDZ3V30gH_AUFVX3lxTFA5bEd5V3hXSnp6TzVnSlU4YXVleWdNMVQwUWZCYXVwS195Sk1YR2NlWWpBeTVkbmJMdFlRMlBIandrVm9DVUpzbFlvdUJxNFNMMnFlY0k1bjFPWFUtbmttOW1YZnNxc2RWTUZ0UUFraGptZjJOX3phNXJiU2hxLWxTMmZ5ejN0S0IwYVJqb3dMckEtamsybktrZzVlSE9VMHZ1bXI2OXVIeXRDY25TV2JNeDRMLUV5Y0F5eDhXQjdEVFR4WXdEVDctV3laUHVlRU5uUlEyLXduMFp4MmdBcF9MSnVjWFp4V3hhQXJJcTdYWlZFRklUT2JjRkJmbzBhVQ?oc=5"" target=""_blank"">Alabama, Virginia universities issue lockdowns over ‘terrorist threat’ after Charlie Kirk shooting | Hindustan Times</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",,RSS Feed
