title,link,published,summary,content,source
Youth gun deaths in the US have surged 50% since 2019 - Alaska Beacon,https://news.google.com/rss/articles/CBMikwFBVV95cUxOUlBzR0lPSm1JMmVzWGlVTVVNRGI2NjJSYVZiODVMb1l1UVlCOXoyNGU0NHh1LThqMXNzMjExX1BOMmJFdktoSlhQQzNuaFhNazF0emVISXNoNFB3YXUzMzRNV0JqTUctaUtpWW9aWnJtZ2FUYzN1WGo0Zl90bjBPRlFEX1hLd0k0ai1IQk9xNnFtZTA?oc=5,"Thu, 20 Mar 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxOUlBzR0lPSm1JMmVzWGlVTVVNRGI2NjJSYVZiODVMb1l1UVlCOXoyNGU0NHh1LThqMXNzMjExX1BOMmJFdktoSlhQQzNuaFhNazF0emVISXNoNFB3YXUzMzRNV0JqTUctaUtpWW9aWnJtZ2FUYzN1WGo0Zl90bjBPRlFEX1hLd0k0ai1IQk9xNnFtZTA?oc=5"" target=""_blank"">Youth gun deaths in the US have surged 50% since 2019</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Alaska Beacon</font>",,RSS Feed
Gun violence: How to discuss with your children - Alaska's News Source,https://news.google.com/rss/articles/CBMikwFBVV95cUxOYzZvM0pvTU5hak1wb3YtbTM4SWg2QUtmczgzZzZVY05zOEJ1bjNoNGk5RWxhdFdPSHMxRlNrVzczc0F1cWdyVFVRWFh3NDBFODk2bmdLdTlZd2o5YncxMGxqRUJ1NGpFYTZPaF9ySkdXcC1Jc3hnWU96eFFZV0FTTVE4eEV3WEhsWmdUUXBwb1AwWFHSAacBQVVfeXFMTVcwamFMT1hQLVl1TklfQm9iME1VSml6S1M2VFdQaUY3LVpPdzRpN3NmTXZzSGgyZWlkMkd3Mm1HV2RMZGRpMjI1Nk4zVEpqYTNJaUw0SHdkQURuZC05MVdXcUxzbzNrUE5wNTAtTDFUV3R5Z2xtT1NuYmtTUUtuSEE0QV9pdVNYeHdDU01ZOC1yb1lxN1lxT214SS1GdktfUkRwYk8ybGM?oc=5,"Wed, 27 Aug 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxOYzZvM0pvTU5hak1wb3YtbTM4SWg2QUtmczgzZzZVY05zOEJ1bjNoNGk5RWxhdFdPSHMxRlNrVzczc0F1cWdyVFVRWFh3NDBFODk2bmdLdTlZd2o5YncxMGxqRUJ1NGpFYTZPaF9ySkdXcC1Jc3hnWU96eFFZV0FTTVE4eEV3WEhsWmdUUXBwb1AwWFHSAacBQVVfeXFMTVcwamFMT1hQLVl1TklfQm9iME1VSml6S1M2VFdQaUY3LVpPdzRpN3NmTXZzSGgyZWlkMkd3Mm1HV2RMZGRpMjI1Nk4zVEpqYTNJaUw0SHdkQURuZC05MVdXcUxzbzNrUE5wNTAtTDFUV3R5Z2xtT1NuYmtTUUtuSEE0QV9pdVNYeHdDU01ZOC1yb1lxN1lxT214SS1GdktfUkRwYk8ybGM?oc=5"" target=""_blank"">Gun violence: How to discuss with your children</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Alaska's News Source</font>",,RSS Feed
American Indian/Alaska Native Victimization - Violence Policy Center,https://news.google.com/rss/articles/CBMinwFBVV95cUxOVkJyTmp6QlNBRlN1RThXUDhYbDlYckZiMm9tYUpvX1c2SElDUkZTbHFOc1AxdnhIbXNwRU9UbU9GYk5zbjBDalRKVHBFS2YtdVZBb3FoeEVXaTFzcS1sQnFjcHFLbzlldUFUb1FSLVlUS09VSDdZbTBzMDEtNjVqZXJSRWN5NkREdXV3ZkUzb0hKMXVQNWFXYTdKdVQ0eHM?oc=5,"Wed, 30 Jul 2025 19:42:45 GMT","<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxOVkJyTmp6QlNBRlN1RThXUDhYbDlYckZiMm9tYUpvX1c2SElDUkZTbHFOc1AxdnhIbXNwRU9UbU9GYk5zbjBDalRKVHBFS2YtdVZBb3FoeEVXaTFzcS1sQnFjcHFLbzlldUFUb1FSLVlUS09VSDdZbTBzMDEtNjVqZXJSRWN5NkREdXV3ZkUzb0hKMXVQNWFXYTdKdVQ0eHM?oc=5"" target=""_blank"">American Indian/Alaska Native Victimization</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Violence Policy Center</font>",,RSS Feed
Anchorage lawmaker proposes ‘red flag’ bill to prevent gun deaths with court-ordered interventions - Alaska Beacon,https://news.google.com/rss/articles/CBMizgFBVV95cUxPdGVlT0lYWEp4X0RrOFFqR196dkhTY3AwRlRXeHo0V2dnSVM0LTlTZ1U4UzBwVG1DMHFVRXQzOVRrYmJXODg5UjMxZGpkVGxlX0JQempnR2lQS0lQZW9Bd2hGQ3ptYkxpNkpGcEkzanVNM2IwSEpzMVBiZy1ldEgxUFlSV1dYMHp5eGg5VlJYeEpZSjJad0lTQXlCdW9BNVBXMEhyYzhHT0hMVTdFd3V4N05hUW50b0h2ME9YNDNmemdFSlZjeEdrU3BRVFlHUQ?oc=5,"Mon, 17 Mar 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxPdGVlT0lYWEp4X0RrOFFqR196dkhTY3AwRlRXeHo0V2dnSVM0LTlTZ1U4UzBwVG1DMHFVRXQzOVRrYmJXODg5UjMxZGpkVGxlX0JQempnR2lQS0lQZW9Bd2hGQ3ptYkxpNkpGcEkzanVNM2IwSEpzMVBiZy1ldEgxUFlSV1dYMHp5eGg5VlJYeEpZSjJad0lTQXlCdW9BNVBXMEhyYzhHT0hMVTdFd3V4N05hUW50b0h2ME9YNDNmemdFSlZjeEdrU3BRVFlHUQ?oc=5"" target=""_blank"">Anchorage lawmaker proposes ‘red flag’ bill to prevent gun deaths with court-ordered interventions</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Alaska Beacon</font>",,RSS Feed
Jury finds New York Times did not libel former Alaska Gov. Sarah Palin - Politico,https://news.google.com/rss/articles/CBMiigFBVV95cUxNYWhmTFNwVWRtU2xiRFBHYllkMVVIT01ueWlkLXhGMWd3Y0VuZXVrQ3liN3Q2UGRzaEVicTJNSnBhNDBqTHRwTVRDZW9tczRDUUtCejZhd3QtMU04MDgxZ3ZlSmlQcHd3LVdQYUdLbjhaVUZFT0pScDFSSUxoYjRPQ2lYTU9uZDhKenc?oc=5,"Tue, 22 Apr 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxNYWhmTFNwVWRtU2xiRFBHYllkMVVIT01ueWlkLXhGMWd3Y0VuZXVrQ3liN3Q2UGRzaEVicTJNSnBhNDBqTHRwTVRDZW9tczRDUUtCejZhd3QtMU04MDgxZ3ZlSmlQcHd3LVdQYUdLbjhaVUZFT0pScDFSSUxoYjRPQ2lYTU9uZDhKenc?oc=5"" target=""_blank"">Jury finds New York Times did not libel former Alaska Gov. Sarah Palin</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Politico</font>",,RSS Feed
VIDEO: Man describes disarming man with gun during Alaska State Fair brawl caught on viral video - Alaska's News Source,https://news.google.com/rss/articles/CBMizAFBVV95cUxOZlVOUVJQbUtrNVZoQUdPbHI2S2RjNzhudlRkMUpRTWFFUk85ZEtYOFpodDl2cDNORXNtdWFEc1UtMmdJcXlUdXdVSmRjVzN2OVVQOVV3aVJFZ3lCd0ZUMDJtXzR4SjE5RTk0cXl6bFV2Zjk1VV92UHFqQjlxakhvbGNnUWJlQllKOFk4eEFXNElFbjNXQjVpZWRJMG5ZeDZmUTFUT1pvbFRCRzRJbmF2Vmc1UC1ZRG1XV0M5ekl2ZlVqRFFyb1Q2TGR1SDfSAeABQVVfeXFMTnJ3ZUlzcXczZ2x6cm5OVlowRTgwY08wRXRNb1RRSG8zd3ZXUUxKSTVLRkMyWHhCRzFBdlprbTktcUxXX3VUa1lUV19NWVpRWWVFeHN6SVRtZ1RqaTI3NlJIc1hQeU5NYVJ5T3JyMTBvYzh1SC1hMDZxTGxYeFpXWlFjRmdyN0xtbFl0alRFNjVyQ1JiRUhBdkQtRXBPd3B1eVhoZnZmeF9kdnJxbFMxUVl6RUU4TWowSG90U0trMlhvLU15RzloNFdlN09Xb0toOWpQSGZRMHBqQUx6Q0FjMmo?oc=5,"Wed, 03 Sep 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxOZlVOUVJQbUtrNVZoQUdPbHI2S2RjNzhudlRkMUpRTWFFUk85ZEtYOFpodDl2cDNORXNtdWFEc1UtMmdJcXlUdXdVSmRjVzN2OVVQOVV3aVJFZ3lCd0ZUMDJtXzR4SjE5RTk0cXl6bFV2Zjk1VV92UHFqQjlxakhvbGNnUWJlQllKOFk4eEFXNElFbjNXQjVpZWRJMG5ZeDZmUTFUT1pvbFRCRzRJbmF2Vmc1UC1ZRG1XV0M5ekl2ZlVqRFFyb1Q2TGR1SDfSAeABQVVfeXFMTnJ3ZUlzcXczZ2x6cm5OVlowRTgwY08wRXRNb1RRSG8zd3ZXUUxKSTVLRkMyWHhCRzFBdlprbTktcUxXX3VUa1lUV19NWVpRWWVFeHN6SVRtZ1RqaTI3NlJIc1hQeU5NYVJ5T3JyMTBvYzh1SC1hMDZxTGxYeFpXWlFjRmdyN0xtbFl0alRFNjVyQ1JiRUhBdkQtRXBPd3B1eVhoZnZmeF9kdnJxbFMxUVl6RUU4TWowSG90U0trMlhvLU15RzloNFdlN09Xb0toOWpQSGZRMHBqQUx6Q0FjMmo?oc=5"" target=""_blank"">VIDEO: Man describes disarming man with gun during Alaska State Fair brawl caught on viral video</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Alaska's News Source</font>",,RSS Feed
Heroic bystander disarms gun-wielding brute during wild brawl at packed Alaska State Fair - New York Post,https://news.google.com/rss/articles/CBMixwFBVV95cUxPT1dvc005eEZ2T0lsM0F5ek1qSjVaSmtUTEJLYWVtYWdYRG4zSmJUNF9wN2ZnR0dVOEdTY3NjYndRSkVDcUh1cldYaXhaSDlUQTVMaEhEMjFZNVo4U09wUHNCSGtGNTJNM2tKb2tqZlF3OEx5X19BZzg0a1Jxbno2aGpHVGZ1TDlWcWVrTzVQRjdYUUdleUFIN0NQZmtLZHdBOG9UeVp1Q0hHT0RCSDJjR01KUkJtM1EtV1VZem50Y1VyRDhTYjBr?oc=5,"Thu, 04 Sep 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxPT1dvc005eEZ2T0lsM0F5ek1qSjVaSmtUTEJLYWVtYWdYRG4zSmJUNF9wN2ZnR0dVOEdTY3NjYndRSkVDcUh1cldYaXhaSDlUQTVMaEhEMjFZNVo4U09wUHNCSGtGNTJNM2tKb2tqZlF3OEx5X19BZzg0a1Jxbno2aGpHVGZ1TDlWcWVrTzVQRjdYUUdleUFIN0NQZmtLZHdBOG9UeVp1Q0hHT0RCSDJjR01KUkJtM1EtV1VZem50Y1VyRDhTYjBr?oc=5"" target=""_blank"">Heroic bystander disarms gun-wielding brute during wild brawl at packed Alaska State Fair</a>&nbsp;&nbsp;<font color=""#6f6f6f"">New York Post</font>",,RSS Feed
One dead after shooting near Spenard Road - Alaska's News Source,https://news.google.com/rss/articles/CBMikAFBVV95cUxNSEQ3dUlqRDBUWG1teEl5OVZQd3BuLTZ2WWRXVnJ6cDk2R0xZQWZ1aElQT0ZKam9LalEwdmc5YXZZMXRTcXNOdl9wUWNDWC00aEp6Q2k1ejhlXzU4M0xSN3hvS3JhNFA2MUU5ZzZ0bEhPcHNsVDVBT0dwRnBrQXdtS1cwX3k3QkVBaDZ4UTVUSVXSAaQBQVVfeXFMUDB1ZFFWY21vbmpORzd0VldJX2lWV3hEZThFUkY3a1lBTy13ZUZCQWtRZFllMTVrY3FlTTBsdUdIRlVrU09WMDczOGVlUmhUVzd1Nm53c01GTkthQzhXVWVsMWJvTUpuaFpUUXJ2b2R1d1U4Qk55eFhFQ2RqYW1EamtrZEJPN2lOcTI0LWtva25IQ0dJN1VDQUYwMmtSVjNDNWtHR0g?oc=5,"Wed, 10 Sep 2025 18:04:00 GMT","<a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxNSEQ3dUlqRDBUWG1teEl5OVZQd3BuLTZ2WWRXVnJ6cDk2R0xZQWZ1aElQT0ZKam9LalEwdmc5YXZZMXRTcXNOdl9wUWNDWC00aEp6Q2k1ejhlXzU4M0xSN3hvS3JhNFA2MUU5ZzZ0bEhPcHNsVDVBT0dwRnBrQXdtS1cwX3k3QkVBaDZ4UTVUSVXSAaQBQVVfeXFMUDB1ZFFWY21vbmpORzd0VldJX2lWV3hEZThFUkY3a1lBTy13ZUZCQWtRZFllMTVrY3FlTTBsdUdIRlVrU09WMDczOGVlUmhUVzd1Nm53c01GTkthQzhXVWVsMWJvTUpuaFpUUXJ2b2R1d1U4Qk55eFhFQ2RqYW1EamtrZEJPN2lOcTI0LWtva25IQ0dJN1VDQUYwMmtSVjNDNWtHR0g?oc=5"" target=""_blank"">One dead after shooting near Spenard Road</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Alaska's News Source</font>",,RSS Feed
"Witness describes fatal Charlie Kirk shooting, Alaska leaders react - KTVF",https://news.google.com/rss/articles/CBMiuwFBVV95cUxPUy1uQzZ3VXNyWk5Tel80Ti1fTDEzWlhFU21VNHc0UzhLUzZPaU5KMXhiUnlXbU1pS2VHd3BZRmdzeG9ZN3RWOGlfT0NYdWRVWHI0MVRfN1Y5Sks0eTI3UnF5dzFtX1ZnTWpHNUlaYXRjZzBmcXBsYjRuX3pEZXlPS1NiOFl4T0g1WW9FMDNfYkRjNndMUEhKbUJ1bHVIaEdTR2pxOXhlUG1FNDNjYTFpcUFoV2czQWIzVVc0?oc=5,"Thu, 11 Sep 2025 02:40:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxPUy1uQzZ3VXNyWk5Tel80Ti1fTDEzWlhFU21VNHc0UzhLUzZPaU5KMXhiUnlXbU1pS2VHd3BZRmdzeG9ZN3RWOGlfT0NYdWRVWHI0MVRfN1Y5Sks0eTI3UnF5dzFtX1ZnTWpHNUlaYXRjZzBmcXBsYjRuX3pEZXlPS1NiOFl4T0g1WW9FMDNfYkRjNndMUEhKbUJ1bHVIaEdTR2pxOXhlUG1FNDNjYTFpcUFoV2czQWIzVVc0?oc=5"" target=""_blank"">Witness describes fatal Charlie Kirk shooting, Alaska leaders react</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KTVF</font>",,RSS Feed
Anchorage bar owner says security guard killed shooter who fired on crowd - Alaska Public Media,https://news.google.com/rss/articles/CBMixwFBVV95cUxQUHYzQnRiUjV5aEh5dGtRTWowTTlkMG5aaVRyYXZNckowWTdNa0RtSzEwbGhQQlgzb1JSWmJ4RnhYam1hRDJULVAwTFNCSUZIMUhMNnZoblJnVVpDcTJtRGt3SU1rWE5CMkRfZjNrTTNzbDZUOXRZcklwNnVlQXpWTVpwc0ljTDFodWpGV0V4dks4cUtzeElDOXlDaXZYZE04SjJrXzBRQVhDOF9NNThjcHlnUXF1aWNUUU5Yb2FwM1hiWHhjbUQ4?oc=5,"Tue, 22 Jul 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxQUHYzQnRiUjV5aEh5dGtRTWowTTlkMG5aaVRyYXZNckowWTdNa0RtSzEwbGhQQlgzb1JSWmJ4RnhYam1hRDJULVAwTFNCSUZIMUhMNnZoblJnVVpDcTJtRGt3SU1rWE5CMkRfZjNrTTNzbDZUOXRZcklwNnVlQXpWTVpwc0ljTDFodWpGV0V4dks4cUtzeElDOXlDaXZYZE04SjJrXzBRQVhDOF9NNThjcHlnUXF1aWNUUU5Yb2FwM1hiWHhjbUQ4?oc=5"" target=""_blank"">Anchorage bar owner says security guard killed shooter who fired on crowd</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Alaska Public Media</font>",,RSS Feed
