title,link,published,summary,content,source
Charlie Kirk’s body flown back to Arizona as search for suspect continues - The Guardian,https://news.google.com/rss/articles/CBMizgFBVV95cUxQZlVnSUozc09udThsZWp2R2NTUjVPRWwxa0swVjB1TmJZaHBXa3BvZERYOEJuNHNRR1pGc0QzcE4wTmhPZ245YlZNR0daa0lSMWZZNktXOWJmcHRKNzJKX0t3Qkp0cndfTjVMRnluUWdMMFh2R3F0TlR6UFdRZ09UYTlOU0Vzc3RpV200SGMzNWllUGl6UEJLUmFCRXlURnF2QmhxenZzNUZ0Yk5CdXc2YVYyOGI2N0NUTHVYMUFXVGo3amFrN3dkbXBiS0h5Zw?oc=5,"Thu, 11 Sep 2025 05:43:00 GMT","<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxQZlVnSUozc09udThsZWp2R2NTUjVPRWwxa0swVjB1TmJZaHBXa3BvZERYOEJuNHNRR1pGc0QzcE4wTmhPZ245YlZNR0daa0lSMWZZNktXOWJmcHRKNzJKX0t3Qkp0cndfTjVMRnluUWdMMFh2R3F0TlR6UFdRZ09UYTlOU0Vzc3RpV200SGMzNWllUGl6UEJLUmFCRXlURnF2QmhxenZzNUZ0Yk5CdXc2YVYyOGI2N0NUTHVYMUFXVGo3amFrN3dkbXBiS0h5Zw?oc=5"" target=""_blank"">Charlie Kirk’s body flown back to Arizona as search for suspect continues</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Guardian</font>",,RSS Feed
Addressing Firearm Violence in Arizona: A Public Health Perspective - AZ Public Health Association,https://news.google.com/rss/articles/CBMinAFBVV95cUxNYjhTNGhLMWxyeDdMSVJIRjlvaVE0TVVvQUUwY3J4YzhfOWJEakptdXdmMDFoOUxveGNaZ2l4ME52T2dtVmp0YnR2b3hEbUpFSDZOTjVmeTlUWE1DeTE5MTlCUjVrVTIxOWdQWHNWNEQ3SWJuYWJGN3BHSnB1UjFWYlo1emIxZjNjQjh0cTFOV3BoZjQxeUp2VmJtTU4?oc=5,"Wed, 08 Jan 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxNYjhTNGhLMWxyeDdMSVJIRjlvaVE0TVVvQUUwY3J4YzhfOWJEakptdXdmMDFoOUxveGNaZ2l4ME52T2dtVmp0YnR2b3hEbUpFSDZOTjVmeTlUWE1DeTE5MTlCUjVrVTIxOWdQWHNWNEQ3SWJuYWJGN3BHSnB1UjFWYlo1emIxZjNjQjh0cTFOV3BoZjQxeUp2VmJtTU4?oc=5"" target=""_blank"">Addressing Firearm Violence in Arizona: A Public Health Perspective</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AZ Public Health Association</font>",,RSS Feed
DEJA VU: Arizona House Passes Reckless Legislation Legalizing Gun Silencers and Forcing Guns on Campus; Arizona Moms Demand Action and Students Demand Action Urge Governor Katie Hobbs to Veto - Everytown,https://news.google.com/rss/articles/CBMixAJBVV95cUxPb2hoWkxKdmJzeXFzX2RrS0RrYlFONUoydmpidGZCVHp0MGNxZkIyX3pKOXhzdHNRd1pnaDZPN2p0TlhVWHlTUV9GODdSbENiSGZJdThYbFI5RHlXY05jYmxVcUhHZDlESDhMbjgwbW1sblZSSS1sbGtfMEk0ZHpTZEhCWFZuek8zcWdPczVjelVYTEk0Rkw0X2lkQ2xid0VHSEEtLWVQa3JuZ0g1Vk9zdVhLS3lzV3NHWmY0N09DdmN4V2ZUVHYtUzF3eEZkREExbDhrYmNreWlaNGwtakNMR0dybjl4cnBhT0w1OXBGTEhlVXVreVlFN05QVWlKbkxNdEsySVVPQ2hJRFFMbnBNcnJSeFRGd3BlbjBudE5XNkFGVzEyb3lkeloxams3SktpVGtBZTRYLUh3WlpZX3FodnRWbzY?oc=5,"Thu, 01 May 2025 21:51:55 GMT","<a href=""https://news.google.com/rss/articles/CBMixAJBVV95cUxPb2hoWkxKdmJzeXFzX2RrS0RrYlFONUoydmpidGZCVHp0MGNxZkIyX3pKOXhzdHNRd1pnaDZPN2p0TlhVWHlTUV9GODdSbENiSGZJdThYbFI5RHlXY05jYmxVcUhHZDlESDhMbjgwbW1sblZSSS1sbGtfMEk0ZHpTZEhCWFZuek8zcWdPczVjelVYTEk0Rkw0X2lkQ2xid0VHSEEtLWVQa3JuZ0g1Vk9zdVhLS3lzV3NHWmY0N09DdmN4V2ZUVHYtUzF3eEZkREExbDhrYmNreWlaNGwtakNMR0dybjl4cnBhT0w1OXBGTEhlVXVreVlFN05QVWlKbkxNdEsySVVPQ2hJRFFMbnBNcnJSeFRGd3BlbjBudE5XNkFGVzEyb3lkeloxams3SktpVGtBZTRYLUh3WlpZX3FodnRWbzY?oc=5"" target=""_blank"">DEJA VU: Arizona House Passes Reckless Legislation Legalizing Gun Silencers and Forcing Guns on Campus; Arizona Moms Demand Action and Students Demand Action Urge Governor Katie Hobbs to Veto</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Everytown</font>",,RSS Feed
Charlie Kirk in his own words: What the conservative commentator believed - azcentral.com and The Arizona Republic,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNV2VYY2NRV19EUlhDS1hmQ05kaTFoaHd3elZMZzE4bFZqdEtkd1lRUHhLcVN6Y01yRDE4Z0NvRWdzd192clNPNzg0U1VLUEU5ZTctOU41NThFVjNNaFhpaWxiZ2xXVW1pVkRjVHVabkt2NHR3V0xrNEFKdnFGMmdjUTE0Zm5QNU9hR2M3eGFqd1RnNDlKaDhCUHJ5RlFKTk85bS1aZG9hOUcyV28?oc=5,"Wed, 10 Sep 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxNV2VYY2NRV19EUlhDS1hmQ05kaTFoaHd3elZMZzE4bFZqdEtkd1lRUHhLcVN6Y01yRDE4Z0NvRWdzd192clNPNzg0U1VLUEU5ZTctOU41NThFVjNNaFhpaWxiZ2xXVW1pVkRjVHVabkt2NHR3V0xrNEFKdnFGMmdjUTE0Zm5QNU9hR2M3eGFqd1RnNDlKaDhCUHJ5RlFKTk85bS1aZG9hOUcyV28?oc=5"" target=""_blank"">Charlie Kirk in his own words: What the conservative commentator believed</a>&nbsp;&nbsp;<font color=""#6f6f6f"">azcentral.com and The Arizona Republic</font>",,RSS Feed
Arizona family continues fight for 'Christian's Law' on gun safety - 12News,https://news.google.com/rss/articles/CBMi-AFBVV95cUxQQVJ0ZGlvZVNtb1VqaXlRZnpiUVo4dkdRXy1DZk1kOV84azBpeVh5NXV4YkVXQTh3anZ4RTlGLXFCN2xBUmZGNm9aa0tDc0RycGNBZXlYek9BWV9MR3J1d1NhU3YwNlROV0tzbk9VdnhfZzF0VDVVeTQ5RGRsOElpRC0ycDZuSXlhUDgtbTNUSDV5bHhTUU52VWpyY3hOU291cTJqMUhxc0x0WXBmQjZCV1cwMm9JMEFrUTUzMTZTRkpHeVFkZU1rM0toaVhKZmpNcXMwcGtiTHhhV2RQUGx0d0RKWkk0dGJuVzQyZTBTYWJtSzlLLUZsSQ?oc=5,"Thu, 01 May 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi-AFBVV95cUxQQVJ0ZGlvZVNtb1VqaXlRZnpiUVo4dkdRXy1DZk1kOV84azBpeVh5NXV4YkVXQTh3anZ4RTlGLXFCN2xBUmZGNm9aa0tDc0RycGNBZXlYek9BWV9MR3J1d1NhU3YwNlROV0tzbk9VdnhfZzF0VDVVeTQ5RGRsOElpRC0ycDZuSXlhUDgtbTNUSDV5bHhTUU52VWpyY3hOU291cTJqMUhxc0x0WXBmQjZCV1cwMm9JMEFrUTUzMTZTRkpHeVFkZU1rM0toaVhKZmpNcXMwcGtiTHhhV2RQUGx0d0RKWkk0dGJuVzQyZTBTYWJtSzlLLUZsSQ?oc=5"" target=""_blank"">Arizona family continues fight for 'Christian's Law' on gun safety</a>&nbsp;&nbsp;<font color=""#6f6f6f"">12News</font>",,RSS Feed
Arizona lawmakers applaud Supreme Court striking down Mexico’s gun violence lawsuit - AZFamily,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPVlVnQk1od09qaUNxSVFPSVFuQVY4Tkt3MmtrbWNIUXcwWmlYR29fcmk0dGxxM2J6WmZNUU5ZcWYwUDBXTVFncUpOS1VfOUxSdk9UZ0duSmpFa21yRk9CdnVaQUZzZkl4d2pRUE1BWVM2clF3UW1mWURpR2tJQUItTnM2U3BtTFlST3hkT1YxZlFMd3JSTmRmZ1h3ZmRaQ2M2RmZ2NUtzNkFLNlh4LXdPcVFQUmZQYVcxaE9n0gHPAUFVX3lxTE9DemJkcUJpcFV4VHhGS0FUa0NUekZsdFFVTFhXQ2xQdG9QamtzRmtyNTlvdXFBREJvZ2RkOTFROWc4bXpKVUstbDZIeHl6WUhoQTJVUk0zZlFHR2RLbEJhX2hEd3RWSGlwUzFRR1BRTE1iYVhfcW1GMlk5ZHpOQ3ZsSTZFMDNHcjM0V3Vtc0dfQ25MQnFaa3lubS14Q2NhVk5CY3A1SFVVRFJIMGNnTzlqMlVUWGtGWGVSYmIzSTdqQ3JqNGRSenZ5MnpmX0NjYw?oc=5,"Thu, 05 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxPVlVnQk1od09qaUNxSVFPSVFuQVY4Tkt3MmtrbWNIUXcwWmlYR29fcmk0dGxxM2J6WmZNUU5ZcWYwUDBXTVFncUpOS1VfOUxSdk9UZ0duSmpFa21yRk9CdnVaQUZzZkl4d2pRUE1BWVM2clF3UW1mWURpR2tJQUItTnM2U3BtTFlST3hkT1YxZlFMd3JSTmRmZ1h3ZmRaQ2M2RmZ2NUtzNkFLNlh4LXdPcVFQUmZQYVcxaE9n0gHPAUFVX3lxTE9DemJkcUJpcFV4VHhGS0FUa0NUekZsdFFVTFhXQ2xQdG9QamtzRmtyNTlvdXFBREJvZ2RkOTFROWc4bXpKVUstbDZIeHl6WUhoQTJVUk0zZlFHR2RLbEJhX2hEd3RWSGlwUzFRR1BRTE1iYVhfcW1GMlk5ZHpOQ3ZsSTZFMDNHcjM0V3Vtc0dfQ25MQnFaa3lubS14Q2NhVk5CY3A1SFVVRFJIMGNnTzlqMlVUWGtGWGVSYmIzSTdqQ3JqNGRSenZ5MnpmX0NjYw?oc=5"" target=""_blank"">Arizona lawmakers applaud Supreme Court striking down Mexico’s gun violence lawsuit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AZFamily</font>",,RSS Feed
"THREE STRIKES AND THEY’RE OUT: For Third-Consecutive Year, Governor Katie Hobbs Vetoes Legislation to Protect the Gun Industry by Extending Arizona’s Preemption Law - Everytown",https://news.google.com/rss/articles/CBMingJBVV95cUxOMWJLWTdmYk85eGE1MjRtdUdCblEwVk5wWUgzbTFRd0xSbTBBYVY2UkxYMUVXOGpnbWYzYU5KYWhNa2JIeGpOWlF6cGNSRVVDT2ktWEtjc1poeVc4T3o1RmRRdUxOR2FBT2FPNUx6b1ZjSjRfc2d3OElkU3puR2IzNjk5dmxMVkxTakkxYTQ2YTZ0RkdESjFxZnY2cC11dWRpRFZkbWdUbkVvTnhaTFU5RWF0a2dQWlFJdmZUaXcySlcwdnIyNFQtWTBCb2xRYU5nNVUtVll6WTJUb3BjTWIyNjNXR1NXRzRveDN2a1I2aU1keUd0WW1lbE5mNmFZcGhrTWpCdHg5TUVKXzFMWEM1RktpamQ1enc2RkdjWXdn?oc=5,"Sat, 03 May 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMingJBVV95cUxOMWJLWTdmYk85eGE1MjRtdUdCblEwVk5wWUgzbTFRd0xSbTBBYVY2UkxYMUVXOGpnbWYzYU5KYWhNa2JIeGpOWlF6cGNSRVVDT2ktWEtjc1poeVc4T3o1RmRRdUxOR2FBT2FPNUx6b1ZjSjRfc2d3OElkU3puR2IzNjk5dmxMVkxTakkxYTQ2YTZ0RkdESjFxZnY2cC11dWRpRFZkbWdUbkVvTnhaTFU5RWF0a2dQWlFJdmZUaXcySlcwdnIyNFQtWTBCb2xRYU5nNVUtVll6WTJUb3BjTWIyNjNXR1NXRzRveDN2a1I2aU1keUd0WW1lbE5mNmFZcGhrTWpCdHg5TUVKXzFMWEM1RktpamQ1enc2RkdjWXdn?oc=5"" target=""_blank"">THREE STRIKES AND THEY’RE OUT: For Third-Consecutive Year, Governor Katie Hobbs Vetoes Legislation to Protect the Gun Industry by Extending Arizona’s Preemption Law</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Everytown</font>",,RSS Feed
"A GOP lawmaker wants to repeal AZ’s ban on machine guns, pipe bombs and more - Arizona Mirror",https://news.google.com/rss/articles/CBMiqwFBVV95cUxQR2g4ODFad2JzYUNsc2ZaMEx5YWhqZjg1OWViZjNhTG5oTFJxSmNVSUotdDl1bmtZdDFjU2tsY0FSV0lyc1poMGI1US1lbU1TMThKWEZocGNpdHZaaDVQcW40YVJROGRKdW16TXlsbjJ3eTNfZlBRRjhiVTZZNFZpalNydUU0YjlTbVVoMnhIbFhKQXEzVm9JQlAyWU1SUkJCdWpRM2pjR0I3cGc?oc=5,"Wed, 05 Feb 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxQR2g4ODFad2JzYUNsc2ZaMEx5YWhqZjg1OWViZjNhTG5oTFJxSmNVSUotdDl1bmtZdDFjU2tsY0FSV0lyc1poMGI1US1lbU1TMThKWEZocGNpdHZaaDVQcW40YVJROGRKdW16TXlsbjJ3eTNfZlBRRjhiVTZZNFZpalNydUU0YjlTbVVoMnhIbFhKQXEzVm9JQlAyWU1SUkJCdWpRM2pjR0I3cGc?oc=5"" target=""_blank"">A GOP lawmaker wants to repeal AZ’s ban on machine guns, pipe bombs and more</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Arizona Mirror</font>",,RSS Feed
3 shot dead and 5 injured in Glendale is no reason to expect gun reform | Opinion - azcentral.com and The Arizona Republic,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOWjRvUE95TF9YZkdKcm84QS13VnlRaVNybko2THBMdDdXejFHLTBHc2NUTkoyQU5SRXVqQk93UjZ3a01MVjBRVVlqVjNzNDc2Z1RtNFBJWXlwM3EydlgtOHc2S3JaeFNUU3lXM1pLLUROTGVNTWNNRVE2dG4wTm1PLUZGZmtVV1VVNjdtYTdYUnI4RzM0cE5OMmJ3UXJIT180bURrNlluNDE1ZndBY0FROW1XTWdzTkItbW5lcExpOXJjVzg?oc=5,"Tue, 06 May 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxOWjRvUE95TF9YZkdKcm84QS13VnlRaVNybko2THBMdDdXejFHLTBHc2NUTkoyQU5SRXVqQk93UjZ3a01MVjBRVVlqVjNzNDc2Z1RtNFBJWXlwM3EydlgtOHc2S3JaeFNUU3lXM1pLLUROTGVNTWNNRVE2dG4wTm1PLUZGZmtVV1VVNjdtYTdYUnI4RzM0cE5OMmJ3UXJIT180bURrNlluNDE1ZndBY0FROW1XTWdzTkItbW5lcExpOXJjVzg?oc=5"" target=""_blank"">3 shot dead and 5 injured in Glendale is no reason to expect gun reform | Opinion</a>&nbsp;&nbsp;<font color=""#6f6f6f"">azcentral.com and The Arizona Republic</font>",,RSS Feed
"Charlie Kirk's Wife, Erika, Holds up Rosary as Body Arrives in Arizona - Newsweek",https://news.google.com/rss/articles/CBMiswFBVV95cUxOcnRKVnZySy1nS01USkFoa3gtYnNteDlZV3NCQmZ3X0E0M2JCWHZoLWl6YndsZFVFbWlPRjBaVU15V1kxaVdQbTZxeDJHTEIxNGs0M0Q5NlFvQnVueG5OTUk5d3ZrUU95bVpEdUN4c1ZrcXNZdndWSUtYc1dZWUNyX0NBdGI0R1JLZk9wZ3ZkOTFLNWIwLWkyTXJteUFlSWtKWUg4VVNqZnNway1kUmdTZmlNQQ?oc=5,"Fri, 12 Sep 2025 08:07:08 GMT","<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxOcnRKVnZySy1nS01USkFoa3gtYnNteDlZV3NCQmZ3X0E0M2JCWHZoLWl6YndsZFVFbWlPRjBaVU15V1kxaVdQbTZxeDJHTEIxNGs0M0Q5NlFvQnVueG5OTUk5d3ZrUU95bVpEdUN4c1ZrcXNZdndWSUtYc1dZWUNyX0NBdGI0R1JLZk9wZ3ZkOTFLNWIwLWkyTXJteUFlSWtKWUg4VVNqZnNway1kUmdTZmlNQQ?oc=5"" target=""_blank"">Charlie Kirk's Wife, Erika, Holds up Rosary as Body Arrives in Arizona</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Newsweek</font>",,RSS Feed
