title,link,published,summary,content,source
"Child Gun Deaths Surging in Arkansas and Across US, CDC Data Show - ACHI - Arkansas Center for Health Improvement - ACHI",https://news.google.com/rss/articles/CBMilgFBVV95cUxOUWU5SmU0Qnc4RVZWalVocXZJdkNVODdIRm1nd1BnRGpkejBTd0xua0l2S1U5alVraHVwVlZKNVdHd21DMk1KUXpETW9CNUp4YjYxUzNQU3ZqV2wtcjZWUUdjM3pVN3NUTVNWamlFdGQ2SGlfTUpoSGJRMThTcVZnRWxpRDNNbWRnVWFtLV93MmttYW03eHc?oc=5,"Thu, 10 Jul 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxOUWU5SmU0Qnc4RVZWalVocXZJdkNVODdIRm1nd1BnRGpkejBTd0xua0l2S1U5alVraHVwVlZKNVdHd21DMk1KUXpETW9CNUp4YjYxUzNQU3ZqV2wtcjZWUUdjM3pVN3NUTVNWamlFdGQ2SGlfTUpoSGJRMThTcVZnRWxpRDNNbWRnVWFtLV93MmttYW03eHc?oc=5"" target=""_blank"">Child Gun Deaths Surging in Arkansas and Across US, CDC Data Show - ACHI</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Arkansas Center for Health Improvement - ACHI</font>",,RSS Feed
"Arkansas lawmakers share thoughts, concerns surrounding political violence - thv11.com",https://news.google.com/rss/articles/CBMi5wFBVV95cUxOU0VJRUpyV2pCeGxoM0dNUnMwWTExalVwUldpU0tVUkg0d25TOWYybzFZWHJvQTF3SXA2UEJWNHBYbEdNYUVUSElTQkpDVkdYWjhsbFN2WkZGV0dlRFljZ0VfQ2RiUHN6eVQ2SzJVSGROckt4RXdpUzBrNGlnUXNBMFNZQkNrQUlfenlhLWRfa3M1TW5JeWxRak9UeTdLa09qam0wSUt6YkpyWmJiY1F4TW5wd3BqRWZNOUNtZzg2Y2FqbU1pb1hhMzBDVGRhaUxXZlRzeXRQR09XcXZJV3puSWtHcy0wQk0?oc=5,"Fri, 12 Sep 2025 22:21:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxOU0VJRUpyV2pCeGxoM0dNUnMwWTExalVwUldpU0tVUkg0d25TOWYybzFZWHJvQTF3SXA2UEJWNHBYbEdNYUVUSElTQkpDVkdYWjhsbFN2WkZGV0dlRFljZ0VfQ2RiUHN6eVQ2SzJVSGROckt4RXdpUzBrNGlnUXNBMFNZQkNrQUlfenlhLWRfa3M1TW5JeWxRak9UeTdLa09qam0wSUt6YkpyWmJiY1F4TW5wd3BqRWZNOUNtZzg2Y2FqbU1pb1hhMzBDVGRhaUxXZlRzeXRQR09XcXZJV3puSWtHcy0wQk0?oc=5"" target=""_blank"">Arkansas lawmakers share thoughts, concerns surrounding political violence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">thv11.com</font>",,RSS Feed
How many people die from gun-related injuries in Arkansas each year? - usafacts.org,https://news.google.com/rss/articles/CBMisAFBVV95cUxOM1F6Z2YyWHltRlJFVkJTLVZ3bklYV0owS0tmd1VmS3haeXI1eUZkVlVxS3Y5SU9kaFp3NWRHbGFxRWVEdlVTXzYzRkpoLW9RaTEteWU0ZDdCN243OHpNdF9lWFFCTVNjaDJQc3h5bWlIU3FIbFp4UTB5LXRWZ3Utd3pTZ3htR3ZfeFZTV1Z6elBzaTcxOWVjakd6bHc5aG9WUGlFRVh1UEFab0JyWjZJQQ?oc=5,"Sun, 15 Dec 2024 08:41:33 GMT","<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxOM1F6Z2YyWHltRlJFVkJTLVZ3bklYV0owS0tmd1VmS3haeXI1eUZkVlVxS3Y5SU9kaFp3NWRHbGFxRWVEdlVTXzYzRkpoLW9RaTEteWU0ZDdCN243OHpNdF9lWFFCTVNjaDJQc3h5bWlIU3FIbFp4UTB5LXRWZ3Utd3pTZ3htR3ZfeFZTV1Z6elBzaTcxOWVjakd6bHc5aG9WUGlFRVh1UEFab0JyWjZJQQ?oc=5"" target=""_blank"">How many people die from gun-related injuries in Arkansas each year?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">usafacts.org</font>",,RSS Feed
Youth gun deaths in the US have surged 50% since 2019 - Arkansas Advocate,https://news.google.com/rss/articles/CBMimAFBVV95cUxPc1hlVWxkaXY4TWZPa2lOTmkwaEZqZk5kVHZqVEVpRzNzSkxydzlRVkpHalhtUkhhNEQ5MXhzT2szNGpNQlBfZTBTRlJ5a01GVF9pVXg4VG9xdmYyczg3aUdfdHZFUHpER3JZaDBRbHowZ0E4TVd2Z3VYTDRkVmtCeDRVR1M5VDdiTHlsREJGaXNXU1hBc2hGUg?oc=5,"Thu, 20 Mar 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxPc1hlVWxkaXY4TWZPa2lOTmkwaEZqZk5kVHZqVEVpRzNzSkxydzlRVkpHalhtUkhhNEQ5MXhzT2szNGpNQlBfZTBTRlJ5a01GVF9pVXg4VG9xdmYyczg3aUdfdHZFUHpER3JZaDBRbHowZ0E4TVd2Z3VYTDRkVmtCeDRVR1M5VDdiTHlsREJGaXNXU1hBc2hGUg?oc=5"" target=""_blank"">Youth gun deaths in the US have surged 50% since 2019</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Arkansas Advocate</font>",,RSS Feed
"Child gun deaths on the rise in Arkansas - K8 News | Jonesboro, Arkansas",https://news.google.com/rss/articles/CBMickFVX3lxTE53WDJwVEowLW9PNFFySzdBd1RfN0JaTmdIai1rSDYzY0tnZDFnNWZOTk5PRzFsWnpESDRPcXJ4Z3A0YUktXzRrUUxfUkZvQW9GdndpMEhvTkxNejRWejR3WGQ2cmRUZzdoODh2dmhjTWx6Z9IBhgFBVV95cUxNQVlOVnpfenc1ZHdIZHhZajFDdjZYa2FTTzNmc29URmZ3dnNHbkdmV1BLaGZLMEc4YnVjRzBtSlRkd3F4bDdPa2FJek9JclJPd2tSVnEyak02MlNHMUxIdjdrLXRlV21OV25FbG5UQm9KWjRKS1Q0VHRLc2VFZ0NRRVZ1blIzZw?oc=5,"Fri, 11 Jul 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMickFVX3lxTE53WDJwVEowLW9PNFFySzdBd1RfN0JaTmdIai1rSDYzY0tnZDFnNWZOTk5PRzFsWnpESDRPcXJ4Z3A0YUktXzRrUUxfUkZvQW9GdndpMEhvTkxNejRWejR3WGQ2cmRUZzdoODh2dmhjTWx6Z9IBhgFBVV95cUxNQVlOVnpfenc1ZHdIZHhZajFDdjZYa2FTTzNmc29URmZ3dnNHbkdmV1BLaGZLMEc4YnVjRzBtSlRkd3F4bDdPa2FJek9JclJPd2tSVnEyak02MlNHMUxIdjdrLXRlV21OV25FbG5UQm9KWjRKS1Q0VHRLc2VFZ0NRRVZ1blIzZw?oc=5"" target=""_blank"">Child gun deaths on the rise in Arkansas</a>&nbsp;&nbsp;<font color=""#6f6f6f"">K8 News | Jonesboro, Arkansas</font>",,RSS Feed
"Stand-your-ground laws linked to higher homicide rates, new report finds - Arkansas Advocate",https://news.google.com/rss/articles/CBMisgFBVV95cUxOTUNJclh0WFpwQ1VHY183RTJMd3RTdHVTZUI1RXd1WjE5dm5uOW5RMDFlQUlHZ2RMTkgzUGdRcFRqNkNtWDVZbm1VQTZNVFJvaVVhaWt1eS1pYnBkVk5oQ0NxTnBYa2pPVjJVZzdaQzdMMFJuNDNEQkVPcXluUnNMTTVDUURZUUM0UXdBQUtSVGh3dnMyX090ZHViQU9TU0hhM011ZF9XbzR6RWpKel9JWVlB?oc=5,"Tue, 22 Jul 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxOTUNJclh0WFpwQ1VHY183RTJMd3RTdHVTZUI1RXd1WjE5dm5uOW5RMDFlQUlHZ2RMTkgzUGdRcFRqNkNtWDVZbm1VQTZNVFJvaVVhaWt1eS1pYnBkVk5oQ0NxTnBYa2pPVjJVZzdaQzdMMFJuNDNEQkVPcXluUnNMTTVDUURZUUM0UXdBQUtSVGh3dnMyX090ZHViQU9TU0hhM011ZF9XbzR6RWpKel9JWVlB?oc=5"" target=""_blank"">Stand-your-ground laws linked to higher homicide rates, new report finds</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Arkansas Advocate</font>",,RSS Feed
Arkansas parents react to new law requiring gun safety education in public schools - kark.com,https://news.google.com/rss/articles/CBMivAFBVV95cUxPY3JORUVZVDVBenprcl9QUkl0a1pRMXF0bVRlODZMeFBWNzBhUTE5cnM1TVZSR0hJeDRqTEZMRHlfS3dpQ0FyeF9Hd3BXMlBxM3F6UUpTWFExVkFXZEdnZEM5QVZoVW1OV3Ewb2Qwbk1LZFozdHEyVkdUX1hXV1pSRWI0ZVJ1Y0JadzAzTWxLUWxnSWVmOHhRME1iODFrbTdiYUFvSHQ0RV94dGJNODkzTFR5UmJvd0FxbFBLaA?oc=5,"Mon, 10 Mar 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxPY3JORUVZVDVBenprcl9QUkl0a1pRMXF0bVRlODZMeFBWNzBhUTE5cnM1TVZSR0hJeDRqTEZMRHlfS3dpQ0FyeF9Hd3BXMlBxM3F6UUpTWFExVkFXZEdnZEM5QVZoVW1OV3Ewb2Qwbk1LZFozdHEyVkdUX1hXV1pSRWI0ZVJ1Y0JadzAzTWxLUWxnSWVmOHhRME1iODFrbTdiYUFvSHQ0RV94dGJNODkzTFR5UmJvd0FxbFBLaA?oc=5"" target=""_blank"">Arkansas parents react to new law requiring gun safety education in public schools</a>&nbsp;&nbsp;<font color=""#6f6f6f"">kark.com</font>",,RSS Feed
Arkansas lawmakers push to change gun laws for felons this upcoming session - thv11.com,https://news.google.com/rss/articles/CBMixgFBVV95cUxPVFpXTEhMTi1UM0xUVnd4MGtGdHE4MUNxNDI1d2JLd0t3b3lrcnlzTENaUEtNU3E2SlVjMG9rbkJidkRneENIalcyeGEwS0FOS0djYzJYaUFWTW5YcUtCZEEtMzZtY2RvOUdIRmdnVC1TVWkzM18zRnExVVFMTDBrajJFMW9wYVV4OTk3V0pQTmVJeHJnMUVtMGtudFFkWlZZWkQ5clJnSk1jazl5ZVpVRFllYl9EOVdha0lRazIzeEZNM0d5NGc?oc=5,"Wed, 11 Dec 2024 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxPVFpXTEhMTi1UM0xUVnd4MGtGdHE4MUNxNDI1d2JLd0t3b3lrcnlzTENaUEtNU3E2SlVjMG9rbkJidkRneENIalcyeGEwS0FOS0djYzJYaUFWTW5YcUtCZEEtMzZtY2RvOUdIRmdnVC1TVWkzM18zRnExVVFMTDBrajJFMW9wYVV4OTk3V0pQTmVJeHJnMUVtMGtudFFkWlZZWkQ5clJnSk1jazl5ZVpVRFllYl9EOVdha0lRazIzeEZNM0d5NGc?oc=5"" target=""_blank"">Arkansas lawmakers push to change gun laws for felons this upcoming session</a>&nbsp;&nbsp;<font color=""#6f6f6f"">thv11.com</font>",,RSS Feed
What weapons can you carry for protection while hiking in Arkansas? - 5newsonline.com,https://news.google.com/rss/articles/CBMi6gFBVV95cUxOaG05WmxmNEFtS1RaNEJaSG56SUQ2NkNNZUc1SkFMT3ZKWmU2NFdwczVBbFNCdG5HaEZjV1FpcEZPZGV5M0ZNUXRUaUgwNi1EYzBsc2pZUEV3OWlRUnFhczJQTUFWdTlMVHRNMEcyUTdwZ2RtcW9oajRlZ01lTHBUWmVWd3lNM2VyWHZoc3pvdWMyR1NVWjJzNDNxODJNcmVLMFdRWW4weWR1VDZBZ2tZcy1WeGdxV1BsQ3VkRHNXSjhyclRhR2ZTNHo5cVZOaWoxckZPelRYWUk2b0Y5MmxGbl8tQzRFdmRDSnc?oc=5,"Wed, 30 Jul 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxOaG05WmxmNEFtS1RaNEJaSG56SUQ2NkNNZUc1SkFMT3ZKWmU2NFdwczVBbFNCdG5HaEZjV1FpcEZPZGV5M0ZNUXRUaUgwNi1EYzBsc2pZUEV3OWlRUnFhczJQTUFWdTlMVHRNMEcyUTdwZ2RtcW9oajRlZ01lTHBUWmVWd3lNM2VyWHZoc3pvdWMyR1NVWjJzNDNxODJNcmVLMFdRWW4weWR1VDZBZ2tZcy1WeGdxV1BsQ3VkRHNXSjhyclRhR2ZTNHo5cVZOaWoxckZPelRYWUk2b0Y5MmxGbl8tQzRFdmRDSnc?oc=5"" target=""_blank"">What weapons can you carry for protection while hiking in Arkansas?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">5newsonline.com</font>",,RSS Feed
"Bill to restore gun rights to nonviolent felons in Arkansas - K8 News | Jonesboro, Arkansas",https://news.google.com/rss/articles/CBMilAFBVV95cUxOMUFpcXpDYXk1VmhJSmlxRFpHZEdoZ0FMQVY0NTh2TWFaaE9faEJXRm13REZzS0xxME1wSk93b0JFTjlISzdoNUFtemRFLUhIRkg5MThKVjdaVW8xZzc2VTdLZkR1UmhxT1Y0dFhGVU9OU1lfQVdwY1VtOXUzQ2hOMzVla0FkVk8xUGNQblNNdms4Ry1H?oc=5,"Wed, 11 Dec 2024 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxOMUFpcXpDYXk1VmhJSmlxRFpHZEdoZ0FMQVY0NTh2TWFaaE9faEJXRm13REZzS0xxME1wSk93b0JFTjlISzdoNUFtemRFLUhIRkg5MThKVjdaVW8xZzc2VTdLZkR1UmhxT1Y0dFhGVU9OU1lfQVdwY1VtOXUzQ2hOMzVla0FkVk8xUGNQblNNdms4Ry1H?oc=5"" target=""_blank"">Bill to restore gun rights to nonviolent felons in Arkansas</a>&nbsp;&nbsp;<font color=""#6f6f6f"">K8 News | Jonesboro, Arkansas</font>",,RSS Feed
Recommendations for clarifying Arkansas' gun laws remain without expansive legislative action - Texarkana Gazette,https://news.google.com/rss/articles/CBMioAFBVV95cUxQNk5aSEdfWHl2Y005R2syRFJYRVMyZkV6LW04a1g3WFAyajliSEVxZ19RVzdpd0xvSnU5di1HTjJIMGFRengyOVdDZ1Y3SnpyT2RITTRmOXlTMzBxWHBrbnFaWE1reHR3d3JpRWxaNS1pdDVvanVKNlh6ckpaTTV1RUZ5bWY1WXVRQk43RUsxN3hqbjJLSUU0Z3Z6ZDNFS3pM?oc=5,"Mon, 31 Mar 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxQNk5aSEdfWHl2Y005R2syRFJYRVMyZkV6LW04a1g3WFAyajliSEVxZ19RVzdpd0xvSnU5di1HTjJIMGFRengyOVdDZ1Y3SnpyT2RITTRmOXlTMzBxWHBrbnFaWE1reHR3d3JpRWxaNS1pdDVvanVKNlh6ckpaTTV1RUZ5bWY1WXVRQk43RUsxN3hqbjJLSUU0Z3Z6ZDNFS3pM?oc=5"" target=""_blank"">Recommendations for clarifying Arkansas' gun laws remain without expansive legislative action</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Texarkana Gazette</font>",,RSS Feed
"Shooting at Arkansas high school football game sends parent to hospital, game called at halftime - Sports Illustrated",https://news.google.com/rss/articles/CBMi4gFBVV95cUxQYVk0d21vZ3ZRNVVfZWs0SjZWWURXdmt0WDFHUV9GdEJMMFJ1NnBmRkw2T0JtdHJyV0tobXVNUzhDMjhFREh4SmVaOUw3dmlWRzlyRXBxeFAwNC1xQ0FtNnNFWWpnTHVjc285cnpPUWlBOUNQa1dQanQwTHJFaE1XUGxES01CeWE2eEZYNG5Pa2dhRWROb2o2NVNiSjJLdVdkMXR1bW9sSTRneElVaDFhcGJRTExQN29JUXdmM1ZXTk9xVUMwMDB3MzM5U0RXNzBDVGNfMmF6ekVCTGdfcXpieGZB?oc=5,"Sat, 13 Sep 2025 16:08:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxQYVk0d21vZ3ZRNVVfZWs0SjZWWURXdmt0WDFHUV9GdEJMMFJ1NnBmRkw2T0JtdHJyV0tobXVNUzhDMjhFREh4SmVaOUw3dmlWRzlyRXBxeFAwNC1xQ0FtNnNFWWpnTHVjc285cnpPUWlBOUNQa1dQanQwTHJFaE1XUGxES01CeWE2eEZYNG5Pa2dhRWROb2o2NVNiSjJLdVdkMXR1bW9sSTRneElVaDFhcGJRTExQN29JUXdmM1ZXTk9xVUMwMDB3MzM5U0RXNzBDVGNfMmF6ekVCTGdfcXpieGZB?oc=5"" target=""_blank"">Shooting at Arkansas high school football game sends parent to hospital, game called at halftime</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Sports Illustrated</font>",,RSS Feed
"Police investigate North Little Rock football game shooting - K8 News | Jonesboro, Arkansas",https://news.google.com/rss/articles/CBMimAFBVV95cUxObFc1eGxEN1JYaXc5dy1EbHJGZTAxUlFmRVpRM2hOT2FTOUlYcTQ4cWpHSVZ1NmxadS0wWmsxVFdKNnpaaUtHRlVaTno3WTdfU2lwMUlDdGlPMnVTWlhhSUs2N2ZYVGhsS3N0cFFRLVNJUkRSSDZiQWFkRXlnUmVzREkxMXlEbmM0UWhmemM3YXE3Q2JmR0RqOdIBrAFBVV95cUxOWEJPeng3Wm5rZzZSdWlGZUxaUU81WG9EMm1CdE1aSDdQWFI5YndLc2s0R3l3STdrR2VuWFJqRnV4b2RPd2NxQktIR0JQUWFPYk5lM05qeWdtSHdGdVJkZWhHYzJ0UUU5a3RGS1lMX04xa1NGZ0laRC1oRXRuSmh0Ukc3X0RqU2VnNENjNmlXOXpkSGl4Z2EwU0NCNG82RUhZdVBzMG13SXd6cTUt?oc=5,"Sat, 13 Sep 2025 16:18:00 GMT","<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxObFc1eGxEN1JYaXc5dy1EbHJGZTAxUlFmRVpRM2hOT2FTOUlYcTQ4cWpHSVZ1NmxadS0wWmsxVFdKNnpaaUtHRlVaTno3WTdfU2lwMUlDdGlPMnVTWlhhSUs2N2ZYVGhsS3N0cFFRLVNJUkRSSDZiQWFkRXlnUmVzREkxMXlEbmM0UWhmemM3YXE3Q2JmR0RqOdIBrAFBVV95cUxOWEJPeng3Wm5rZzZSdWlGZUxaUU81WG9EMm1CdE1aSDdQWFI5YndLc2s0R3l3STdrR2VuWFJqRnV4b2RPd2NxQktIR0JQUWFPYk5lM05qeWdtSHdGdVJkZWhHYzJ0UUU5a3RGS1lMX04xa1NGZ0laRC1oRXRuSmh0Ukc3X0RqU2VnNENjNmlXOXpkSGl4Z2EwU0NCNG82RUhZdVBzMG13SXd6cTUt?oc=5"" target=""_blank"">Police investigate North Little Rock football game shooting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">K8 News | Jonesboro, Arkansas</font>",,RSS Feed
"Man, woman found shot in home, Jonesboro police investigating - K8 News | Jonesboro, Arkansas",https://news.google.com/rss/articles/CBMid0FVX3lxTE1xQ04tTWFpNmJuVFRZbVRtM2pKcVJJbzdpUHdIY2pORndSMWdJOWEtVGhHUGRLQWhqVzQwN2ZkY1FqVS1yZ0wwWE10d0pkSXdKLXdjQjZTaUQzeEwxeEhvMm95Q1ZsaUIyLTBTZW5XUEtnVzRBclJn0gGLAUFVX3lxTE40YTY1clBOZmlJTWQxb1h3MEFhaHVkLUQ1ek1jRHlJb0p0MHlkNTR2SVdBY1pFOFVRbmp2OGszUThqZWlPMU1ha0plcm05YTh1YU5lRWtTZGRZeEJrcTVoYUQzbm53WmFwVV9hR0R2WDhucmI0YW80RFlJdmxWdVVKU0pFNEpoSnRBWU0?oc=5,"Thu, 11 Sep 2025 15:46:00 GMT","<a href=""https://news.google.com/rss/articles/CBMid0FVX3lxTE1xQ04tTWFpNmJuVFRZbVRtM2pKcVJJbzdpUHdIY2pORndSMWdJOWEtVGhHUGRLQWhqVzQwN2ZkY1FqVS1yZ0wwWE10d0pkSXdKLXdjQjZTaUQzeEwxeEhvMm95Q1ZsaUIyLTBTZW5XUEtnVzRBclJn0gGLAUFVX3lxTE40YTY1clBOZmlJTWQxb1h3MEFhaHVkLUQ1ek1jRHlJb0p0MHlkNTR2SVdBY1pFOFVRbmp2OGszUThqZWlPMU1ha0plcm05YTh1YU5lRWtTZGRZeEJrcTVoYUQzbm53WmFwVV9hR0R2WDhucmI0YW80RFlJdmxWdVVKU0pFNEpoSnRBWU0?oc=5"" target=""_blank"">Man, woman found shot in home, Jonesboro police investigating</a>&nbsp;&nbsp;<font color=""#6f6f6f"">K8 News | Jonesboro, Arkansas</font>",,RSS Feed
