title,link,published,summary,content,source
The cultural forces that shape gun violence with Dr. Jonathan Metzl - Connecticut Public,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOTzFxalhIVHNzcVBZbGdmRFliSFcwcEN2TXJvTmhZd241UUJqYm5mNU0td0NKRGsyazAwMjhtaUJ2M09ROUhoVW1ZTUNtd0VyZkJqNnNMRG1WQmdmc1g1RVBKQUJhb0FjTG1zd2FIUXpkSXg4R1BUZmNpYV9mRVBwdjJjNTQ0WmNQZTVrdmkwNHdaZWdYZUtrcDNfQ0hnOHIzMU85eW9yT2ZQUUNhMFJveGVMN2xEWEIy?oc=5,"Fri, 12 Sep 2025 13:10:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxOTzFxalhIVHNzcVBZbGdmRFliSFcwcEN2TXJvTmhZd241UUJqYm5mNU0td0NKRGsyazAwMjhtaUJ2M09ROUhoVW1ZTUNtd0VyZkJqNnNMRG1WQmdmc1g1RVBKQUJhb0FjTG1zd2FIUXpkSXg4R1BUZmNpYV9mRVBwdjJjNTQ0WmNQZTVrdmkwNHdaZWdYZUtrcDNfQ0hnOHIzMU85eW9yT2ZQUUNhMFJveGVMN2xEWEIy?oc=5"" target=""_blank"">The cultural forces that shape gun violence with Dr. Jonathan Metzl</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Connecticut Public</font>",,RSS Feed
"Connecticut Leaders React To Charlie Kirk Assassination With Condemnation, Gun Reform Calls, and Rare Bipartisan Unity - CT News Junkie",https://news.google.com/rss/articles/CBMi6AFBVV95cUxNY3VRVmtuWWR3VEk3S1ZLTGtJV3ctT0o2U2QtRUJPNVNGNWI1OUMyRDlLUHVGYzVFUFoxSHppY3NlR0RZdy01X01kQlk0dVNFbjA3czVDQmZLSmo5MHVUNEdiVk9ZTl9tSzRxa25kWXprS3JJVy00dzUtZTdoajhGYWpybjdOWkFQYWt4NHZXb281M0Z1WDNhdTgtTndJNkxfYkFOZmpKMlZLRjdCTVVQLTNKYnNrMkoyNi1WRkZQeFZnSE56M0tzZFMtbVcwMkk0M1VJMU5YMjUtanpvNERKaGVuLS1kMnlB?oc=5,"Thu, 11 Sep 2025 19:06:16 GMT","<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxNY3VRVmtuWWR3VEk3S1ZLTGtJV3ctT0o2U2QtRUJPNVNGNWI1OUMyRDlLUHVGYzVFUFoxSHppY3NlR0RZdy01X01kQlk0dVNFbjA3czVDQmZLSmo5MHVUNEdiVk9ZTl9tSzRxa25kWXprS3JJVy00dzUtZTdoajhGYWpybjdOWkFQYWt4NHZXb281M0Z1WDNhdTgtTndJNkxfYkFOZmpKMlZLRjdCTVVQLTNKYnNrMkoyNi1WRkZQeFZnSE56M0tzZFMtbVcwMkk0M1VJMU5YMjUtanpvNERKaGVuLS1kMnlB?oc=5"" target=""_blank"">Connecticut Leaders React To Charlie Kirk Assassination With Condemnation, Gun Reform Calls, and Rare Bipartisan Unity</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CT News Junkie</font>",,RSS Feed
"Larson Pleads with Speaker Johnson for Action on Gun Violence, Joins Connecticut House Delegation to Support Common-Sense Reforms - Congressman John Larson (.gov)",https://news.google.com/rss/articles/CBMiuwFBVV95cUxOQmVuVGNOLXFKUTlnMHdWbU0xdTFUVkdJNGN0TUFobUltUlhQdlBlbTc2cWVWbTVBM2NOcERlcS1DZ3Vwcmd4enMxdy1WLXZyS3BLSXNzcVFwUUlCckc2bXlzMUdFTjQxS3NxZXRScENyRmpfVWtfWnVrWVhtNEZfNHlTWlFQTFo4RFRNRXdLWnZ5LW5ETS0yeHF0N1QzeVR3N0FuQ1RuakJLSnV0LUpMNUo1TzJhdDk0c2Fr?oc=5,"Wed, 03 Sep 2025 21:47:29 GMT","<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxOQmVuVGNOLXFKUTlnMHdWbU0xdTFUVkdJNGN0TUFobUltUlhQdlBlbTc2cWVWbTVBM2NOcERlcS1DZ3Vwcmd4enMxdy1WLXZyS3BLSXNzcVFwUUlCckc2bXlzMUdFTjQxS3NxZXRScENyRmpfVWtfWnVrWVhtNEZfNHlTWlFQTFo4RFRNRXdLWnZ5LW5ETS0yeHF0N1QzeVR3N0FuQ1RuakJLSnV0LUpMNUo1TzJhdDk0c2Fr?oc=5"" target=""_blank"">Larson Pleads with Speaker Johnson for Action on Gun Violence, Joins Connecticut House Delegation to Support Common-Sense Reforms</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Congressman John Larson (.gov)</font>",,RSS Feed
Connecticut’s gov. signs gun violence prevention law - WFSB,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPcFoxblR6d3lVN0JNb2RVMm9ycVJfRmtVTlFzZzhLbWpKNUJwdVItUlRUUV9lU0VLVjJRS3A2VWR4bXd1Z1N1VTREUUtiOTVSVHY0RHM1anFCdFdNSEFWWXhqbEd0SzVfdkRkbm1ESV9oVm44Q2hVUzBWcnVrcFpqNTIxWWZleTFYWkFn0gGfAUFVX3lxTE1NYnNwM2dkS1AzTFNaeDB3R01hOWNFVk54d3pwVlRfMnVZdzQ0cGNNMXY5R21mUXhhZG5JSTNoX01UMy16S2Q2a0hWbzM1NmxqaXl0NlpERlBjSEJWYUh0Wm8yUDBLcV9YVERzSkxRRWQ2RVpKdlhxam1CTjJUNURuWVVVNWtELWlKR3NkVE9hOGx0UkZVcktrRzFmRkJzUQ?oc=5,"Thu, 07 Aug 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiiwFBVV95cUxPcFoxblR6d3lVN0JNb2RVMm9ycVJfRmtVTlFzZzhLbWpKNUJwdVItUlRUUV9lU0VLVjJRS3A2VWR4bXd1Z1N1VTREUUtiOTVSVHY0RHM1anFCdFdNSEFWWXhqbEd0SzVfdkRkbm1ESV9oVm44Q2hVUzBWcnVrcFpqNTIxWWZleTFYWkFn0gGfAUFVX3lxTE1NYnNwM2dkS1AzTFNaeDB3R01hOWNFVk54d3pwVlRfMnVZdzQ0cGNNMXY5R21mUXhhZG5JSTNoX01UMy16S2Q2a0hWbzM1NmxqaXl0NlpERlBjSEJWYUh0Wm8yUDBLcV9YVERzSkxRRWQ2RVpKdlhxam1CTjJUNURuWVVVNWtELWlKR3NkVE9hOGx0UkZVcktrRzFmRkJzUQ?oc=5"" target=""_blank"">Connecticut’s gov. signs gun violence prevention law</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WFSB</font>",,RSS Feed
How a new Connecticut law affects gun owners and businesses - CT Insider,https://news.google.com/rss/articles/CBMimgFBVV95cUxPUXdFOF9tdFJNc2tBck9sNHJyVGlXV1ZRQ2g1emFKTEQ1THhSOEx2VV9mZTNrSW1fZ0Z4SHdGM3puQ19sZUw5Z2xsUklnRDVfMThmUUozOWQyNW1DWVhvZm9CZkhIVDJGQ1lldkNHZmtFRlE1WmVRaGtCTWlGS2RKdGFGZXFIZkhCaERWOHZKaDBTSWZWa2lGeWx3?oc=5,"Wed, 13 Aug 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxPUXdFOF9tdFJNc2tBck9sNHJyVGlXV1ZRQ2g1emFKTEQ1THhSOEx2VV9mZTNrSW1fZ0Z4SHdGM3puQ19sZUw5Z2xsUklnRDVfMThmUUozOWQyNW1DWVhvZm9CZkhIVDJGQ1lldkNHZmtFRlE1WmVRaGtCTWlGS2RKdGFGZXFIZkhCaERWOHZKaDBTSWZWa2lGeWx3?oc=5"" target=""_blank"">How a new Connecticut law affects gun owners and businesses</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CT Insider</font>",,RSS Feed
Attorney General Tong Statement on U.S. Supreme Court Decision Upholding Federal Ghost Gun Regulations - CT.GOV-Connecticut's Official State Website (.gov),https://news.google.com/rss/articles/CBMirAFBVV95cUxQQkhfWm1ublNKS2JPRUJHMkxGazRRN1BvV3BDMEo3Rjh2VDhwR3I0VW1YZmowd2NmcmZHNVRzanJCamZyYmJFYmhWNF92UW1HWGc1SFV0cW5PSzZfT080d0s0QmttVWZEZlNkX1FSQTlxQmduTGZhYlpxZ2o0VzBhS2VVTU1GbDNHckZyUTlfam9RR2xPUzBva1g0aHZrNTIwLWo3WkFlNlpWUDNG?oc=5,"Wed, 26 Mar 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxQQkhfWm1ublNKS2JPRUJHMkxGazRRN1BvV3BDMEo3Rjh2VDhwR3I0VW1YZmowd2NmcmZHNVRzanJCamZyYmJFYmhWNF92UW1HWGc1SFV0cW5PSzZfT080d0s0QmttVWZEZlNkX1FSQTlxQmduTGZhYlpxZ2o0VzBhS2VVTU1GbDNHckZyUTlfam9RR2xPUzBva1g0aHZrNTIwLWo3WkFlNlpWUDNG?oc=5"" target=""_blank"">Attorney General Tong Statement on U.S. Supreme Court Decision Upholding Federal Ghost Gun Regulations</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CT.GOV-Connecticut's Official State Website (.gov)</font>",,RSS Feed
Federal appeals court upholds Connecticut's assault weapons ban - NBC Connecticut,https://news.google.com/rss/articles/CBMiswFBVV95cUxOMkhRM3N0Vk1nTGxuSndrMGxJbmZ5YzZrS1NkUnFhQzBVdGs1amVtbWxmdFRJMXlOWjJsQVV3ZGF3S2p6aEhlaUJZc1ducjRTbHRkNTE4c0Q2MEFqZDRfdUxyR253a1VZSjhPZGFWQnFCdmFFWE9zcXBpdGszdXpiR2VTMm5uUXdMeTk1eWo2YUdqSTdxeDZTUDJsemkzY2d3Mmc0Y19nbTdOY1BYUjVPUFVrZ9IBuwFBVV95cUxQTVU3OTZaYlRCN2MwMjg3dldtM0htaU9QblpKbUY2X21ZSWduVkwtYW9nRkdGTHIxNmowd19aVnBjQ1lSWnNLdmRjbE5TWVk2WVA0THdWVVRwTkZLVERQcklpS0JJU256bU1wWUxNWTM0aTlqUWp0TWVGQ09fa2pDdHNyX2xUaU5KR2xwTFVHcGZpR0Y2QndiMDFscFA3WldqQ2thUjlzMWVoLTRhalE4T0d0bVF1bDM0bUpr?oc=5,"Fri, 22 Aug 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxOMkhRM3N0Vk1nTGxuSndrMGxJbmZ5YzZrS1NkUnFhQzBVdGs1amVtbWxmdFRJMXlOWjJsQVV3ZGF3S2p6aEhlaUJZc1ducjRTbHRkNTE4c0Q2MEFqZDRfdUxyR253a1VZSjhPZGFWQnFCdmFFWE9zcXBpdGszdXpiR2VTMm5uUXdMeTk1eWo2YUdqSTdxeDZTUDJsemkzY2d3Mmc0Y19nbTdOY1BYUjVPUFVrZ9IBuwFBVV95cUxQTVU3OTZaYlRCN2MwMjg3dldtM0htaU9QblpKbUY2X21ZSWduVkwtYW9nRkdGTHIxNmowd19aVnBjQ1lSWnNLdmRjbE5TWVk2WVA0THdWVVRwTkZLVERQcklpS0JJU256bU1wWUxNWTM0aTlqUWp0TWVGQ09fa2pDdHNyX2xUaU5KR2xwTFVHcGZpR0Y2QndiMDFscFA3WldqQ2thUjlzMWVoLTRhalE4T0d0bVF1bDM0bUpr?oc=5"" target=""_blank"">Federal appeals court upholds Connecticut's assault weapons ban</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NBC Connecticut</font>",,RSS Feed
Man dead after shooting in Hartford - NBC Connecticut,https://news.google.com/rss/articles/CBMipwFBVV95cUxOZFhsSjNoTmR6MHNxaTVJMkNVUDliWnprOUZ4cU9nMWFBNFA4N25pNFhHQUNfbHRwZ21YMGRBWldxaEpZNG03UndXcWNJd0RPVEZXUkZ1X3hjakQ0TVF2NGRjNFh3YVVsY3duTWhQcFZOTkNVMnZTMTZCUmR5Z2g2U25qOWt1eF9uaWhRWGJRX2NZc0VDNllWdWpLMkVUbGFOTjhvOHJNNNIBrwFBVV95cUxQemhRV2kwZnZQN3NDbmNjZ1o4X0hzdGJvdmJ2dmo2MFpBZkI2Z1pGV2QwSDhxSXV2bkpJSGs4N0s5dzBreWhiVV95OVVMd1FUbnJkZlFSNC1OX1ctclBYdUhuN2ZiRUJoejdKU2pMMi1YRXFsdVQxZ0k1V19aNUh4YzFmMzdUVWpRc1NXYUxNUDI3WTNiNExudEdSclhSRXJMaTRKTldKSXBjOF80NjRB?oc=5,"Fri, 12 Sep 2025 23:49:54 GMT","<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxOZFhsSjNoTmR6MHNxaTVJMkNVUDliWnprOUZ4cU9nMWFBNFA4N25pNFhHQUNfbHRwZ21YMGRBWldxaEpZNG03UndXcWNJd0RPVEZXUkZ1X3hjakQ0TVF2NGRjNFh3YVVsY3duTWhQcFZOTkNVMnZTMTZCUmR5Z2g2U25qOWt1eF9uaWhRWGJRX2NZc0VDNllWdWpLMkVUbGFOTjhvOHJNNNIBrwFBVV95cUxQemhRV2kwZnZQN3NDbmNjZ1o4X0hzdGJvdmJ2dmo2MFpBZkI2Z1pGV2QwSDhxSXV2bkpJSGs4N0s5dzBreWhiVV95OVVMd1FUbnJkZlFSNC1OX1ctclBYdUhuN2ZiRUJoejdKU2pMMi1YRXFsdVQxZ0k1V19aNUh4YzFmMzdUVWpRc1NXYUxNUDI3WTNiNExudEdSclhSRXJMaTRKTldKSXBjOF80NjRB?oc=5"" target=""_blank"">Man dead after shooting in Hartford</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NBC Connecticut</font>",,RSS Feed
2nd Circuit Upholds Connecticut's Semiautomatic Firearm Ban: News Article - Independent Institute,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNZGxTQ0wzazlid3JqT1hXcmNtRjZ2aF9Cb3BXa29rZHdWQ1QyWTAwNVNnOVQ0a2xmQk9nTk5EWXZBTTlBODNIeUNuQmF1T0VDTGw3b0ZKY0JDY0pXSzEwWi14WXVSV3FQVGxfNFdtb1prZFlzRDNJMXNIU3NOaWRtQ3R1c18wZ2d6?oc=5,"Wed, 10 Sep 2025 02:37:30 GMT","<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxNZGxTQ0wzazlid3JqT1hXcmNtRjZ2aF9Cb3BXa29rZHdWQ1QyWTAwNVNnOVQ0a2xmQk9nTk5EWXZBTTlBODNIeUNuQmF1T0VDTGw3b0ZKY0JDY0pXSzEwWi14WXVSV3FQVGxfNFdtb1prZFlzRDNJMXNIU3NOaWRtQ3R1c18wZ2d6?oc=5"" target=""_blank"">2nd Circuit Upholds Connecticut's Semiautomatic Firearm Ban: News Article</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Independent Institute</font>",,RSS Feed
What are the gun rules for Connecticut college campuses? Charlie Kirk death ignites conversation - CT Insider,https://news.google.com/rss/articles/CBMilAFBVV95cUxNWDJpczQyMjB3UE5HQ3lqdTBmbjRKdFJMMjY3Sy1zR3RuenhQTjVwYXhDeFQtUVdCY3A3V2R4UG1VSTBoTlhza3k3Z2VlRURMY3R0VnduaUZvT2VHSlhsbm9JZmtzSXppR2R2UUxqUU02ZlEyVmpvUTZ6XzJpWUgzOVBzLTlPcDg1djh6bjVXaG5SekZu?oc=5,"Wed, 10 Sep 2025 21:35:37 GMT","<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxNWDJpczQyMjB3UE5HQ3lqdTBmbjRKdFJMMjY3Sy1zR3RuenhQTjVwYXhDeFQtUVdCY3A3V2R4UG1VSTBoTlhza3k3Z2VlRURMY3R0VnduaUZvT2VHSlhsbm9JZmtzSXppR2R2UUxqUU02ZlEyVmpvUTZ6XzJpWUgzOVBzLTlPcDg1djh6bjVXaG5SekZu?oc=5"" target=""_blank"">What are the gun rules for Connecticut college campuses? Charlie Kirk death ignites conversation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CT Insider</font>",,RSS Feed
