title,link,published,summary,content,source
Florida Democrats Condemn Gun Violence After Colorado School Shooting - Florida Democratic Party,https://news.google.com/rss/articles/CBMipAFBVV95cUxPVk1EdDFHZEdhNlB0SDZPQkwxbUxnSTZTOUphdjlRS3BuWDJJZEo5RjFYLVkxZS0yeTVPNTFsT2tIUTBHUm9DSVRtX2ZLbENPYVJUam85SmVtSnFPU0trT1NJUjE0eVA0cGd0amFfdXRKUnZvTzNOQTd4VXlVWDliZjdEaFdaNFJVcjF2eF9IZHMwRXktNW1sNUtTakF1bUR3YXljUA?oc=5,"Thu, 11 Sep 2025 13:10:26 GMT","<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxPVk1EdDFHZEdhNlB0SDZPQkwxbUxnSTZTOUphdjlRS3BuWDJJZEo5RjFYLVkxZS0yeTVPNTFsT2tIUTBHUm9DSVRtX2ZLbENPYVJUam85SmVtSnFPU0trT1NJUjE0eVA0cGd0amFfdXRKUnZvTzNOQTd4VXlVWDliZjdEaFdaNFJVcjF2eF9IZHMwRXktNW1sNUtTakF1bUR3YXljUA?oc=5"" target=""_blank"">Florida Democrats Condemn Gun Violence After Colorado School Shooting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Florida Democratic Party</font>",,RSS Feed
"Teen boy killed, 5 men injured in overnight Florida shooting. What we know - Sarasota Herald-Tribune",https://news.google.com/rss/articles/CBMinwFBVV95cUxNNFJfaGFweExIeFdBU0h6b0V6YldiSDItV2RvMGVNMVkxNjUyZ0FzM2tpY3IyanRSLVp6MWU4cS1KWk9IZS1qaW9wR0hMWThBLWgzNVR2VDBOMmVGdG8yY1hPdm9DQmZmeEJIT095Ym8tbURsM2hWN280VVpwNDMzWFJrekVjQW5TSXBISjJaVTU0YmhUcjJlN0RlU0NFQ1E?oc=5,"Thu, 11 Sep 2025 05:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxNNFJfaGFweExIeFdBU0h6b0V6YldiSDItV2RvMGVNMVkxNjUyZ0FzM2tpY3IyanRSLVp6MWU4cS1KWk9IZS1qaW9wR0hMWThBLWgzNVR2VDBOMmVGdG8yY1hPdm9DQmZmeEJIT095Ym8tbURsM2hWN280VVpwNDMzWFJrekVjQW5TSXBISjJaVTU0YmhUcjJlN0RlU0NFQ1E?oc=5"" target=""_blank"">Teen boy killed, 5 men injured in overnight Florida shooting. What we know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Sarasota Herald-Tribune</font>",,RSS Feed
"Police Investigate Mass Shooting After Six Wounded in Tampa, Florida - Newsweek",https://news.google.com/rss/articles/CBMihwFBVV95cUxOS2h3T25Zd0tHQncwTDI2ZEFfZFhmS3hIcllhN0k0TW5wRWVUUmJUOGs4ZGFIVTIxcnp0ZXltZXQ0S2dVbkdIRS1OUm5IbXVuTDRyRXFCdXBEcXBlVVd3bWM4N2YwbnpPSVBEN3BJWmtrUHN1WXZxaE9mU0N3WWNMczVHa0JpeHM?oc=5,"Thu, 11 Sep 2025 10:00:14 GMT","<a href=""https://news.google.com/rss/articles/CBMihwFBVV95cUxOS2h3T25Zd0tHQncwTDI2ZEFfZFhmS3hIcllhN0k0TW5wRWVUUmJUOGs4ZGFIVTIxcnp0ZXltZXQ0S2dVbkdIRS1OUm5IbXVuTDRyRXFCdXBEcXBlVVd3bWM4N2YwbnpPSVBEN3BJWmtrUHN1WXZxaE9mU0N3WWNMczVHa0JpeHM?oc=5"" target=""_blank"">Police Investigate Mass Shooting After Six Wounded in Tampa, Florida</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Newsweek</font>",,RSS Feed
"SHAMEFUL: Florida Lawmakers Advance Dangerous Legislation to Lower the Age to Purchase a Firearm From 21 to 18, Dismantling Law Passed in the Wake of the Mass Shooting in Parkland - Everytown",https://news.google.com/rss/articles/CBMitAJBVV95cUxQTE1ERFNhUG5jNUJvUGxzMUpRaENDM0d0UjI2NlpRNjBWMDZ4LXdYM19wMmpRUlpWaWszZXdYZ044Ml9Belpqa3Y1TmxPNWVMLW13cHVVd2JkWEF3QlZwbWVtTHR6OVdyYy14S3BTQUV0WnQ1Rkk5c3U5N1gtV1A1NWdYYlJCU1NZcXdaenEzTGR6NVdENkdsQVJ2eTdidl92RkRPRWZZU2RxMzN6SmlDWHc4WC1fSGdsUDVDdDNEU3NZbzZLWHJfRUU5ODRsUFB0M0ZYVnlyU3Q5cEJ2NlplbHdvMGZPbFV2Sl85dk4tU1dGZnZkbGliV1EwRzgyYWJZcXR4VU1fUUw1NkE2MWlWSTZVblplOWx0dlJYOHFJWlVfVTZSTzM5djhOcVNuVk5IMlNmYg?oc=5,"Thu, 27 Mar 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMitAJBVV95cUxQTE1ERFNhUG5jNUJvUGxzMUpRaENDM0d0UjI2NlpRNjBWMDZ4LXdYM19wMmpRUlpWaWszZXdYZ044Ml9Belpqa3Y1TmxPNWVMLW13cHVVd2JkWEF3QlZwbWVtTHR6OVdyYy14S3BTQUV0WnQ1Rkk5c3U5N1gtV1A1NWdYYlJCU1NZcXdaenEzTGR6NVdENkdsQVJ2eTdidl92RkRPRWZZU2RxMzN6SmlDWHc4WC1fSGdsUDVDdDNEU3NZbzZLWHJfRUU5ODRsUFB0M0ZYVnlyU3Q5cEJ2NlplbHdvMGZPbFV2Sl85dk4tU1dGZnZkbGliV1EwRzgyYWJZcXR4VU1fUUw1NkE2MWlWSTZVblplOWx0dlJYOHFJWlVfVTZSTzM5djhOcVNuVk5IMlNmYg?oc=5"" target=""_blank"">SHAMEFUL: Florida Lawmakers Advance Dangerous Legislation to Lower the Age to Purchase a Firearm From 21 to 18, Dismantling Law Passed in the Wake of the Mass Shooting in Parkland</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Everytown</font>",,RSS Feed
"Florida leaders grieve Turning Point USA’s Charlie Kirk, condemn political violence - Florida Politics",https://news.google.com/rss/articles/CBMiwgFBVV95cUxQZHlZekJNX3FvUC1BMWJjNWpWbFNpcWNlUXd1NWJONUEwaXhOQjBVV3owaTVYSlBpOURTLW1YdEhzdHRlakREaVE3MWt6SjNZaGl1Y285UnNVQW5raVBZdXIwV1dCaV81WmRPazYwQnM0OXhNZURlOENhSlN5Wm9aVW9XTmp2T0VlNHhTTlJlbFA5WmdwQ3dkQ3FfcmtGV0dDc0Q4bzZSdmlaTXd5djFwMkFlSnhrWVRoV2JnUGJwSXB2Zw?oc=5,"Thu, 11 Sep 2025 09:02:47 GMT","<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxQZHlZekJNX3FvUC1BMWJjNWpWbFNpcWNlUXd1NWJONUEwaXhOQjBVV3owaTVYSlBpOURTLW1YdEhzdHRlakREaVE3MWt6SjNZaGl1Y285UnNVQW5raVBZdXIwV1dCaV81WmRPazYwQnM0OXhNZURlOENhSlN5Wm9aVW9XTmp2T0VlNHhTTlJlbFA5WmdwQ3dkQ3FfcmtGV0dDc0Q4bzZSdmlaTXd5djFwMkFlSnhrWVRoV2JnUGJwSXB2Zw?oc=5"" target=""_blank"">Florida leaders grieve Turning Point USA’s Charlie Kirk, condemn political violence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Florida Politics</font>",,RSS Feed
Select Florida schools to test non-lethal drones in effort to combat gun violence - WEAR-TV,https://news.google.com/rss/articles/CBMisAFBVV95cUxNSUxCamF3Qk1nMHF1NFhzdHBWSG9qY1U5WVNhNGN0SDJPQ1Uxem02b0ctTGdxWG93VWpOZjh0ZDV4NnJIdlgxR1JTU2FPcjNuSXBIWmNmZXpwak5XZG9mNFVQdzJ0Wngya2VmRTVPNEZDOXQxZW8tVFJSMEhvM3ZqaWJSTHJoX0VobG5wR0gzLVRtYWtmUUo5Xy01ckxtOWZKalUwZnlxUGpYTU54VE9pcA?oc=5,"Tue, 02 Sep 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxNSUxCamF3Qk1nMHF1NFhzdHBWSG9qY1U5WVNhNGN0SDJPQ1Uxem02b0ctTGdxWG93VWpOZjh0ZDV4NnJIdlgxR1JTU2FPcjNuSXBIWmNmZXpwak5XZG9mNFVQdzJ0Wngya2VmRTVPNEZDOXQxZW8tVFJSMEhvM3ZqaWJSTHJoX0VobG5wR0gzLVRtYWtmUUo5Xy01ckxtOWZKalUwZnlxUGpYTU54VE9pcA?oc=5"" target=""_blank"">Select Florida schools to test non-lethal drones in effort to combat gun violence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WEAR-TV</font>",,RSS Feed
"Florida's open carry ban is unconstitutional, appeals court rules - cbsnews.com",https://news.google.com/rss/articles/CBMioAFBVV95cUxNLVpBdkR1QURTRGtlUkVkYjN5dVVyZ3lVWnVmbFVDaDh2TVR1MlQzVVlKdjBIaHBzVFI2MHBZYjlvb1lkV3RURmRmeVRTVDJkT0s1dVllakt2QUtNQ1Q5VXIwXzVtVzNZSzhyUl9TbTdMcXB0N1c1Qk8tVGFLMjhtRFZwUTJnNldtdlJQczZvWjFCNlZXTUZfenc5UTg0eXBN?oc=5,"Wed, 10 Sep 2025 23:36:07 GMT","<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxNLVpBdkR1QURTRGtlUkVkYjN5dVVyZ3lVWnVmbFVDaDh2TVR1MlQzVVlKdjBIaHBzVFI2MHBZYjlvb1lkV3RURmRmeVRTVDJkT0s1dVllakt2QUtNQ1Q5VXIwXzVtVzNZSzhyUl9TbTdMcXB0N1c1Qk8tVGFLMjhtRFZwUTJnNldtdlJQczZvWjFCNlZXTUZfenc5UTg0eXBN?oc=5"" target=""_blank"">Florida's open carry ban is unconstitutional, appeals court rules</a>&nbsp;&nbsp;<font color=""#6f6f6f"">cbsnews.com</font>",,RSS Feed
Florida may soon allow open carry of guns after court strikes down ban - Politico,https://news.google.com/rss/articles/CBMivAFBVV95cUxOSEcwR0hWUDFVMHdmNlI5bGwwWnVzZDJCWnhJamRtUDBJdkViWWRhV0RfdDZnYlEzUmRUQ3dQOTRWbHcxSFhzSEZRaVY2ck5nbnlvMUhIQjI1d0dNZ0dlYzA0ekFidU53YlQ1NXYxQW1TSXY4QlJZQ2Z2SWxqeFNCSXNBWTk2YkYzQUgyc3h5dU1FSjl1T2lHcVBWVXdnMlkzR250emw4TUFqVnZ1enYwTWw5cUhTakUxNHFmSA?oc=5,"Wed, 10 Sep 2025 18:06:36 GMT","<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxOSEcwR0hWUDFVMHdmNlI5bGwwWnVzZDJCWnhJamRtUDBJdkViWWRhV0RfdDZnYlEzUmRUQ3dQOTRWbHcxSFhzSEZRaVY2ck5nbnlvMUhIQjI1d0dNZ0dlYzA0ekFidU53YlQ1NXYxQW1TSXY4QlJZQ2Z2SWxqeFNCSXNBWTk2YkYzQUgyc3h5dU1FSjl1T2lHcVBWVXdnMlkzR250emw4TUFqVnZ1enYwTWw5cUhTakUxNHFmSA?oc=5"" target=""_blank"">Florida may soon allow open carry of guns after court strikes down ban</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Politico</font>",,RSS Feed
"When Florida tried to pass open carry, Republicans understood why it was risky | Opinion - Miami Herald",https://news.google.com/rss/articles/CBMid0FVX3lxTFBHQ1B6NXlzZ2QwU0lDR1RsVFQzQ0oyeUlPNHo5N3Z5UFZOWHg5NEM3dzB6TUVxLUNLMDA1djByWHFqVGgtcEZ5eENsNmxEMWhrMkc0VDVEZ1Ntbk9kN3ZTY1E1eTBVM1Ixc1VCYU5WeEdObEE3Y0lZ0gF3QVVfeXFMTXhaaDVTMnk2S09vNkd4RlJ1Z3ctX0Y1YndINzlIbTdVRnprV0NzLXA3dzN0a2RyNXFMaFFTNzRsOUpzdTY2N0lQaDFmdDJTX0ZQVHQ5c3Nhd0FVaExlVkdvSXV3RkxtNUJiSUdJdVQ3VTV4OWFsdFE?oc=5,"Thu, 11 Sep 2025 20:40:43 GMT","<a href=""https://news.google.com/rss/articles/CBMid0FVX3lxTFBHQ1B6NXlzZ2QwU0lDR1RsVFQzQ0oyeUlPNHo5N3Z5UFZOWHg5NEM3dzB6TUVxLUNLMDA1djByWHFqVGgtcEZ5eENsNmxEMWhrMkc0VDVEZ1Ntbk9kN3ZTY1E1eTBVM1Ixc1VCYU5WeEdObEE3Y0lZ0gF3QVVfeXFMTXhaaDVTMnk2S09vNkd4RlJ1Z3ctX0Y1YndINzlIbTdVRnprV0NzLXA3dzN0a2RyNXFMaFFTNzRsOUpzdTY2N0lQaDFmdDJTX0ZQVHQ5c3Nhd0FVaExlVkdvSXV3RkxtNUJiSUdJdVQ3VTV4OWFsdFE?oc=5"" target=""_blank"">When Florida tried to pass open carry, Republicans understood why it was risky | Opinion</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Miami Herald</font>",,RSS Feed
Understanding Florida's open carry laws: What you need to know - WESH,https://news.google.com/rss/articles/CBMibkFVX3lxTE5WNEM2RVMzVTVjWkVKYUkwNGJMeUpLM0QtM3pVZzNLNl9CNGVtVzRVUTZrMDZxNTZmOVNHNnBnSEE0R2FWT3pDVmJFSGRzU3dOX1o5Q1FGRVpnMGtYeWhwTXdtS3cwTTVuaEJ0VjN3?oc=5,"Fri, 12 Sep 2025 19:46:00 GMT","<a href=""https://news.google.com/rss/articles/CBMibkFVX3lxTE5WNEM2RVMzVTVjWkVKYUkwNGJMeUpLM0QtM3pVZzNLNl9CNGVtVzRVUTZrMDZxNTZmOVNHNnBnSEE0R2FWT3pDVmJFSGRzU3dOX1o5Q1FGRVpnMGtYeWhwTXdtS3cwTTVuaEJ0VjN3?oc=5"" target=""_blank"">Understanding Florida's open carry laws: What you need to know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WESH</font>",,RSS Feed
