title,link,published,summary,content,source
Shooting of Charlie Kirk shocks Iowa State students and raises concerns about political violence - KCCI,https://news.google.com/rss/articles/CBMizwFBVV95cUxQOG9JYTZUb1BYc1pVUm5SRTNXekJLczBmSWlmdGV2Z3JDWTJINWE2UEQxMFpqWkduQ2hxd24xR1FaY1F6S214OU1hOEp3QTdRTGk0WlZ3bE83cm1nMXprREhYeEpHQTJEOGJBSHlxTzNmSVhkVks0Q2hjR2tXNkl5WWpCN2lURFRrOXlvSG5reWV3cUFpQ21mTDJEeUp2LVhEMFIxOVFwWmNacTNhMGloMWhVQTZ6UENzY2VBdVNmTmM2eXZJS2ozLWxMbkdtYzA?oc=5,"Thu, 11 Sep 2025 23:57:00 GMT","<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxQOG9JYTZUb1BYc1pVUm5SRTNXekJLczBmSWlmdGV2Z3JDWTJINWE2UEQxMFpqWkduQ2hxd24xR1FaY1F6S214OU1hOEp3QTdRTGk0WlZ3bE83cm1nMXprREhYeEpHQTJEOGJBSHlxTzNmSVhkVks0Q2hjR2tXNkl5WWpCN2lURFRrOXlvSG5reWV3cUFpQ21mTDJEeUp2LVhEMFIxOVFwWmNacTNhMGloMWhVQTZ6UENzY2VBdVNmTmM2eXZJS2ozLWxMbkdtYzA?oc=5"" target=""_blank"">Shooting of Charlie Kirk shocks Iowa State students and raises concerns about political violence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KCCI</font>",,RSS Feed
My cousin was fatally shot in Ames. I beg Iowans to agree about prevention. | Opinion - The Des Moines Register,https://news.google.com/rss/articles/CBMiwgFBVV95cUxNQXhmZ2FTc1U2TTFMSkQzWVE5NHRiT0VzWEFwVHJwMnhFd3lqbTgwVG9NdnRYcjgxX1Z1MEkwMkdTZmZjWG9TWDB6X19UQlJGNWJUZURVN3l3cnhKUmlzTmpQZ1NzVER6UUtFMnRBU1BkZ0ZrYW13RWN4b3RxWEMzTWUwbFJfY2NTbjlMSC16dVlXd1JRazRPMXdidVFrNDQ0LVA1dWFTX1pTUkhLSEV3a3NHMEJ2U0VYWVg4OHFrTm5xZw?oc=5,"Fri, 06 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxNQXhmZ2FTc1U2TTFMSkQzWVE5NHRiT0VzWEFwVHJwMnhFd3lqbTgwVG9NdnRYcjgxX1Z1MEkwMkdTZmZjWG9TWDB6X19UQlJGNWJUZURVN3l3cnhKUmlzTmpQZ1NzVER6UUtFMnRBU1BkZ0ZrYW13RWN4b3RxWEMzTWUwbFJfY2NTbjlMSC16dVlXd1JRazRPMXdidVFrNDQ0LVA1dWFTX1pTUkhLSEV3a3NHMEJ2U0VYWVg4OHFrTm5xZw?oc=5"" target=""_blank"">My cousin was fatally shot in Ames. I beg Iowans to agree about prevention. | Opinion</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Des Moines Register</font>",,RSS Feed
"This Iowa school is using AI to help prevent school shootings, gun violence - KGAN",https://news.google.com/rss/articles/CBMi4AFBVV95cUxQZXo0VnpTcTRPbFdseVFEanNVMTlHSXdRVWszenJLTlBDVVNvZlc0Yno2eHhZT3duUHViWVdqZVpCeUxZamJsRENyeTNicHhlNVRFREtaTG1MUUhCejhJOW5ETmttcURoWW5oRVFuRjRYZjJRZzZzanFqZnl3RlBWc3VIMXBXcWtuNUFpQWFJaC1HcDh2OXlUSHl4aWhDcnkyYWk1TU50bWpBSjVDb3pRWHV0VTNZYUVWT2hXTVBSdzIxVDdFR3BHU24zRkRtWHBLZWdmbmFyc2k3Z0dfeHJGMA?oc=5,"Fri, 18 Jul 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxQZXo0VnpTcTRPbFdseVFEanNVMTlHSXdRVWszenJLTlBDVVNvZlc0Yno2eHhZT3duUHViWVdqZVpCeUxZamJsRENyeTNicHhlNVRFREtaTG1MUUhCejhJOW5ETmttcURoWW5oRVFuRjRYZjJRZzZzanFqZnl3RlBWc3VIMXBXcWtuNUFpQWFJaC1HcDh2OXlUSHl4aWhDcnkyYWk1TU50bWpBSjVDb3pRWHV0VTNZYUVWT2hXTVBSdzIxVDdFR3BHU24zRkRtWHBLZWdmbmFyc2k3Z0dfeHJGMA?oc=5"" target=""_blank"">This Iowa school is using AI to help prevent school shootings, gun violence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KGAN</font>",,RSS Feed
An exhibit honoring victims of gun violence is taken down at ATF headquarters - Iowa Public Radio,https://news.google.com/rss/articles/CBMizwFBVV95cUxNdzE4eTc3VGFrWmhsTmJvWDBMYXdOSkVsRXM1cHZPY01vSUNMQkdCQjRDNWw0VmdDREI3OXctQ2xfMHY2SV9ZTTZOYkl3U0tKa0lUdC0xTWVJa29rY2x1bVJWbU9EUjlDRzNWeXFSQXhOQ1lLNGZLb1dCU0JHeVVJWWxWRnBHQ213VmhSQWhRc3pvd2hiNERkaElZR1NFNnJSQnVyYWIzRzluWERHSVUxZ21UdFlhb3V6ZExBYkRqVVpyVkF0SGhPSkpYSEgyd2s?oc=5,"Sun, 04 May 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxNdzE4eTc3VGFrWmhsTmJvWDBMYXdOSkVsRXM1cHZPY01vSUNMQkdCQjRDNWw0VmdDREI3OXctQ2xfMHY2SV9ZTTZOYkl3U0tKa0lUdC0xTWVJa29rY2x1bVJWbU9EUjlDRzNWeXFSQXhOQ1lLNGZLb1dCU0JHeVVJWWxWRnBHQ213VmhSQWhRc3pvd2hiNERkaElZR1NFNnJSQnVyYWIzRzluWERHSVUxZ21UdFlhb3V6ZExBYkRqVVpyVkF0SGhPSkpYSEgyd2s?oc=5"" target=""_blank"">An exhibit honoring victims of gun violence is taken down at ATF headquarters</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Iowa Public Radio</font>",,RSS Feed
Iowa House advances 2 bills to loosen gun restrictions - Iowa Public Radio,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOXzM2SXh0UnctMFhSQ1dvdUtGQWl2NVZJTjZ1T2k4Q0ZiNEo4ckRnNk5wdkRNbkc4Zk04aWFQVmV4WFhXbzNOVHlLakh5LThmRWRFTDVnRjEzc19UT29lVzY5Qmt1aW1tczdNYXdCUU1rT0FjUUVFbnhFcmQySmxNSUpUN3FabmdCSDZPMnlnQmpZNHZwZ04zc1lyWFlQQUpobFJBMXpFQXRCSUF0RWRYOFlxZzhUc2NmOGxn?oc=5,"Tue, 04 Mar 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxOXzM2SXh0UnctMFhSQ1dvdUtGQWl2NVZJTjZ1T2k4Q0ZiNEo4ckRnNk5wdkRNbkc4Zk04aWFQVmV4WFhXbzNOVHlLakh5LThmRWRFTDVnRjEzc19UT29lVzY5Qmt1aW1tczdNYXdCUU1rT0FjUUVFbnhFcmQySmxNSUpUN3FabmdCSDZPMnlnQmpZNHZwZ04zc1lyWFlQQUpobFJBMXpFQXRCSUF0RWRYOFlxZzhUc2NmOGxn?oc=5"" target=""_blank"">Iowa House advances 2 bills to loosen gun restrictions</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Iowa Public Radio</font>",,RSS Feed
The Gun Bog: Iowa Supreme Court Finds Some Solid Ground in the Supremacy Clause - Duke Center for Firearms Law,https://news.google.com/rss/articles/CBMitgFBVV95cUxOX1pTQ0NKTk5vdGg0djlOWVNLVU9Zd213WjFESzdrWWZ3TDU0SkhsZjczWHprZDFWdkxHUk5hZkJQc2ZmTmktRDREaDVTUjNyZlRKRUkybDNwR2lHdEhoU1pkX2hyLS1xQ0FScEhEOEZtUWJKVlRDX0ZVWkMzZnVEX2N0YzZncGRLRlo2d2xPTmlCMTV3cE1lN014bGZXZFMwZW1WVFM2NU1sYjdaNl9TRVZSV2M2Zw?oc=5,"Fri, 23 May 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxOX1pTQ0NKTk5vdGg0djlOWVNLVU9Zd213WjFESzdrWWZ3TDU0SkhsZjczWHprZDFWdkxHUk5hZkJQc2ZmTmktRDREaDVTUjNyZlRKRUkybDNwR2lHdEhoU1pkX2hyLS1xQ0FScEhEOEZtUWJKVlRDX0ZVWkMzZnVEX2N0YzZncGRLRlo2d2xPTmlCMTV3cE1lN014bGZXZFMwZW1WVFM2NU1sYjdaNl9TRVZSV2M2Zw?oc=5"" target=""_blank"">The Gun Bog: Iowa Supreme Court Finds Some Solid Ground in the Supremacy Clause</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Duke Center for Firearms Law</font>",,RSS Feed
Iowa Supreme Court shows deep divides in first cases over new gun rights amendment - The Des Moines Register,https://news.google.com/rss/articles/CBMiwAFBVV95cUxNNXFvUjNYYmdOTnhBZnpZX0FNQnA5dnl2Vm83X3VqR1k1eEVQc1otYng2d2ZqTVgzb0hKcHRQaVlZTHZHYmdIdVRqLUgtOTdEbzZzTDBhLWVJS3BTek44cnByZDNFSXE0eGd4ZzU5Z2swOWZmalRZY0lneXdPWnk0Skk5T2xpUDRnQVUzVHFWMFB4Mi00VGowX28zaW5OY1RCQzJHNm5JZWZ0NkotMVc1R0pfOWJ5dU8yMG0zUzNMZE4?oc=5,"Mon, 04 Aug 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxNNXFvUjNYYmdOTnhBZnpZX0FNQnA5dnl2Vm83X3VqR1k1eEVQc1otYng2d2ZqTVgzb0hKcHRQaVlZTHZHYmdIdVRqLUgtOTdEbzZzTDBhLWVJS3BTek44cnByZDNFSXE0eGd4ZzU5Z2swOWZmalRZY0lneXdPWnk0Skk5T2xpUDRnQVUzVHFWMFB4Mi00VGowX28zaW5OY1RCQzJHNm5JZWZ0NkotMVc1R0pfOWJ5dU8yMG0zUzNMZE4?oc=5"" target=""_blank"">Iowa Supreme Court shows deep divides in first cases over new gun rights amendment</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Des Moines Register</font>",,RSS Feed
"New Iowa gun law sparks fierce debate over age, safety, and rights - KGAN",https://news.google.com/rss/articles/CBMikwFBVV95cUxPUHpJU1JtZzM0Qzd6ZF80ZV9ZZmotazJ6ZmZacEl0S2x0TGNhQmFjN1RrMHh5b3dlVTVabVliaWlWYmhremNUSkpQTVN5LW5DZVRKM2lDdkpVS0tXQWJlblJKVHJsNkp0dGN6N0N3WDV5MG94OW8yVlZoeEZoN2RKdWxOei1NR2drSmgwNEFxdjNnYkE?oc=5,"Fri, 18 Apr 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxPUHpJU1JtZzM0Qzd6ZF80ZV9ZZmotazJ6ZmZacEl0S2x0TGNhQmFjN1RrMHh5b3dlVTVabVliaWlWYmhremNUSkpQTVN5LW5DZVRKM2lDdkpVS0tXQWJlblJKVHJsNkp0dGN6N0N3WDV5MG94OW8yVlZoeEZoN2RKdWxOei1NR2drSmgwNEFxdjNnYkE?oc=5"" target=""_blank"">New Iowa gun law sparks fierce debate over age, safety, and rights</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KGAN</font>",,RSS Feed
Iowa House panel votes to lower firearm age limit to 18 - Iowa Capital Dispatch,https://news.google.com/rss/articles/CBMilwFBVV95cUxPNnZhNVVhSmdIdUpmOFlzOE40eEVwc3R2dThxRm1PcmRiQ0VjZ1I1TVFfcjFIU1VQQjVvMTNfV2haUUJkVFNpZ2RERHRRX1RBOWZ2czI2VGxWWDd0cDFwS2xjb21kUFZ6NDJOTlQ4T25DQXNtV2o0R0MwZi03NkpTZXZtMFNvNVlNM0tzTk1YYVBsdDZyWlpZ?oc=5,"Tue, 04 Mar 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxPNnZhNVVhSmdIdUpmOFlzOE40eEVwc3R2dThxRm1PcmRiQ0VjZ1I1TVFfcjFIU1VQQjVvMTNfV2haUUJkVFNpZ2RERHRRX1RBOWZ2czI2VGxWWDd0cDFwS2xjb21kUFZ6NDJOTlQ4T25DQXNtV2o0R0MwZi03NkpTZXZtMFNvNVlNM0tzTk1YYVBsdDZyWlpZ?oc=5"" target=""_blank"">Iowa House panel votes to lower firearm age limit to 18</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Iowa Capital Dispatch</font>",,RSS Feed
"Eastern Iowa man accused of threatening to shoot bar patron, law enforcement - KCRG",https://news.google.com/rss/articles/CBMipAFBVV95cUxPSnNwR28wQVdaU1Vrb1Ryd1RwSHJpb0lnS01jYlhWR2tCaVhka3FMRkc3UW9uSkFCc1gzSU5JUW5JNWlBRVIyenBqZDRVRWJuR0tZYktESzI4dXlreWo4aGxvWndfcHd4UDI1OE4xY1RSRWdpeVVyZzR0ZFBBLTFXWXdySjZBVG5hSS1faXNJc3FyaEE0alAwWWVuRHp3RDExSkMwUg?oc=5,"Fri, 12 Sep 2025 16:49:00 GMT","<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxPSnNwR28wQVdaU1Vrb1Ryd1RwSHJpb0lnS01jYlhWR2tCaVhka3FMRkc3UW9uSkFCc1gzSU5JUW5JNWlBRVIyenBqZDRVRWJuR0tZYktESzI4dXlreWo4aGxvWndfcHd4UDI1OE4xY1RSRWdpeVVyZzR0ZFBBLTFXWXdySjZBVG5hSS1faXNJc3FyaEE0alAwWWVuRHp3RDExSkMwUg?oc=5"" target=""_blank"">Eastern Iowa man accused of threatening to shoot bar patron, law enforcement</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KCRG</font>",,RSS Feed
