title,link,published,summary,content,source
‘Unacceptable’: Kansas City metro rocked by weekend surge of violence - KCTV,https://news.google.com/rss/articles/CBMingFBVV95cUxNY3d0RnB6eW9OVzlyZGR0cHpKclQzeUFpMzhsOEU1UHFSZU8xTjdaS2JLdG9nbWpvTEJNYU0tU05NVUMtNUdDMTNnbUtNSC1PX3RMRWMxWFVqa0xpblpDOHpGclpfdkNFRDRsZXc4VXRjLXJIMFNzbVpjWGhhTW1rVnBFM0U0andrT09yREpWbEZxYXlMaXVISWliUjJud9IBsgFBVV95cUxNWlg2di1XQWxCUURfZGV0U1RVT2l5RzR6TnJDZVZxQV9ZSUJ4SG9EMUhYbGRrU3lsMklfYmwzM1dPZ0h0WmxtblFzRmJkb0M0Q3hhX0tiNnBYT0NXMkJqbnlRVDlwU2N6RFEyMzFxMGZxVENnaS1xcERyUTFwVmxUT0hyT2JvbEUwRXVHZzFLS0lVNjExbFRRdGZ1R1EzSWp0WFkwZ0Q3S0ZGeU9GMklQWVRn?oc=5,"Sun, 22 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxNY3d0RnB6eW9OVzlyZGR0cHpKclQzeUFpMzhsOEU1UHFSZU8xTjdaS2JLdG9nbWpvTEJNYU0tU05NVUMtNUdDMTNnbUtNSC1PX3RMRWMxWFVqa0xpblpDOHpGclpfdkNFRDRsZXc4VXRjLXJIMFNzbVpjWGhhTW1rVnBFM0U0andrT09yREpWbEZxYXlMaXVISWliUjJud9IBsgFBVV95cUxNWlg2di1XQWxCUURfZGV0U1RVT2l5RzR6TnJDZVZxQV9ZSUJ4SG9EMUhYbGRrU3lsMklfYmwzM1dPZ0h0WmxtblFzRmJkb0M0Q3hhX0tiNnBYT0NXMkJqbnlRVDlwU2N6RFEyMzFxMGZxVENnaS1xcERyUTFwVmxUT0hyT2JvbEUwRXVHZzFLS0lVNjExbFRRdGZ1R1EzSWp0WFkwZ0Q3S0ZGeU9GMklQWVRn?oc=5"" target=""_blank"">‘Unacceptable’: Kansas City metro rocked by weekend surge of violence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KCTV</font>",,RSS Feed
Kansas high school students walkout to protest gun violence after Minnesota school shooting - KSHB 41 Kansas City,https://news.google.com/rss/articles/CBMixwFBVV95cUxONFFGVHl3NWdHUllLOHkwblIwb3FxZmJ2VVVxMTJXNFZwWWJDMFB0Y3BjNUZlNk9EOVVKME5vZS1UZEg2c3RzcTI0R3VKU0xwZUNuRGRtV25waE05c3JLVkRPQnB6ZkZqQXhYV2dKUjU1VC1Ub3Zlam5kLXlocjduUnF0dm01QkJ6Z2FtYWlaUTQySnctWmZQcUttZmk5eU8wejBqS0ZBcFN0MnZ0QTZUZC1neVhXS0ZlWlhrLTQ5RWMtSzF3WWlN?oc=5,"Fri, 05 Sep 2025 22:29:29 GMT","<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxONFFGVHl3NWdHUllLOHkwblIwb3FxZmJ2VVVxMTJXNFZwWWJDMFB0Y3BjNUZlNk9EOVVKME5vZS1UZEg2c3RzcTI0R3VKU0xwZUNuRGRtV25waE05c3JLVkRPQnB6ZkZqQXhYV2dKUjU1VC1Ub3Zlam5kLXlocjduUnF0dm01QkJ6Z2FtYWlaUTQySnctWmZQcUttZmk5eU8wejBqS0ZBcFN0MnZ0QTZUZC1neVhXS0ZlWlhrLTQ5RWMtSzF3WWlN?oc=5"" target=""_blank"">Kansas high school students walkout to protest gun violence after Minnesota school shooting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KSHB 41 Kansas City</font>",,RSS Feed
"Kansas gets an F in gun legislation, national report says - Kansas Reflector",https://news.google.com/rss/articles/CBMilwFBVV95cUxOZlFYRm5mbzIxbk5SWENVWkstcmVlMUFUNk85OS1YZ000bVM3dkxUUE1XR0ZndHNBeU1rYkdLWjF4aUpLZzR6eVZXbnVWQVNlbGxxaENDV3pUVUE1YV82aVgxRV9MaC0zbGJfZEhDeUt5OGJ5OUNkZHhxQ3BXVjdER1NIMXd5aFFDdm96RnlPYXVkN29zc0Fr?oc=5,"Wed, 18 Dec 2024 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxOZlFYRm5mbzIxbk5SWENVWkstcmVlMUFUNk85OS1YZ000bVM3dkxUUE1XR0ZndHNBeU1rYkdLWjF4aUpLZzR6eVZXbnVWQVNlbGxxaENDV3pUVUE1YV82aVgxRV9MaC0zbGJfZEhDeUt5OGJ5OUNkZHhxQ3BXVjdER1NIMXd5aFFDdm96RnlPYXVkN29zc0Fr?oc=5"" target=""_blank"">Kansas gets an F in gun legislation, national report says</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kansas Reflector</font>",,RSS Feed
"At least 7 dead, 5 injured after violent weekend in Kansas City; community leaders hold conference begging for action - KMBC",https://news.google.com/rss/articles/CBMinwFBVV95cUxOdzA1ZmFRZDBSMlJJN01RRi04cjBvaVpHZGU0SkxGNzhkVTJOUU5Meml5RS15dGpESFNQSmlEMVEwWUVVTHRuakNnT1VDODltazdlMzcxZFBCemVTUWtYdnVjTGtVOG4wVEpEbUdhX3dnOEV3dGl6ekxVbDFyX25SLWlqbW5PdjJSYXdxQ1V3WHBPeWE2SFZtYzhlNVhic0U?oc=5,"Tue, 24 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxOdzA1ZmFRZDBSMlJJN01RRi04cjBvaVpHZGU0SkxGNzhkVTJOUU5Meml5RS15dGpESFNQSmlEMVEwWUVVTHRuakNnT1VDODltazdlMzcxZFBCemVTUWtYdnVjTGtVOG4wVEpEbUdhX3dnOEV3dGl6ekxVbDFyX25SLWlqbW5PdjJSYXdxQ1V3WHBPeWE2SFZtYzhlNVhic0U?oc=5"" target=""_blank"">At least 7 dead, 5 injured after violent weekend in Kansas City; community leaders hold conference begging for action</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KMBC</font>",,RSS Feed
How many people die from gun-related injuries in Kansas each year? - usafacts.org,https://news.google.com/rss/articles/CBMirgFBVV95cUxOU2JBcVQxbXhmMmJSRHdMaGpoUjBqYnYtOHB1Q3REWlpydTBiQVJkZ2ZmaDRwZ2xFSk9iakx5SHAyeHZwQVMtVnRHeTc4Y0NVSWFCUkpvcGNLaVItOXZoUm5HUTB4Q09xU0pZVEllM2dJbnlodEI0SkpoVFV5TnkzdlRLX0xVdkJveG9NbDNfODhsX18zWFpXQUx2LW56OHRmczRoUERMMk5yRDl3aHc?oc=5,"Sun, 15 Dec 2024 06:30:08 GMT","<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxOU2JBcVQxbXhmMmJSRHdMaGpoUjBqYnYtOHB1Q3REWlpydTBiQVJkZ2ZmaDRwZ2xFSk9iakx5SHAyeHZwQVMtVnRHeTc4Y0NVSWFCUkpvcGNLaVItOXZoUm5HUTB4Q09xU0pZVEllM2dJbnlodEI0SkpoVFV5TnkzdlRLX0xVdkJveG9NbDNfODhsX18zWFpXQUx2LW56OHRmczRoUERMMk5yRDl3aHc?oc=5"" target=""_blank"">How many people die from gun-related injuries in Kansas each year?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">usafacts.org</font>",,RSS Feed
"With firearm suicides and homicides rising, Kansas lawmakers and activists want change - Kansas City Star",https://news.google.com/rss/articles/CBMifkFVX3lxTE54eUU5U25LQUpBaGY2MklMcmVCYWNieGdDbzFYZ3RVSDN0M2s4Ry14X1R5MVFtWnpDN3U3TnZUdWlJMXNCWTF2LXNYNkFleWRGY3VMT0NHbjh2aDloVlNlcTFGeUwwX0p0OEpOUU9Ob0w0dU1ZLUxSZGRURFNhd9IBfkFVX3lxTFAwRG9CdFZxbGVJQU9uV2k1M0RiUmx2RWdNSGQzRkFlN0EyUGlod0FCRWN2VWd2T3AxdThoZkFrSjV5cVBPZDh3Z0ROSWRBT1NKZTR3ZExQZkwtNW1TS09NNW9YbWVScGJUN3UwczVJM3ZGZV9UbDE4c1RYUGlnZw?oc=5,"Thu, 15 May 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMifkFVX3lxTE54eUU5U25LQUpBaGY2MklMcmVCYWNieGdDbzFYZ3RVSDN0M2s4Ry14X1R5MVFtWnpDN3U3TnZUdWlJMXNCWTF2LXNYNkFleWRGY3VMT0NHbjh2aDloVlNlcTFGeUwwX0p0OEpOUU9Ob0w0dU1ZLUxSZGRURFNhd9IBfkFVX3lxTFAwRG9CdFZxbGVJQU9uV2k1M0RiUmx2RWdNSGQzRkFlN0EyUGlod0FCRWN2VWd2T3AxdThoZkFrSjV5cVBPZDh3Z0ROSWRBT1NKZTR3ZExQZkwtNW1TS09NNW9YbWVScGJUN3UwczVJM3ZGZV9UbDE4c1RYUGlnZw?oc=5"" target=""_blank"">With firearm suicides and homicides rising, Kansas lawmakers and activists want change</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kansas City Star</font>",,RSS Feed
The CDC says guns are the No. 1 killer of children. Here’s what’s really true | Opinion - Kansas City Star,https://news.google.com/rss/articles/CBMikAFBVV95cUxNOGMtUHlTeTZTYkJnX05wVk45MEd3OEF2UmxLdFpnTHc5N0RvajkydFZ5OURUQmhrOTBYQUM1S1MwVkpYTU5ua3F0SktQQjFMNTZHV2hDZ0E4ckJkVjZqbUhzY1lPOHJqanVNbXhXcjBTNF9YQk1RR2JaZzRjVE1JeGRzbWZRdS1Ock1idmlUVlXSAZABQVVfeXFMTm1NZnU5a3FaU044WWRBdGk1dlY0aXR2WTR4Wjc5OUliR3VWNkFuako2UmlVQnFlNkhfcW1RR2RGTmNaNDhDWXhqRUthUU9Rc1FVZ2JtRmNWRDFCTVlIc0tJYUllUl9Memc0VEFJR2hRMmpXT3Y4RjVBUF9iSmZOUUtHVzBTSWVvYjdIdE9WcHRq?oc=5,"Tue, 03 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxNOGMtUHlTeTZTYkJnX05wVk45MEd3OEF2UmxLdFpnTHc5N0RvajkydFZ5OURUQmhrOTBYQUM1S1MwVkpYTU5ua3F0SktQQjFMNTZHV2hDZ0E4ckJkVjZqbUhzY1lPOHJqanVNbXhXcjBTNF9YQk1RR2JaZzRjVE1JeGRzbWZRdS1Ock1idmlUVlXSAZABQVVfeXFMTm1NZnU5a3FaU044WWRBdGk1dlY0aXR2WTR4Wjc5OUliR3VWNkFuako2UmlVQnFlNkhfcW1RR2RGTmNaNDhDWXhqRUthUU9Rc1FVZ2JtRmNWRDFCTVlIc0tJYUllUl9Memc0VEFJR2hRMmpXT3Y4RjVBUF9iSmZOUUtHVzBTSWVvYjdIdE9WcHRq?oc=5"" target=""_blank"">The CDC says guns are the No. 1 killer of children. Here’s what’s really true | Opinion</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kansas City Star</font>",,RSS Feed
"Kansas Receives F for Gun Laws, Ranked 42nd in Nation Amid Rising Gun Violence - KCLY Radio",https://news.google.com/rss/articles/CBMiqAFBVV95cUxOUzNhb2xZZlRMdllxWXkxeExVQWxEZ25jb2FDWGZocl9zUWlLVkJJZ0ZENkc3cWxwZi16Rjl0S29CWnZ6MGlQVEtjc0tyYnkxZjZlcW5hb0pfV0RhYk5sYm42bWdRbEx4ZHhfTFpHVW9wQnNsSGVxNjgtal9HeHZvWWpNTEw4SHBtREcwOVMwQTV5SXNpeFh0RGVoVktheVJjN2JIaDdSQVg?oc=5,"Thu, 19 Dec 2024 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxOUzNhb2xZZlRMdllxWXkxeExVQWxEZ25jb2FDWGZocl9zUWlLVkJJZ0ZENkc3cWxwZi16Rjl0S29CWnZ6MGlQVEtjc0tyYnkxZjZlcW5hb0pfV0RhYk5sYm42bWdRbEx4ZHhfTFpHVW9wQnNsSGVxNjgtal9HeHZvWWpNTEw4SHBtREcwOVMwQTV5SXNpeFh0RGVoVktheVJjN2JIaDdSQVg?oc=5"" target=""_blank"">Kansas Receives F for Gun Laws, Ranked 42nd in Nation Amid Rising Gun Violence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KCLY Radio</font>",,RSS Feed
What happened at Worlds of Fun? Kansas City police issue update after shooting reports cause panic | Hindustan Times - Hindustan Times,https://news.google.com/rss/articles/CBMiggJBVV95cUxNV1lLbml3dUpSd0c5eDdyNUZDZGtHZVVDYXk4b09RRGVkb3E0U05RbVEwcVM0TXZmWFBnaDlCN09GSWFhMXh4NmY4bmU4cElwSkF5SGJjdTFPeTRaa0Z6Q19xdTZacE56a2M2THgteE15T3dnb0R0M29GT1RsWmxzdDYxTFNwRTBPem9iWVBjVlZKR2xJd0RZZU9ubVVKaWgwc2FjU2NGRVNCSDkxMFFLbWt6ZVJjNURNdHkxWThVSUlCVUFKY1JtNS1yeWxMa08tY1NwNVNiYzNCQnlsWm1rMzhlU0ZteXJuNmFKWHNVNUZTSGI1azNZTWc3WDM2NUZBSlHSAYcCQVVfeXFMUGV3UHJENE8xWFVlY0g3ZDRZa2tnYUZIdU9MSjE5eG9xYlRmRmNydWNRbm8ycU1acE41Q2syekw5cU5LMVNvcjFZemdKajEzY0ZCS1AwT0NJcWdVUFFsVjM1UDhzQ2psemh1c3ZoQmRoOGloVTctc1lJSFpiR3ZuOHJvV2NwQm14US1xWnd5SS1ZYTRiR1ByTnF5ZkpBMTRWNUt6Rm9uWGw4WVFvTk5aMTltREZuejF4SnZEbkhQd2E4WE9VeFhIRUNSLTh0YUtJR2d1RlhHa2VtWmxWRVp2Z2ZTT1pRRVM5M1hNSW5ONTZUSVg3U0loYWZhOWFGZW9KWUFRMVNLMk0?oc=5,"Sun, 14 Sep 2025 02:58:53 GMT","<a href=""https://news.google.com/rss/articles/CBMiggJBVV95cUxNV1lLbml3dUpSd0c5eDdyNUZDZGtHZVVDYXk4b09RRGVkb3E0U05RbVEwcVM0TXZmWFBnaDlCN09GSWFhMXh4NmY4bmU4cElwSkF5SGJjdTFPeTRaa0Z6Q19xdTZacE56a2M2THgteE15T3dnb0R0M29GT1RsWmxzdDYxTFNwRTBPem9iWVBjVlZKR2xJd0RZZU9ubVVKaWgwc2FjU2NGRVNCSDkxMFFLbWt6ZVJjNURNdHkxWThVSUlCVUFKY1JtNS1yeWxMa08tY1NwNVNiYzNCQnlsWm1rMzhlU0ZteXJuNmFKWHNVNUZTSGI1azNZTWc3WDM2NUZBSlHSAYcCQVVfeXFMUGV3UHJENE8xWFVlY0g3ZDRZa2tnYUZIdU9MSjE5eG9xYlRmRmNydWNRbm8ycU1acE41Q2syekw5cU5LMVNvcjFZemdKajEzY0ZCS1AwT0NJcWdVUFFsVjM1UDhzQ2psemh1c3ZoQmRoOGloVTctc1lJSFpiR3ZuOHJvV2NwQm14US1xWnd5SS1ZYTRiR1ByTnF5ZkpBMTRWNUt6Rm9uWGw4WVFvTk5aMTltREZuejF4SnZEbkhQd2E4WE9VeFhIRUNSLTh0YUtJR2d1RlhHa2VtWmxWRVp2Z2ZTT1pRRVM5M1hNSW5ONTZUSVg3U0loYWZhOWFGZW9KWUFRMVNLMk0?oc=5"" target=""_blank"">What happened at Worlds of Fun? Kansas City police issue update after shooting reports cause panic | Hindustan Times</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",,RSS Feed
KCK man charged after shooting outside Kansas City business - KCTV,https://news.google.com/rss/articles/CBMimAFBVV95cUxNZ0M3RjJSR2cwNnhWbGZZM3dqb2tmeGdfeFNDTDQyaTZpV0VJdVZRQWZIU2gyX3I4aEREekhTR2dURkFRdk5ZNFZ3ZFhHSmdxMzRfYUc4ZFhuQnI0SVFLQm5XY040RlJEWW02V0E5aVpNVlF2ZjljN3ZQOXE4VWdOcHZvVm5OTVYwazlTNGExTjR2WFdlZzduZtIBrAFBVV95cUxQNVUzRl9oeV9ZYXJwMzRCUkFaLVhnMEo5LXRVRTQ4OGFyaWxOek1Rd1NZQ1dxODRtSzNfVUZmLUNRbzRQRThSRG5fZTgwdENFcEVTdW82MkhlQ0xieXhEUjlERDg0QzJfY0piUFlPMDF0a1l1NFZSNHJ1ZnZ0MXAyRmpid1RMenpxeGdNRjZuVEJYclRMeHJKQ0F6S055MEJjQktKS1hGNDZSeWds?oc=5,"Fri, 12 Sep 2025 15:52:00 GMT","<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxNZ0M3RjJSR2cwNnhWbGZZM3dqb2tmeGdfeFNDTDQyaTZpV0VJdVZRQWZIU2gyX3I4aEREekhTR2dURkFRdk5ZNFZ3ZFhHSmdxMzRfYUc4ZFhuQnI0SVFLQm5XY040RlJEWW02V0E5aVpNVlF2ZjljN3ZQOXE4VWdOcHZvVm5OTVYwazlTNGExTjR2WFdlZzduZtIBrAFBVV95cUxQNVUzRl9oeV9ZYXJwMzRCUkFaLVhnMEo5LXRVRTQ4OGFyaWxOek1Rd1NZQ1dxODRtSzNfVUZmLUNRbzRQRThSRG5fZTgwdENFcEVTdW82MkhlQ0xieXhEUjlERDg0QzJfY0piUFlPMDF0a1l1NFZSNHJ1ZnZ0MXAyRmpid1RMenpxeGdNRjZuVEJYclRMeHJKQ0F6S055MEJjQktKS1hGNDZSeWds?oc=5"" target=""_blank"">KCK man charged after shooting outside Kansas City business</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KCTV</font>",,RSS Feed
