title,link,published,summary,content,source
State Police Arrest Prince George’s County Man Following Reported Road Rage Shooting - Maryland.gov,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQbC1MQjB0bWtxR2dUMjBmVHZ2cjVxTmZiZmxnUWtLWnl6a251ZnBPQ3U0TDZCZXQ4eGlqTEc2V0drSWRldF84M0h6WVBJQW1naENVclh5MWpvOGNjY1pZeXRRUEhqOGdUZGowQVVidTBBbTNucEdOR1QzTjNzRVZsdGQwYTZBZFpMeXlhY0hob2hsUjFqT1FiaTlMZXVQa3pHV2RhZWcxTy1iQUlyWTVNVmJQTDQxZzdpY1N6c1ktNXlpX1k?oc=5,"Thu, 11 Sep 2025 12:52:51 GMT","<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxQbC1MQjB0bWtxR2dUMjBmVHZ2cjVxTmZiZmxnUWtLWnl6a251ZnBPQ3U0TDZCZXQ4eGlqTEc2V0drSWRldF84M0h6WVBJQW1naENVclh5MWpvOGNjY1pZeXRRUEhqOGdUZGowQVVidTBBbTNucEdOR1QzTjNzRVZsdGQwYTZBZFpMeXlhY0hob2hsUjFqT1FiaTlMZXVQa3pHV2RhZWcxTy1iQUlyWTVNVmJQTDQxZzdpY1N6c1ktNXlpX1k?oc=5"" target=""_blank"">State Police Arrest Prince George’s County Man Following Reported Road Rage Shooting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Maryland.gov</font>",,RSS Feed
Maryland leaders denounce political violence in the wake of Charlie Kirk killing - Maryland Matters,https://news.google.com/rss/articles/CBMiywFBVV95cUxNQTBDSWkwUDgzdEdHa3pHQUxuNU9KVnFwTlJLY1JzQjVYdEFNMUpwQ0tJVlktWndtMGVPLUFqaWRfRUFGNE9wV0dONmFOWlhLMUY3dXdvQ2dNbmx6SGY2Z1Q2Z3EwRmZLbGNuLWdMZnFpSmFQU255QTFadjA0ZlNvYmxKN0VNcnNyYzJfVjJhZ0RVX0Zsb3NhZ1htRjBhazFWZU83QTdWX1hQaGk2Qjg0TkNRUm5OS3h6dnJBdmVDRnlBR0MzLTFvdUhhMA?oc=5,"Thu, 11 Sep 2025 03:28:11 GMT","<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxNQTBDSWkwUDgzdEdHa3pHQUxuNU9KVnFwTlJLY1JzQjVYdEFNMUpwQ0tJVlktWndtMGVPLUFqaWRfRUFGNE9wV0dONmFOWlhLMUY3dXdvQ2dNbmx6SGY2Z1Q2Z3EwRmZLbGNuLWdMZnFpSmFQU255QTFadjA0ZlNvYmxKN0VNcnNyYzJfVjJhZ0RVX0Zsb3NhZ1htRjBhazFWZU83QTdWX1hQaGk2Qjg0TkNRUm5OS3h6dnJBdmVDRnlBR0MzLTFvdUhhMA?oc=5"" target=""_blank"">Maryland leaders denounce political violence in the wake of Charlie Kirk killing</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Maryland Matters</font>",,RSS Feed
Maryland Launched a Data Dashboard to Prevent Gun Violence and Protect Against Federal Cuts - The Trace,https://news.google.com/rss/articles/CBMiekFVX3lxTE84VXp3ckNMc3JDaUl5cThCVEZXbFdTSTh4eXhxX2lFVERnaGlNLXJMTUl1d3NwczIxTWx3Uk01ZHhrOUM5TGc0cVNBaWtzenZUVFJlUnpYNC1yc2Q5S0RiS3dJLUpqWlJsT0Q0aVJmcnBuc2R3X2hMWWpB?oc=5,"Tue, 22 Jul 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiekFVX3lxTE84VXp3ckNMc3JDaUl5cThCVEZXbFdTSTh4eXhxX2lFVERnaGlNLXJMTUl1d3NwczIxTWx3Uk01ZHhrOUM5TGc0cVNBaWtzenZUVFJlUnpYNC1yc2Q5S0RiS3dJLUpqWlJsT0Q0aVJmcnBuc2R3X2hMWWpB?oc=5"" target=""_blank"">Maryland Launched a Data Dashboard to Prevent Gun Violence and Protect Against Federal Cuts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Trace</font>",,RSS Feed
Maryland unveils new gun violence plan and dashboard to reduce incidents - WYPR,https://news.google.com/rss/articles/CBMitAFBVV95cUxPR3l5NmczT3FJdHNDdzJXUS1VMGlHZEEzVU45bGF3UU5zcnNzYlJsd0pBQXpKZnFCOUhIR0k4M2Q5cHoxczc1M2RMdURHMmJMYjJMMlgyb0RFbW51eG9lWncyUlRrbjQydk9kUi1nbDdDajNJdmxRUjJNdGVZckd4XzZtWXR0YjlnbFBaWGRwOTRHbDFkVm1FUnByTUhKTzkwWnBKTEpMVVZrRVcyVFZwUDNWbVA?oc=5,"Thu, 26 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxPR3l5NmczT3FJdHNDdzJXUS1VMGlHZEEzVU45bGF3UU5zcnNzYlJsd0pBQXpKZnFCOUhIR0k4M2Q5cHoxczc1M2RMdURHMmJMYjJMMlgyb0RFbW51eG9lWncyUlRrbjQydk9kUi1nbDdDajNJdmxRUjJNdGVZckd4XzZtWXR0YjlnbFBaWGRwOTRHbDFkVm1FUnByTUhKTzkwWnBKTEpMVVZrRVcyVFZwUDNWbVA?oc=5"" target=""_blank"">Maryland unveils new gun violence plan and dashboard to reduce incidents</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WYPR</font>",,RSS Feed
Gun-rights advocates bring twin challenges to Maryland gun-control law - SCOTUSblog,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPOGg5REM5STNrcks3b0V3UkdPT0l5WTIxUzhUa1RTLXFfaWJvY0dCdGpXXy1WODZzTGVaS3lLMzlCbkZqSHZjc1dfUXNKTDJPaVFWV3MxYTE1UGdhLW9vaVJtWTZoZDRySFA1LVlNLVFCb3pYWHNYSWhvZk1Yc1Z1YkZNYzRvV1ZQZkJuYlg0UGFBNVdTdUFlZm5iSmVqT0RnSTJIdk1jQ0lNZw?oc=5,"Mon, 06 Jan 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxPOGg5REM5STNrcks3b0V3UkdPT0l5WTIxUzhUa1RTLXFfaWJvY0dCdGpXXy1WODZzTGVaS3lLMzlCbkZqSHZjc1dfUXNKTDJPaVFWV3MxYTE1UGdhLW9vaVJtWTZoZDRySFA1LVlNLVFCb3pYWHNYSWhvZk1Yc1Z1YkZNYzRvV1ZQZkJuYlg0UGFBNVdTdUFlZm5iSmVqT0RnSTJIdk1jQ0lNZw?oc=5"" target=""_blank"">Gun-rights advocates bring twin challenges to Maryland gun-control law</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SCOTUSblog</font>",,RSS Feed
"Gun owners urge Fourth Circuit to strike down carry laws in Maryland, Virginia - Courthouse News Service",https://news.google.com/rss/articles/CBMirgFBVV95cUxON1YtV1c1VkdsZDEzMXFZU3hJaHZXZXE3aWIycXNrM21CVHo5UEEzOHd2cmx5amdnUWNmeXhEUVJwQ2IyaEZxaXV3elh1cWpQT2lRRWtNcVhIZ2pXMS1nbjMyNzNLYUJ1dm1QN0ZSU2UwY2lZVjJrZVBhM1htRVo1YmltZHRENm85c1dlV1AzVXZkWnNWa2hIbW1LYmd1MENjZ2NCZWlWTThxYXJYU2c?oc=5,"Wed, 07 May 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxON1YtV1c1VkdsZDEzMXFZU3hJaHZXZXE3aWIycXNrM21CVHo5UEEzOHd2cmx5amdnUWNmeXhEUVJwQ2IyaEZxaXV3elh1cWpQT2lRRWtNcVhIZ2pXMS1nbjMyNzNLYUJ1dm1QN0ZSU2UwY2lZVjJrZVBhM1htRVo1YmltZHRENm85c1dlV1AzVXZkWnNWa2hIbW1LYmd1MENjZ2NCZWlWTThxYXJYU2c?oc=5"" target=""_blank"">Gun owners urge Fourth Circuit to strike down carry laws in Maryland, Virginia</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Courthouse News Service</font>",,RSS Feed
Supreme Court declines to hear challenge to Maryland assault weapons ban - PBS,https://news.google.com/rss/articles/CBMirAFBVV95cUxOS2t5Z3R6Q1lsd3RCUDI3eXpjeFZ3M0FuVjVfQ3NyZmJmbHNBLW9kOG5QcXBPSDhELTJDZnpuOWNMRVhiVmNkam1OUjQ5ZlZiS0h1TmxNSVNHVGNJUGNJZDBoaHF2Vzl4TkNKcDMzemYwVUxvUUNkM2M4NEMzeElaRnBCdWZCc3pzYkl6eFk3RGpZMlZmOVJtSVJFckNDWmMyRDJBbFQzeWpOQWhJ0gGyAUFVX3lxTE9vRk5XQjM3eHI5SE01S0pRNjFqdjJaaEVZcXMwYmZSRjNhVnhrNWZiRTNQVzBVcWlibm80ek1vc2dDNVlOMHRVNzN1ckV1WUJabTdVODhUeHJGckdELVBWR0FYT24tWFBoWnBFOHlPUElobjVYYWZlcVRxVDJydVluYUh0eTZzTktRd1A2eFJVWWlqYTVFUTdpU2pNdF9uekIzMzlmakZ6ZHBPc3BYSk9hR0E?oc=5,"Mon, 02 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxOS2t5Z3R6Q1lsd3RCUDI3eXpjeFZ3M0FuVjVfQ3NyZmJmbHNBLW9kOG5QcXBPSDhELTJDZnpuOWNMRVhiVmNkam1OUjQ5ZlZiS0h1TmxNSVNHVGNJUGNJZDBoaHF2Vzl4TkNKcDMzemYwVUxvUUNkM2M4NEMzeElaRnBCdWZCc3pzYkl6eFk3RGpZMlZmOVJtSVJFckNDWmMyRDJBbFQzeWpOQWhJ0gGyAUFVX3lxTE9vRk5XQjM3eHI5SE01S0pRNjFqdjJaaEVZcXMwYmZSRjNhVnhrNWZiRTNQVzBVcWlibm80ek1vc2dDNVlOMHRVNzN1ckV1WUJabTdVODhUeHJGckdELVBWR0FYT24tWFBoWnBFOHlPUElobjVYYWZlcVRxVDJydVluYUh0eTZzTktRd1A2eFJVWWlqYTVFUTdpU2pNdF9uekIzMzlmakZ6ZHBPc3BYSk9hR0E?oc=5"" target=""_blank"">Supreme Court declines to hear challenge to Maryland assault weapons ban</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PBS</font>",,RSS Feed
Maryland Supreme Court upholds gun possession ban in some non-felony cases - Maryland Matters,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNdE4yTUpkM2d3YzBCMkxlYjJnVzczM19BTmxUa1M1N1M5Vkw1NWxUc19FcnVGUm5aUzAtMkREUE9NRDBydDlVb2dLRVhnYVVyN056Y2pScFVINFloMnhJWkQ4THQ0U1BCbk83cDZBMVpuNWVvc094dVJKdllKZzJRNkR0QVVhS2sxdjAwdGhmVUhaaWVWMTBoNnAxR1cxQmh6WWZTYVFLdTZNTVQtQVRtX3lTVWRVN1Fl?oc=5,"Mon, 09 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxNdE4yTUpkM2d3YzBCMkxlYjJnVzczM19BTmxUa1M1N1M5Vkw1NWxUc19FcnVGUm5aUzAtMkREUE9NRDBydDlVb2dLRVhnYVVyN056Y2pScFVINFloMnhJWkQ4THQ0U1BCbk83cDZBMVpuNWVvc094dVJKdllKZzJRNkR0QVVhS2sxdjAwdGhmVUhaaWVWMTBoNnAxR1cxQmh6WWZTYVFLdTZNTVQtQVRtX3lTVWRVN1Fl?oc=5"" target=""_blank"">Maryland Supreme Court upholds gun possession ban in some non-felony cases</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Maryland Matters</font>",,RSS Feed
Maryland teachers face backlash after posts on Charlie Kirk shooting - WBFF,https://news.google.com/rss/articles/CBMipwFBVV95cUxPa0ZVZXBkSmxob21IWGJzOVItLUVMUk02aDFFSjE3di1fWlhzWkJNUTA1VFhENWZ6V1dQODRoZVdpR0dTMmtHd2pDdHphMDlHQzJiTGIwOWJZbGlIWHlDak40NXdmazJxTDB3bC14YjRQZmZhS3RuNDg3ckRKeE1ESEsxY2o2X2w4NkJrM1Y0N0o2X1gyekpZcW1hN2JoY2xnSnBrU0dJcw?oc=5,"Thu, 11 Sep 2025 21:22:45 GMT","<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxPa0ZVZXBkSmxob21IWGJzOVItLUVMUk02aDFFSjE3di1fWlhzWkJNUTA1VFhENWZ6V1dQODRoZVdpR0dTMmtHd2pDdHphMDlHQzJiTGIwOWJZbGlIWHlDak40NXdmazJxTDB3bC14YjRQZmZhS3RuNDg3ckRKeE1ESEsxY2o2X2w4NkJrM1Y0N0o2X1gyekpZcW1hN2JoY2xnSnBrU0dJcw?oc=5"" target=""_blank"">Maryland teachers face backlash after posts on Charlie Kirk shooting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WBFF</font>",,RSS Feed
Maryland motorcyclist charged with attempted murder in road rage shooting - WUSA9,https://news.google.com/rss/articles/CBMi0wFBVV95cUxQT3hOTDY2bUN6N2l1YUFadERjWm9TR2VrOWE4N0dNVkgxaFFyc281aTloZjlZcjVJa1FXeGFfbFZ0RmtaNi1EWDJHTXc5ZV9TeUhqSXhUUXJsM0ZkRklFR1B3YU42UkVNckRSOWkzcWV6WEs2MmRrS3RLbnhReG9WTDRnNGhRLWVSbTFsNGtnRXJUQWRvUW5iaFFjbWh2MGJDMlhUaGJfbElRMHBwcWJnMkdzUmhFRzRIRS12Q2xONkFBTWZXUkRtUEM1WmZoN0xlYmxz?oc=5,"Thu, 11 Sep 2025 14:45:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxQT3hOTDY2bUN6N2l1YUFadERjWm9TR2VrOWE4N0dNVkgxaFFyc281aTloZjlZcjVJa1FXeGFfbFZ0RmtaNi1EWDJHTXc5ZV9TeUhqSXhUUXJsM0ZkRklFR1B3YU42UkVNckRSOWkzcWV6WEs2MmRrS3RLbnhReG9WTDRnNGhRLWVSbTFsNGtnRXJUQWRvUW5iaFFjbWh2MGJDMlhUaGJfbElRMHBwcWJnMkdzUmhFRzRIRS12Q2xONkFBTWZXUkRtUEM1WmZoN0xlYmxz?oc=5"" target=""_blank"">Maryland motorcyclist charged with attempted murder in road rage shooting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WUSA9</font>",,RSS Feed
"Annapolis shooting reports: What is happening in US Naval Academy, Maryland? Active shooter fears amid lockdown | Hindustan Times - Hindustan Times",https://news.google.com/rss/articles/CBMijgJBVV95cUxOWmsxNzJiY3NtU2Y3dVZBU245SU5ldUJ2dEZhMnpHX09XYXJBaFFPZV9pZnRxbTJGMTdWSW1yM1NJRkpXbFpGYjF5Nnl5OTN0a1lPM0wwN040U2dhUjM0TEs4UlltU21SOXB1Y1NERVdsMkdDTXBWZDFtR1ZlWFd6NzZ6SVB3VWFwR1JRd1VSbFBMWUp6T0pMaDNOa1R6czE4eDYxLUNUMjE0ZHhEN0F3d1BIOWY0ZzRzVTlZSnhjd3NXUVpkX2I5TDd4cFNYdHpGTUVHN2s3Q0ZZM0MtTjk2YkFWNWkwdy1Jak4yNy1lQUlzX0pFdXNNbHhWUWZBUVV2eV9Ub1Y2TDhQMWZzTHfSAZMCQVVfeXFMUHFYcWZyZE81UGx0aEpMTkdwYVdxdFFkVEVFZHVRRkxMTXA0bVlIaVA4VzZzbDNtMV9aUkUwaXB5VlFCUmVoZFlVTGNVX1dRa2pLZ0tkME1EcUJ0WWZyQmtya21VM1NrdGwyRlI5anVVWi1MSnl2UTlfZ1A5VS1QekxfS1BqZHp0cElWZnMtVEVkRThycF9SQ0ZyblF4NnF0cFZxTDFTVll2T2RnLUlYX0w5VGpXbnN2V1RIVk8tVmNJREhTNHdTdENvelY3RFVuWEY1bFk4VTNkcy1kM2xhdm5Mb2Y2MFJlNFVVZERVRllWd1ZJTEZRMXJZVFFJWXBpTG9pSEVGd1RXREpnay00VVdVdGs?oc=5,"Thu, 11 Sep 2025 22:02:06 GMT","<a href=""https://news.google.com/rss/articles/CBMijgJBVV95cUxOWmsxNzJiY3NtU2Y3dVZBU245SU5ldUJ2dEZhMnpHX09XYXJBaFFPZV9pZnRxbTJGMTdWSW1yM1NJRkpXbFpGYjF5Nnl5OTN0a1lPM0wwN040U2dhUjM0TEs4UlltU21SOXB1Y1NERVdsMkdDTXBWZDFtR1ZlWFd6NzZ6SVB3VWFwR1JRd1VSbFBMWUp6T0pMaDNOa1R6czE4eDYxLUNUMjE0ZHhEN0F3d1BIOWY0ZzRzVTlZSnhjd3NXUVpkX2I5TDd4cFNYdHpGTUVHN2s3Q0ZZM0MtTjk2YkFWNWkwdy1Jak4yNy1lQUlzX0pFdXNNbHhWUWZBUVV2eV9Ub1Y2TDhQMWZzTHfSAZMCQVVfeXFMUHFYcWZyZE81UGx0aEpMTkdwYVdxdFFkVEVFZHVRRkxMTXA0bVlIaVA4VzZzbDNtMV9aUkUwaXB5VlFCUmVoZFlVTGNVX1dRa2pLZ0tkME1EcUJ0WWZyQmtya21VM1NrdGwyRlI5anVVWi1MSnl2UTlfZ1A5VS1QekxfS1BqZHp0cElWZnMtVEVkRThycF9SQ0ZyblF4NnF0cFZxTDFTVll2T2RnLUlYX0w5VGpXbnN2V1RIVk8tVmNJREhTNHdTdENvelY3RFVuWEY1bFk4VTNkcy1kM2xhdm5Mb2Y2MFJlNFVVZERVRllWd1ZJTEZRMXJZVFFJWXBpTG9pSEVGd1RXREpnay00VVdVdGs?oc=5"" target=""_blank"">Annapolis shooting reports: What is happening in US Naval Academy, Maryland? Active shooter fears amid lockdown | Hindustan Times</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",,RSS Feed
