title,link,published,summary,content,source
Gun violence is never the answer - Montana Kaimin,https://news.google.com/rss/articles/CBMiygFBVV95cUxNQk03d29uRHp2c1VSU0lIMVZ1blZzZmdOWlVFSHhsTHd0cGJ4dTM1TzNIWUpMRDdab3NWSF9DQXJNcEhxQklmLW9rQVhndGhQc21yNERpUnlaQUZUcmV3TFNUN0x1M2ZubHhEQjdpQjdfSVRuZEVUSkRQVjRBeVJJQTFJZjZvOTByLUFvcnU0Q2JGcFB2VDRDd1NFaEk0RjN3US1ycDZnNGNod05ZZThQa0FCSXRKSkQ5OEJEWUlXMllYZHR6My1QSzVR0gHPAUFVX3lxTFBwLVFlYWtrWi1sUzBSa2EyUXlJSTI3bGwtdnJtbFUxLWF5MDlXOGFlMFp5dlNyRnBYYzN0YnhGVldNWkZXVHZvSU1XSXdIb1dKOUdTMXhGck9xTkV1cjJSQXVRbTNSQmEycmljOUpaVmVfeGNRWjFTTW5fdTEzWmVwaFhCVXlLV3ZCZmluU0FTR3pNZ3FZMXNVVXN4dlE5YV9mMzBSbVpNVkluQzFURG9lbloxbmRTak90aGxNdUR6X1BjOGI0ZC1LTFNyY3Zacw?oc=5,"Thu, 11 Sep 2025 17:18:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxNQk03d29uRHp2c1VSU0lIMVZ1blZzZmdOWlVFSHhsTHd0cGJ4dTM1TzNIWUpMRDdab3NWSF9DQXJNcEhxQklmLW9rQVhndGhQc21yNERpUnlaQUZUcmV3TFNUN0x1M2ZubHhEQjdpQjdfSVRuZEVUSkRQVjRBeVJJQTFJZjZvOTByLUFvcnU0Q2JGcFB2VDRDd1NFaEk0RjN3US1ycDZnNGNod05ZZThQa0FCSXRKSkQ5OEJEWUlXMllYZHR6My1QSzVR0gHPAUFVX3lxTFBwLVFlYWtrWi1sUzBSa2EyUXlJSTI3bGwtdnJtbFUxLWF5MDlXOGFlMFp5dlNyRnBYYzN0YnhGVldNWkZXVHZvSU1XSXdIb1dKOUdTMXhGck9xTkV1cjJSQXVRbTNSQmEycmljOUpaVmVfeGNRWjFTTW5fdTEzWmVwaFhCVXlLV3ZCZmluU0FTR3pNZ3FZMXNVVXN4dlE5YV9mMzBSbVpNVkluQzFURG9lbloxbmRTak90aGxNdUR6X1BjOGI0ZC1LTFNyY3Zacw?oc=5"" target=""_blank"">Gun violence is never the answer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Montana Kaimin</font>",,RSS Feed
How many people die from gun-related injuries in Montana each year? - usafacts.org,https://news.google.com/rss/articles/CBMirwFBVV95cUxPbkp4OEdOd0htbzBzbHJtdHZ6TV9qdENDLXRYZy1XdFVnemQ0LVJOV2NwRDhsQWZ0MjV3ZTFVSDNmR0lLWW42VThnblh2Q2Q4b2RCREdvMmNPaUVvb0ZSMVdlX3o1Uk02QmVhWnpEOS1JM2M4NzktcWNmT0FwSTN3S3Z4VXNXN3IxOFVKYUFwNFZKb0FSTFAwUTdTSFREZHhONjZab1JyUFRibktTZjZJ?oc=5,"Sat, 14 Dec 2024 00:12:15 GMT","<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxPbkp4OEdOd0htbzBzbHJtdHZ6TV9qdENDLXRYZy1XdFVnemQ0LVJOV2NwRDhsQWZ0MjV3ZTFVSDNmR0lLWW42VThnblh2Q2Q4b2RCREdvMmNPaUVvb0ZSMVdlX3o1Uk02QmVhWnpEOS1JM2M4NzktcWNmT0FwSTN3S3Z4VXNXN3IxOFVKYUFwNFZKb0FSTFAwUTdTSFREZHhONjZab1JyUFRibktTZjZJ?oc=5"" target=""_blank"">How many people die from gun-related injuries in Montana each year?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">usafacts.org</font>",,RSS Feed
Manhunt for ex-US soldier suspected of killing 4 in Montana bar - Al Jazeera,https://news.google.com/rss/articles/CBMipgFBVV95cUxNM1NhbDBYcFFLb09RVjczbkVTN0V5YjNsTDAwNWpPUUR2aEJjRk9STFNDVzVBQnEwMXVPSDJyang4VVI5WTRESDJRWnpra2RTTUJ6aHVYdGRfNDVHOU9QcE54NHhsa2FaWFJ4Z2VEcDBFWFVVcDRNRVh0SFRzeXNuUnpqcVZod1R0dVlwTHQ4V1VoandmSGJxLWRuUkpLUTJaSW5jN0xR0gGrAUFVX3lxTE9hYTl1eVhKZU9IVTJnR3NENWtucV9FanQ0QnZ6NkhONTdmVXdqM0ItOGJYeWR5eEg3bk5XVVJFSkVhQnpMdzlyeTNteDJ5SVBsMDFzNGprQ1hvZklJam95emlMX3Y3UTZxcWVWbS0xdHo4LXJtampocjBGSXpnckVma2kxUFdlaXplaFRMUFBBaDJxUTBkT3hFbzR1b2t6Mzh2dTRLMExYWWlZQQ?oc=5,"Sat, 02 Aug 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxNM1NhbDBYcFFLb09RVjczbkVTN0V5YjNsTDAwNWpPUUR2aEJjRk9STFNDVzVBQnEwMXVPSDJyang4VVI5WTRESDJRWnpra2RTTUJ6aHVYdGRfNDVHOU9QcE54NHhsa2FaWFJ4Z2VEcDBFWFVVcDRNRVh0SFRzeXNuUnpqcVZod1R0dVlwTHQ4V1VoandmSGJxLWRuUkpLUTJaSW5jN0xR0gGrAUFVX3lxTE9hYTl1eVhKZU9IVTJnR3NENWtucV9FanQ0QnZ6NkhONTdmVXdqM0ItOGJYeWR5eEg3bk5XVVJFSkVhQnpMdzlyeTNteDJ5SVBsMDFzNGprQ1hvZklJam95emlMX3Y3UTZxcWVWbS0xdHo4LXJtampocjBGSXpnckVma2kxUFdlaXplaFRMUFBBaDJxUTBkT3hFbzR1b2t6Mzh2dTRLMExYWWlZQQ?oc=5"" target=""_blank"">Manhunt for ex-US soldier suspected of killing 4 in Montana bar</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Al Jazeera</font>",,RSS Feed
Montana Moms Demand Action Commends Governor Greg Gianforte for Signing State Budget Allocating Historic Funding for Suicide Prevention - Everytown,https://news.google.com/rss/articles/CBMi_AFBVV95cUxNemNvb2M4bDRTMG5wbFEwXzdsU3NvY0dlSnpHcEIxWmpiTzRGdzFzOHpIOW93Q01ELVpvZExacHFSTTNHRGg1TjA4dUQxOUY3ZndfWnNDYV9XU19PQXNLNkEzTmFCbEN2QkJkMGswZDNPTkdHSERXT01GYnI4R0VsVTRtSzYtTXFDSmpVckpIU01hT3BNZzFoQjRsbTNvYXI0amUwVHFaZU55c3hZWXdOMEdueXhPMXdsZUpjSDAzS1RXWTk5NGdlZ2dDdUNGbFpCTEpaUEpiRVh6b1U2Z2QwTExoWWJXRlhaTUJUdVpIUEVfNWJBRS01eFZ6akc?oc=5,"Mon, 23 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxNemNvb2M4bDRTMG5wbFEwXzdsU3NvY0dlSnpHcEIxWmpiTzRGdzFzOHpIOW93Q01ELVpvZExacHFSTTNHRGg1TjA4dUQxOUY3ZndfWnNDYV9XU19PQXNLNkEzTmFCbEN2QkJkMGswZDNPTkdHSERXT01GYnI4R0VsVTRtSzYtTXFDSmpVckpIU01hT3BNZzFoQjRsbTNvYXI0amUwVHFaZU55c3hZWXdOMEdueXhPMXdsZUpjSDAzS1RXWTk5NGdlZ2dDdUNGbFpCTEpaUEpiRVh6b1U2Z2QwTExoWWJXRlhaTUJUdVpIUEVfNWJBRS01eFZ6akc?oc=5"" target=""_blank"">Montana Moms Demand Action Commends Governor Greg Gianforte for Signing State Budget Allocating Historic Funding for Suicide Prevention</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Everytown</font>",,RSS Feed
Authorities search for suspect after 4 killed in a shooting at a Montana bar - PBS,https://news.google.com/rss/articles/CBMisgFBVV95cUxNWk1JR2lOWS1DVUhhTzZZLTU1LTRoZEJWa2tOQzN4Q3lGVEdDZEJjZ09Oc0thMUJCS25WX1pzRmhDT2wtZjRUeXFaQzdYRHQyU0Myc2NBNnM5MjFNcVBoSEpIRlk3ZVk5RUZoUlMyVTRaM052cjlJSUtrTjNVVDUzT0tnNXNMSVBOa0M1MXVyZ092YmEwZHh2ak5yaXFneV81Z0ZqRk5UeDBQZkZpMXZDdnln0gG3AUFVX3lxTFBVMDBPa0VVcV9mSkVsVTczcXJHazlhT2ZoZlljRkFPbnIyTkl0RzFQZFlnSFFYZ3NlU25MM2JEZ1hUbTBROXRoZ2V4X0Z0SzFWQV9PNzVOd0VNVVVCOXpwdWN1cS16VDFHV2x1N19aTVBnbUNEQmJYRFd6azJqMWJzMFlvTEFWOWctUHBuM3ZqUUQ0QmhaaUhsRGNiWW5uVDRXeEFKZkZmaXpoYVp0d2xWLUl6bzlSRQ?oc=5,"Fri, 01 Aug 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxNWk1JR2lOWS1DVUhhTzZZLTU1LTRoZEJWa2tOQzN4Q3lGVEdDZEJjZ09Oc0thMUJCS25WX1pzRmhDT2wtZjRUeXFaQzdYRHQyU0Myc2NBNnM5MjFNcVBoSEpIRlk3ZVk5RUZoUlMyVTRaM052cjlJSUtrTjNVVDUzT0tnNXNMSVBOa0M1MXVyZ092YmEwZHh2ak5yaXFneV81Z0ZqRk5UeDBQZkZpMXZDdnln0gG3AUFVX3lxTFBVMDBPa0VVcV9mSkVsVTczcXJHazlhT2ZoZlljRkFPbnIyTkl0RzFQZFlnSFFYZ3NlU25MM2JEZ1hUbTBROXRoZ2V4X0Z0SzFWQV9PNzVOd0VNVVVCOXpwdWN1cS16VDFHV2x1N19aTVBnbUNEQmJYRFd6azJqMWJzMFlvTEFWOWctUHBuM3ZqUUQ0QmhaaUhsRGNiWW5uVDRXeEFKZkZmaXpoYVp0d2xWLUl6bzlSRQ?oc=5"" target=""_blank"">Authorities search for suspect after 4 killed in a shooting at a Montana bar</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PBS</font>",,RSS Feed
"As manhunt intensifies for suspect, officials ID 4 victims in Montana bar shooting - ABC News",https://news.google.com/rss/articles/CBMimgFBVV95cUxPc21mUEx5OHc5ek5COFA1LTRldE1RLWZYcC1kczZVQVlMMHRncW00Uko3QTF2QXl0Rng4ODVPcjdyQWZJc2JGQ0J5anRHc1oyRG5FUVlOYzNrUHo1UkZYMFBMSi1VQ25fV05DVDVyNFBLU1p0eVllSG9fTVFsS1BNNHFJQTV2UEJpbkhBS0NPMmdyZ1hUWHBkclBB0gGfAUFVX3lxTE8xNWdjV2h0WmlBVVMtaFZKU2xUaWFuYVpLWUEzZks4clY3WkpNRmpuUGlDeGNVYlZmZWY5UHNKbWJRUjNWY0djSXVRUnp0QWlkUWowR1plSHpPMlJDeWdvakhkMFBCUlRWZm9VMzByY1FjQXhqMXFNTWFGUmpYN0tmLS1SU1kwU196Y0p1ZTBuS0lVQlp1X1Y3N1Z0Tk53NA?oc=5,"Sun, 03 Aug 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxPc21mUEx5OHc5ek5COFA1LTRldE1RLWZYcC1kczZVQVlMMHRncW00Uko3QTF2QXl0Rng4ODVPcjdyQWZJc2JGQ0J5anRHc1oyRG5FUVlOYzNrUHo1UkZYMFBMSi1VQ25fV05DVDVyNFBLU1p0eVllSG9fTVFsS1BNNHFJQTV2UEJpbkhBS0NPMmdyZ1hUWHBkclBB0gGfAUFVX3lxTE8xNWdjV2h0WmlBVVMtaFZKU2xUaWFuYVpLWUEzZks4clY3WkpNRmpuUGlDeGNVYlZmZWY5UHNKbWJRUjNWY0djSXVRUnp0QWlkUWowR1plSHpPMlJDeWdvakhkMFBCUlRWZm9VMzByY1FjQXhqMXFNTWFGUmpYN0tmLS1SU1kwU196Y0p1ZTBuS0lVQlp1X1Y3N1Z0Tk53NA?oc=5"" target=""_blank"">As manhunt intensifies for suspect, officials ID 4 victims in Montana bar shooting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABC News</font>",,RSS Feed
Montana legislators consider ban on future local Red Flag gun laws - KTVQ,https://news.google.com/rss/articles/CBMirgFBVV95cUxNalZVVnJKZ1BPU1NUYzZDMk5temo3M3oxaHpwY29ReENUdUVhR2drQ1phY2NfNmc1MGt3bmN4ZTkxY2NDTXJaaEtuV3h3YlI2Wm5tMnVzZTBsR2lVb1g5V19xekkwOEF1YnlBLWs3Z0xnQ19icWU1UTlkdjFXYnA2R2xCUFZnU2x4czU0U0diRlFUZ2JIeGRkMFBTazdmZWpCR3FxSm5SaFVMVDdDSmc?oc=5,"Tue, 04 Mar 2025 14:57:16 GMT","<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxNalZVVnJKZ1BPU1NUYzZDMk5temo3M3oxaHpwY29ReENUdUVhR2drQ1phY2NfNmc1MGt3bmN4ZTkxY2NDTXJaaEtuV3h3YlI2Wm5tMnVzZTBsR2lVb1g5V19xekkwOEF1YnlBLWs3Z0xnQ19icWU1UTlkdjFXYnA2R2xCUFZnU2x4czU0U0diRlFUZ2JIeGRkMFBTazdmZWpCR3FxSm5SaFVMVDdDSmc?oc=5"" target=""_blank"">Montana legislators consider ban on future local Red Flag gun laws</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KTVQ</font>",,RSS Feed
Montana Governor Hunts for Colorado Gun Makers Frustrated by New Laws - NSSF | The Firearm Industry Trade Association,https://news.google.com/rss/articles/CBMiogFBVV95cUxNT2ZTVm95WVZDRW14WW9DYzJvd20xclFxNm0wUTlIdG5lMEluVENYeTVQY21hVTVlWjBNWkVNc3hXa2EteGdDX0ZWNmhfbG4tMG5zemNDRzFLOGN5a0t0VVdqVjZXT0hJSVhRRTVtSTZxMHlobzFiY1Uzck9mY0ZhQ09DQmhRS3RMcGpyUWdKQUhVMmpQN0pGcWthV1FNSHNBRnc?oc=5,"Thu, 24 Apr 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxNT2ZTVm95WVZDRW14WW9DYzJvd20xclFxNm0wUTlIdG5lMEluVENYeTVQY21hVTVlWjBNWkVNc3hXa2EteGdDX0ZWNmhfbG4tMG5zemNDRzFLOGN5a0t0VVdqVjZXT0hJSVhRRTVtSTZxMHlobzFiY1Uzck9mY0ZhQ09DQmhRS3RMcGpyUWdKQUhVMmpQN0pGcWthV1FNSHNBRnc?oc=5"" target=""_blank"">Montana Governor Hunts for Colorado Gun Makers Frustrated by New Laws</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NSSF | The Firearm Industry Trade Association</font>",,RSS Feed
Bill to outlaw local 'red flag' gun laws headed to Montana governor's desk - The Independent Record,https://news.google.com/rss/articles/CBMirwFBVV95cUxQa1V3azFPREYycWFObTVzUUs4dlk1SFhkWTFNLUg3SXRxOUZjNUVsbkpUcFlBYWlYOW9LWjRaUkluR1AwY29GaXNKYkp6YlpTRDFYSXEwMFg1aFBmS0R5VkJucjFKa25VOHF2enRlVWVnXzZDQ3NNYnBfNU1UdFhhS195ME9zbzlyVmJiSEt0bjIxRFo5eVZLZmJ5cnNldi1MWG1fVVpSXzJndlo3YlhV?oc=5,"Tue, 15 Apr 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxQa1V3azFPREYycWFObTVzUUs4dlk1SFhkWTFNLUg3SXRxOUZjNUVsbkpUcFlBYWlYOW9LWjRaUkluR1AwY29GaXNKYkp6YlpTRDFYSXEwMFg1aFBmS0R5VkJucjFKa25VOHF2enRlVWVnXzZDQ3NNYnBfNU1UdFhhS195ME9zbzlyVmJiSEt0bjIxRFo5eVZLZmJ5cnNldi1MWG1fVVpSXzJndlo3YlhV?oc=5"" target=""_blank"">Bill to outlaw local 'red flag' gun laws headed to Montana governor's desk</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Independent Record</font>",,RSS Feed
Advancing Montanans’ Gun Rights - Montana Department of Justice (.gov),https://news.google.com/rss/articles/CBMif0FVX3lxTE52U3gtQXJUY3BBeVczWGNfcEhjbnNNNEE2YWdpekNFOGpaYm54VGRKX1lxY0Z4VlY3eGY0WHh0RkV5Z3FCQ1VZSm1hY0FvanBJV2x1UUZteFA2RUpCNG9vdEwwelI3TlJ2TTRzY3RwbWJsSTMxa1cyMmFqSVV1Tkk?oc=5,"Mon, 07 Oct 2024 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMif0FVX3lxTE52U3gtQXJUY3BBeVczWGNfcEhjbnNNNEE2YWdpekNFOGpaYm54VGRKX1lxY0Z4VlY3eGY0WHh0RkV5Z3FCQ1VZSm1hY0FvanBJV2x1UUZteFA2RUpCNG9vdEwwelI3TlJ2TTRzY3RwbWJsSTMxa1cyMmFqSVV1Tkk?oc=5"" target=""_blank"">Advancing Montanans’ Gun Rights</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Montana Department of Justice (.gov)</font>",,RSS Feed
