title,link,published,summary,content,source
"During Gun Violence Awareness Month, Governor Hochul Codifies New York State Office of Gun Violence Prevention - Governor Kathy Hochul (.gov)",https://news.google.com/rss/articles/CBMiuwFBVV95cUxPazRNaW44R3FpcnN3ZHBIam5rcUd5MjNXNWZvbEc1VWFGVUcxVjVkaU9EYy1ZZDFraDh4LThGa2puYnVJVEpfdWRwZGxrcTJQcm4yeEpQUFJuZnZGR09meGpmY2dWeUJGNE1SZGs2Q0h4MEw4MFdoVGcydGg0aElZeXFnUE9TOFJXMFRvUGZRMlYxeTRpWEhVeWtYUVg2ekUtYmp0UFBjckdSM1VZNzNJZVR6aWlfaVlTaDZZ?oc=5,"Mon, 30 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxPazRNaW44R3FpcnN3ZHBIam5rcUd5MjNXNWZvbEc1VWFGVUcxVjVkaU9EYy1ZZDFraDh4LThGa2puYnVJVEpfdWRwZGxrcTJQcm4yeEpQUFJuZnZGR09meGpmY2dWeUJGNE1SZGs2Q0h4MEw4MFdoVGcydGg0aElZeXFnUE9TOFJXMFRvUGZRMlYxeTRpWEhVeWtYUVg2ekUtYmp0UFBjckdSM1VZNzNJZVR6aWlfaVlTaDZZ?oc=5"" target=""_blank"">During Gun Violence Awareness Month, Governor Hochul Codifies New York State Office of Gun Violence Prevention</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Governor Kathy Hochul (.gov)</font>",,RSS Feed
"Shooting in crowded New York club leaves 3 dead, 9 wounded - PBS",https://news.google.com/rss/articles/CBMimAFBVV95cUxOWHFxMU9pSktHSG9RbGhVeTI1OF8xbW9INXhJMldTTGtZRGNkTUlGT0c4d0VqOEZQc1Y1QUtCMmZXYTlLSVhJT3hRWWJITzJod3BYdTNRZkVxcTBUZXJ6M1RuNkJlVS0wNS1hLVhLMEY1RzVWNmZRRjJNSjB2VTEzQldRRW40a0lMT0N1WWpKR2RkUVc5OE5KdNIBngFBVV95cUxPMEdkZGRkdWNFSVIxOE1IZUJwR1M1MzVCMzBJaTBJWlZ5N2U4WTdvaHA2S3hBUFdEMUdaM1hReG5JQ3lFaUVaTkxMaG84MzZOSll2RXRpX0pETExKbW4wbUtEaHk2Zl8wWU9TeV8zU1MzcmxpbDg0aEtib2l5U1NSYjBKQkQzV2xsSVNYRmhOVXhFMzg2YTI3bXY3cG9KUQ?oc=5,"Sun, 17 Aug 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxOWHFxMU9pSktHSG9RbGhVeTI1OF8xbW9INXhJMldTTGtZRGNkTUlGT0c4d0VqOEZQc1Y1QUtCMmZXYTlLSVhJT3hRWWJITzJod3BYdTNRZkVxcTBUZXJ6M1RuNkJlVS0wNS1hLVhLMEY1RzVWNmZRRjJNSjB2VTEzQldRRW40a0lMT0N1WWpKR2RkUVc5OE5KdNIBngFBVV95cUxPMEdkZGRkdWNFSVIxOE1IZUJwR1M1MzVCMzBJaTBJWlZ5N2U4WTdvaHA2S3hBUFdEMUdaM1hReG5JQ3lFaUVaTkxMaG84MzZOSll2RXRpX0pETExKbW4wbUtEaHk2Zl8wWU9TeV8zU1MzcmxpbDg0aEtib2l5U1NSYjBKQkQzV2xsSVNYRmhOVXhFMzg2YTI3bXY3cG9KUQ?oc=5"" target=""_blank"">Shooting in crowded New York club leaves 3 dead, 9 wounded</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PBS</font>",,RSS Feed
"After Charlie Kirk’s Death, Voters Agree Something Is Wrong in US - The New York Times",https://news.google.com/rss/articles/CBMikwFBVV95cUxQUTlIX05LUnZQTUY0N0tJSXBEY2tCUkRHYms5SThuWVVvWEVPV25lcUs2SDZ5Z3lsc0poTHp2TlowY3dIVmJBRXM5a3dKM3FFSm9FQUh6cTVWSk1ZZ0oxbnVzWjFEUGljZDBDOEI3dTdIX2tQRXd2NWxsQTZFeDgwcUtIcDRLa19FdEJFaEFpRDdhMzA?oc=5,"Fri, 12 Sep 2025 09:02:59 GMT","<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxQUTlIX05LUnZQTUY0N0tJSXBEY2tCUkRHYms5SThuWVVvWEVPV25lcUs2SDZ5Z3lsc0poTHp2TlowY3dIVmJBRXM5a3dKM3FFSm9FQUh6cTVWSk1ZZ0oxbnVzWjFEUGljZDBDOEI3dTdIX2tQRXd2NWxsQTZFeDgwcUtIcDRLa19FdEJFaEFpRDdhMzA?oc=5"" target=""_blank"">After Charlie Kirk’s Death, Voters Agree Something Is Wrong in US</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font>",,RSS Feed
"Mayor Adams Announces Removal of Over 2,200 Illegal Firearms From New York City Streets Since Beginning of 2025 Alone as Shootings and Homicides hit new Record Lows - NYC.gov",https://news.google.com/rss/articles/CBMivwFBVV95cUxNMEdHeGExSVI1TGZaN01GTnFnZ1ZiNlhBWVpXVF9GSTVpZHpsTTM3MmxmajNWazlxYksxZllRcnFXSXJtTkVKVmI3YVBtcm1rbVNTZWd1NEJJQ3M5MVdTZERzTmIzY3hFQVEtTEw5MGNPV2ljclhmT0RVSzhJZDZBRlVIQnJIaDBTVllhUmZCeHNCVHJtVkI5UFpaaWRERDNtWTEzamd2UGxmdHZTeUY2S1RwVXBvTTIyU2tuYXZrMA?oc=5,"Tue, 03 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxNMEdHeGExSVI1TGZaN01GTnFnZ1ZiNlhBWVpXVF9GSTVpZHpsTTM3MmxmajNWazlxYksxZllRcnFXSXJtTkVKVmI3YVBtcm1rbVNTZWd1NEJJQ3M5MVdTZERzTmIzY3hFQVEtTEw5MGNPV2ljclhmT0RVSzhJZDZBRlVIQnJIaDBTVllhUmZCeHNCVHJtVkI5UFpaaWRERDNtWTEzamd2UGxmdHZTeUY2S1RwVXBvTTIyU2tuYXZrMA?oc=5"" target=""_blank"">Mayor Adams Announces Removal of Over 2,200 Illegal Firearms From New York City Streets Since Beginning of 2025 Alone as Shootings and Homicides hit new Record Lows</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NYC.gov</font>",,RSS Feed
"Epidemiology of fatal and nonfatal community firearm violence in New York City, 2019–2023 - BioMed Central",https://news.google.com/rss/articles/CBMigAFBVV95cUxOMTJtLTh4Z3FHSEZrRHFNQzBJa1Z0RU5ueEtBZnRFcXhzZmMyLUU5NUZBYmtLU09NV2p4c3lWeHFYU2FyZ3BzcGhVWEhpNVZWM256YmNzczlZVW5nWmJ2LUlMV0V2cGxONlVvdXFPSV9iZ3AxTU5faDhiVnNRaVNjdg?oc=5,"Fri, 08 Aug 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMigAFBVV95cUxOMTJtLTh4Z3FHSEZrRHFNQzBJa1Z0RU5ueEtBZnRFcXhzZmMyLUU5NUZBYmtLU09NV2p4c3lWeHFYU2FyZ3BzcGhVWEhpNVZWM256YmNzczlZVW5nWmJ2LUlMV0V2cGxONlVvdXFPSV9iZ3AxTU5faDhiVnNRaVNjdg?oc=5"" target=""_blank"">Epidemiology of fatal and nonfatal community firearm violence in New York City, 2019–2023</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BioMed Central</font>",,RSS Feed
Where Charlie Kirk Stood on Key Political Issues - The New York Times,https://news.google.com/rss/articles/CBMiiAFBVV95cUxQd21iWjJ0MmR2SmlrS1BTak1WTjk3OU1lek5tZm1FQWpTQnJjd3FDZ3BxdmdiZHBuRnJoSk5idzBRS3hJMTJReUpJQ0dCdXlMZFVfLWRxOE01REgzNTR5cTNOSkhSU2o4NHlra3o3WEVqTkthTWRSalI1cXBZdVppaFFaWGhwOVE5?oc=5,"Fri, 12 Sep 2025 16:52:30 GMT","<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxQd21iWjJ0MmR2SmlrS1BTak1WTjk3OU1lek5tZm1FQWpTQnJjd3FDZ3BxdmdiZHBuRnJoSk5idzBRS3hJMTJReUpJQ0dCdXlMZFVfLWRxOE01REgzNTR5cTNOSkhSU2o4NHlra3o3WEVqTkthTWRSalI1cXBZdVppaFFaWGhwOVE5?oc=5"" target=""_blank"">Where Charlie Kirk Stood on Key Political Issues</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font>",,RSS Feed
New York’s strong gun laws didn’t prevent Monday's mass shooting. Local leaders are looking at the feds - City & State New York,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQN2NjUUI0b3NZb3h1V0JFTk84ZVh5M21SYmhCTWpVek5uUGxBbWczNmwzRmRVNFE3R19kRlFuaTZFRE03MGtZYnktdDBnUkN2WmtpQUxaOF9SOXZkWVNzR2JxMk5kclI5a05lWExhVkNqWEk5eVRQS0FTckpyMDdGRzdQYjhOMWpKc1lpZDMwLURFcWtodmx5c1h3Y3JGOE1KSFdJMVdqMmp3Y0tQVHlSc1lUZGxiWXM2QUlwTFkzSHcwczFHbEFxWmVsN3NCdlV3ck16TTlEWi1NOWJoZkNfVQ?oc=5,"Tue, 29 Jul 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxQN2NjUUI0b3NZb3h1V0JFTk84ZVh5M21SYmhCTWpVek5uUGxBbWczNmwzRmRVNFE3R19kRlFuaTZFRE03MGtZYnktdDBnUkN2WmtpQUxaOF9SOXZkWVNzR2JxMk5kclI5a05lWExhVkNqWEk5eVRQS0FTckpyMDdGRzdQYjhOMWpKc1lpZDMwLURFcWtodmx5c1h3Y3JGOE1KSFdJMVdqMmp3Y0tQVHlSc1lUZGxiWXM2QUlwTFkzSHcwczFHbEFxWmVsN3NCdlV3ck16TTlEWi1NOWJoZkNfVQ?oc=5"" target=""_blank"">New York’s strong gun laws didn’t prevent Monday's mass shooting. Local leaders are looking at the feds</a>&nbsp;&nbsp;<font color=""#6f6f6f"">City & State New York</font>",,RSS Feed
What are US ‘red flag’ gun laws? Why didn’t they stop New York shooter? - Al Jazeera,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPaHAwcGwxVzhrNnRJd2R2aW5CcEZxU2tNcTM2Y1owYTBTUVRuNEF0SUQ2ekNXUDE1ZldxaVk3amhxQjhZejJQUy1POEs3UENoUEFoWE0wMWhOWHBYRzdDQjJ3U3ZxRzlrLXB0RlI0RkZMTV9nM0RCZmxEdVM4OC1KdjJGd0F0dHN3VGtjRy1iUmpFUzFmRWhXZFgwQ01HcUhEbGtQQTRNNmNKQdIBrwFBVV95cUxQekJXQ2pJcXR6RXB5Z1NrMExBUl9WZDBqVHdaamMwNEM2a255Y0N5YVhlaVhqbncxdk5xRXd1UTJwQWRoa2pEZE9rWTBrRjN3UVhpeFgwem13ZGtuVnRkSWhTS25ZVVRvVUtXM3ZYUmlWR01sWFRSUVlOeUFRa2k4UUR2eUt6MGdBemNzelRyU1I5MWd4WlIxY0JTbHJJUnFhQmI0czZNRUZjeXBPRm53?oc=5,"Fri, 01 Aug 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxPaHAwcGwxVzhrNnRJd2R2aW5CcEZxU2tNcTM2Y1owYTBTUVRuNEF0SUQ2ekNXUDE1ZldxaVk3amhxQjhZejJQUy1POEs3UENoUEFoWE0wMWhOWHBYRzdDQjJ3U3ZxRzlrLXB0RlI0RkZMTV9nM0RCZmxEdVM4OC1KdjJGd0F0dHN3VGtjRy1iUmpFUzFmRWhXZFgwQ01HcUhEbGtQQTRNNmNKQdIBrwFBVV95cUxQekJXQ2pJcXR6RXB5Z1NrMExBUl9WZDBqVHdaamMwNEM2a255Y0N5YVhlaVhqbncxdk5xRXd1UTJwQWRoa2pEZE9rWTBrRjN3UVhpeFgwem13ZGtuVnRkSWhTS25ZVVRvVUtXM3ZYUmlWR01sWFRSUVlOeUFRa2k4UUR2eUt6MGdBemNzelRyU1I5MWd4WlIxY0JTbHJJUnFhQmI0czZNRUZjeXBPRm53?oc=5"" target=""_blank"">What are US ‘red flag’ gun laws? Why didn’t they stop New York shooter?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Al Jazeera</font>",,RSS Feed
Charlie Kirk Shooting Live Updates: Family Member Alerted Officials to Suspect - The New York Times,https://news.google.com/rss/articles/CBMid0FVX3lxTE9wTGp1YUdwZHhSbG1ocl9XQVlmc3JTaUhKWnNhdnVJX0pibjN2WG8wR1l4LWJWNWJpTFhEMVhlS1J5MERheV9lZW93OWE1LU1kZHNhdW41NXRHTHBPRDNITmVpeWpGNzN0SzFSTFNJbDdjNHUxcmQw?oc=5,"Sat, 13 Sep 2025 03:33:00 GMT","<a href=""https://news.google.com/rss/articles/CBMid0FVX3lxTE9wTGp1YUdwZHhSbG1ocl9XQVlmc3JTaUhKWnNhdnVJX0pibjN2WG8wR1l4LWJWNWJpTFhEMVhlS1J5MERheV9lZW93OWE1LU1kZHNhdW41NXRHTHBPRDNITmVpeWpGNzN0SzFSTFNJbDdjNHUxcmQw?oc=5"" target=""_blank"">Charlie Kirk Shooting Live Updates: Family Member Alerted Officials to Suspect</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font>",,RSS Feed
"Queens deadly shooting: 21-year-old woman shot, killed in East Elmhurst - ABC7 New York",https://news.google.com/rss/articles/CBMiogFBVV95cUxOWUJ4b2FJckdDYWVoVkN3d3NYQnh6emhIeFUyTHRPeWhRbzZYUTdnQVlzWS1qeTNzbE9VOEttTV94eWV1M1JPMk5ETElRMEwzWmIzVTN1UXQtak9rOVRKbE5uZDhvaWgzZlJ2aFZoeVRDWFlUc0IwSldlTUphX1RMV1Z6aktfS2RCQnQ1clZfSnA3RTAwOEs3bU5RTTk2NmZRbkHSAacBQVVfeXFMUExNTTNTdlNqdGtWQ19iVllOMVZQeDJtTnRrdTlsVlVyREJ2TUFsdzY3Rmw0Q3ZHRzFzWFlrTHh0UkZwRVFGdDJXRVIzcXJNc3l2dXJ1NTJCaV9HclduUG5UTVQyekQyMlp1aTNGc2U5emNfR0g2WXpSNEFJaDFRRDRJaS1MdGxqYzN2ZmJNQklEYUZ4S0JZdmZ3ODlCbHFHeUJReWdJeDA?oc=5,"Sat, 13 Sep 2025 12:56:15 GMT","<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxOWUJ4b2FJckdDYWVoVkN3d3NYQnh6emhIeFUyTHRPeWhRbzZYUTdnQVlzWS1qeTNzbE9VOEttTV94eWV1M1JPMk5ETElRMEwzWmIzVTN1UXQtak9rOVRKbE5uZDhvaWgzZlJ2aFZoeVRDWFlUc0IwSldlTUphX1RMV1Z6aktfS2RCQnQ1clZfSnA3RTAwOEs3bU5RTTk2NmZRbkHSAacBQVVfeXFMUExNTTNTdlNqdGtWQ19iVllOMVZQeDJtTnRrdTlsVlVyREJ2TUFsdzY3Rmw0Q3ZHRzFzWFlrTHh0UkZwRVFGdDJXRVIzcXJNc3l2dXJ1NTJCaV9HclduUG5UTVQyekQyMlp1aTNGc2U5emNfR0g2WXpSNEFJaDFRRDRJaS1MdGxqYzN2ZmJNQklEYUZ4S0JZdmZ3ODlCbHFHeUJReWdJeDA?oc=5"" target=""_blank"">Queens deadly shooting: 21-year-old woman shot, killed in East Elmhurst</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABC7 New York</font>",,RSS Feed
