title,link,published,summary,content,source
"Oregon coach Dan Lanning addresses Charlie Kirk, gun violence following win at Northwestern - OregonLive.com",https://news.google.com/rss/articles/CBMi1gFBVV95cUxOZDJ1NDV2NFVkdzRrTnlyVlJEa3VBVFVxeTQtby11SHV4RklLWjl0SXFsWGdLNDEzcGtqemJTMmlvTG1pcmRHVllzQnlFeWNxYjhNZlUwV1BYRGxoM05OclllTkR3bEw3bUszWUN2V05oamExZTJmckdtZHVXaFEzLXdWVzVTd2JpTUN2NXZyRmljTlJTYUFFdGZRVEYzcnA3NHdkZFlqQWtUNnkwQzEtX1lvb2t2aDVBZmVFc1B5MkVtR0RnQ1phM2pEczRxeWZFUTkwVVJB0gHqAUFVX3lxTE42MWlXWDUwTlA3a1pYYkJHejJ3NkNKMmozMlZGREp1QmxsQlNxY3NhVXloNHFDWWx3dDMxOThfdlgwWGZQdC1Cd2dvU0xJc3BUZWVIYjlnNGNmZXEyemhMQU1DZm5aYnFYZ0Y2VWw5SnhzcnlVS0JFekxCQUNHQ1pUQmh0UUJDdTFpbW9zcTdFSjNsNVdmNHlaaTdNRlNFNkgzMXBrd3lrYXN2UXJXODk0N3hOWEFhS3lDRGZiT2VKc1B2SUZWbnVmdm1qZEV6bGlpMElWN0NWcG4tXzV6eV9jdTExMXk3TXFzQQ?oc=5,"Sat, 13 Sep 2025 21:26:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxOZDJ1NDV2NFVkdzRrTnlyVlJEa3VBVFVxeTQtby11SHV4RklLWjl0SXFsWGdLNDEzcGtqemJTMmlvTG1pcmRHVllzQnlFeWNxYjhNZlUwV1BYRGxoM05OclllTkR3bEw3bUszWUN2V05oamExZTJmckdtZHVXaFEzLXdWVzVTd2JpTUN2NXZyRmljTlJTYUFFdGZRVEYzcnA3NHdkZFlqQWtUNnkwQzEtX1lvb2t2aDVBZmVFc1B5MkVtR0RnQ1phM2pEczRxeWZFUTkwVVJB0gHqAUFVX3lxTE42MWlXWDUwTlA3a1pYYkJHejJ3NkNKMmozMlZGREp1QmxsQlNxY3NhVXloNHFDWWx3dDMxOThfdlgwWGZQdC1Cd2dvU0xJc3BUZWVIYjlnNGNmZXEyemhMQU1DZm5aYnFYZ0Y2VWw5SnhzcnlVS0JFekxCQUNHQ1pUQmh0UUJDdTFpbW9zcTdFSjNsNVdmNHlaaTdNRlNFNkgzMXBrd3lrYXN2UXJXODk0N3hOWEFhS3lDRGZiT2VKc1B2SUZWbnVmdm1qZEV6bGlpMElWN0NWcG4tXzV6eV9jdTExMXk3TXFzQQ?oc=5"" target=""_blank"">Oregon coach Dan Lanning addresses Charlie Kirk, gun violence following win at Northwestern</a>&nbsp;&nbsp;<font color=""#6f6f6f"">OregonLive.com</font>",,RSS Feed
Oregon coach Dan Lanning offers powerful message on gun violence after Northwestern win - 247Sports,https://news.google.com/rss/articles/CBMi2wFBVV95cUxQTlVlSGV4ZU5jOWFXTG11ZGV3djZ4WnRtQVpNd2RkOHlvbXVXZ0pPbm9uUjRXTERhTWl6X2JQalcydXpzLTdwUk5aZmlRdi16enJINjJFZUJ2S1dxRnpWMkFSMERkODB6Q1lzeG9kY2VpZFpqVHB1b09vNGh6eGNBX1IyWHZsUGN5WWFvRTUxZDBWMEtmZDB2YzJtZjJ4YUx3cDJuenNOZ2N3cDQtMHU0cVpMWEQxdzZCUTI4cEM1dTByZzRONlNLTkRHSzZmZksxTUhLc1I2ci1aSzA?oc=5,"Sat, 13 Sep 2025 22:06:06 GMT","<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxQTlVlSGV4ZU5jOWFXTG11ZGV3djZ4WnRtQVpNd2RkOHlvbXVXZ0pPbm9uUjRXTERhTWl6X2JQalcydXpzLTdwUk5aZmlRdi16enJINjJFZUJ2S1dxRnpWMkFSMERkODB6Q1lzeG9kY2VpZFpqVHB1b09vNGh6eGNBX1IyWHZsUGN5WWFvRTUxZDBWMEtmZDB2YzJtZjJ4YUx3cDJuenNOZ2N3cDQtMHU0cVpMWEQxdzZCUTI4cEM1dTByZzRONlNLTkRHSzZmZksxTUhLc1I2ci1aSzA?oc=5"" target=""_blank"">Oregon coach Dan Lanning offers powerful message on gun violence after Northwestern win</a>&nbsp;&nbsp;<font color=""#6f6f6f"">247Sports</font>",,RSS Feed
Oregon Gov. Kotek orders flags lowered after Charlie Kirk assassination - Oregon Public Broadcasting - OPB,https://news.google.com/rss/articles/CBMirgFBVV95cUxQNndFWi1TS3hQVnhBMVhWaDlsS0lpTUlEUUpuOUY3UjlVdUlURzhtVUkxS2ZjRENOZkVQMWkzRXFGWHVXZ0YyZE1Vd3BfMjNJX2ZwajNOYi05LUFJNnBLSTM4WjNXeWtFMVp6bHN6UjdrcGhYZk5KcDg0eHlSQmRaZ2YwbWhDSnJ5WkNNdkhnRzR2TU80MmdpSU1Fb0hPdl9SQWM3dkotX3R1aVVvU0E?oc=5,"Wed, 10 Sep 2025 22:47:07 GMT","<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxQNndFWi1TS3hQVnhBMVhWaDlsS0lpTUlEUUpuOUY3UjlVdUlURzhtVUkxS2ZjRENOZkVQMWkzRXFGWHVXZ0YyZE1Vd3BfMjNJX2ZwajNOYi05LUFJNnBLSTM4WjNXeWtFMVp6bHN6UjdrcGhYZk5KcDg0eHlSQmRaZ2YwbWhDSnJ5WkNNdkhnRzR2TU80MmdpSU1Fb0hPdl9SQWM3dkotX3R1aVVvU0E?oc=5"" target=""_blank"">Oregon Gov. Kotek orders flags lowered after Charlie Kirk assassination</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Oregon Public Broadcasting - OPB</font>",,RSS Feed
"Oregon leaders react after conservative activist Charlie Kirk shot, killed in Utah - KPTV",https://news.google.com/rss/articles/CBMisAFBVV95cUxOV2hXdUlVWE1acm1pSmVnMmU5X1RoTnpRck9FWFZpRTJjelBwQy1fZW9QLU9vM2x6RnZXWGZSSE1IMDVnNVpDMkxNN1o4U0lPdDhNUm56UlZOWWhQWGNmaWdpSEFvaHVsMEdYWERxcVpJaTVuYlNnd2VWbG1lSlpuSmIwMGtROFZ6eEZibEhVRnJEMEl0SjZtci1pdUJFNHVVWXlTNmthdDl6ZUtocVRkSNIBxAFBVV95cUxQYXdkczFIamlFbVdQWlpRSUctbWtpSEUyZ0RKaUZzUUFpTzFidEhRSWlhN25DNWZuUjJhTzNNaUVuYmdHaldDZHhYN1M1TUxHU0xyU282dTk1ZEFfM0s2dWdLc2lBVzZIN2c2VFFmV0lhZGozQlBGLWl5UzNPdkg2Z1Q1UUU0QkxNQVJJMno4ZWdxd0NDbnlZeDVQaTZtelhMZGNTdUp3WnUyNUNTTU85QVpwbEs4VEROclBoZ2VOM2JzQTZU?oc=5,"Wed, 10 Sep 2025 22:56:00 GMT","<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxOV2hXdUlVWE1acm1pSmVnMmU5X1RoTnpRck9FWFZpRTJjelBwQy1fZW9QLU9vM2x6RnZXWGZSSE1IMDVnNVpDMkxNN1o4U0lPdDhNUm56UlZOWWhQWGNmaWdpSEFvaHVsMEdYWERxcVpJaTVuYlNnd2VWbG1lSlpuSmIwMGtROFZ6eEZibEhVRnJEMEl0SjZtci1pdUJFNHVVWXlTNmthdDl6ZUtocVRkSNIBxAFBVV95cUxQYXdkczFIamlFbVdQWlpRSUctbWtpSEUyZ0RKaUZzUUFpTzFidEhRSWlhN25DNWZuUjJhTzNNaUVuYmdHaldDZHhYN1M1TUxHU0xyU282dTk1ZEFfM0s2dWdLc2lBVzZIN2c2VFFmV0lhZGozQlBGLWl5UzNPdkg2Z1Q1UUU0QkxNQVJJMno4ZWdxd0NDbnlZeDVQaTZtelhMZGNTdUp3WnUyNUNTTU85QVpwbEs4VEROclBoZ2VOM2JzQTZU?oc=5"" target=""_blank"">Oregon leaders react after conservative activist Charlie Kirk shot, killed in Utah</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KPTV</font>",,RSS Feed
Oregon lawmakers consider gun control bills amid legal battle over Measure 114 - Oregon Capital Chronicle,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPVnlQaG5qNE5RMlpGcXNsQWNYWU5iTzM4eVU3N1Jya25rWDQ0Wl9CR0dITUdpRFR1eENZdzdJQ1dXVnFkZTZCNjhYVVgyOWg2bXk1Rkk1MmpQSWxGc0pNOU9hMFF5STFYV191ZU1CLVdrdFNIRXhYRFllYWQ5VkhBeDFxai1PSkZvYi1pZXNETHY0NkM4MjBTWU5scnR1c1ROMGszUlJBTHpnZzlFeFo0dnFxYVpzMXZDRUdfeG1OckZvY0E?oc=5,"Mon, 21 Apr 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxPVnlQaG5qNE5RMlpGcXNsQWNYWU5iTzM4eVU3N1Jya25rWDQ0Wl9CR0dITUdpRFR1eENZdzdJQ1dXVnFkZTZCNjhYVVgyOWg2bXk1Rkk1MmpQSWxGc0pNOU9hMFF5STFYV191ZU1CLVdrdFNIRXhYRFllYWQ5VkhBeDFxai1PSkZvYi1pZXNETHY0NkM4MjBTWU5scnR1c1ROMGszUlJBTHpnZzlFeFo0dnFxYVpzMXZDRUdfeG1OckZvY0E?oc=5"" target=""_blank"">Oregon lawmakers consider gun control bills amid legal battle over Measure 114</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Oregon Capital Chronicle</font>",,RSS Feed
Oregon Senate passes hotly contested gun bill - Oregon Public Broadcasting - OPB,https://news.google.com/rss/articles/CBMijgFBVV95cUxPMEg2YlhaSHJTM3hGNGJIaGJfRlNDbWpwWVNURDNLMFQ2VG5GdFdRLTk1ZEEzSk5sMHFucFIwM1p3Y0hBcFFtVGM4RUhGVFZCSGMtUnVsZGtfWUs1eld0LU85Z0s2Q2hTdDdsU0JmSE1DaExOUFR2TllsTWZjQTF1aWRKWlNUa18tcUNsclJ3?oc=5,"Thu, 29 May 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxPMEg2YlhaSHJTM3hGNGJIaGJfRlNDbWpwWVNURDNLMFQ2VG5GdFdRLTk1ZEEzSk5sMHFucFIwM1p3Y0hBcFFtVGM4RUhGVFZCSGMtUnVsZGtfWUs1eld0LU85Z0s2Q2hTdDdsU0JmSE1DaExOUFR2TllsTWZjQTF1aWRKWlNUa18tcUNsclJ3?oc=5"" target=""_blank"">Oregon Senate passes hotly contested gun bill</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Oregon Public Broadcasting - OPB</font>",,RSS Feed
Gun control vs. gun rights: More than 2 dozen Oregon firearm bills introduced this session - Statesman Journal,https://news.google.com/rss/articles/CBMiywFBVV95cUxQOE1uVTBnVDFrS3lCc3JPWjRwVUExVzgyNHRwX0pzQjBKQW12MllEVmhGUWYzOTI3Ujh1dWltSVVYSDNkekpDRU1KSTlwT1VBSTYzTFhKYTRPam1WU1o4WUgyTTdwRXg4VE5IX20yT2JoYmhPSnRTMWk3VjEyOUhuREpYa184ZkZLNHlDM0pnLXFsTjRrdjZSMUZrNXFhNGJ1aFRNal9JSlhIT2lFd2U3UWotc21aQmNSVkp6VjBDZ0N4cHZTTGVyR2M2SQ?oc=5,"Mon, 10 Mar 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxQOE1uVTBnVDFrS3lCc3JPWjRwVUExVzgyNHRwX0pzQjBKQW12MllEVmhGUWYzOTI3Ujh1dWltSVVYSDNkekpDRU1KSTlwT1VBSTYzTFhKYTRPam1WU1o4WUgyTTdwRXg4VE5IX20yT2JoYmhPSnRTMWk3VjEyOUhuREpYa184ZkZLNHlDM0pnLXFsTjRrdjZSMUZrNXFhNGJ1aFRNal9JSlhIT2lFd2U3UWotc21aQmNSVkp6VjBDZ0N4cHZTTGVyR2M2SQ?oc=5"" target=""_blank"">Gun control vs. gun rights: More than 2 dozen Oregon firearm bills introduced this session</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Statesman Journal</font>",,RSS Feed
Measure 114 gun control bill draws more than 100 people to heated hearing - OregonLive.com,https://news.google.com/rss/articles/CBMiuwFBVV95cUxORjVCQ2RleFItczFzZ2g3MU43NkVrX0o1ekJZYlljN1ZsbGJyU2Q3TlVnRFJaYzZDdHBjZ0JEWGgwQzhxZEFkQzl6UloxSXpmYVdkQ0tzaGFhRndKYVVXMlU2WUoxc2VIb010UkdST1ZHWTRFa0wzLTlTb0hqb0R1Q1pHUmdObnlKZVhlYWV1dHdVdFFfcGptZUlQMXYwMW0zMkZ0SlFTTUhXV2FnQkdwQTVRNUF2bFMtUGlR0gHPAUFVX3lxTE5jRVFSNmZFY2dOSjVrZnkxOXJRY3FuMEZOVlZmRUIyWF8zUXhXRkY2cV93d2Y5cDJCVzU0cWxMVWd5N1ozOTZXOXdxNTgxTFRkcG91cTRsaGJxR1F4QXF2M1VaTXNjMmJyM1puN0U5YnM0MkRJMmNjVkZkaW5MbWRFS1N1eXY3V1BjSXZSMENCenlPUE9CTDFhSWhqM0VsR2ZRX2lrbE5FU0lfYWZMYXloNHpmNHBkcHdST2N2d0lLVVpMd0JBWFVvYVFwQ3JPbw?oc=5,"Tue, 18 Mar 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxORjVCQ2RleFItczFzZ2g3MU43NkVrX0o1ekJZYlljN1ZsbGJyU2Q3TlVnRFJaYzZDdHBjZ0JEWGgwQzhxZEFkQzl6UloxSXpmYVdkQ0tzaGFhRndKYVVXMlU2WUoxc2VIb010UkdST1ZHWTRFa0wzLTlTb0hqb0R1Q1pHUmdObnlKZVhlYWV1dHdVdFFfcGptZUlQMXYwMW0zMkZ0SlFTTUhXV2FnQkdwQTVRNUF2bFMtUGlR0gHPAUFVX3lxTE5jRVFSNmZFY2dOSjVrZnkxOXJRY3FuMEZOVlZmRUIyWF8zUXhXRkY2cV93d2Y5cDJCVzU0cWxMVWd5N1ozOTZXOXdxNTgxTFRkcG91cTRsaGJxR1F4QXF2M1VaTXNjMmJyM1puN0U5YnM0MkRJMmNjVkZkaW5MbWRFS1N1eXY3V1BjSXZSMENCenlPUE9CTDFhSWhqM0VsR2ZRX2lrbE5FU0lfYWZMYXloNHpmNHBkcHdST2N2d0lLVVpMd0JBWFVvYVFwQ3JPbw?oc=5"" target=""_blank"">Measure 114 gun control bill draws more than 100 people to heated hearing</a>&nbsp;&nbsp;<font color=""#6f6f6f"">OregonLive.com</font>",,RSS Feed
Public weighs in as lawmakers consider key amendments to Oregon gun control bill - KATU,https://news.google.com/rss/articles/CBMingJBVV95cUxNTV9CelMydFN5c3R2WDlOZmZzejU5cTYxVnlrcDBDYktxTzliSmItRlNCM1Q2Ym1OcTRUNXBHUjQ1ejJhVTdHVnBqaGwtTGdpMjN3Y05reDBGU0hwVURNaWVGUjVfbEE2ZjRjTERtLUlpTXBpbEgwU3M2aDUzQkplaG5QWFA2djFkNXJVUmVfWVN3LUFkeWM3cUVuWjd1aXNOYWtqUmZmTTE1VXZEWTJZVV82ODJ0ZS1CektpM01pM2VNS3F0ZGlPMDlMWFVvSjZrSERJd0R1dFF1TkFreTBCRzFPLVlFRUdybmpfQkxORmpWWG1pWXJRMVpIRzM5aThKOUZwdmMxcGpwTG8yR3VRNHJfdGhjb29neS1IaHZn?oc=5,"Mon, 12 May 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMingJBVV95cUxNTV9CelMydFN5c3R2WDlOZmZzejU5cTYxVnlrcDBDYktxTzliSmItRlNCM1Q2Ym1OcTRUNXBHUjQ1ejJhVTdHVnBqaGwtTGdpMjN3Y05reDBGU0hwVURNaWVGUjVfbEE2ZjRjTERtLUlpTXBpbEgwU3M2aDUzQkplaG5QWFA2djFkNXJVUmVfWVN3LUFkeWM3cUVuWjd1aXNOYWtqUmZmTTE1VXZEWTJZVV82ODJ0ZS1CektpM01pM2VNS3F0ZGlPMDlMWFVvSjZrSERJd0R1dFF1TkFreTBCRzFPLVlFRUdybmpfQkxORmpWWG1pWXJRMVpIRzM5aThKOUZwdmMxcGpwTG8yR3VRNHJfdGhjb29neS1IaHZn?oc=5"" target=""_blank"">Public weighs in as lawmakers consider key amendments to Oregon gun control bill</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KATU</font>",,RSS Feed
"Oregon lawmakers pass gun bill to ban rapid-fire devices, allow new concealed carry rules - Oregon Public Broadcasting - OPB",https://news.google.com/rss/articles/CBMidkFVX3lxTE1iSkJCMmw4bWNXUU1Rck9xZWY2aUdTOEctMGVyamdZZ2dYOHFjZTRacHpRWVYyWTVWcHlYSDdaZjZXOTB5Tmp3RzYwck01YW5RLXV4bWpfOW1JTjRMTFQwellZREFLVDdTOEcyRGFJeXRJOVBHV0E?oc=5,"Thu, 26 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMidkFVX3lxTE1iSkJCMmw4bWNXUU1Rck9xZWY2aUdTOEctMGVyamdZZ2dYOHFjZTRacHpRWVYyWTVWcHlYSDdaZjZXOTB5Tmp3RzYwck01YW5RLXV4bWpfOW1JTjRMTFQwellZREFLVDdTOEcyRGFJeXRJOVBHV0E?oc=5"" target=""_blank"">Oregon lawmakers pass gun bill to ban rapid-fire devices, allow new concealed carry rules</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Oregon Public Broadcasting - OPB</font>",,RSS Feed
Jury finds Portland man guilty of attempted mass shooting in Central Oregon - Oregon Public Broadcasting - OPB,https://news.google.com/rss/articles/CBMirAFBVV95cUxNdk5wTjZ5YTMxdzFtOXZOLVU3UHRyeHFVRk96SDN4N21TUWs2TXNkMkwzLWxsUVdkbzBGR1lZOGZMcjVjajk1RUg4NGw3N0tqaC1iUklQdWY0RUNHeVVyODdVYmVLcWR2a2pnaVJsZFlSWm43bmRxWjVmVzZoYkJLcGRnczd3c2JWTW16NEc5dEZVbTMyYW11S01NUDViSklWNHVKZEh4N1UxNFRv?oc=5,"Fri, 12 Sep 2025 00:38:02 GMT","<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxNdk5wTjZ5YTMxdzFtOXZOLVU3UHRyeHFVRk96SDN4N21TUWs2TXNkMkwzLWxsUVdkbzBGR1lZOGZMcjVjajk1RUg4NGw3N0tqaC1iUklQdWY0RUNHeVVyODdVYmVLcWR2a2pnaVJsZFlSWm43bmRxWjVmVzZoYkJLcGRnczd3c2JWTW16NEc5dEZVbTMyYW11S01NUDViSklWNHVKZEh4N1UxNFRv?oc=5"" target=""_blank"">Jury finds Portland man guilty of attempted mass shooting in Central Oregon</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Oregon Public Broadcasting - OPB</font>",,RSS Feed
Oregon campuses reflect on impact of Charlie Kirk amid fatal shooting - KVAL,https://news.google.com/rss/articles/CBMingFBVV95cUxQLW1tUWtwUWNkQ2pCckZ2WndWS0p2UVN5dmxrTDR3MzU1U0hlMkJveFhXNlhDS01yLUQ4T0Z4RVRFNE9QMGRZSnZWT2tOS0hxc0NHRFBna2tlZk5kV05YbWRMbFZ3ZHRQOG03OWRRWnExdmxPaFpKT2t4dGZucTNaTjRpRGxxY25JSXhsdlNncXFxb002eUpOVFlhd1Y5UQ?oc=5,"Thu, 11 Sep 2025 00:14:49 GMT","<a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxQLW1tUWtwUWNkQ2pCckZ2WndWS0p2UVN5dmxrTDR3MzU1U0hlMkJveFhXNlhDS01yLUQ4T0Z4RVRFNE9QMGRZSnZWT2tOS0hxc0NHRFBna2tlZk5kV05YbWRMbFZ3ZHRQOG03OWRRWnExdmxPaFpKT2t4dGZucTNaTjRpRGxxY25JSXhsdlNncXFxb002eUpOVFlhd1Y5UQ?oc=5"" target=""_blank"">Oregon campuses reflect on impact of Charlie Kirk amid fatal shooting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KVAL</font>",,RSS Feed
BREAKING: Shooting early Friday at Pendleton bar injures one - East Oregonian,https://news.google.com/rss/articles/CBMikgFBVV95cUxQOThEZGJXVVFRcml4djhab3pOR05SVUIyZmRlVjlFTnFRUXhlQUZ2QTZzeEMwRk9nQVpneElYUnBVRWQyNnctWG9NMmttVkZ2aUl6X0lRM2RnbW9aUTZYd0ZhaTdpVk1ITjFfR3R3MnByVjlIM1p3SXpLc2lSSVpiQmFybUMyS0pwOVRqRVpjVVUtUQ?oc=5,"Sat, 13 Sep 2025 00:11:15 GMT","<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxQOThEZGJXVVFRcml4djhab3pOR05SVUIyZmRlVjlFTnFRUXhlQUZ2QTZzeEMwRk9nQVpneElYUnBVRWQyNnctWG9NMmttVkZ2aUl6X0lRM2RnbW9aUTZYd0ZhaTdpVk1ITjFfR3R3MnByVjlIM1p3SXpLc2lSSVpiQmFybUMyS0pwOVRqRVpjVVUtUQ?oc=5"" target=""_blank"">BREAKING: Shooting early Friday at Pendleton bar injures one</a>&nbsp;&nbsp;<font color=""#6f6f6f"">East Oregonian</font>",,RSS Feed
Oregon flags to be flown at half-staff after fatal shooting of Charlie Kirk - KGW,https://news.google.com/rss/articles/CBMihAJBVV95cUxNakdKSW1VaDJMN3VweVJxbnBlcjNiN052Y3NCNXU2S1pRTDZxUmhfZWhLY2JQVnlXMldUWm5fS2tObkt0YVVGbTZMUEQ2emxsdlppMkEzc0pVbTRRUzFSNlBsLTV4S2l4WFBrSGtXN3F2b2ZkV2VtZkJsX1J6UWpUTDcyanhhVndfNHZZNDdCWXloc0ExMDliT242X0R3aFMtSXpwMndHS0ZoVjB6bkM3XzlhM0FlZTZMRk1Jb1ZUc2JLOGhHVjJOY1FJci1SUlRxRjFpSm9hSGU3YXNyUXFBaEpmT283NTZCNG1RMDZpclhZQ0wtUmQ0Q2N1MS1NN0M3TDE3NA?oc=5,"Thu, 11 Sep 2025 13:12:00 GMT","<a href=""https://news.google.com/rss/articles/CBMihAJBVV95cUxNakdKSW1VaDJMN3VweVJxbnBlcjNiN052Y3NCNXU2S1pRTDZxUmhfZWhLY2JQVnlXMldUWm5fS2tObkt0YVVGbTZMUEQ2emxsdlppMkEzc0pVbTRRUzFSNlBsLTV4S2l4WFBrSGtXN3F2b2ZkV2VtZkJsX1J6UWpUTDcyanhhVndfNHZZNDdCWXloc0ExMDliT242X0R3aFMtSXpwMndHS0ZoVjB6bkM3XzlhM0FlZTZMRk1Jb1ZUc2JLOGhHVjJOY1FJci1SUlRxRjFpSm9hSGU3YXNyUXFBaEpmT283NTZCNG1RMDZpclhZQ0wtUmQ0Q2N1MS1NN0M3TDE3NA?oc=5"" target=""_blank"">Oregon flags to be flown at half-staff after fatal shooting of Charlie Kirk</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KGW</font>",,RSS Feed
