title,link,published,summary,content,source
"Texas Lawmakers Hear Bills That Would Put More Guns into the Hands of Teenagers and Felons, and in More Public Spaces Like Schools and Hospitals: Here’s What You Need to Know - Everytown",https://news.google.com/rss/articles/CBMirAJBVV95cUxNN1lTT1E5XzBBQ3U1dTY5RUNVWElYNG9neTRFaE9Mb2FJb1FsWEtLOWZGN2w4TU5uZTZTY0xjYjA4Nk5jMHhfSUVkXzZVVF9pVHE5MXBKTlNDai1Jek5BdnpXenZNQk8yQUpWVDBCY1VMMGNMUGlfMGxwVlU4VUJDTml2OEpLSHhiaS1DVmdZcXJVNlZ0VmJXbEk2STZYV2JESlBqeXk1VnJjN2NqUUVMNU5MTUZrOGpIdWxDWGlOUDRxNF9BTUtrTDZwV3NMdjI0Q29tYlBGcl9JNnpBT0F6eVA4aFgxS1hGQzNzcDBobkJNVndaSURyTXNTLVlZbzNqOVhNNElsX3NhdEpKTUlCZEQ5a0RmZ3dFcmM0QUZOZE5WSWs5TGhoeVNXREc?oc=5,"Tue, 15 Apr 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMirAJBVV95cUxNN1lTT1E5XzBBQ3U1dTY5RUNVWElYNG9neTRFaE9Mb2FJb1FsWEtLOWZGN2w4TU5uZTZTY0xjYjA4Nk5jMHhfSUVkXzZVVF9pVHE5MXBKTlNDai1Jek5BdnpXenZNQk8yQUpWVDBCY1VMMGNMUGlfMGxwVlU4VUJDTml2OEpLSHhiaS1DVmdZcXJVNlZ0VmJXbEk2STZYV2JESlBqeXk1VnJjN2NqUUVMNU5MTUZrOGpIdWxDWGlOUDRxNF9BTUtrTDZwV3NMdjI0Q29tYlBGcl9JNnpBT0F6eVA4aFgxS1hGQzNzcDBobkJNVndaSURyTXNTLVlZbzNqOVhNNElsX3NhdEpKTUlCZEQ5a0RmZ3dFcmM0QUZOZE5WSWs5TGhoeVNXREc?oc=5"" target=""_blank"">Texas Lawmakers Hear Bills That Would Put More Guns into the Hands of Teenagers and Felons, and in More Public Spaces Like Schools and Hospitals: Here’s What You Need to Know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Everytown</font>",,RSS Feed
North Texas father loses second daughter to gun violence in Malibu Jacks shooting - NBC 5 Dallas-Fort Worth,https://news.google.com/rss/articles/CBMitgFBVV95cUxOVno0dTBxWWtOaUtkWHFjVkk5T0tnbDU5M2sxWDVOdTNzTUx5Z1hLLVhDai0zTXB5UzlIMkZXeENmcnUtbFpsdnNJRXNDdjU5WFVhZ3duc1QxbzU0TGtIVXJ2WllraVpYVW0wbmxvaEJmMjZ2VThNUTZFcmZFQzNpN2hyMk4wYlFKMXNBektVS2lNaEJWdzJSSzBKemdiR3gzY0MwVDJ6VGVlTlpGLVo3c19rTXB4Z9IBvgFBVV95cUxOaUMyRHhPNkF1RXY5X1czbDVrYk5LNUlab1piSDBZYU4xSUpic0Z1UjNzVFI5Z0F2cTVNYVJuNlJ5eTlVdExlLTJJYlVPb2VweGx5cE5adGtERjFyVTlsY3E0NGZNMUxsZEdSTWxBNUYtMWhmbWVxYUtXZkdmMjQzZUlYTzBQcWhoNkhMaFJKcEFMVmFUS2JUNXNQRldrOG1rcTVLVUNIX0lGVk5UQ3M5WFh4LWlXUFVPbkF6NWx3?oc=5,"Tue, 09 Sep 2025 23:09:03 GMT","<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxOVno0dTBxWWtOaUtkWHFjVkk5T0tnbDU5M2sxWDVOdTNzTUx5Z1hLLVhDai0zTXB5UzlIMkZXeENmcnUtbFpsdnNJRXNDdjU5WFVhZ3duc1QxbzU0TGtIVXJ2WllraVpYVW0wbmxvaEJmMjZ2VThNUTZFcmZFQzNpN2hyMk4wYlFKMXNBektVS2lNaEJWdzJSSzBKemdiR3gzY0MwVDJ6VGVlTlpGLVo3c19rTXB4Z9IBvgFBVV95cUxOaUMyRHhPNkF1RXY5X1czbDVrYk5LNUlab1piSDBZYU4xSUpic0Z1UjNzVFI5Z0F2cTVNYVJuNlJ5eTlVdExlLTJJYlVPb2VweGx5cE5adGtERjFyVTlsY3E0NGZNMUxsZEdSTWxBNUYtMWhmbWVxYUtXZkdmMjQzZUlYTzBQcWhoNkhMaFJKcEFMVmFUS2JUNXNQRldrOG1rcTVLVUNIX0lGVk5UQ3M5WFh4LWlXUFVPbkF6NWx3?oc=5"" target=""_blank"">North Texas father loses second daughter to gun violence in Malibu Jacks shooting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NBC 5 Dallas-Fort Worth</font>",,RSS Feed
'Unfortunate': Texas lawmaker blasted for quoting Charlie Kirk after shooting - Chron,https://news.google.com/rss/articles/CBMihwFBVV95cUxORjZXYncxeC1YdzNmbXpBLWh6UmctS2JMRlY1cmpTdkRNeGxSNjVTdWhjYi16VkdOcDZiNVJnUUU1V0c3b3VaTGt3MnlUZFplUlF2NkYzZjFzd0FTeUV4TkZDMmlOX2hhbXFYU1NUaFY0TlJPWXJSZV9vcXVZcDVRNFllb3J2Tnc?oc=5,"Wed, 10 Sep 2025 22:19:14 GMT","<a href=""https://news.google.com/rss/articles/CBMihwFBVV95cUxORjZXYncxeC1YdzNmbXpBLWh6UmctS2JMRlY1cmpTdkRNeGxSNjVTdWhjYi16VkdOcDZiNVJnUUU1V0c3b3VaTGt3MnlUZFplUlF2NkYzZjFzd0FTeUV4TkZDMmlOX2hhbXFYU1NUaFY0TlJPWXJSZV9vcXVZcDVRNFllb3J2Tnc?oc=5"" target=""_blank"">'Unfortunate': Texas lawmaker blasted for quoting Charlie Kirk after shooting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Chron</font>",,RSS Feed
Texas Cracks Down on Road Rage Shootings - The Trace,https://news.google.com/rss/articles/CBMidkFVX3lxTE8wTzFmM3dXZW1jdHpVRDR4NXBpNWV3Q0NzLW1MbnRIZkZjZGxXX1g0WVNUMmtXWnQxdU53ckVCUXctZk1uay00dXFMSEczX3d0bmgzQWNpV2RjZm5OclppblFzN0pRSjV4d1hucXM2V2cyb0FJdGc?oc=5,"Mon, 14 Jul 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMidkFVX3lxTE8wTzFmM3dXZW1jdHpVRDR4NXBpNWV3Q0NzLW1MbnRIZkZjZGxXX1g0WVNUMmtXWnQxdU53ckVCUXctZk1uay00dXFMSEczX3d0bmgzQWNpV2RjZm5OclppblFzN0pRSjV4d1hucXM2V2cyb0FJdGc?oc=5"" target=""_blank"">Texas Cracks Down on Road Rage Shootings</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Trace</font>",,RSS Feed
Texas Gov. Greg Abbott issues statement on shooting death of gun advocate Charlie Kirk - San Antonio Current,https://news.google.com/rss/articles/CBMixwFBVV95cUxPTDlDcDFYZnhMSEhNVXFYNmJHcm4xaFkwSnpIRXZkc1k4UFlfVkIxeFZYekpWRU8tOFpwcGhnTUY3bXBjemppcllZNWpwQkIxck45dGt1dXhMWV9MYWlmb2JncXR6MFYtRUVGVjE0YkxwRHNWWktXMDlWRm1MOG5rMTNuX3pQY2NDWE9lVnUxaVZqRWQ4MV9JenhQTGpRQmRYVTd3N0ZhT25uSjdLRk9tWURBbFZ3M2t5ZG5qT2o4ZU9DcG9uOWNj?oc=5,"Wed, 10 Sep 2025 22:46:44 GMT","<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxPTDlDcDFYZnhMSEhNVXFYNmJHcm4xaFkwSnpIRXZkc1k4UFlfVkIxeFZYekpWRU8tOFpwcGhnTUY3bXBjemppcllZNWpwQkIxck45dGt1dXhMWV9MYWlmb2JncXR6MFYtRUVGVjE0YkxwRHNWWktXMDlWRm1MOG5rMTNuX3pQY2NDWE9lVnUxaVZqRWQ4MV9JenhQTGpRQmRYVTd3N0ZhT25uSjdLRk9tWURBbFZ3M2t5ZG5qT2o4ZU9DcG9uOWNj?oc=5"" target=""_blank"">Texas Gov. Greg Abbott issues statement on shooting death of gun advocate Charlie Kirk</a>&nbsp;&nbsp;<font color=""#6f6f6f"">San Antonio Current</font>",,RSS Feed
"Texas again lowers restrictions on certain firearms, passes on regulations - The Texas Tribune",https://news.google.com/rss/articles/CBMigAFBVV95cUxNMDNkN3cybzE1cUFiZmxvNm5Ja0JZUXdtRjhKeWk1ekNIWjNpekVaTnNxa1UydkIyMUxpbWZVZWlPWlg3TDltbTZ4bU50bVVfUWY1ZkcyVHQwaElBNHkwZGpzeVdaZUtiMEE1RHVuc3BFVFV6NVgwZjc0ZHR3U0lydg?oc=5,"Wed, 18 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMigAFBVV95cUxNMDNkN3cybzE1cUFiZmxvNm5Ja0JZUXdtRjhKeWk1ekNIWjNpekVaTnNxa1UydkIyMUxpbWZVZWlPWlg3TDltbTZ4bU50bVVfUWY1ZkcyVHQwaElBNHkwZGpzeVdaZUtiMEE1RHVuc3BFVFV6NVgwZjc0ZHR3U0lydg?oc=5"" target=""_blank"">Texas again lowers restrictions on certain firearms, passes on regulations</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Texas Tribune</font>",,RSS Feed
"Texas loosens gun laws, bans 'red flag' orders - FOX 7 Austin",https://news.google.com/rss/articles/CBMigAFBVV95cUxNbGVRRXhfLW9rZUNIR1RsaVVPclNpaUd6cTRDdktyYzNtdHhlZWkwNUl4alJ4UDJYREVoOGJaSjB1WUV1QlEtRDNrR29lcjZMNEh3U2dhQTRXZkVITVRMbDhSQ3lfaVNzcVJPUDJIU09mY2R4S3FZVWliamptR0xUbdIBhgFBVV95cUxPVVY2YW9WSmN0S3dLOUYtalIxUG1nYTQxb3liZlhEWTk3XzJKY1RkOGd0T3JmdldHajRYMnMwdFc4UXJnd29vcFZPekdyUEVFWjRpYW1zdHk2eFFELVVXei11NVVFQjFQeWtyUHRZSlFOM3NoYVlGTjVuMm4tVDRFS0hjLS1lQQ?oc=5,"Tue, 24 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMigAFBVV95cUxNbGVRRXhfLW9rZUNIR1RsaVVPclNpaUd6cTRDdktyYzNtdHhlZWkwNUl4alJ4UDJYREVoOGJaSjB1WUV1QlEtRDNrR29lcjZMNEh3U2dhQTRXZkVITVRMbDhSQ3lfaVNzcVJPUDJIU09mY2R4S3FZVWliamptR0xUbdIBhgFBVV95cUxPVVY2YW9WSmN0S3dLOUYtalIxUG1nYTQxb3liZlhEWTk3XzJKY1RkOGd0T3JmdldHajRYMnMwdFc4UXJnd29vcFZPekdyUEVFWjRpYW1zdHk2eFFELVVXei11NVVFQjFQeWtyUHRZSlFOM3NoYVlGTjVuMm4tVDRFS0hjLS1lQQ?oc=5"" target=""_blank"">Texas loosens gun laws, bans 'red flag' orders</a>&nbsp;&nbsp;<font color=""#6f6f6f"">FOX 7 Austin</font>",,RSS Feed
Oregon joins other states in two gun rights cases in Texas - Oregon Capital Chronicle,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNLXlUMGRsOVhScWl1a0Y1NERpMTdNY2VKWlpQMlFvamRfUzRyRkNUbnNmbVl6N1A5OHhzT1dGOUl4UG1USXI3VHVZZVBzeEZTeFlrXzllVnphcEgwbVRieVpGa25vMU9HVHpiSDZrN2REb0dnMHR1SmI1Q2I1Q2d4a3MyX3psVmw1Q0dxOTd5bkU4SDdBak93U0xQeEVFYVktd29EZkhkaVM?oc=5,"Fri, 17 Jan 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxNLXlUMGRsOVhScWl1a0Y1NERpMTdNY2VKWlpQMlFvamRfUzRyRkNUbnNmbVl6N1A5OHhzT1dGOUl4UG1USXI3VHVZZVBzeEZTeFlrXzllVnphcEgwbVRieVpGa25vMU9HVHpiSDZrN2REb0dnMHR1SmI1Q2I1Q2d4a3MyX3psVmw1Q0dxOTd5bkU4SDdBak93U0xQeEVFYVktd29EZkhkaVM?oc=5"" target=""_blank"">Oregon joins other states in two gun rights cases in Texas</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Oregon Capital Chronicle</font>",,RSS Feed
Texas bans red-flag laws that allow guns to be taken from owners in crisis - The Washington Post,https://news.google.com/rss/articles/CBMijwFBVV95cUxNMThOenZPSDdWVDhxYnFBOVdvTGJsS1M3dVRQSHFxNUNnc0FSWE1ZdEVXR3ozS1VpUWFKZ25sbjlaSTVGVHpnN2lPemdTRXpJaG11SVB0dnVsVE0wLXo1OTBmalozbzhPQUk3amtoUmZGQzNDeEhCbUhKUHFDSGNXby1EM3dtb0Z1c3dLRTVkZw?oc=5,"Tue, 24 Jun 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxNMThOenZPSDdWVDhxYnFBOVdvTGJsS1M3dVRQSHFxNUNnc0FSWE1ZdEVXR3ozS1VpUWFKZ25sbjlaSTVGVHpnN2lPemdTRXpJaG11SVB0dnVsVE0wLXo1OTBmalozbzhPQUk3amtoUmZGQzNDeEhCbUhKUHFDSGNXby1EM3dtb0Z1c3dLRTVkZw?oc=5"" target=""_blank"">Texas bans red-flag laws that allow guns to be taken from owners in crisis</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Washington Post</font>",,RSS Feed
Texas Legislature makes move toward banning 'red flag' gun laws in the state - KUT,https://news.google.com/rss/articles/CBMifkFVX3lxTE5HOHNHT0lqZkM2bTc1NzE0aWY2Nlg4ZEFaTVM3NVprd0ltRGR0NG8xRXUzc1RxbEhLOHloMGIxM0lyTFNKMHExMkpfOW9NbFQyN3JIV3g2dWtZVkdhVUN4ZVlJVnBKUkhlOVBJUVNibVFIY09CWnZDdTduNTlLUQ?oc=5,"Thu, 08 May 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMifkFVX3lxTE5HOHNHT0lqZkM2bTc1NzE0aWY2Nlg4ZEFaTVM3NVprd0ltRGR0NG8xRXUzc1RxbEhLOHloMGIxM0lyTFNKMHExMkpfOW9NbFQyN3JIV3g2dWtZVkdhVUN4ZVlJVnBKUkhlOVBJUVNibVFIY09CWnZDdTduNTlLUQ?oc=5"" target=""_blank"">Texas Legislature makes move toward banning 'red flag' gun laws in the state</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KUT</font>",,RSS Feed
