Unnamed: 0,year,month,region,state,victim_age,victim_sex,victim_race,victim_race_plus_hispanic,victim_ethnicity,weapon_used,victim_offender_split,offenders_relationship_to_victim,offenders_relationship_to_victim_grouping,offender_sex,circumstance,circumstance_grouping,extra_circumstance_info,multiple_victim_count,incident_id,additional_victim,Latitude,Longitude,Coordinate_Source
306308,2011,3,Southwest,AZ,19,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,373374,False,33.57713,-111.246942,State_Centroid
306309,2011,4,Southwest,AZ,39,Female,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Single Offender,wife,Within Family,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,373377,False,33.797486,-111.555946,State_Centroid
306310,2011,1,Southwest,AZ,22,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,Burglary,Felony Type,,0,373378,False,33.679819,-111.629451,State_Centroid
306311,2011,6,Southwest,AZ,99 years or older,Unknown,Unknown,Unknown,Not of Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,373380,False,33.678805,-111.559853,State_Centroid
306312,2011,7,Southwest,AZ,43,Female,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Multiple Victims/Single Offender,unknown,Unknown Relationship,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,1,373381,False,34.004805,-111.407097,State_Centroid
306313,2011,7,Southwest,AZ,45,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Multiple Victims/Single Offender,unknown,Unknown Relationship,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,1,373381,True,33.559979,-111.225037,State_Centroid
306314,2011,10,Southwest,AZ,56,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,373383,False,33.853716,-111.303985,State_Centroid
306315,2011,3,Southwest,AZ,50,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,rifle,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Robbery,Felony Type,,0,373384,False,33.775034,-111.672552,State_Centroid
306316,2011,1,Southwest,AZ,80,Female,White (includes Mexican-Americans),White,Not of Hispanic Origin,rifle,Single Victim/Single Offender,wife,Within Family,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,373385,False,33.669638,-111.411619,State_Centroid
306317,2011,1,Southwest,AZ,23,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,firearm,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,373386,False,33.667874,-111.30543,State_Centroid
306318,2011,2,Southwest,AZ,49,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,373388,False,33.874977,-111.302068,State_Centroid
306319,2011,3,Southwest,AZ,46,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Single Offender,boyfriend,Outside Family But Known to Victim,Female,Other Negligent Handling of Gun Which Results in Death of Another,Manslaughter by Negligent Circumstances,,0,373389,False,33.639259,-111.164118,State_Centroid
306320,2011,4,Southwest,AZ,54,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Single Offender,friend,Outside Family But Known to Victim,Male,Other Negligent Handling of Gun Which Results in Death of Another,Manslaughter by Negligent Circumstances,,0,373391,False,33.912227,-111.474115,State_Centroid
306321,2011,4,Southwest,AZ,24,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Multiple Victims/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Gangland Killings,Other Than Felony Type,,1,373394,False,33.434912,-111.15533,State_Centroid
306322,2011,4,Southwest,AZ,29,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Multiple Victims/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Gangland Killings,Other Than Felony Type,,1,373394,True,33.845378,-111.391826,State_Centroid
306323,2011,6,Southwest,AZ,48,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Single Offender,husband,Within Family,Female,Other Arguments,Other Than Felony Type,,0,373395,False,33.884901,-111.135299,State_Centroid
306324,2011,7,Southwest,AZ,25,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Single Offender,acquaintance,Outside Family But Known to Victim,Male,Lover's Triangle,Other Than Felony Type,,0,373396,False,33.569751,-111.431767,State_Centroid
306325,2011,10,Southwest,AZ,20,Male,American Indian or Alaskan Native,American Indian or Alaskan Native,Not of Hispanic Origin,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,373398,False,33.592142,-111.211562,State_Centroid
306326,2011,2,Southwest,AZ,19,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,Other Arguments,Other Than Felony Type,,0,373399,False,33.627361,-111.183815,State_Centroid
306327,2011,10,Southwest,AZ,18,Female,White (includes Mexican-Americans),White,Not of Hispanic Origin,rifle,Single Victim/Single Offender,girlfriend,Outside Family But Known to Victim,Male,Other Negligent Handling of Gun Which Results in Death of Another,Manslaughter by Negligent Circumstances,,0,373401,False,33.788171,-111.725432,State_Centroid
306328,2011,2,Southwest,AZ,45,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,373402,False,33.794711,-111.667546,State_Centroid
306329,2011,4,Southwest,AZ,56,Male,White (includes Mexican-Americans),White,Unknown,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,Other Arguments,Other Than Felony Type,,0,373404,False,33.503269,-111.464849,State_Centroid
306330,2011,2,Southwest,AZ,33,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,373406,False,33.579045,-111.640648,State_Centroid
306331,2011,3,Southwest,AZ,55,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Multiple Victims/Single Offender,father,Within Family,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,1,373407,False,34.008753,-111.183875,State_Centroid
306332,2011,3,Southwest,AZ,54,Female,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Multiple Victims/Single Offender,unknown,Within Family,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,1,373407,True,33.585567,-111.604846,State_Centroid
306333,2011,5,Southwest,AZ,28,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,Felon Killed by Police,Justifiable Homicide,Felon Attacked Police Officer,0,373410,False,33.583723,-111.58623,State_Centroid
306334,2011,7,Southwest,AZ,23,Male,White (includes Mexican-Americans),White,Unknown,handgun,Multiple Victims/Multiple Offenders,friend,Outside Family But Known to Victim,Male,Other Arguments,Other Than Felony Type,,1,373411,False,33.664562,-111.238208,State_Centroid
306335,2011,7,Southwest,AZ,35,Male,White (includes Mexican-Americans),White,Unknown,handgun,Multiple Victims/Multiple Offenders,unknown,Outside Family But Known to Victim,Male,Other Arguments,Other Than Felony Type,,1,373411,True,33.483306,-111.594433,State_Centroid
306336,2011,7,Southwest,AZ,25,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Single Offender,unknown,Unknown Relationship,Male,Gangland Killings,Other Than Felony Type,,0,373412,False,34.013984,-111.181994,State_Centroid
306337,2011,8,Southwest,AZ,28,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,shotgun,Single Victim/Single Offender,acquaintance,Outside Family But Known to Victim,Male,Narcotic Drug Laws,Felony Type,,0,373414,False,34.004778,-111.364061,State_Centroid
306338,2011,9,Southwest,AZ,19,Male,Black,Black,Not of Hispanic Origin,rifle,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,Robbery,Felony Type,,0,373415,False,33.621335,-111.265594,State_Centroid
306339,2011,9,Southwest,AZ,39,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Single Offender,acquaintance,Outside Family But Known to Victim,Male,Lover's Triangle,Other Than Felony Type,,0,373416,False,33.434765,-111.401252,State_Centroid
306340,2011,10,Southwest,AZ,21,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Single Offender,acquaintance,Outside Family But Known to Victim,Male,Other Arguments,Other Than Felony Type,,0,373418,False,33.612268,-111.284781,State_Centroid
306341,2011,10,Southwest,AZ,26,Male,White (includes Mexican-Americans),White,Unknown,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,Other - not specified (Felony Type),Felony Type,,0,373419,False,33.610959,-111.729623,State_Centroid
306342,2011,10,Southwest,AZ,29,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Other Arguments,Other Than Felony Type,,0,373420,False,33.956488,-111.499427,State_Centroid
306343,2011,11,Southwest,AZ,38,Female,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,rifle,Single Victim/Single Offender,wife,Within Family,Male,Other (Other Than Felony Type),Other Than Felony Type,,0,373421,False,33.575237,-111.698968,State_Centroid
306344,2011,11,Southwest,AZ,27,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Narcotic Drug Laws,Felony Type,,0,373422,False,33.990644,-111.470768,State_Centroid
306345,2011,12,Southwest,AZ,34,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,rifle,Single Victim/Single Offender,acquaintance,Outside Family But Known to Victim,Male,Argument Over Money or Property,Other Than Felony Type,,0,373424,False,33.860342,-111.265699,State_Centroid
306346,2011,12,Southwest,AZ,29,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,373425,False,33.969622,-111.419124,State_Centroid
306347,2011,6,Southwest,AZ,18,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,unknown gun,Multiple Victims/Single Offender,stranger,Offender Not Known to Victim,Male,Argument Over Money or Property,Other Than Felony Type,,1,373430,False,33.457267,-111.252807,State_Centroid
306348,2011,6,Southwest,AZ,19,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,unknown gun,Multiple Victims/Single Offender,unknown,Offender Not Known to Victim,Male,Argument Over Money or Property,Other Than Felony Type,,1,373430,True,33.629089,-111.156199,State_Centroid
306349,2011,7,Southwest,AZ,32,Male,White (includes Mexican-Americans),White,Unknown,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,Felon Killed by Private Citizen,Justifiable Homicide,Felon Attacked a Civilian,0,373431,False,33.689504,-111.656964,State_Centroid
306350,2011,7,Southwest,AZ,25,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,Robbery,Felony Type,,0,373434,False,33.685731,-111.271556,State_Centroid
306351,2011,7,Southwest,AZ,30,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Single Offender,acquaintance,Outside Family But Known to Victim,Male,Other Negligent Handling of Gun Which Results in Death of Another,Manslaughter by Negligent Circumstances,,0,373435,False,33.940451,-111.599295,State_Centroid
306352,2011,8,Southwest,AZ,30,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Multiple Offenders,stranger,Offender Not Known to Victim,Male,Felon Killed by Police,Justifiable Homicide,Felon Killed in Commission of a Crime,0,373437,False,33.628015,-111.178151,State_Centroid
306353,2011,8,Southwest,AZ,42,Female,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Single Offender,acquaintance,Outside Family But Known to Victim,Male,Other Arguments,Other Than Felony Type,,0,373438,False,33.772363,-111.594076,State_Centroid
306354,2011,8,Southwest,AZ,38,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Multiple Offenders,stranger,Offender Not Known to Victim,Male,Felon Killed by Police,Justifiable Homicide,Felon Attacked Police Officer,0,373439,False,33.787499,-111.459669,State_Centroid
306355,2011,8,Southwest,AZ,30,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Single Offender,friend,Outside Family But Known to Victim,Male,Other Arguments,Other Than Felony Type,,0,373440,False,33.748556,-111.717407,State_Centroid
306356,2011,10,Southwest,AZ,1,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Multiple Offenders,unknown,Unknown Relationship,Male,All suspected Felony Type,Suspected Felony Type,,0,373441,False,33.808056,-111.28735,State_Centroid
306357,2011,10,Southwest,AZ,29,Female,White (includes Mexican-Americans),White,Not of Hispanic Origin,firearm,Single Victim/Multiple Offenders,unknown,Unknown Relationship,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,373443,False,33.606446,-111.218333,State_Centroid
306358,2011,12,Southwest,AZ,50,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Single Offender,boyfriend,Outside Family But Known to Victim,Female,Other Arguments,Other Than Felony Type,,0,373446,False,33.723305,-111.664864,State_Centroid
306359,2011,1,Southwest,AZ,23,Male,White (includes Mexican-Americans),White,Unknown,firearm,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,373449,False,33.674008,-111.471115,State_Centroid
306360,2011,1,Southwest,AZ,33,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,firearm,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,373453,False,33.595088,-111.586141,State_Centroid
306361,2011,1,Southwest,AZ,29,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,firearm,Multiple Victims/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,1,373454,False,33.444093,-111.56512,State_Centroid
306362,2011,1,Southwest,AZ,38,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,firearm,Multiple Victims/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,1,373454,True,33.624529,-111.455401,State_Centroid
306363,2011,1,Southwest,AZ,32,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,firearm,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,373455,False,33.832479,-111.710461,State_Centroid
306364,2011,1,Southwest,AZ,26,Male,Black,Black,Not of Hispanic Origin,firearm,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,373457,False,33.77357,-111.310996,State_Centroid
306365,2011,1,Southwest,AZ,20,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,firearm,Single Victim/Single Offender,acquaintance,Outside Family But Known to Victim,Male,Other Negligent Handling of Gun Which Results in Death of Another,Manslaughter by Negligent Circumstances,,0,373459,False,33.528046,-111.673588,State_Centroid
306366,2011,2,Southwest,AZ,27,Male,Black,Black,Unknown,handgun,Single Victim/Single Offender,acquaintance,Outside Family But Known to Victim,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,373463,False,33.486596,-111.629281,State_Centroid
306367,2011,2,Southwest,AZ,24,Male,American Indian or Alaskan Native,American Indian or Alaskan Native,Unknown,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,373464,False,33.915277,-111.297324,State_Centroid
306368,2011,2,Southwest,AZ,25,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,firearm,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,373465,False,33.460166,-111.533379,State_Centroid
306369,2011,2,Southwest,AZ,18,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,firearm,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Other Arguments,Other Than Felony Type,,0,373466,False,33.517683,-111.542508,State_Centroid
306370,2011,2,Southwest,AZ,22,Female,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,firearm,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,373467,False,33.954865,-111.528634,State_Centroid
306371,2011,3,Southwest,AZ,39,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,373468,False,33.599933,-111.379259,State_Centroid
306372,2011,3,Southwest,AZ,20,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,Felon Killed by Police,Justifiable Homicide,Felon Attacked Fellow Police Officer,0,373470,False,33.830077,-111.258913,State_Centroid
306373,2011,3,Southwest,AZ,25,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,Robbery,Felony Type,,0,373471,False,33.822143,-111.189017,State_Centroid
306374,2011,3,Southwest,AZ,34,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,,0,373472,False,33.431599,-111.288537,State_Centroid
306375,2011,3,Southwest,AZ,26,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Multiple Offenders,stranger,Offender Not Known to Victim,Male,Felon Killed by Police,Justifiable Homicide,Felon Attacked Fellow Police Officer,0,373473,False,33.878458,-111.184588,State_Centroid
306376,2011,3,Southwest,AZ,49,Female,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Single Offender,acquaintance,Outside Family But Known to Victim,Male,Other Arguments,Other Than Felony Type,,0,373475,False,33.649604,-111.533987,State_Centroid
306377,2011,3,Southwest,AZ,28,Male,Asian or Pacific Islander,Asian or Pacific Islander,Not of Hispanic Origin,handgun,Single Victim/Single Offender,acquaintance,Outside Family But Known to Victim,Male,Other Arguments,Other Than Felony Type,,0,373477,False,33.724134,-111.385785,State_Centroid
306378,2011,3,Southwest,AZ,54,Female,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Single Offender,wife,Within Family,Male,Gun-Cleaning Death - Other Than Self-Inflicted,Manslaughter by Negligent Circumstances,,0,373478,False,33.659627,-111.43351,State_Centroid
